Species	C1	C2	C3	Y1	Y2	Y3
Bifidobacterium_catenulatum	2	4	5	5	18	3237
Romboutsia_ilealis	6	10	4	1124	71	1870
Dysosmobacter_welbionis	1036	812	733	93	132	171
Bilophila_wadsworthia	763	801	1139	19	85	166
Roseburia_intestinalis	203	144	131	532	1007	849
Klebsiella_variicola	2366	423	14	0	0	12
Collinsella_stercoris	11	6	30	2410	123	199
Faecalibacterium_duncaniae	322	1079	206	100	565	493
Segatella_copri	20	636	16	3	2018	1
Blautia_hansenii	11	53	48	1824	280	406
Oscillibacter_hominis	1247	688	515	27	92	36
Lachnospira_eligens	371	9	53	360	308	1454
Ruminococcus_bicirculans_(ex_Wegman_et_al._2014)	12	14	594	74	1166	684
Bifidobacterium_adolescentis	5	5	22	3	19	2465
Alistipes_indistinctus	335	1179	806	1	13	161
Sellimonas_catena	201	115	326	441	742	609
Faecalibacterium_taiwanense	867	402	359	123	206	475
Enterocloster_asparagiformis	113	207	1893	73	53	65
Blautia_producta	27	56	26	749	742	796
Eubacterium_ramulus	2	12	23	183	1528	575
Schaalia_odontolytica	241	13	69	1130	528	317
Phocaeicola_dorei	53	268	184	26	1070	688
Bacteroides_xylanisolvens	14	100	839	18	276	1032
Paraprevotella_clara	8	21	22	0	2221	2
Enterocloster_bolteae	255	57	1038	308	117	495
Faecalibacterium_sp._I3-3-33	142	537	649	119	319	454
unclassified	270	338	256	513	453	382
Pusillibacter_faecalis	1087	562	229	43	59	91
Enterocloster_clostridioformis	115	85	174	498	206	983
Bacteroides_thetaiotaomicron	67	408	678	49	94	601
Raoultibacter_timonensis	156	36	163	33	1212	162
Subdoligranulum_variabile	288	132	458	237	226	376
Lawsonibacter_asaccharolyticus	668	514	377	7	55	94
Faecalibacterium_sp._I4-1-79	51	475	388	160	201	415
Faecalibacterium_sp._i21-0019-B1	646	279	497	54	50	102
Limosilactobacillus_mucosae	0	0	0	58	1535	3
uncultured_Subdoligranulum_sp.	270	141	442	218	202	318
Bacteroides_cellulosilyticus	10	125	96	0	1028	329
Streptococcus_mitis	0	1	0	1259	141	148
Roseburia_rectibacter	6	6	13	194	1137	191
Streptococcus_oralis	0	7	3	1081	336	103
Streptococcus_parasanguinis	1	0	0	509	912	43
Flintibacter_sp._KGMB00164	477	332	267	139	91	109
Bacteroides_caccae	187	410	526	27	216	48
[Clostridium]_innocuum	338	122	195	181	208	346
Bacteroides_ovatus	16	57	141	25	961	182
Pseudoflavonifractor_gallinarum	609	328	325	9	46	61
Faecalibacterium_sp._IP-3-29	62	624	79	46	422	83
Clostridium_sp._M62/1	188	142	414	212	86	232
Faecalibacterium_hominis_(ex_Afrizal_et_al._2022)	17	662	46	31	403	113
Oscillibacter_sp._PEA192	467	438	221	10	71	53
Weissella_confusa	0	0	1	2	66	1118
Faecalibacterium_sp._I3-3-89	164	327	204	69	123	289
Megasphaera_stantonii	18	8	1101	5	2	1
Eisenbergiella_porci	391	167	161	121	117	171
Eubacterium_ventriosum	21	15	21	648	221	202
Thomasclavelia_ramosa	14	44	7	234	179	625
Streptococcus_sanguinis	0	5	1	622	345	105
Faecalibacterium_sp._I4-3-84	262	232	199	62	236	86
Bacteroides_hominis	22	953	37	0	13	17
Ligilactobacillus_salivarius	0	9	0	1021	8	4
Schaalia_sp._HMT-172	9	3	114	502	333	53
Coprococcus_sp._ART55/1	14	15	11	294	275	373
Mediterraneibacter_glycyrrhizinilyticus	19	42	14	137	384	371
Gordonibacter_urolithinfaciens	29	8	56	75	39	755
Blautia_hydrogenotrophica	41	52	63	59	648	93
Owariibacterium_komagatae	284	216	206	45	90	70
Cloacibacillus_evryensis	42	40	814	0	7	0
Hungatella_sp._SB206	51	56	41	97	63	553
Wansuia_hejianensis	135	13	57	139	354	161
Eubacterium_callanderi	32	33	74	233	91	378
Eubacterium_limosum	19	10	19	1	6	760
Methanobrevibacter_smithii	205	592	3	0	0	0
Bifidobacterium_dentium	32	7	2	67	111	574
Faecalibacterium_sp._i25-0019-C1	124	67	34	238	60	260
Diaphorobacter_sp._MNS-0	5	0	765	0	0	0
Bacteroides_salyersiae	12	85	89	22	36	506
Adlercreutzia_hattorii	19	7	126	4	35	542
Roseburia_sp._831b	5	2	13	258	278	177
Sellimonas_intestinalis	20	15	15	210	103	343
Actinomyces_sp._oral_taxon_414	6	66	13	220	334	58
Enterobacter_roggenkampii	22	602	23	0	0	39
Carjivirus_hominis	0	0	0	0	0	675
Bacteroides_intestinalis	8	304	205	0	143	14
Faecalibacterium_sp._I2-3-92	4	402	34	5	183	37
Coprococcus_eutactus	6	28	11	92	196	326
Arachnia_propionica	10	2	5	476	73	85
Romboutsia_sp._13368	0	2	0	218	5	420
Olsenella_timonensis	104	31	113	54	21	310
Streptococcus_vestibularis	0	0	0	370	215	41
Actinomyces_naeslundii	33	4	14	384	119	56
Streptococcus_thermophilus	0	0	0	235	291	77
[Eubacterium]_hominis	24	170	126	77	70	133
Eubacterium_sp._MSJ-33	46	51	47	66	308	69
Campylobacter_jejuni	1	1	7	368	94	104
Phascolarctobacterium_succinatutens	5	4	9	48	466	37
Blautia_parvula	10	3	13	168	99	259
Granulicatella_adiacens	0	0	0	346	68	138
Alistipes_sp._i18-0019-D1	134	78	301	0	11	24
Bifidobacterium_breve	5	8	7	66	6	445
Enterobacter_sichuanensis	527	0	0	0	0	0
Faecalibacterium_sp._7	42	62	73	150	91	103
Streptococcus_sp._FDAARGOS_192	0	0	0	210	270	39
Bacteroides_humanifaecis	4	84	389	0	4	26
Olsenella_sp._oral_taxon_807	17	15	15	127	290	36
Eggerthella_guodeyinii	40	1	45	145	66	202
Propionibacterium_acidifaciens	18	6	58	101	304	11
Butyricicoccus_porcorum	76	43	90	107	35	137
Streptococcus_gordonii	2	0	1	252	109	124
Blautia_argi	2	1	1	273	113	97
Christensenella_massiliensis	122	92	78	115	26	48
Butyricimonas_virosa	8	89	208	0	10	150
Mogibacterium_diversum	1	2	0	205	222	24
Marvinbryantia_formatexigens	30	26	41	105	135	107
Amedibacterium_intestinale	0	5	5	209	13	201
Ruminococcus_champanellensis	95	71	114	5	93	32
Faecalibacterium_wellingii	43	85	55	28	150	47
Kluyvera_sp._CRP	0	0	407	0	0	0
Slackia_heliotrinireducens	32	36	54	8	29	240
Blautia_pseudococcoides	11	10	9	124	128	115
Enterocloster_lavalensis	104	66	138	31	30	27
Longicatena_caecimuris	5	0	2	10	363	16
Bacteroides_sp._A1C1	4	55	288	0	7	41
Gordonibacter_pamelaeae	99	10	29	11	147	97
Kluyvera_ascorbata	6	2	382	0	0	0
Enterococcus_faecium	11	34	15	191	94	44
Kluyvera_genomosp._3	0	0	389	0	0	0
Actinomyces_oris	94	0	9	165	79	38
Bacteroides_sp._HF-162	6	128	170	0	40	23
Claveliimonas_bilis	12	17	22	110	156	49
Holdemania_massiliensis	15	10	217	22	51	50
[Clostridium]_symbiosum	65	21	52	40	56	122
Phascolarctobacterium_faecium	4	33	274	28	8	2
Agathobaculum_sp._NTUH-O15-33	76	63	137	31	20	12
Turicibacter_bilis	0	0	0	316	1	21
[Clostridium]_hylemonae	27	32	67	34	78	97
uncultured_Alistipes_sp.	96	93	121	2	6	12
Lactonifactor_longoviformis	8	9	10	24	175	103
Streptococcus_mutans	0	0	0	137	185	4
Faecalibacterium_sp._IP-1-18	10	111	105	7	49	39
Butyricimonas_paravirosa	1	118	183	1	1	14
Rothia_mucilaginosa	31	6	15	165	27	66
Enorma_phocaeensis	24	5	54	122	40	64
Gemella_sanguinis	0	5	0	130	85	89
Megasphaera_sp.	0	0	0	0	2	306
uncultured_Mailhella_sp.	48	94	152	3	1	4
Sellimonas_caecigallum	9	3	18	47	138	84
Klebsiella_aerogenes	194	97	4	0	0	1
Acutalibacter_muris	84	57	59	30	24	33
Streptococcus_cristatus	0	0	1	63	212	11
Lactiplantibacillus_plantarum	0	0	0	0	4	281
Roseburia_sp._499	11	11	10	47	131	74
Eshraghiella_crossota	27	24	25	40	97	68
Megamonas_funiformis	0	4	0	4	3	270
Alistipes_megaguti	54	42	161	0	2	17
Bifidobacterium_bifidum	3	4	0	3	4	262
Bacteroides_sp._CACC_737	3	50	188	0	2	32
Christensenella_sp._MSJ-20	71	100	81	0	15	8
Lactococcus_garvieae	0	0	1	0	2	269
Streptococcus_pneumoniae	3	3	2	199	38	23
Intestinibacter_bartlettii	5	15	14	106	98	28
Paraprevotella_xylaniphila	5	9	14	1	229	2
Pyramidobacter_sp._YE332	9	241	2	0	3	0
Butyricimonas_faecihominis	10	102	135	0	2	5
Parabacteroides_absconsus	1	197	23	0	1	27
Solibaculum_mannosilyticum	24	67	77	20	37	20
Streptococcus_anginosus	1	4	2	51	139	48
Ruminococcus_gauvreauii	16	16	16	37	86	73
Catenibacterium_mitsuokai	1	4	3	112	33	88
Massilimicrobiota_timonensis	6	0	0	21	43	170
Gemella_haemolysans	0	1	0	77	63	96
Burzaovirus_faecalis	0	236	0	0	0	0
Chordicoccus_furentiruminis	47	77	48	10	28	26
Streptococcus_lingualis	0	0	0	126	101	9
Streptococcus_suis	11	4	0	28	10	182
Burzaovirus_coli	0	234	0	0	0	0
Limosilactobacillus_reuteri	8	180	1	19	12	13
Barnesiella_sp._An22	29	19	162	0	4	16
Corynebacterium_durum	6	5	7	72	92	45
Phascolarctobacterium_sp._Marseille-Q4147	45	12	118	3	48	0
Qiania_dongpingensis	24	39	23	57	41	39
Christensenella_minuta	37	32	110	7	29	5
Parabacteroides_johnsonii	107	28	61	4	8	12
Parafannyhessea_umbonata	19	2	66	28	20	84
Akkermansia_massiliensis	202	2	9	5	0	0
Clostridium_sp._SY8519	16	15	33	33	76	44
Actinomyces_israelii	17	3	12	33	109	39
Ethanoligenens_harbinense	80	59	53	5	6	6
Streptococcus_ilei	0	0	0	41	45	123
Butyrivibrio_fibrisolvens	17	10	18	40	76	47
Oxalobacter_aliiformigenes	9	2	187	7	2	0
Thermophilibacter_mediterraneus	31	8	34	60	11	59
Lactococcus_cremoris	0	13	0	135	47	6
Klebsiella_africana	100	98	0	0	0	0
Burzaovirus_intestinihominis	0	195	0	0	0	0
Novisyntrophococcus_fermenticellae	4	3	6	31	73	77
Intestinibacillus_sp._NTUH-41-i26	9	14	43	61	27	36
Streptococcus_sp._LPB0220	0	0	0	89	88	12
Citrobacter_portucalensis	135	6	15	0	0	31
Streptococcus_sp._A12	0	0	1	57	83	45
Komagataeibacter_oboediens	1	0	0	90	51	43
Eubacterium_maltosivorans	75	40	17	19	6	27
Parolsenella_massiliensis	11	3	13	60	19	78
Parabacteroides_chongii	9	145	3	2	7	17
Actinomyces_massiliensis	5	0	0	87	63	27
Butyricimonas_faecalis	2	64	26	0	85	5
Pauljensenia_hongkongensis	10	0	23	89	39	20
Aristaeella_lactis	60	52	49	1	12	3
Bacteroides_zhangwenhongii	2	32	107	3	26	6
Actinomyces_sp._oral_taxon_169	21	0	0	65	79	10
Oxalobacter_formigenes	0	0	36	0	131	8
Campylobacter_coli	52	78	2	3	25	13
Streptococcus_rubneri	0	0	0	44	20	105
Klebsiella_quasivariicola	86	82	0	0	0	0
Bifidobacterium_angulatum	2	2	1	1	3	152
Ligilactobacillus_ruminis	8	9	12	40	38	54
Streptococcus_sp._FSL_R7-0248	0	0	0	58	85	18
Parolsenella_catena	21	8	26	23	37	45
Comamonas_aquatica	79	1	77	0	0	2
Segatella_hominis	0	35	1	0	121	0
Streptococcus_sp._NPS_308	0	0	0	116	6	35
Parabacteroides_sp._ASD2025	92	41	11	0	4	8
Actinomyces_sp._oral_taxon_897	0	46	3	31	64	10
Agathobaculum_massiliense	4	11	16	1	11	110
Arabiibacter_massiliensis	58	5	11	7	58	10
Trueperella_pyogenes	9	19	4	14	6	95
Solobacterium_moorei	0	7	0	95	37	7
Morganella_morganii	110	7	25	0	2	1
Monoglobus_pectinilyticus	8	3	2	101	10	17
Actinomyces_sp._HMT897	1	37	8	19	55	20
Caproicibacter_fermentans	45	30	54	6	2	2
Streptococcus_pasteurianus	7	1	8	69	28	25
Streptococcus_sp._ZY1909104	11	0	3	54	44	26
Streptococcus_sp._HSISS2	0	0	0	56	67	14
Alistipes_dispar	44	42	44	0	4	2
Dialister_succinatiphilus	125	2	0	0	8	1
Ruminococcus_sp._JE7B6	23	34	40	1	11	27
Streptococcus_australis	0	0	0	36	48	52
Anaerostipes_caccae	0	0	3	40	32	59
Lacrimispora_saccharolytica	14	3	3	11	53	48
Romboutsia_sp._CE17	0	0	3	50	9	70
Streptococcus_agalactiae	11	0	0	31	24	66
Streptococcus_koreensis	0	0	0	24	37	71
Pseudomonas_aeruginosa	121	5	0	5	0	0
Actinomyces_sp._oral_taxon_171	6	1	0	61	26	34
Akkermansia_sp._BCRC_18949	120	0	7	0	0	1
Aristaeella_hokkaidonensis	37	30	44	5	9	3
Phocaeicola_coprophilus	5	61	17	1	13	31
Klebsiella_oxytoca	91	27	1	0	5	2
Olsenella_uli	21	2	16	45	27	15
Escherichia_albertii	33	2	83	0	1	6
Atopobium_sp._oral_taxon_416	9	2	7	35	64	6
Kluyvera_georgiana	0	0	119	0	4	0
Caproiciproducens_sp._CPB-2	47	27	24	0	7	17
Eggerthella_sp._YY7918	52	14	2	0	48	6
Paraclostridium_sordellii	1	0	0	15	79	27
Gemella_morbillorum	0	0	1	34	33	49
Klebsiella_michiganensis	45	47	17	0	2	5
Selenomonas_sputigena	10	33	63	2	7	1
Bacteroides_maternus	0	5	74	4	20	12
Escherichia_ruysiae	106	0	8	0	0	1
Lacrimispora_sp._HJ-01	19	25	1	16	28	26
Afonbuvirus_intestinihominis	0	0	0	0	114	0
Enterobacter_cloacae	60	6	44	0	2	1
Bengtsoniella_intestinalis	54	32	20	0	2	4
Escherichia_fergusonii	37	4	66	0	0	5
Microbacterium_oxydans	52	56	2	0	2	0
Clostridium_cadaveris	12	4	3	32	21	39
Parvimonas_parva	0	3	0	0	0	108
Schaalia_cardiffensis	0	2	9	16	63	21
Actinomyces_sp._HMT_175	27	0	3	48	19	11
Ruminococcus_sp._JL13D9	23	9	29	6	9	32
Streptococcus_sp._FSL_W7-1342	0	0	0	63	37	8
Streptococcus_sp._SN-1	0	0	0	77	15	15
Xiamenia_xianingshaonis	42	6	13	2	38	6
Actinomyces_pacaensis	2	2	20	58	22	1
Bacteroides_faecis	1	35	39	2	10	18
Butyricicoccus_sp._GAM44	3	0	12	67	22	1
Clostridium_sp._MD294	1	0	1	74	11	16
Streptococcus_sp._FSL_K6-1323	0	0	0	59	37	7
Thauera_butanivorans	101	0	0	1	1	0
Atlantibacter_hermannii	1	98	1	0	0	2
Salmonella_enterica	37	16	29	1	2	17
Berryella_intestinalis	30	12	19	5	26	9
Emergencia_sp._JLR.KK010	5	1	6	47	23	19
Corynebacterium_pyruviciproducens	10	1	3	6	51	29
Hominifimenecus_sp._rT4P-3	11	6	8	10	38	25
Slackia_exigua	18	18	26	14	21	0
Enterobacter_ludwigii	82	12	2	0	0	0
Kineothrix_sedimenti	5	5	0	18	44	24
Streptococcus_sp._HSISS3	0	0	0	41	48	7
Blautia_liquoris	2	2	2	13	48	28
Streptococcus_gwangjuensis	0	0	0	77	11	7
Candidatus_Nanosynbacter_sp._HMT-352	0	0	1	50	26	17
Stutzerimonas_balearica	87	0	7	0	0	0
Emergencia_timonensis	2	8	2	1	22	58
Lacrimispora_xylanisolvens	5	11	4	19	27	27
Streptococcus_sp._Marseille-Q3533	0	0	0	43	35	15
Streptococcus_sp._oral_taxon_061	0	0	0	61	23	9
Thermophilibacter_immobilis	15	25	23	11	10	7
Bacteroides_nordii	2	32	20	1	7	28
Lachnoanaerobaculum_gingivalis	0	1	1	20	59	9
Lacrimispora_sinapis	3	0	2	37	33	14
Pseudomonas_petroselini	89	0	0	0	0	0
Afonbuvirus_faecalis	0	0	0	0	87	0
Phocaeicola_salanitronis	10	35	14	3	5	20
Pseudobutyrivibrio_xylanivorans	4	5	8	22	29	19
Weissella_cibaria	0	0	0	8	5	73
Arachnia_rubra	5	7	1	12	42	18
Bacteroides_caecimuris	4	40	22	0	10	9
Barnesiella_viscericola	37	3	23	0	1	19
Lacrimispora_xylanolytica	0	0	1	24	31	27
Microbacterium_maritypicum	46	37	0	0	0	0
Limosilactobacillus_fermentum	2	3	3	20	52	2
Streptococcus_sp._K0074	0	0	0	56	18	8
Streptococcus_dentalis	0	0	0	31	47	0
Streptococcus_sp._KHUD_011	0	0	0	41	16	21
Fohxhuevirus_gastrointestinalis	0	0	0	0	76	0
Streptococcus_sp._CP1998	0	0	0	30	32	13
Butyrivibrio_proteoclasticus	3	7	3	10	30	21
Butyrivibrio_sp._JL13D10	3	0	0	17	29	25
Leuconostoc_lactis	0	0	0	1	7	66
Schaalia_turicensis	11	1	0	3	3	56
Berryella_wangjianweii	23	1	12	1	36	0
Caproicibacterium_amylolyticum	6	9	47	3	7	1
Actinomyces_viscosus	6	0	6	15	38	6
Bifidobacterium_thermophilum	2	1	21	0	43	4
Fannyhessea_vaginae	0	1	0	22	4	44
Streptococcus_sp._11-4097	0	0	0	53	13	5
Coriobacterium_glomerans	14	4	8	35	3	6
Enterobacter_sp._JBIWA005	0	70	0	0	0	0
Leuconostoc_citreum	0	0	0	0	0	70
Catenibacterium_sp._co_0103	0	0	1	21	23	24
Enterococcus_faecalis	3	0	0	25	15	26
Anaeromicropila_herbilytica	2	0	0	27	25	14
Clostridium_sp._C1	0	12	5	44	6	1
Murdochiella_vaginalis	3	12	4	15	10	24
Anaerostipes_sp._PC18	2	3	1	16	29	16
Parvimonas_sp._G1604	2	0	4	0	10	51
Streptococcus_lactarius	0	0	0	33	27	7
Anaerocolumna_chitinilytica	4	0	1	13	33	15
Gelria_sp._Kuro-4	10	30	24	0	0	2
Ihubacter_sp._rT4E-8	14	10	6	7	19	10
Kineothrix_sp._MB12-C1	0	3	0	10	38	15
Mogibacterium_neglectum	2	6	10	7	25	16
Parvimonas_micra	0	11	0	12	15	28
Peptostreptococcus_anaerobius	0	0	1	10	13	42
Lactococcus_lactis	0	1	0	0	23	41
Shigella_flexneri	14	2	44	0	1	4
Sodaliphilus_pleomorphus	10	25	16	1	13	0
Eubacterium_sp._F2	6	10	5	7	26	9
Fusobacterium_mortiferum	0	11	0	25	1	26
Streptococcus_sp._KHUD_015	0	0	0	40	15	7
Bacteroides_finegoldii	0	14	25	2	17	3
Leptogranulimonas_caecicola	7	6	19	13	7	9
Parabacteroides_faecis	2	39	0	0	5	15
Streptococcus_intermedius	0	0	0	14	24	23
Streptococcus_nidrosiense	0	0	0	25	32	4
Thermocaproicibacter_melissae	11	24	16	1	4	5
Afonbuvirus_coli	0	0	0	0	60	0
Astrithrvirus_astrithr	0	60	0	0	0	0
Escherichia_marmotae	18	2	36	0	0	4
Lachnoclostridium_phytofermentans	0	3	1	12	27	17
Limosilactobacillus_allomucosae	0	0	0	0	59	1
Peptoniphilus_genitalis	0	0	0	1	0	59
Streptococcus_infantis	0	0	0	30	25	5
Streptococcus_sp._DTU_2020_1001019_1_SI_AUS_MUR_006	0	0	0	29	21	10
Achromobacter_xylosoxidans	14	1	3	12	23	6
Anaerocolumna_sp._MB42-C2	1	1	1	24	21	10
Finegoldia_magna	1	20	0	16	7	13
Pseudoramibacter_alactolyticus	27	17	6	1	6	0
Bacteroides_luhongzhouii	0	6	1	2	30	17
Megasphaera_elsdenii	3	13	7	2	2	28
Streptococcus_acidominimus	0	0	2	3	50	0
Cupriavidus_taiwanensis	11	17	22	4	0	0
Romboutsia_hominis	0	3	0	16	6	29
Abiotrophia_defectiva	0	0	3	18	19	13
Bacteroides_difficilis	0	15	17	5	12	4
Clostridium_botulinum	0	10	2	14	9	18
Mageeibacillus_indolicus	1	32	17	2	1	0
Ruminococcus_bovis	1	2	22	4	8	16
Shigella_dysenteriae	9	1	39	0	0	4
Stomatobaculum_sp._F0698	10	18	7	4	11	3
uncultured_Caproiciproducens_sp.	13	10	15	1	8	6
Bacteroides_sp._D2	0	1	3	0	45	3
Proteiniclasticum_sp._QWL-01	30	9	7	2	2	2
Anaerocolumna_sp._AGMB13020	1	3	1	6	32	8
Lacrimispora_sphenoides	3	0	1	11	26	10
Denitrobacterium_detoxificans	16	10	10	3	9	2
Porphyromonas_asaccharolytica	2	0	0	1	0	47
Streptococcus_sp._KHUD_014	0	0	0	27	12	11
Anaerocolumna_sedimenticola	0	5	6	10	18	10
Bacteroides_heparinolyticus	0	38	5	0	0	6
Enterobacter_hormaechei	15	19	10	0	4	1
Hoylesella_buccalis	1	3	10	1	4	30
Turicibacter_sp._H121	0	0	0	46	0	3
Anaerostipes_rhamnosivorans	1	1	0	13	12	21
Butyrivibrio_hungatei	2	1	0	10	24	11
Escherichia_sp._E4742	14	0	31	0	0	3
Lancefieldella_parvula	0	0	1	19	25	3
Phytobacter_sp._SCO41	0	48	0	0	0	0
Streptococcus_gallolyticus	0	0	0	34	14	0
Bacteroides_sp._DH3716P	6	10	12	0	10	9
Bradyrhizobium_sp._BTAi1	27	9	11	0	0	0
Citrobacter_freundii	9	2	9	0	2	25
Streptococcus_sp._oral_taxon_431	0	0	0	29	11	6
Peptoniphilus_lacrimalis	0	4	1	3	2	35
Schaalia_meyeri	0	2	3	19	7	14
Thomasclavelia_spiroformis	0	0	0	20	14	11
Candidatus_Southlakia_epibionticum	0	0	7	2	23	12
Clostridium_sp._10cd*	2	3	5	24	7	3
Lacrimispora_sp._BS-2	4	1	2	7	19	11
Symbiobacterium_thermophilum	12	17	14	0	1	0
Veillonella_atypica	0	0	0	43	0	1
Bacteroides_faecium	0	16	10	1	11	5
Petroclostridium_sp._X23	2	16	23	1	0	1
Anaerocolumna_sp._AGMB13025	0	4	0	7	22	9
Fretibacterium_fastidiosum	17	9	3	1	8	4
Lactobacillus_crispatus	0	0	0	31	9	2
Ruminococcus_albus	6	11	10	1	11	3
Streptococcus_constellatus	0	3	0	16	18	5
Streptococcus_parapneumoniae	0	0	0	30	6	6
Treponema_denticola	3	14	5	1	13	6
Akkermansia_biwaensis	26	0	14	0	0	0
Bacteroides_helcogenes	0	12	16	1	4	7
Thermobacillus_composti	7	14	17	0	0	2
Bacteroides_pyogenes	4	23	5	0	4	3
Bifidobacterium_pseudolongum	9	9	14	3	2	2
Microvirga_ossetica	13	0	20	6	0	0
Prevotella_dentalis	21	8	10	0	0	0
Rothia_aeria	0	3	6	21	5	4
Burkholderia_ubonensis	21	5	9	0	0	3
Paraclostridium_bifermentans	0	0	0	10	14	14
Pseudomonas_putida	18	7	10	0	3	0
Streptococcus_toyakuensis	0	0	0	25	6	7
Alkalibacter_rhizosphaerae	14	16	3	1	0	3
Anaerofustis_stercorihominis	0	3	2	3	0	29
Caldinitratiruptor_microaerophilus	9	8	13	4	3	0
Defluviitalea_saccharophila	2	22	6	0	4	3
Intestinibaculum_porci	0	2	0	10	19	6
Pelagibius_sp.	10	17	9	0	0	1
Sorangium_cellulosum	9	10	15	1	1	1
Streptococcus_parasuis	1	2	0	10	11	13
Granulicatella_elegans	0	0	0	25	2	9
Paludihabitans_sp._MB14-C6	4	4	2	10	10	6
Parascardovia_denticolens	4	0	5	14	11	2
Bacteroides_zoogleoformans	8	19	5	0	0	3
Desulforamulus_ruminis	4	20	5	0	6	0
Porphyromonas_gingivalis	8	18	4	2	0	3
Allocoprobacillus_halotolerans	1	0	0	12	12	9
Anaerocolumna_cellulosilytica	0	0	0	4	29	1
Comamonas_thiooxydans	5	1	26	2	0	0
Herbaspirillum_huttiense	4	22	8	0	0	0
Prevotella_intermedia	1	13	0	0	20	0
Reyranella_sp.	3	7	19	2	2	1
Selenomonas_ruminantium	4	5	20	1	3	1
Streptococcus_sp._D7B5	0	0	0	23	6	5
Sutterella_wadsworthensis	3	4	26	0	0	1
Ideonella_dechloratans	33	0	0	0	0	0
Megasphaera_hexanoica	0	2	0	8	18	5
Shigella_boydii	9	0	23	0	0	1
Streptomyces_pratensis	3	10	20	0	0	0
Amygdalobacter_indicium	0	17	0	2	12	1
Bacteroides_sp._M10	0	3	4	1	22	2
Bifidobacterium_scardovii	5	7	12	7	1	0
