Taxonomy	C1	C2	C3	Y1	Y2	Y3
Allorhizobium	0	0	1	0	0	0
Allosaccharopolyspora	0	0	0	0	0	2
Alloscardovia	0	0	0	2	2	0
Allosphingosinicella	0	2	0	0	0	5
Allotamlana	0	0	1	0	0	0
Alloyangia	1	0	1	0	1	0
Almendravirus	0	0	0	0	0	0
Alohovirus	0	0	0	0	0	0
Alohrdovirus	0	0	0	0	0	0
Alphaarterivirus	0	0	0	0	0	0
Alphabaculovirus	0	0	0	0	0	0
Alphacarmotetravirus	0	0	0	0	0	0
Alphacarmovirus	0	0	0	0	0	0
Alphacedratvirus	0	0	0	0	0	0
Alphachrysovirus	0	0	0	0	0	0
Alphacoronavirus	0	0	0	0	0	0
Alphacrustrhavirus	0	0	0	0	0	0
Alphacystovirus	0	0	0	0	0	0
Alphacytorhabdovirus	0	0	0	0	0	0
Alphadintovirus	0	0	0	0	0	0
Alphadrosrhavirus	0	0	0	0	0	0
Alphaendornavirus	0	0	0	0	0	0
Alphaentomopoxvirus	0	0	0	0	0	0
Alphafilamentovirus	0	0	0	0	0	0
Alphafusarivirus	0	0	0	0	0	0
Alphafusellovirus	0	0	0	0	0	0
Alphaglobulovirus	0	0	0	0	0	0
Alphagymnorhavirus	0	0	0	0	0	0
Alphahymrhavirus	0	0	0	0	0	0
Alphahypovirus	0	0	0	0	0	0
Alphainfluenzavirus	0	0	0	0	0	0
Alphalipothrixvirus	0	0	0	0	0	0
Alphamesonivirus	0	0	0	0	0	0
Alphamononivirus	0	0	0	0	0	0
Alphanecrovirus	0	0	0	0	0	0
Alphanemrhavirus	0	0	0	0	0	0
Alphanodavirus	0	0	0	0	0	0
Alphanucleorhabdovirus	0	0	0	0	0	0
Alphanudivirus	0	0	0	0	0	0
Alphaorpheovirus	0	0	0	0	0	0
Alphaovalivirus	0	0	0	0	0	0
Alphapapillomavirus	0	0	0	0	0	0
Alphapaprhavirus	0	0	0	0	0	0
Alphapartitivirus	0	0	0	0	0	0
Alphapermutotetravirus	0	0	0	0	0	0
Alphapironavirus	0	0	0	0	0	0
Alphapithovirus	0	0	0	0	0	0
Alphaplatrhavirus	0	0	0	0	0	0
Alphapleolipovirus	0	0	0	0	0	0
Alphapolyomavirus	0	0	0	0	0	0
Alphaportoglobovirus	0	0	0	0	0	0
Alpharetrovirus	0	0	0	0	0	0
Alpharicinrhavirus	0	0	0	0	0	0
Alphasphaerolipovirus	0	0	0	0	0	0
Alphaspiravirus	0	0	0	0	0	0
Alphatectivirus	0	0	0	0	0	0
Alphathriprhavirus	0	0	0	0	0	0
Alphatorquevirus	0	0	0	0	0	0
Alphatrevirus	0	0	0	0	0	0
Alphatristromavirus	0	0	0	0	0	0
Alphaturrivirus	0	0	0	0	0	0
Alphavirus	0	0	0	0	0	0
Alphayadokarivirus	0	0	0	0	0	0
Alsobacter	7	7	5	0	0	0
Altererythrobacter	19	14	3	0	0	0
Altericista	0	0	0	0	0	0
Alteriqipengyuania	0	0	1	0	0	0
Alterirhizorhabdus	2	0	0	0	0	1
Alterisphingorhabdus (ex Yan et al. 2024)	0	0	0	0	0	0
Alternaria	0	0	2	0	1	3
Alternavirus	0	0	0	0	0	0
Alteromonas	0	1	1	1	2	5
Alvostovirus	0	0	0	0	0	0
Alysiella	0	1	0	0	5	0
Amalgavirus	0	0	0	0	0	0
Amaricoccus	2	0	0	0	0	0
Amaruvirus	0	0	0	0	0	0
Ambidensovirus	0	0	0	0	0	0
Amdoparvovirus	0	0	0	0	0	0
Amedibacillus	30	250	152	83	74	144
Amedibacterium	0	7	5	225	13	216
Ameliavirus	0	0	0	0	0	0
Amginevirus	0	0	0	0	0	0
Amherstvirus	0	0	0	0	0	0
Amigovirus	0	0	0	0	0	0
Aminayvirus	0	0	0	0	0	0
Aminipila	13	3	9	4	31	7
Aminirod	7	0	0	0	0	0
Aminithiophilus	0	0	0	0	0	0
Aminobacter	6	3	23	0	3	0
Aminobacterium	0	0	0	1	0	2
Aminomonas	2	14	2	0	0	0
Ammonicoccus	1	3	0	2	0	0
Ammonifex	5	0	0	0	2	0
Amnibacterium	0	0	0	0	0	0
Amniculibacterium	0	0	0	0	0	0
Amoyvirus	0	0	0	0	0	0
Ampelovirus	0	0	0	0	0	0
Amphibacillus	0	6	0	0	0	0
Amphritea	0	0	0	0	0	1
Ampivirus	0	0	0	0	0	0
Amplylivirus	0	0	0	0	0	0
Ampullimonas	0	0	0	0	0	0
Ampunavirus	0	0	0	0	0	0
Amubhivirus	0	0	0	0	0	0
Amycolatopsis	59	39	53	4	7	13
Amygdalobacter	9	24	15	2	18	7
Amylibacter	0	0	0	0	0	0
Amylolactobacillus	0	0	0	0	0	0
Anabaena	0	0	0	0	0	0
Anabaenopsis	0	0	0	0	0	0
Anaerobacillus	0	0	0	0	1	0
Anaerobutyricum	22	14	110	51150	55223	61930
Anaerocellum	1	0	0	0	0	0
Anaerococcus	7	25	2	21	11	26
Anaerocolumna	6	30	9	72	183	67
Anaerofustis	0	3	2	3	0	29
Anaerohalosphaera	0	0	0	0	0	3
Anaerolinea	0	0	0	0	0	3
Anaeromicropila	2	0	0	27	25	14
Anaeromyxobacter	15	7	9	0	0	2
Anaeropeptidivorans	0	0	5	1	0	0
Anaerostipes	22	25	58	93392	18113	7432
Anaerotignum	6	8	6	0	2	2
Anaerotruncus	232	902	2019	87	191	304
Anamdongvirus	0	0	0	0	0	0
Anaplasma	0	0	0	0	0	0
Anaposvirus	0	0	0	0	0	0
Anatilimnocola	1	0	0	0	0	0
Anativirus	0	0	0	0	0	0
Anatolevirus	0	0	0	0	0	0
Anayavirus	0	0	0	0	0	0
Anchaingvirus	0	0	0	0	0	0
Ancylobacter	36	9	26	0	0	1
Anderseniella	2	0	5	0	0	0
Andhasavirus	0	0	0	0	0	0
Andhaxevirus	0	0	0	0	0	0
Andhevirus	0	0	0	0	0	0
Andhravirus	0	0	0	0	0	0
Andihavirus	0	0	0	0	0	0
Andorivirus	0	0	0	0	0	0
Andrewvirus	0	0	0	0	0	0
Andromedavirus	0	0	0	0	0	0
Andurilvirus	0	0	0	0	0	0
Anedhivirus	0	0	0	0	0	0
Aneurinibacillus	13	2	4	0	5	0
Angainorvirus	0	0	0	0	0	0
Angelvirus	0	0	0	0	0	0
Angmobvirus	0	0	0	0	0	0
Angustibacter	0	1	0	0	1	0
Anicalvirus	0	0	0	0	0	0
Anidravirus	0	0	0	0	0	0
Anjalivirus	0	0	0	0	0	0
Annadreamyvirus	0	0	0	0	0	0
Anoxybacillus	0	0	0	1	0	0
Anoxybacter	2	1	0	0	1	3
Anoxybacterium	3	1	2	1	10	5
Anoxybacteroides	0	1	0	0	0	0
Anphevirus	0	0	0	0	0	0
Anseongella	0	1	0	0	1	0
Antarcticibacterium	0	0	1	0	1	1
Antarcticirhabdus	11	5	1	0	0	0
Antarctobacter	0	1	0	0	0	0
Antennavirus	0	0	0	0	0	0
Anthevirus	0	0	0	0	0	0
Anthocerotibacter	1	0	0	1	1	0
Anthonyvirus	0	0	0	0	0	0
Antichaacvirus	0	0	0	0	0	0
Antiquaquibacter	0	2	0	0	0	0
Antsirabevirus	0	0	0	0	0	0
Anulavirus	0	0	0	0	0	0
Aobingvirus	0	0	0	0	0	0
Aokuangvirus	0	0	0	0	0	0
Aoqinvirus	0	0	0	0	0	0
Aorunvirus	0	0	0	0	0	0
Aparavirus	0	0	0	0	0	0
Apdecimavirus	0	0	0	0	0	0
Apeevirus	0	0	0	0	0	0
Aphenovirus	0	0	0	0	0	0
Aphroditevirus	0	0	0	0	0	0
Aphthovirus	0	0	0	0	0	0
Apibacter	0	2	0	0	0	0
Apihcavirus	0	0	0	0	0	0
Apilactobacillus	0	0	0	0	0	1
Appavirus	0	0	0	0	0	0
Apricotvirus	0	0	0	0	0	0
Apscaviroid	0	0	0	0	0	0
Aptresvirus	0	0	0	0	0	0
Apukhovirus	0	0	0	0	0	0
Aquabacter	0	2	0	0	0	0
Aquabacterium	4	1	1	1	0	0
Aquabirnavirus	0	0	0	0	0	0
Aqualaruvirus	0	0	0	0	0	0
Aqualcavirus	0	0	0	0	0	0
Aquamavirus	0	0	0	0	0	0
Aquambidensovirus	0	0	0	0	0	0
Aquaparamyxovirus	0	0	0	0	0	0
Aquareovirus	0	0	0	0	0	0
Aquaspirillum	0	0	1	0	0	0
Aquella	0	0	0	0	0	0
Aquibium	11	2	1	0	1	4
Aquicella	0	0	0	0	0	0
Aquicoccus	1	0	0	0	0	0
Aquifex	3	0	0	0	0	4
Aquiflexum	0	3	0	0	0	0
Aquihabitans	2	5	13	4	1	0
Aquiluna	1	0	1	0	0	0
Aquimarina	0	3	0	0	3	0
Aquincola	5	5	0	0	2	5
Aquingentivirus	0	0	0	0	0	0
Aquipluma	1	0	0	0	0	0
Aquipseudomonas	0	0	0	0	0	0
Aquirhabdus	0	0	0	0	0	0
Aquirufa	0	0	0	0	0	0
Aquisalimonas	3	2	0	0	0	0
Aquisalinus	0	0	9	0	0	0
Aquisediminimonas	1	0	2	0	0	0
Aquisphaera	10	1	6	0	0	0
Aquitalea	1	1	5	0	0	0
Arabiibacter	64	6	11	7	68	10
Arachidicoccus	4	1	0	0	0	0
Arachnia	16	9	6	494	117	103
Aranavirus	0	0	0	0	0	0
Aranbvirus	0	0	0	0	0	0
Arawnvirus	0	0	0	0	0	0
Arawsmovirus	0	0	0	0	0	0
Arcanobacterium	3	4	1	7	3	0
Archaeoglobus	1	0	0	0	0	0
Archangium	7	2	6	0	3	0
Archimedesvirus	0	0	0	0	0	0
Arcobacter	1	13	0	1	2	2
Arcticibacter	0	0	0	0	5	8
Arcticibacterium	0	0	0	0	0	0
Arenavirus	0	0	0	0	0	0
Arenibacter	0	0	0	0	5	0
Arenibacterium	0	0	0	0	0	0
Arenimonas	0	1	0	0	0	0
Arepavirus	0	0	0	0	0	0
Arequatrovirus	0	0	0	0	0	0
Aresaunavirus	0	0	0	0	0	0
Arihsbuvirus	0	0	0	0	0	0
Aristaeella	116	99	147	7	21	6
Aristophania	0	0	0	0	0	0
Arlivirus	0	0	0	0	0	0
Armstrongvirus	0	0	0	0	0	0
Arnorvirus	0	0	0	0	0	0
Aromatoleum	2	2	8	0	0	3
Arsenicicoccus	10	12	0	0	1	0
Arsenicumvirus	0	0	0	0	0	0
Arsenophonus	2	0	0	0	0	0
Arsyunavirus	0	0	0	0	0	0
Arthrobacter	65	69	56	13	24	13
Artiparvovirus	0	0	0	0	0	0
Artivirus	0	0	0	0	0	0
Arurhavirus	0	0	0	0	0	0
Arvduovirus	0	0	0	0	0	0
Aryavirus	0	0	0	0	0	0
Asaia	0	0	0	0	0	0
Ascochyta	0	0	0	0	0	0
Ascovirus	0	0	0	0	0	0
Asfivirus	0	0	0	0	0	0
Ashcevirus	0	0	0	0	0	0
Ashduovirus	0	0	0	0	0	0
Ashivirus	0	0	0	0	0	0
Ashucavirus	0	0	0	0	0	0
Aspduovirus	0	0	0	0	0	0
Aspergillus	5	4	12	0	0	4
Asperivirus	0	0	0	0	0	0
Asteriusvirus	0	0	0	0	1	0
Asticcacaulis	5	3	6	0	0	0
Astrithrvirus	0	60	0	0	0	0
Athalassotoga	0	0	0	0	0	0
Athenavirus	0	0	0	0	0	0
Atlantibacter	5	99	1	0	0	2
Atlauavirus	0	0	0	0	0	0
Atopobium	9	2	7	36	64	6
Atraxavirus	0	0	0	0	0	0
Atribacter	0	0	0	0	0	0
Atrimonas	0	0	0	0	0	0
Atroxivirus	0	0	0	0	0	0
Attisvirus	0	0	0	0	0	0
Attoomivirus	0	0	0	0	0	0
Atuphduovirus	0	0	0	0	0	0
Audreyjarvisvirus	0	0	0	0	0	0
Aumaivirus	0	0	0	0	0	0
Aurantiacibacter	0	4	6	0	0	0
Aurantibacillus	0	0	0	0	0	1
Aurantimicrobium	1	1	0	0	2	0
Aurantimonas	1	0	0	0	0	0
Auraticoccus	0	0	2	0	0	0
Aureibacter	0	1	0	0	0	0
Aureibaculum	0	0	0	0	0	0
Aureimonas	6	8	17	2	3	0
Aureispira	0	0	0	0	0	0
Aureliella	0	1	0	0	0	0
Aureusvirus	0	0	0	0	0	0
Auricularimonavirus	0	0	0	0	0	0
Auritidibacter	0	0	0	0	0	0
Aurivirus	0	0	0	0	0	0
Aurodevirus	0	0	0	0	0	0
Aurunvirus	0	0	0	0	0	0
Austintatiousvirus	0	0	0	0	0	0
Australozyma	0	0	0	0	0	0
Austrovirus	0	0	0	0	0	0
Austwickia	0	0	0	0	0	0
Avanivirus	0	0	0	0	0	0
Avastrovirus	0	0	0	0	0	0
Avenavirus	0	0	0	0	0	0
Aveparvovirus	0	0	0	0	0	0
Avesvirus	0	0	0	0	0	0
Aviadenovirus	0	0	0	0	0	0
Avibacterium	1	0	0	4	4	0
Avibirnavirus	0	0	0	0	0	0
Avihepadnavirus	0	0	0	0	0	0
Avihepatovirus	0	0	0	0	0	0
Avihepevirus	0	0	0	0	0	0
Avipoxvirus	0	0	0	0	0	0
Avisivirus	0	0	0	0	0	0
Avocadovirus	0	0	0	0	0	0
Avsunviroid	0	0	0	0	0	0
Avunavirus	0	0	0	0	0	0
Axeltriavirus	0	0	0	0	0	0
Axomammavirus	0	0	0	0	0	0
Ayakvirus	0	0	0	0	0	0
Ayaqvirus	0	0	0	0	0	0
Ayohtrevirus	0	0	0	0	0	0
Aziravirus	0	0	0	0	0	0
Azoarcus	1	9	1	2	3	0
Azohydromonas	0	0	1	0	0	0
Azonexus	0	0	6	0	0	0
Azorhizobium	2	1	7	0	0	0
Azorhizophilus	0	0	0	0	0	0
Azorudivirus	0	0	0	0	0	0
Azospira	2	5	1	0	1	0
Azospirillum	19	32	26	3	8	8
Azotobacter	19	5	1	0	0	0
Babesia	1	0	1	0	1	2
Babosmacovirus	0	0	0	0	0	0
Babusatellite	0	0	0	0	0	0
Babuvirus	0	0	0	0	0	0
Bacelvirus	0	0	0	0	0	0
Bacillarnavirus	0	0	0	0	0	0
Bacillus	78	90	64	68	236	72
Backyardiganvirus	0	0	0	0	0	0
Bacterioplanes	0	0	0	0	0	0
Bacterioplanoides	0	0	0	0	0	0
Bacteriovorax	0	0	0	1	0	0
Bacteroides	4876	24911	70156	591	10708	15815
Badaguanvirus	0	0	0	0	0	0
Badaztecvirus	0	0	0	0	0	0
Badnavirus	0	0	0	0	0	0
Baekduia	7	7	6	0	0	1
Bafinivirus	0	0	0	0	0	0
Bahdevuvirus	0	0	0	0	0	0
Bahscuvirus	0	0	0	0	0	0
Baihuvirus	0	0	0	0	0	0
Baikalvirus	0	0	0	0	0	0
Baileybluvirus	0	0	0	0	0	0
Bakolyvirus	0	0	0	0	0	0
Baldwinvirus	0	0	0	0	0	0
Baltimorevirus	0	0	0	0	0	0
Baltivirus	0	0	0	0	0	0
Banchanvirus	0	0	0	0	0	0
Bandavirus	0	0	0	0	0	0
Banmivirus	0	0	0	0	0	0
Bantamvirus	0	0	0	0	0	0
Baoshanvirus	0	0	0	0	0	0
Barbavirus	0	0	0	0	0	0
Barhavirus	0	0	0	0	0	0
Barnavirus	0	0	0	0	0	0
Barnesiella	131	67	3226	0	722	517
Barnyardvirus	0	0	0	0	0	0
Barrientosiimonas	0	11	0	0	0	0
Barthadenovirus	0	0	0	0	0	0
Bartonella	1	0	0	0	0	3
Basfia	2	0	0	1	0	0
Basilea	0	0	0	0	0	1
Basiliskvirus	0	0	0	0	0	0
Bastillevirus	0	0	0	0	0	0
Batrachovirus	0	0	0	0	0	0
Batravirus	0	0	0	0	0	0
Bauervirus	0	0	0	0	0	0
Bauldia	0	0	0	0	0	0
Bavovirus	0	0	0	0	0	0
Baxterfoxvirus	0	0	0	0	0	0
Baylorvirus	0	0	0	0	0	0
Bcepfunavirus	0	0	0	0	0	0
Bcepmuvirus	0	0	0	0	0	0
Bdellomicrovirus	0	0	0	0	0	0
Bdellovibrio	3	8	22	6	3	11
Beceayunavirus	0	0	0	0	0	0
Becedseptimavirus	0	0	0	0	0	0
Becurtovirus	0	0	0	0	0	0
Beecentumtrevirus	0	0	0	0	0	0
Beejeyvirus	0	0	0	0	0	0
Beenievirus	0	0	0	0	0	0
Beetrevirus	0	0	0	0	0	0
Beggiatoa	0	1	0	0	0	0
Begomovirus	0	0	0	0	0	0
Behevivirus	0	0	0	0	0	0
Behlfluvirus	0	0	0	0	0	0
Behunavirus	0	0	0	0	0	0
Beidivirus	0	0	0	0	0	0
Beijerinckia	0	0	0	0	0	0
Bellamyvirus	0	0	0	0	0	0
Belliella	0	0	0	0	0	0
Belligerivirus	0	0	0	0	0	0
Bembunaquatrovirus	0	0	0	0	0	0
Bendigovirus	0	0	0	0	0	0
Benedictvirus	0	0	0	0	0	0
Bengtsoniella	54	32	20	0	2	4
Benyvirus	0	0	0	0	0	0
Beograduvirus	0	0	0	0	0	0
Bequatrovirus	0	0	0	0	4	0
Berdovirus	0	0	0	0	0	0
Bergeriella	0	0	0	0	0	0
Bergeyella	6	1	0	0	0	0
Berhavirus	0	0	0	0	0	0
Berlinvirus	0	0	0	0	0	0
Bermanella	0	0	0	0	4	0
Bernalvirus	0	0	0	0	0	0
Bernardetia	0	1	0	0	0	2
Berryella	66	22	34	6	69	10
Bertelyvirus	0	0	0	0	0	0
Beshanovirus	0	0	0	0	0	0
Besingivirus	0	0	0	0	0	0
Besnoitia	2	1	0	0	0	0
Betaarterivirus	0	0	0	0	0	0
Betabaculovirus	0	0	0	0	0	0
Betabotoulivirus	0	0	0	0	0	0
Betacarmovirus	0	0	0	0	0	0
Betachrysovirus	0	0	0	0	0	0
Betacoronavirus	0	0	0	0	0	0
Betacystovirus	0	0	0	0	0	0
Betacytorhabdovirus	0	0	0	0	0	0
Betadintovirus	0	0	0	0	0	0
Betaendornavirus	0	0	0	0	0	0
Betaentomopoxvirus	0	0	0	0	0	0
Betafusarivirus	0	0	0	0	0	0
Betafusellovirus	0	0	0	0	0	0
Betaguttavirus	0	0	0	0	0	0
Betahymrhavirus	0	0	0	0	0	0
Betahypovirus	0	0	0	0	0	0
Betainfluenzavirus	0	0	0	0	0	0
Betalipothrixvirus	0	0	0	0	0	0
Betanecrovirus	0	0	0	0	0	0
Betanemrhavirus	0	0	0	0	0	0
Betanodavirus	0	0	0	0	0	0
Betanucleorhabdovirus	0	0	0	0	0	0
Betanudivirus	0	0	0	0	0	0
Betapapillomavirus	0	0	0	0	0	0
Betapaprhavirus	0	0	0	0	0	0
Betapartitivirus	0	0	0	0	0	0
Betapleolipovirus	0	0	0	0	0	0
Betapolyomavirus	0	0	0	0	0	0
Betaretrovirus	0	0	0	0	0	0
Betarhizoulivirus	0	0	0	0	0	0
Betaricinrhavirus	0	0	0	0	0	0
Betasatellite	0	0	0	0	0	0
Betascleroulivirus	0	0	0	0	0	0
Betatectivirus	0	0	0	0	0	0
Betatetravirus	0	0	0	0	0	0
Betatorquevirus	0	0	0	0	0	0
Betatristromavirus	0	0	0	0	0	0
Betayadokarivirus	0	0	0	0	0	0
Betterkatzvirus	0	0	0	0	0	0
Beutenbergia	1	0	0	1	0	0
Bevemovirus	0	0	0	0	0	0
Bhargavaea	0	0	0	0	0	0
Biavirus	0	0	0	0	0	0
Bibersteinia	0	0	0	0	0	0
Bicaudavirus	0	0	0	0	0	0
Bicehmovirus	0	0	0	0	0	0
Bidensovirus	0	0	0	0	0	0
Bidhavirus	0	0	0	0	0	0
