Genus	C1	C2	C3	Y1	Y2	Y3
Campylobacter	56	94	13	375	121	121
Paenibacillus	120	172	169	60	135	95
Arachnia	15	9	6	488	115	103
Corynebacterium	86	104	79	128	179	127
Gemella	1	9	1	242	182	237
Burzaovirus	0	665	0	0	0	0
Lactococcus	0	14	1	140	94	375
Lacrimispora	48	40	14	125	217	163
Enterococcus	25	71	17	241	149	99
Amedibacillus	24	170	126	77	70	133
Butyricicoccus	79	43	102	174	57	138
Granulicatella	0	0	0	371	70	147
Pseudomonas	300	121	85	24	23	24
Mogibacterium	5	8	10	217	258	47
Propionibacterium	29	12	61	103	310	12
Slackia	50	54	80	22	50	240
Agathobaculum	80	74	153	32	31	122
Microbacterium	208	168	51	10	23	11
Marvinbryantia	30	26	41	105	135	107
Amedibacterium	0	5	5	209	13	201
Turicibacter	0	2	6	368	1	36
Butyrivibrio	25	18	21	77	159	104
Longicatena	5	0	2	10	363	16
Oxalobacter	9	3	232	7	133	8
Rothia	33	9	22	198	38	75
Citrobacter	177	32	94	0	3	65
Claveliimonas	12	17	22	110	156	49
Holdemania	15	10	217	22	51	50
Otoolea	65	21	52	40	56	122
Parolsenella	32	11	39	83	56	123
Lactonifactor	8	9	10	24	175	103
Candidatus_Nanosynbacter	14	1	14	141	83	69
Catenibacterium	1	4	4	133	56	112
Enorma	24	5	54	122	40	64
Megamonas	6	15	2	4	7	273
Aristaeella	97	82	93	6	21	6
Lactiplantibacillus	1	0	3	2	15	281
Mailhella	48	94	152	3	1	4
Anaerocolumna	6	13	9	64	155	53
Thermophilibacter	46	33	57	71	21	66
Acutalibacter	84	57	59	30	24	33
Eshraghiella	27	24	25	40	97	68
Selenomonas	52	75	110	11	20	12
Intestinibacter	5	15	14	106	98	28
Afonbuvirus	0	0	0	0	261	0
Prevotella	44	96	59	4	45	12
Solibaculum	24	67	77	20	37	20
Parvimonas	2	14	4	12	25	187
Treponema	38	59	34	18	39	56
Massilimicrobiota	6	0	0	21	43	170
Chordicoccus	47	77	48	10	28	26
Bacillus	36	37	35	23	74	27
Qiania	24	39	23	57	41	39
Parafannyhessea	19	2	66	28	20	84
Micromonospora	77	45	47	19	11	13
Ethanoligenens	80	59	53	5	6	6
Komagataeibacter	6	8	11	90	51	43
Bradyrhizobium	91	41	38	8	15	12
Emergencia	7	9	8	48	45	77
Novisyntrophococcus	4	3	6	31	73	77
Nocardioides	69	22	72	13	3	12
Intestinibacillus	9	14	43	61	27	36
Paraclostridium	2	1	1	29	105	51
Pauljensenia	10	0	23	89	39	20
Caproiciproducens	60	37	39	1	18	23
Trueperella	21	26	10	14	10	95
Berryella	53	13	31	6	62	9
Shigella	38	4	114	0	1	14
Leuconostoc	0	0	0	2	13	155
Arthrobacter	38	50	36	8	22	13
Kineothrix	5	8	0	28	82	39
Caproicibacter	56	36	56	8	3	2
Deinococcus	64	45	25	7	10	7
Mycobacterium	53	29	54	5	7	10
Sphingomonas	40	50	39	2	13	13
Nocardia	49	38	37	3	8	20
Arabiibacter	58	5	11	7	58	10
Dialister	128	3	0	1	11	6
Solobacterium	0	7	0	95	37	7
Morganella	110	7	25	0	2	1
Thermaerobacter	60	38	46	1	0	0
Monoglobus	8	3	2	101	10	17
Fusobacterium	2	21	1	68	18	29
Gordonia	48	32	35	5	10	7
Mycolicibacterium	40	21	32	17	11	16
Lactobacillus	11	1	4	79	29	11
Achromobacter	25	22	20	21	29	16
Rhizobium	51	30	28	5	13	4
Hymenobacter	46	30	41	5	6	2
Stutzerimonas	93	3	30	1	1	0
Burkholderia	43	21	41	4	6	12
Variovorax	59	18	30	2	9	8
Peptoniphilus	0	11	2	8	5	99
Atopobium	9	2	7	35	64	6
Paraburkholderia	20	18	62	8	10	3
Lachnoanaerobaculum	3	1	2	25	71	18
Mesorhizobium	27	23	49	2	6	13
Paracoccus	30	43	32	0	7	6
Rhodococcus	35	32	42	1	4	4
Thauera	105	5	0	1	6	1
Cupriavidus	36	28	42	5	3	3
Veillonella	0	3	3	96	2	13
Kosakonia	42	40	22	2	6	2
Amycolatopsis	36	24	33	4	6	10
Bengtsoniella	54	32	20	0	2	4
Porphyromonas	13	27	4	8	1	59
Salmonella	37	19	33	1	2	17
Cellulomonas	34	19	32	11	6	5
Xiamenia	42	6	13	2	38	6
Actinoplanes	29	18	42	6	6	5
Atlantibacter	5	98	1	0	0	2
Caproicibacterium	7	15	60	7	9	7
Vibrio	12	18	19	7	31	16
Staphylococcus	4	33	6	25	22	12
Flavobacterium	1	45	8	12	22	11
Hominifimenecus	11	6	8	10	38	25
Synechococcus	21	16	28	5	19	7
Brevundimonas	53	19	16	0	2	3
Aeromonas	40	28	16	2	3	3
Candidatus_Minimicrobia	0	0	0	49	26	16
Kitasatospora	45	13	22	7	2	2
Acinetobacter	10	31	2	4	31	10
Candidatus_Southlakia	0	0	14	4	46	24
Xanthomonas	39	21	14	3	3	8
Pseudobutyrivibrio	4	5	8	22	29	19
Pseudodesulfovibrio	44	28	11	0	3	0
Brevibacillus	31	12	19	3	9	11
Lancefieldella	7	4	5	32	29	3
Caulobacter	18	33	19	4	0	5
Peptostreptococcus	0	1	2	10	18	47
Fohxhuevirus	0	0	0	0	76	0
Neobacillus	2	17	10	10	23	14
Bordetella	31	15	14	3	6	6
Massilia	38	8	14	6	8	0
Anaerococcus	5	18	2	18	9	20
Sphingobium	20	20	23	2	0	7
Fannyhessea	0	1	0	22	4	44
Herbaspirillum	25	26	19	1	0	0
Coriobacterium	14	4	8	35	3	6
Hydrogenophaga	38	4	19	6	2	1
Dactylosporangium	24	17	18	1	4	5
Halomonas	27	21	13	0	4	4
Anaeromicropila	2	0	0	27	25	14
Murdochiella	3	12	4	15	10	24
Gelria	10	30	24	0	0	2
Ihubacter	14	10	6	7	19	10
Terrisporobacter	4	9	0	13	11	29
Sodaliphilus	10	25	16	1	13	0
Kocuria	24	8	3	21	2	5
Novosphingobium	15	13	23	3	3	6
Pseudonocardia	22	10	26	3	1	1
Raoultella	23	31	3	0	0	6
Sinorhizobium	29	18	7	2	2	5
Neisseria	22	9	14	4	5	8
Hoylesella	1	10	15	1	4	30
Leptogranulimonas	7	6	19	13	7	9
Leucobacter	20	17	11	8	1	4
Thermocaproicibacter	11	24	16	1	4	5
Astrithrvirus	0	60	0	0	0	0
Devosia	21	8	16	5	1	9
Neomoorella	19	4	32	1	4	0
Phytobacter	1	56	3	0	0	0
Caloramator	11	24	11	0	9	4
Aminipila	13	3	7	4	26	5
Chryseobacterium	17	15	2	4	9	11
Nitratidesulfovibrio	15	26	11	0	5	1
Finegoldia	1	20	0	16	7	13
Pseudoramibacter	27	17	6	1	6	0
Acidaminococcus	23	10	12	0	1	9
Azospirillum	14	21	14	2	4	0
Brevibacterium	7	6	11	15	12	4
Sutterella	19	7	26	0	0	3
Tessaracoccus	12	17	18	3	5	0
Nonomuraea	30	6	11	1	2	4
Abiotrophia	0	0	3	18	19	13
Actinomadura	10	15	17	3	8	0
Mageeibacillus	1	32	17	2	1	0
Shewanella	4	10	14	14	7	4
Stomatobaculum	10	18	7	4	11	3
Streptosporangium	19	13	20	0	0	1
Yonseivirus	0	53	0	0	0	0
Candidatus_Poriferisodalis	22	6	2	2	12	8
Geothrix	20	17	14	1	0	0
Kribbella	20	11	10	1	5	5
Mucilaginibacter	9	10	12	8	5	8
Proteiniclasticum	30	9	7	2	2	2
Amygdalobacter	2	22	3	2	15	7
Polynucleobacter	4	10	17	6	5	9
Sporosarcina	7	4	5	13	8	14
Denitrobacterium	16	10	10	3	9	2
Methylobacterium	20	14	9	1	3	3
Stenotrophomonas	18	4	16	0	8	4
Pantoea	9	9	10	3	5	13
Ancylobacter	23	7	18	0	0	0
Candidatus_Poriferisocius	20	14	14	0	0	0
Luteimonas	6	14	22	0	6	0
Microvirga	19	2	20	6	0	0
Pseudarthrobacter	9	7	4	19	1	6
Acidovorax	19	8	11	3	1	3
Brachybacterium	7	7	24	0	7	0
Candidatus_Desulforudis	21	16	6	0	2	0
Cohnella	9	12	4	7	11	2
Roseomonas	12	8	19	1	1	4
Scardovia	0	1	0	13	30	1
Roseateles	25	7	10	0	2	0
Rubrobacter	10	8	26	0	0	0
Sporomusa	11	11	7	9	2	4
Symbiobacterium	12	17	14	0	1	0
Coprobacter	6	15	16	2	3	1
Desulforamulus	5	22	6	0	10	0
Petroclostridium	2	16	23	1	0	1
Agromyces	8	3	20	5	2	4
Alicyclobacillus	7	12	19	2	1	1
Dyella	7	13	6	4	11	1
Erythrobacter	12	7	12	8	2	1
Fretibacterium	17	9	3	1	8	4
Glutamicibacter	3	9	22	0	4	4
Dickeya	24	7	3	5	1	1
Serratia	8	15	7	3	4	4
Acetivibrio	2	10	9	5	9	5
Candidatus_Leptofilum	0	0	28	0	8	4
Candidatus_Promineifilum	6	26	8	0	0	0
Cytobacillus	7	10	2	10	7	4
Fusarium	7	8	15	2	4	4
Listeria	1	2	0	5	18	14
Thermobacillus	7	14	17	0	0	2
Vagococcus	3	4	0	3	8	22
Curtobacterium	14	13	7	1	3	1
Pseudoduganella	14	8	14	1	1	1
Ramlibacter	8	18	9	1	1	2
Rhodoferax	13	11	13	0	2	0
Sphingobacterium	3	12	1	2	11	10
Thermoanaerobacterium	1	26	0	6	2	4
Lysobacter	17	5	11	1	3	1
Pigmentiphaga	14	11	9	2	0	2
Alkalibacter	14	16	3	1	0	3
Anaerofustis	0	3	2	3	0	29
Caldinitratiruptor	9	8	13	4	3	0
Defluviitalea	2	22	6	0	4	3
Desulfitobacterium	21	2	5	2	5	2
Desulfuromonas	11	8	14	1	2	1
Gloeobacter	5	5	22	0	3	2
Intestinibaculum	0	2	0	10	19	6
Leisingera	13	7	15	0	0	2
Lysinibacillus	0	8	0	10	9	10
Maridesulfovibrio	4	13	5	6	3	6
Nitratireductor	3	1	31	1	1	0
Pelagibius	10	17	9	0	0	1
Pluralibacter	5	6	26	0	0	0
Sorangium	9	10	15	1	1	1
Janthinobacterium	6	5	19	5	1	0
Lacticaseibacillus	1	3	4	12	14	2
Paludihabitans	4	4	2	10	10	6
Parascardovia	4	0	5	14	11	2
Rubrivivax	17	10	9	0	0	0
Tannerella	9	13	7	0	6	1
Agrobacterium	9	10	4	4	4	4
Chitinophaga	13	10	1	2	5	4
Hyphomicrobium	11	13	6	3	0	2
Marinobacter	13	10	5	2	4	1
Nitrospira	4	15	13	0	3	0
Ottowia	15	12	8	0	0	0
Tumebacillus	7	16	3	4	4	1
Allocoprobacillus	1	0	0	12	12	9
Cronobacter	7	8	15	0	2	2
Delftia	14	11	9	0	0	0
Muribaculum	7	13	9	0	1	4
Phenylobacterium	11	2	16	0	5	0
Reyranella	3	7	19	2	2	1
Allobaculum	8	2	9	1	8	5
Bosea	6	9	10	3	2	3
Ideonella	33	0	0	0	0	0
Microlunatus	7	3	20	1	2	0
Nakamurella	3	10	18	1	1	0
Solidesulfovibrio	6	21	4	0	1	1
Erwinia	10	7	7	1	4	3
Fusibacter	0	0	0	10	10	12
Luteitalea	4	6	20	2	0	0
Natronosporangium	17	10	3	0	2	0
Pseudothauera	25	7	0	0	0	0
Roseibium	8	12	6	3	0	3
Saccharopolyspora	12	7	10	0	3	0
Tyzzerella	1	14	4	6	2	5
Crassaminicella	0	10	0	17	2	2
Geobacter	8	9	11	1	2	0
Mycoplasma	0	9	0	9	6	7
Opitutus	2	7	13	0	0	9
Planococcus	2	5	11	4	6	3
Pseudogemmatithrix	11	13	6	0	1	0
Pseudoxanthomonas	19	1	9	0	1	1
Candidatus_Planktophila	0	4	0	4	6	16
Desulfosarcina	7	6	11	0	0	6
Exiguobacterium	2	12	9	1	6	0
Leifsonia	6	6	12	2	2	2
Microbulbifer	7	3	8	4	5	3
Mycoplasmopsis	2	24	0	0	1	3
Roseovarius	5	8	14	0	2	1
Stappia	6	8	5	0	9	2
Wulfhauvirus	0	0	0	30	0	0
Cetobacterium	0	9	0	12	7	1
Chondromyces	3	25	0	0	0	1
Desulfomicrobium	22	3	4	0	0	0
Geoalkalibacter	10	13	2	0	1	3
Geomonas	9	9	4	0	4	3
Halobacillus	2	3	1	6	4	13
Jatrophihabitans	13	13	1	0	0	2
Levilactobacillus	2	6	6	1	12	2
Mycobacteroides	10	18	1	0	0	0
Nocardiopsis	8	4	7	4	0	6
Noviherbaspirillum	1	4	20	4	0	0
Priestia	0	9	0	9	7	4
Pseudooceanicola	4	5	20	0	0	0
Ralstonia	6	5	17	0	0	1
Sphingopyxis	3	6	15	0	3	2
Spiroplasma	0	17	1	3	7	1
Spirosoma	11	9	2	0	5	2
Breoghania	10	8	9	0	0	1
Chromobacterium	17	8	2	0	1	0
Conexibacter	12	0	15	0	1	0
Halorientalis	10	9	9	0	0	0
Ilyobacter	0	3	0	7	12	6
Jiangella	12	9	1	3	2	1
Limnohabitans	16	3	2	0	1	6
Sinomonas	12	2	14	0	0	0
Tepidiforma	5	6	16	0	0	1
Aeromicrobium	1	9	13	2	2	0
Altererythrobacter	12	12	3	0	0	0
Croceicoccus	5	18	4	0	0	0
Qipengyuania	14	11	2	0	0	0
Shinella	3	10	11	1	2	0
Tannockella	0	6	1	1	16	3
Acidithiobacillus	11	11	3	0	1	0
Aureimonas	5	7	11	1	2	0
Bdellovibrio	1	4	7	2	1	11
Corallococcus	8	9	6	3	0	0
Tsukamurella	8	9	7	1	1	0
Acididesulfobacillus	19	5	0	0	1	0
Caldicellulosiruptor	3	4	6	3	6	3
Chlorobium	5	9	9	1	0	1
Faecalibaculum	10	3	3	1	1	7
Fructilactobacillus	1	5	7	2	2	8
Kwoniella	3	12	0	2	5	3
Leptotrichia	0	6	0	2	3	14
Mesobacillus	1	2	8	5	1	8
Methylovirgula	11	7	7	0	0	0
Paludibacterium	4	14	5	0	2	0
Pedobacter	3	3	5	5	3	6
Vanrija	10	7	6	0	0	2
Aquihabitans	2	4	13	4	1	0
Kiritimatiella	4	9	9	0	2	0
Oceanobacillus	2	3	12	1	6	0
Pelobacter	7	12	2	0	3	0
Phyllobacterium	2	10	6	0	5	1
Rhodovastum	12	11	1	0	0	0
Sulfuricystis	16	4	4	0	0	0
Taranisvirus	0	7	17	0	0	0
Thermanaerovibrio	6	16	2	0	0	0
Urbifossiella	3	9	10	0	2	0
Acetobacterium	5	5	0	2	8	3
Flavivirga	0	0	0	10	1	12
Gemmata	10	6	4	3	0	0
Haematobacter	18	0	5	0	0	0
Halapricum	4	14	5	0	0	0
Hyphomonas	4	1	12	0	5	1
Pandoraea	7	4	5	3	4	0
Pikeienuella	9	2	11	0	0	1
Pleomorphomonas	8	9	6	0	0	0
Polaribacter	2	10	0	3	2	6
Proteus	1	11	3	3	5	0
Ruminiclostridium	3	5	1	2	11	1
Spiribacter	8	3	4	1	3	4
Terriglobus	13	5	4	1	0	0
Ureibacillus	1	13	0	0	4	5
Vreelandella	1	9	4	2	2	5
Xylanimonas	6	5	11	1	0	0
Aliiroseovarius	19	0	1	0	1	1
Anoxybacterium	3	1	2	1	10	5
Brucepastera	1	4	11	0	2	4
Candida	0	0	0	8	11	3
Draconibacterium	1	7	6	4	2	2
Dyadobacter	0	3	1	5	3	10
Gluconacetobacter	1	5	16	0	0	0
Hydrogenibacillus	12	4	0	0	6	0
Jonquetella	10	1	9	1	0	1
Oceanidesulfovibrio	2	13	4	0	1	2
Peptoclostridium	3	1	17	0	1	0
Stieleria	14	6	2	0	0	0
Vallitalea	1	2	0	5	12	2
Actomonas	10	5	5	0	0	1
Aspergillus	1	4	12	0	0	4
Candidatus_Palauibacter	8	3	0	4	2	4
Desulfosudis	1	3	17	0	0	0
Gimesia	2	4	2	5	6	2
Heliorestis	3	9	7	0	2	0
Keratinibaculum	0	21	0	0	0	0
Maribacter	0	19	0	0	2	0
Pelodictyon	4	5	0	0	6	6
Pontibacter	4	6	9	1	0	1
Pseudocitrobacter	12	5	4	0	0	0
Pseudomyxococcus	3	11	7	0	0	0
Rathayibacter	10	6	4	1	0	0
Rhodobacter	4	4	13	0	0	0
Sinanaerobacter	0	1	4	0	11	5
Sporofaciens	0	0	0	0	13	8
Thermomonas	11	5	1	0	3	1
Acidocella	3	2	15	0	0	0
Aedoeadaptatus	2	3	11	0	2	2
Candidatus_Pelagibacter	0	12	0	2	6	0
Chlorobaculum	8	7	3	0	0	2
Luteolibacter	5	5	3	4	1	2
Maioricimonas	1	7	12	0	0	0
Marinibacterium	11	0	9	0	0	0
Methylocystis	10	2	8	0	0	0
Neorhizobium	8	4	3	2	1	2
Penicillium	6	6	6	0	0	2
Photobacterium	6	1	6	3	2	2
Pseudoalteromonas	2	0	0	5	6	7
Rhizophagus	0	6	0	2	6	6
Rhodopseudomonas	3	1	9	0	7	0
Spirochaeta	9	7	4	0	0	0
Staphylospora	5	6	7	2	0	0
Yersinia	3	5	3	5	2	2
Alcaligenes	8	6	0	5	0	0
Aminobacter	1	3	13	0	2	0
Anaerotignum	6	6	6	0	1	0
Baekduia	6	6	6	0	0	1
Cedecea	5	5	9	0	0	0
Collimonas	6	1	10	0	1	1
Cyanobium	5	10	1	1	2	0
Desulfoferula	1	2	16	0	0	0
Edwardsiella	14	0	2	0	2	1
Euzebya	8	8	3	0	0	0
Gemmatimonas	2	5	8	4	0	0
Gluconobacter	10	4	5	0	0	0
Halopseudomonas	6	7	5	0	1	0
Helcococcus	1	13	3	0	2	0
Heliomicrobium	3	6	8	1	0	1
Isoptericola	4	11	0	3	1	0
Janibacter	6	5	6	2	0	0
Kutzneria	12	3	2	0	2	0
Leclercia	8	8	2	0	0	1
Lughvirus	1	0	0	0	18	0
Paracidovorax	13	2	2	0	0	2
Paroceanicella	13	5	1	0	0	0
Rouxiella	1	3	15	0	0	0
Ruania	1	5	1	3	3	6
Sarcina	0	8	0	0	0	11
Sulfuricaulis	0	5	14	0	0	0
Tautonia	16	0	1	2	0	0
Tistrella	13	2	3	0	1	0
Actinokineospora	8	5	4	1	0	0
Aggregatibacter	12	2	1	0	3	0
Algoriphagus	0	6	4	0	6	2
Aminomonas	2	14	2	0	0	0
Azotobacter	15	2	1	0	0	0
Caballeronia	3	2	7	0	4	2
Candidatus_Cloacimonas	0	16	2	0	0	0
Candidatus_Formimonas	0	12	0	0	6	0
Candidatus_Rariloculus_(_ex_Nguyen_2022)	8	10	0	0	0	0
Desulfosporosinus	2	0	4	0	9	3
Flagellimonas	1	6	4	2	4	1
Humisphaera	10	3	4	0	0	1
Legionella	0	5	1	3	2	7
Macrococcus	0	3	0	4	2	9
Mariniplasma	0	12	0	0	3	3
Ornithinimicrobium	6	7	1	1	3	0
Pseudoprevotella	0	14	4	0	0	0
Roseivivax	1	0	15	0	0	2
Salidesulfovibrio	12	3	3	0	0	0
Tardiphaga	4	10	3	0	1	0
Acetobacter	2	5	4	2	4	0
Aerococcus	0	1	0	2	12	2
Agrococcus	7	8	2	0	0	0
Arcanobacterium	3	4	0	7	3	0
Arcobacter	1	11	0	1	2	2
Arsenicicoccus	7	9	0	0	1	0
Brachyspira	5	0	0	5	6	1
Chelatococcus	14	3	0	0	0	0
Glaciihabitans	0	0	17	0	0	0
Haliovirga	0	12	0	3	2	0
Hyphobacterium	4	2	11	0	0	0
Lacinutrix	0	4	0	9	3	1
Methylomonas	6	9	0	1	1	0
Methylorubrum	9	3	5	0	0	0
Neopusillimonas	0	0	4	0	1	12
Oleidesulfovibrio	7	8	2	0	0	0
Petrimonas	7	7	2	1	0	0
Singulisphaera	5	5	1	0	2	4
Sneathia	0	1	0	0	0	16
Sulfuritortus	1	1	13	0	2	0
Terrirubrum	14	1	0	1	0	1
Thalassobaculum	5	5	7	0	0	0
Thalassospira	1	2	7	5	0	2
Thermoclostridium	2	7	5	0	1	2
Algiphilus	0	0	16	0	0	0
Alkaliphilus	0	9	0	1	2	4
Archangium	7	2	6	0	1	0
Buchnera	1	6	0	5	4	0
Caenispirillum	9	3	3	0	0	1
Candidatus_Nitrotoga	8	4	4	0	0	0
Candidatus_Syntrophocurvum	0	16	0	0	0	0
Cardiobacterium	13	2	1	0	0	0
Citrifermentans	2	10	2	1	1	0
Desulfobulbus	4	5	5	0	0	2
Fibrobacter	2	0	12	1	1	0
Fulvitalea	2	0	14	0	0	0
Gallaecimonas	6	8	0	0	2	0
Gulosibacter	3	0	13	0	0	0
Halobacterium	9	7	0	0	0	0
Heyndrickxia	2	2	0	4	4	4
Hydrogenimonas	3	4	0	7	0	2
Kerstersia	13	0	3	0	0	0
Metallumcola	1	5	7	0	3	0
Methanocaldococcus	0	5	0	5	1	5
Methylococcus	3	9	4	0	0	0
Micrococcus	10	4	1	1	0	0
Muricoccus	11	2	1	2	0	0
Niveibacterium	1	2	6	0	0	7
Oengusvirus	1	2	7	0	0	6
Pengzhenrongella	9	1	5	0	1	0
Prosthecochloris	10	5	0	0	1	0
Pseudazoarcus	14	2	0	0	0	0
Rhodomicrobium	11	2	2	0	1	0
Syntrophotalea	9	0	1	2	1	3
Termitidicoccus	2	10	4	0	0	0
Thermus	7	6	2	0	1	0
Acidobacterium	0	5	8	0	1	1
Advenella	9	2	3	0	1	0
Alicycliphilus	10	2	3	0	0	0
Alsobacter	5	6	4	0	0	0
Anaeromyxobacter	4	5	4	0	0	2
Aquibium	8	2	1	0	1	3
Aquincola	5	4	0	0	2	4
Aquisphaera	9	1	5	0	0	0
Borrelia	0	15	0	0	0	0
Breznakiella	0	13	2	0	0	0
Capnocytophaga	0	2	1	1	10	1
Catellatospora	8	2	5	0	0	0
Chakrabartyella	0	5	2	1	5	2
Clavibacter	6	3	3	0	3	0
Colletotrichum	4	0	2	4	3	2
Cryptobacterium	2	3	1	3	6	0
Cystobacter	2	4	9	0	0	0
Desulfarculus	5	2	4	0	0	4
Desulfocurvibacter	8	5	1	0	1	0
Ekhidna	0	3	1	4	2	5
Fastidiosipila	0	12	1	0	2	0
Geobacillus	2	2	10	0	0	1
Halotalea	15	0	0	0	0	0
Koleobacter	5	0	0	0	0	10
Lautropia	8	4	2	0	1	0
Leminorella	2	2	11	0	0	0
Luteibacter	4	6	3	0	2	0
Marinicauda	2	13	0	0	0	0
Oceanithermus	0	2	13	0	0	0
Oligella	0	15	0	0	0	0
Pelagibacterium	5	3	6	1	0	0
Peptacetobacter	0	0	0	1	5	9
Peterkaempfera	1	2	10	2	0	0
Pimelobacter	2	6	1	0	1	5
Schleiferilactobacillus	5	6	3	0	1	0
Sodalis	3	6	0	0	1	5
Sporolactobacillus	1	0	3	6	4	1
Streptacidiphilus	3	7	5	0	0	0
Thermomonospora	5	8	0	0	2	0
Trichococcus	0	7	0	1	3	4
Xanthobacter	0	10	2	0	2	1
Aliarcobacter	0	7	0	1	3	3
Aromatoleum	2	2	7	0	0	3
Azoarcus	1	7	1	2	3	0
Chthonomonas	0	14	0	0	0	0
Cutibacterium	2	0	4	1	7	0
Dehalobacter	1	5	0	2	4	2
Desulfolutivibrio	2	7	3	0	0	2
Duncaniella	0	10	3	0	1	0
Egibacter	4	0	5	0	0	5
Geotalea	4	7	1	1	0	1
Haloimpatiens	0	2	0	6	3	3
Halorubrum	3	4	6	0	1	0
Herbinix	2	0	0	0	10	2
Mariniflexile	7	3	1	1	1	1
Meiothermus	9	5	0	0	0	0
Methanocella	4	5	3	0	2	0
Mycolicibacter	6	7	1	0	0	0
Nostoc	9	3	0	1	0	1
Oceanisphaera	0	11	1	0	2	0
Ornithobacterium	0	7	3	0	3	1
Paramuribaculum	3	2	5	1	0	3
Peribacillus	0	4	0	7	0	3
Phycisphaera	9	2	2	0	0	1
Pochonia	0	1	11	1	0	1
Roseiflexus	10	3	0	1	0	0
Saccharothrix	8	5	0	1	0	0
Salinibacterium	3	2	6	3	0	0
Sedimentibacter	0	5	1	0	5	3
Sphaerobacter	5	1	8	0	0	0
Sphaerochaeta	4	4	2	4	0	0
Sulfitobacter	6	3	2	0	2	1
Tabrizicola	3	6	5	0	0	0
Tritonibacter	5	6	3	0	0	0
Tundrisphaera	8	2	3	1	0	0
Wukongibacter	0	8	1	2	1	2
Yokenella	3	1	9	0	0	1
Yoonia	2	6	0	0	3	3
Acetobacteroides	10	1	2	0	0	0
Acidipropionibacterium	4	5	2	1	0	1
Actinomarinicola	6	1	4	0	2	0
Acuticoccus	4	8	0	0	0	1
Antarcticirhabdus	8	4	1	0	0	0
Arcticibacter	0	0	0	0	5	8
Asticcacaulis	4	3	6	0	0	0
