Genus	C2	C3	Y1	Y2	Y3
Prevotella	96	59	4	45	12
Aristaeella	82	93	6	21	6
Treponema	59	34	18	39	56
Acutalibacter	57	59	30	24	33
Komagataeibacter	8	11	90	51	43
Parafannyhessea	2	66	28	20	84
Qiania	39	23	57	41	39
Bacillus	37	35	23	74	27
Citrobacter	32	94	0	3	65
Novisyntrophococcus	3	6	31	73	77
Chordicoccus	77	48	10	28	26
Emergencia	9	8	48	45	77
Paraclostridium	1	1	29	105	51
Intestinibacillus	14	43	61	27	36
Pauljensenia	0	23	89	39	20
Leuconostoc	0	0	2	13	155
Kineothrix	8	0	28	82	39
Trueperella	26	10	14	10	95
Solobacterium	7	0	95	37	7
Fusobacterium	21	1	68	18	29
Micromonospora	45	47	19	11	13
Monoglobus	3	2	101	10	17
Shigella	4	114	0	1	14
Arthrobacter	50	36	8	22	13
Ethanoligenens	59	53	5	6	6
Peptoniphilus	11	2	8	5	99
Lactobacillus	1	4	79	29	11
Nocardioides	22	72	13	3	12
Berryella	13	31	6	62	9
Caproiciproducens	37	39	1	18	23
Lachnoanaerobaculum	1	2	25	71	18
Sphingomonas	50	39	2	13	13
Veillonella	3	3	96	2	13
Atopobium	2	7	35	64	6
Bradyrhizobium	41	38	8	15	12
Achromobacter	22	20	21	29	16
Nocardia	38	37	3	8	20
Caproicibacter	36	56	8	3	2
Mycobacterium	29	54	5	7	10
Atlantibacter	98	1	0	0	2
Paraburkholderia	18	62	8	10	3
Porphyromonas	27	4	8	1	59
Caproicibacterium	15	60	7	9	7
Flavobacterium	45	8	12	22	11
Staphylococcus	33	6	25	22	12
Mycolicibacterium	21	32	17	11	16
Deinococcus	45	25	7	10	7
Mesorhizobium	23	49	2	6	13
Arabiibacter	5	11	7	58	10
Candidatus_Minimicrobia	0	0	49	26	16
Vibrio	18	19	7	31	16
Gordonia	32	35	5	10	7
Candidatus_Southlakia	0	14	4	46	24
Paracoccus	43	32	0	7	6
Hominifimenecus	6	8	10	38	25
Thermaerobacter	38	46	1	0	0
Burkholderia	21	41	4	6	12
Hymenobacter	30	41	5	6	2
Pseudobutyrivibrio	5	8	22	29	19
Rhodococcus	32	42	1	4	4
Cupriavidus	28	42	5	3	3
Rhizobium	30	28	5	13	4
Acinetobacter	31	2	4	31	10
Peptostreptococcus	1	2	10	18	47
Actinoplanes	18	42	6	6	5
Amycolatopsis	24	33	4	6	10
Fohxhuevirus	0	0	0	76	0
Synechococcus	16	28	5	19	7
Neobacillus	17	10	10	23	14
Cellulomonas	19	32	11	6	5
Lancefieldella	4	5	32	29	3
Kosakonia	40	22	2	6	2
Salmonella	19	33	1	2	17
Fannyhessea	1	0	22	4	44
Anaerococcus	18	2	18	9	20
Variovorax	18	30	2	9	8
Anaeromicropila	0	0	27	25	14
Murdochiella	12	4	15	10	24
Xiamenia	6	13	2	38	6
Terrisporobacter	9	0	13	11	29
Caulobacter	33	19	4	0	5
Astrithrvirus	60	0	0	0	0
Hoylesella	10	15	1	4	30
Phytobacter	56	3	0	0	0
Bengtsoniella	32	20	0	2	4
Coriobacterium	4	8	35	3	6
Finegoldia	20	0	16	7	13
Gelria	30	24	0	0	2
Sodaliphilus	25	16	1	13	0
Brevibacillus	12	19	3	9	11
Leptogranulimonas	6	19	13	7	9
Abiotrophia	0	3	18	19	13
Yonseivirus	53	0	0	0	0
Aeromonas	28	16	2	3	3
Ihubacter	10	6	7	19	10
Mageeibacillus	32	17	2	1	0
Sphingobium	20	23	2	0	7
Thermocaproicibacter	24	16	1	4	5
Amygdalobacter	22	3	2	15	7
Shewanella	10	14	14	7	4
Xanthomonas	21	14	3	3	8
Brevibacterium	6	11	15	12	4
Caloramator	24	11	0	9	4
Novosphingobium	13	23	3	3	6
Polynucleobacter	10	17	6	5	9
Herbaspirillum	26	19	1	0	0
Kitasatospora	13	22	7	2	2
Aminipila	3	7	4	26	5
Dactylosporangium	17	18	1	4	5
Scardovia	1	0	13	30	1
Bordetella	15	14	3	6	6
Sporosarcina	4	5	13	8	14
Actinomadura	15	17	3	8	0
Mucilaginibacter	10	12	8	5	8
Nitratidesulfovibrio	26	11	0	5	1
Stomatobaculum	18	7	4	11	3
Tessaracoccus	17	18	3	5	0
Halomonas	21	13	0	4	4
Luteimonas	14	22	0	6	0
Pseudodesulfovibrio	28	11	0	3	0
Azospirillum	21	14	2	4	0
Chryseobacterium	15	2	4	9	11
Leucobacter	17	11	8	1	4
Neomoorella	4	32	1	4	0
Petroclostridium	16	23	1	0	1
Pseudonocardia	10	26	3	1	1
Brevundimonas	19	16	0	2	3
Candidatus_Leptofilum	0	28	0	8	4
Neisseria	9	14	4	5	8
Pantoea	9	10	3	5	13
Raoultella	31	3	0	0	6
Devosia	8	16	5	1	9
Glutamicibacter	9	22	0	4	4
Kocuria	8	3	21	2	5
Listeria	2	0	5	18	14
Acetivibrio	10	9	5	9	5
Brachybacterium	7	24	0	7	0
Desulforamulus	22	6	0	10	0
Thermoanaerobacterium	26	0	6	2	4
Anaerofustis	3	2	3	0	29
Coprobacter	15	16	2	3	1
Intestinibaculum	2	0	10	19	6
Lysinibacillus	8	0	10	9	10
Pseudarthrobacter	7	4	19	1	6
Vagococcus	4	0	3	8	22
Cohnella	12	4	7	11	2
Massilia	8	14	6	8	0
Sphingobacterium	12	1	2	11	10
Sutterella	7	26	0	0	3
Alicyclobacillus	12	19	2	1	1
Defluviitalea	22	6	0	4	3
Dyella	13	6	4	11	1
Lacticaseibacillus	3	4	12	14	2
Morganella	7	25	0	2	1
Stutzerimonas	3	30	1	1	0
Agromyces	3	20	5	2	4
Candidatus_Promineifilum	26	8	0	0	0
Denitrobacterium	10	10	3	9	2
Nitratireductor	1	31	1	1	0
Rubrobacter	8	26	0	0	0
Sinorhizobium	18	7	2	2	5
Streptosporangium	13	20	0	0	1
Allocoprobacillus	0	0	12	12	9
Cytobacillus	10	2	10	7	4
Fusarium	8	15	2	4	4
Maridesulfovibrio	13	5	6	3	6
Roseomonas	8	19	1	1	4
Serratia	15	7	3	4	4
Sporomusa	11	7	9	2	4
Thermobacillus	14	17	0	0	2
Acidaminococcus	10	12	0	1	9
Fusibacter	0	0	10	10	12
Geothrix	17	14	1	0	0
Gloeobacter	5	22	0	3	2
Hydrogenophaga	4	19	6	2	1
Kribbella	11	10	1	5	5
Paludihabitans	4	2	10	10	6
Parascardovia	0	5	14	11	2
Pluralibacter	6	26	0	0	0
Stenotrophomonas	4	16	0	8	4
Symbiobacterium	17	14	0	1	0
Crassaminicella	10	0	17	2	2
Mycoplasma	9	0	9	6	7
Nitrospira	15	13	0	3	0
Ramlibacter	18	9	1	1	2
Reyranella	7	19	2	2	1
Tyzzerella	14	4	6	2	5
Candidatus_Planktophila	4	0	4	6	16
Candidatus_Poriferisodalis	6	2	2	12	8
Erythrobacter	7	12	8	2	1
Janthinobacterium	5	19	5	1	0
Methylobacterium	14	9	1	3	3
Nakamurella	10	18	1	1	0
Pseudoramibacter	17	6	1	6	0
Wulfhauvirus	0	0	30	0	0
Cetobacterium	9	0	12	7	1
Opitutus	7	13	0	0	9
Planococcus	5	11	4	6	3
Priestia	9	0	9	7	4
Spiroplasma	17	1	3	7	1
Caldinitratiruptor	8	13	4	3	0
Candidatus_Poriferisocius	14	14	0	0	0
Exiguobacterium	12	9	1	6	0
Ilyobacter	3	0	7	12	6
Luteitalea	6	20	2	0	0
Microvirga	2	20	6	0	0
Mycoplasmopsis	24	0	0	1	3
Noviherbaspirillum	4	20	4	0	0
Sorangium	10	15	1	1	1
Tumebacillus	16	3	4	4	1
Bosea	9	10	3	2	3
Cronobacter	8	15	0	2	2
Halobacillus	3	1	6	4	13
Levilactobacillus	6	6	1	12	2
Muribaculum	13	9	0	1	4
Pelagibius	17	9	0	0	1
Solidesulfovibrio	21	4	0	1	1
Tannerella	13	7	0	6	1
Tannockella	6	1	1	16	3
Acidovorax	8	11	3	1	3
Aeromicrobium	9	13	2	2	0
Agrobacterium	10	4	4	4	4
Chondromyces	25	0	0	0	1
Desulfuromonas	8	14	1	2	1
Microlunatus	3	20	1	2	0
Rhodoferax	11	13	0	2	0
Sphingopyxis	6	15	0	3	2
Allobaculum	2	9	1	8	5
Ancylobacter	7	18	0	0	0
Bdellovibrio	4	7	2	1	11
Curtobacterium	13	7	1	3	1
Fretibacterium	9	3	1	8	4
Leptotrichia	6	0	2	3	14
Pseudoduganella	8	14	1	1	1
Pseudooceanicola	5	20	0	0	0
Roseovarius	8	14	0	2	1
Candidatus_Desulforudis	16	6	0	2	0
Fructilactobacillus	5	7	2	2	8
Hyphomicrobium	13	6	3	0	2
Leifsonia	6	12	2	2	2
Leisingera	7	15	0	0	2
Mesobacillus	2	8	5	1	8
Nonomuraea	6	11	1	2	4
Pigmentiphaga	11	9	2	0	2
Roseibium	12	6	3	0	3
Shinella	10	11	1	2	0
Stappia	8	5	0	9	2
Taranisvirus	7	17	0	0	0
Alkalibacter	16	3	1	0	3
Desulfosarcina	6	11	0	0	6
Flavivirga	0	0	10	1	12
Geobacter	9	11	1	2	0
Microbulbifer	3	8	4	5	3
Phenylobacterium	2	16	0	5	0
Ralstonia	5	17	0	0	1
Tepidiforma	6	16	0	0	1
Aquihabitans	4	13	4	1	0
Caldicellulosiruptor	4	6	3	6	3
Candida	0	0	8	11	3
Chitinophaga	10	1	2	5	4
Croceicoccus	18	4	0	0	0
Dyadobacter	3	1	5	3	10
Erwinia	7	7	1	4	3
Kwoniella	12	0	2	5	3
Marinobacter	10	5	2	4	1
Oceanobacillus	3	12	1	6	0
Pedobacter	3	5	5	3	6
Phyllobacterium	10	6	0	5	1
Proteiniclasticum	9	7	2	2	2
Proteus	11	3	3	5	0
Ureibacillus	13	0	0	4	5
Vreelandella	9	4	2	2	5
Aureimonas	7	11	1	2	0
Brucepastera	4	11	0	2	4
Dialister	3	0	1	11	6
Draconibacterium	7	6	4	2	2
Gluconacetobacter	5	16	0	0	0
Keratinibaculum	21	0	0	0	0
Lysobacter	5	11	1	3	1
Maribacter	19	0	0	2	0
Nocardiopsis	4	7	4	0	6
Paludibacterium	14	5	0	2	0
Polaribacter	10	0	3	2	6
Sinanaerobacter	1	4	0	11	5
Sporofaciens	0	0	0	13	8
Urbifossiella	9	10	0	2	0
Vallitalea	2	0	5	12	2
Aspergillus	4	12	0	0	4
Candidatus_Pelagibacter	12	0	2	6	0
Chlorobium	9	9	1	0	1
Delftia	11	9	0	0	0
Desulfosudis	3	17	0	0	0
Geomonas	9	4	0	4	3
Kiritimatiella	9	9	0	2	0
Oceanidesulfovibrio	13	4	0	1	2
Ottowia	12	8	0	0	0
Pseudogemmatithrix	13	6	0	1	0
Rhizophagus	6	0	2	6	6
Ruminiclostridium	5	1	2	11	1
Saccharopolyspora	7	10	0	3	0
Anoxybacterium	1	2	1	10	5
Geoalkalibacter	13	2	0	1	3
Gimesia	4	2	5	6	2
Halapricum	14	5	0	0	0
Hyphomonas	1	12	0	5	1
Maioricimonas	7	12	0	0	0
Mycobacteroides	18	1	0	0	0
Peptoclostridium	1	17	0	1	0
Roseateles	7	10	0	2	0
Rubrivivax	10	9	0	0	0
Sarcina	8	0	0	0	11
Sulfuricaulis	5	14	0	0	0
Acetobacterium	5	0	2	8	3
Aedoeadaptatus	3	11	0	2	2
Algoriphagus	6	4	0	6	2
Aminobacter	3	13	0	2	0
Breoghania	8	9	0	0	1
Candidatus_Cloacimonas	16	2	0	0	0
Candidatus_Formimonas	12	0	0	6	0
Corallococcus	9	6	3	0	0
Desulfoferula	2	16	0	0	0
Halorientalis	9	9	0	0	0
Helcococcus	13	3	0	2	0
Heliorestis	9	7	0	2	0
Legionella	5	1	3	2	7
Lughvirus	0	0	0	18	0
Macrococcus	3	0	4	2	9
Mariniplasma	12	0	0	3	3
Pseudoalteromonas	0	0	5	6	7
Pseudomyxococcus	11	7	0	0	0
Pseudoprevotella	14	4	0	0	0
Rouxiella	3	15	0	0	0
Ruania	5	1	3	3	6
Spirosoma	9	2	0	5	2
Thermanaerovibrio	16	2	0	0	0
Tsukamurella	9	7	1	1	0
Acidocella	2	15	0	0	0
Aerococcus	1	0	2	12	2
Dickeya	7	3	5	1	1
Flagellimonas	6	4	2	4	1
Gemmatimonas	5	8	4	0	0
Glaciihabitans	0	17	0	0	0
Haliovirga	12	0	3	2	0
Lacinutrix	4	0	9	3	1
Neopusillimonas	0	4	0	1	12
Pelobacter	12	2	0	3	0
Pelodictyon	5	0	0	6	6
Pontibacter	6	9	1	0	1
Rhodobacter	4	13	0	0	0
Rhodopseudomonas	1	9	0	7	0
Roseivivax	0	15	0	0	2
Sneathia	1	0	0	0	16
Xylanimonas	5	11	1	0	0
Yersinia	5	3	5	2	2
Algiphilus	0	16	0	0	0
Alkaliphilus	9	0	1	2	4
Aminomonas	14	2	0	0	0
Arcobacter	11	0	1	2	2
Candidatus_Syntrophocurvum	16	0	0	0	0
Conexibacter	0	15	0	1	0
Desulfitobacterium	2	5	2	5	2
Desulfosporosinus	0	4	0	9	3
Heliomicrobium	6	8	1	0	1
Jatrophihabitans	13	1	0	0	2
Jiangella	9	1	3	2	1
Methanocaldococcus	5	0	5	1	5
Pandoraea	4	5	3	4	0
Sinomonas	2	14	0	0	0
Sulfuritortus	1	13	0	2	0
Thalassospira	2	7	5	0	2
Acetobacter	5	4	2	4	0
Acidithiobacillus	11	3	0	1	0
Acidobacterium	5	8	0	1	1
Altererythrobacter	12	3	0	0	0
Borrelia	15	0	0	0	0
Breznakiella	13	2	0	0	0
Buchnera	6	0	5	4	0
Caballeronia	2	7	0	4	2
Capnocytophaga	2	1	1	10	1
Chakrabartyella	5	2	1	5	2
Ekhidna	3	1	4	2	5
Faecalibaculum	3	3	1	1	7
Fastidiosipila	12	1	0	2	0
Isoptericola	11	0	3	1	0
Luteolibacter	5	3	4	1	2
Metallumcola	5	7	0	3	0
Natronosporangium	10	3	0	2	0
Niveibacterium	2	6	0	0	7
Oceanithermus	2	13	0	0	0
Oengusvirus	2	7	0	0	6
Oligella	15	0	0	0	0
Peptacetobacter	0	0	1	5	9
Pleomorphomonas	9	6	0	0	0
Spiribacter	3	4	1	3	4
Staphylospora	6	7	2	0	0
Thermoclostridium	7	5	0	1	2
Trichococcus	7	0	1	3	4
Vanrija	7	6	0	0	2
Xanthobacter	10	2	0	2	1
Aliarcobacter	7	0	1	3	3
Arcanobacterium	4	0	7	3	0
Cedecea	5	9	0	0	0
Chthonomonas	14	0	0	0	0
Citrifermentans	10	2	1	1	0
Cyanobium	10	1	1	2	0
Duncaniella	10	3	0	1	0
Fibrobacter	0	12	1	1	0
Fulvitalea	0	14	0	0	0
Haloimpatiens	2	0	6	3	3
Heyndrickxia	2	0	4	4	4
Methylovirgula	7	7	0	0	0
Oceanisphaera	11	1	0	2	0
Ornithobacterium	7	3	0	3	1
Penicillium	6	6	0	0	2
Peribacillus	4	0	7	0	3
Peterkaempfera	2	10	2	0	0
Photobacterium	1	6	3	2	2
Pikeienuella	2	11	0	0	1
Pochonia	1	11	1	0	1
Sedimentibacter	5	1	0	5	3
Sporolactobacillus	0	3	6	4	1
Tardiphaga	10	3	0	1	0
Termitidicoccus	10	4	0	0	0
Wukongibacter	8	1	2	1	2
Anaerotignum	6	6	0	1	0
Arcticibacter	0	0	0	5	8
Azoarcus	7	1	2	3	0
Baekduia	6	6	0	0	1
Candidatus_Palauibacter	3	0	4	2	4
Collimonas	1	10	0	1	1
Companilactobacillus	3	0	0	4	6
Cryptobacterium	3	1	3	6	0
Cystobacter	4	9	0	0	0
Dehalobacter	5	0	2	4	2
Dysgonomonas	6	0	0	2	5
Gardnerella	0	0	4	4	5
Gemmata	6	4	3	0	0
Geobacillus	2	10	0	0	1
Gulosibacter	0	13	0	0	0
Halopseudomonas	7	5	0	1	0
Hydrogenimonas	4	0	7	0	2
Hyphobacterium	2	11	0	0	0
Janibacter	5	6	2	0	0
Leishmania	0	2	3	2	6
Leminorella	2	11	0	0	0
Marinicauda	13	0	0	0	0
Methanosarcina	3	6	0	4	0
Methylococcus	9	4	0	0	0
Microbispora	5	2	0	5	1
Pectinatus	0	13	0	0	0
Pimelobacter	6	1	0	1	5
Qipengyuania	11	2	0	0	0
Sulfurospirillum	4	0	5	3	1
Telmatobacter	0	0	9	2	2
Thauera	5	0	1	6	1
Aromatoleum	2	7	0	0	3
Brachyspira	0	0	5	6	1
Candidatus_Brevifilum	2	0	2	8	0
Candidatus_Kuenenia	0	0	4	0	8
Carboxydocella	4	0	8	0	0
Chlorobaculum	7	3	0	0	2
Cutibacterium	0	4	1	7	0
Desulfobulbus	5	5	0	0	2
Desulfolutivibrio	7	3	0	0	2
Ectopseudomonas	6	5	0	1	0
Eremothecium	2	0	2	4	4
Ezakiella	2	1	0	8	1
Geosporobacter	1	2	0	5	4
Herbinix	0	0	0	10	2
Ilumatobacter	1	10	0	1	0
Jonquetella	1	9	1	0	1
Leptospira	1	0	3	4	4
Limnohabitans	3	2	0	1	6
Martelella	4	6	0	1	1
Metamycoplasma	8	0	1	3	0
Metapseudomonas	4	6	0	0	2
Neorhizobium	4	3	2	1	2
Niallia	2	0	4	2	4
Ornithinibacillus	11	0	0	1	0
Ornithinimicrobium	7	1	1	3	0
Paragemmobacter	6	6	0	0	0
Pistricoccus	7	5	0	0	0
Polaromonas	5	2	0	1	4
Pseudoxanthomonas	1	9	0	1	1
Rhodovastum	11	1	0	0	0
Singulisphaera	5	1	0	2	4
Sodalis	6	0	0	1	5
Streptacidiphilus	7	5	0	0	0
Thalassobaculum	5	7	0	0	0
Thiopseudomonas	12	0	0	0	0
Yoonia	6	0	0	3	3
Actomonas	5	5	0	0	1
Alcaligenes	6	0	5	0	0
Anaeromyxobacter	5	4	0	0	2
Chromobacterium	8	2	0	1	0
Colletotrichum	0	2	4	3	2
Dehalococcoides	9	2	0	0	0
Desulfurispirillum	9	0	0	2	0
Ehrlichia	8	0	3	0	0
Euzebya	8	3	0	0	0
Halobaculum	0	11	0	0	0
Halodesulfovibrio	3	0	0	2	6
Halorubrum	4	6	0	1	0
Jannaschia	8	2	0	0	1
Jeongeupia	4	7	0	0	0
Leclercia	8	2	0	0	1
Luteibacter	6	3	0	2	0
Mammaliicoccus	1	0	1	5	4
Melittangium	6	4	0	1	0
Methanolobus	2	0	0	9	0
Methylomonas	9	0	1	1	0
Paramuribaculum	2	5	1	0	3
Pararhizobium	2	3	3	3	0
Pectobacterium	0	3	2	4	2
Pelagovum	5	1	1	4	0
Rathayibacter	6	4	1	0	0
Rhodothermus	4	4	2	1	0
Rossellomorea	3	2	0	1	5
Salinibacterium	2	6	3	0	0
Spirochaeta	7	4	0	0	0
Sulfurivermis	8	0	3	0	0
Tabrizicola	6	5	0	0	0
Tepidibacter	7	0	2	1	1
Terribacillus	0	0	4	3	4
Trichomonas	1	0	3	6	1
Usitatibacter	2	8	0	0	1
Xylanibacter	3	2	4	2	0
Yokenella	1	9	0	0	1
Actinokineospora	5	4	1	0	0
Adhaeribacter	2	2	3	2	1
Agrococcus	8	2	0	0	0
Alsobacter	6	4	0	0	0
Aquincola	4	0	0	2	4
Arsenicicoccus	9	0	0	1	0
Aurantiacibacter	4	6	0	0	0
Candidatus_Accumulibacter	6	2	0	0	2
Candidatus_Cytomitobacter	10	0	0	0	0
Candidatus_Kinetoplastidibacterium	0	0	0	0	10
Candidatus_Rariloculus_(_ex_Nguyen_2022)	10	0	0	0	0
Candidatus_Xianfuyuplasma	8	2	0	0	0
Chromohalobacter	0	9	1	0	0
Crateriforma	6	4	0	0	0
Desulfarculus	2	4	0	0	4
Duodenibacillus	2	5	0	1	2
Egibacter	0	5	0	0	5
Endozoicomonas	1	0	3	6	0
Gallaecimonas	8	0	0	2	0
Geotalea	7	1	1	0	1
Halarcobacter	2	0	2	4	2
Hydrogenibacillus	4	0	0	6	0
Koleobacter	0	0	0	0	10
Levyella	3	1	1	1	4
Maricaulis	5	3	0	2	0
Methanobacterium	8	0	0	2	0
Methanocella	5	3	0	2	0
Methylocystis	2	8	0	0	0
Nisaea	1	9	0	0	0
Oleidesulfovibrio	8	2	0	0	0
Paludibaculum	2	2	3	0	3
Parashewanella	10	0	0	0	0
Pelagibacterium	3	6	1	0	0
Petrimonas	7	2	1	0	0
Petrocella	4	2	0	4	0
Phoenicibacter	0	0	0	8	2
Piscinibacter	2	5	1	2	0
Rhodospirillum	8	1	0	1	0
Saccharophagus	3	0	0	6	1
Salinarimonas	6	4	0	0	0
Schleiferilactobacillus	6	3	0	1	0
Skermanella	3	2	0	1	4
Sphaerochaeta	4	2	4	0	0
Sulfurimonas	0	4	1	2	3
Tenacibaculum	0	0	3	3	4
Terriglobus	5	4	1	0	0
Thermacetogenium	5	5	0	0	0
Thermomonas	5	1	0	3	1
Thermomonospora	8	0	0	2	0
Thermosipho	9	0	0	0	1
Virgibacillus	3	0	1	4	2
Acidipropionibacterium	5	2	1	0	1
Acuticoccus	8	0	0	0	1
Alteromonas	1	1	1	1	5
Archangium	2	6	0	1	0
Asticcacaulis	3	6	0	0	0
Blattabacterium	4	0	0	2	3
Boudabousia	0	0	2	4	3
Buchananella	7	0	0	2	0
Caminibacter	0	0	9	0	0
Clavibacter	3	3	0	3	0
Cohaesibacter	2	2	1	3	1
Dermabacter	9	0	0	0	0
Desulfoluna	6	0	1	2	0
Desulforapulum	6	3	0	0	0
Dokdonella	0	9	0	0	0
Endomicrobium	8	0	1	0	0
Ferrimonas	6	0	0	1	2
Fictibacillus	2	1	1	5	0
Filifactor	0	3	2	3	1
Georgenia	0	3	0	1	5
Gluconobacter	4	5	0	0	0
Haematospirillum	2	7	0	0	0
Haemophilus	1	0	0	1	7
Hoeflea	2	4	1	2	0
Kurthia	0	0	9	0	0
Leptothermofonsia	0	0	0	0	9
Liberibacter	6	3	0	0	0
Malaciobacter	8	0	0	0	1
Marinibacterium	0	9	0	0	0
Melaminivora	2	6	0	0	1
Oceanirhabdus	7	0	0	2	0
Pendulispora	2	1	0	6	0
Planctomyces	2	3	0	3	1
Pseudocitrobacter	5	4	0	0	0
Pseudovibrio	1	3	0	0	5
Pullulanibacillus	0	0	0	4	5
Robbsia	3	6	0	0	0
Rufibacter	2	4	1	0	2
Salinarchaeum	1	1	0	0	7
Sebaldella	9	0	0	0	0
Serinicoccus	4	5	0	0	0
Sphaerobacter	1	8	0	0	0
Syntrophus	1	7	0	1	0
Thermococcus	3	1	1	4	0
Thermosulfuriphilus	1	0	0	4	4
Thermus	6	2	0	1	0
Tritonibacter	6	3	0	0	0
Tsuneonella	3	5	0	0	1
Undibacterium	3	4	2	0	0
Acholeplasma	5	0	0	0	3
Actinoallomurus	1	3	0	0	4
Aliivibrio	0	0	0	0	8
Alloalcanivorax	3	1	1	2	1
Aneurinibacillus	2	2	0	4	0
Aquisalinus	0	8	0	0	0
Bradymonas	4	2	0	2	0
Bremerella	0	0	2	4	2
Brucella	2	1	2	3	0
Bulleidia	0	0	1	4	3
Buttiauxella	4	2	0	0	2
Candidatus_Carsonella	8	0	0	0	0
Candidatus_Chlorohelix	0	8	0	0	0
Candidatus_Karelsulcia	0	0	0	8	0
