Name	Completeness	Contamination	Genome_Size	Domain	Phylum	Class	Order	Family	Genus	Species
bin.36	91.12	5.11	2665586	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira_eligens_A
bin.37	60.64	0.21	1933047	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio_fairfieldensis
bin.38	87.07	3.5	2148011	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	KLE1615	KLE1615_sp900066985
bin.39	52.41	0.66	1558313	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A_massiliensis
bin.4	88.9	1.25	1691055	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	ER4	ER4_sp000765235
bin.40	91.19	3.98	2248019	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter_faecis
bin.41	82.05	4.64	3044332	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A_faecis
bin.42	90.78	4.77	2570716	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia_muciniphila_B
bin.43	98.25	1.55	2155224	Bacteria	Bacillota_C	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas_funiformis
bin.44	82.68	5.08	3206022	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Clostridium_AQ	Clostridium_AQ_innocuum
bin.45	50.19	0.95	1220131	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-138	Phil1	Phil1_sp001940855
bin.46	87.58	3.55	2222015	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Oliverpabstia	Oliverpabstia_intestinalis
bin.47	90.94	2.11	2546750	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira_sp000436475
bin.48	96.8	4.83	2461216	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_D	Ruminococcus_D_bicirculans
bin.49	63.5	4.14	1576008	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium_prausnitzii
bin.5	79.89	2.02	2005132	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella_sp900066775
bin.50	86.99	3.15	2414313	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus_eutactus_A
bin.51	99.95	0.26	3017068	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei
bin.52	94.0	2.69	3089136	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella	Eggerthella_lenta
bin.53	90.57	4.35	2736243	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Scatavimonas	Scatavimonas_merdipullorum
bin.54	90.62	0.47	3874363	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_distasonis
bin.55	99.75	0.08	2078318	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_putredinis
bin.56	86.0	3.53	1828621	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_pseudocatenulatum
bin.57	66.5	9.03	4465828	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_ovatus
bin.58	88.46	2.23	3703834	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_merdae
bin.59	85.47	3.16	2616291	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_onderdonkii
bin.6	48.94	2.41	1068492	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_A	Dorea_A_longicatena_B
bin.60	79.64	5.83	2285782	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira_sp000437735
bin.61	61.81	1.17	1583700	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella_sp900539625
bin.62	62.97	2.46	1488142	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q	Clostridium_Q_fessum
bin.63	63.77	0.93	2075296	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster_sp000431375
bin.64	67.94	1.47	1041190	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C	Ruminococcus_C_sp000433635
bin.65	67.11	2.08	1298852	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas_sp003539495
bin.66	95.13	4.41	2070629	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_longum
bin.67	90.9	7.8	2754656	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger_formicilis
bin.68	78.67	5.64	1926849	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium_longum
bin.69	75.43	2.04	1996314	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_shahii
bin.7	89.6	4.35	3196790	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_stercoris
bin.70	59.51	2.77	3402525	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_fragilis
bin.71	66.11	0.79	1346039	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea_formicigenerans
bin.72	82.32	0.61	1932079	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E	Ruminiclostridium_E_siraeum
bin.73	89.32	1.51	2627429	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruthenibacterium	Ruthenibacterium_lactatiformans
bin.74	61.5	2.39	1537419	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter_welbionis
bin.75	84.43	0.95	2240777	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_B	Ruminococcus_B_gnavus
bin.76	81.98	2.44	1698042	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes_hadrus
bin.77	86.16	0.0	2287914	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter_torques
bin.78	88.68	5.1	1637144	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas_sp001916855
bin.79	77.28	8.02	1882348	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium_prausnitzii_D
bin.8	99.47	0.7	2842974	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter_faecis
bin.80	73.52	0.28	1859413	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Hominisplanchenecus	Hominisplanchenecus_faecis
bin.81	52.34	0.6	1144833	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_animalis
bin.82	58.17	0.88	1250012	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas_sp000435555
bin.83	60.24	1.98	1557278	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola_plebeius_A
bin.84	91.82	1.11	1552055	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R_sp000436835
bin.85	83.09	5.4	2737878	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia_inulinivorans
bin.86	95.16	4.65	2496584	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter_saccharivorans
bin.87	80.64	2.59	1593594	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum_butyriciproducens
bin.88	81.72	7.24	2659432	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A_wexlerae
bin.89	50.19	2.08	1666617	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	Flavonifractor_plautii
bin.9	74.91	1.3	1953699	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor_sp900066565
bin.90	91.71	7.72	4266480	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli
bin.91	85.04	2.28	2321717	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella_sp900313215
bin.92	65.34	1.99	1740942	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Coprobacillaceae	Thomasclavelia	Thomasclavelia_ramosa
bin.93	88.2	1.31	2052439	Bacteria	Bacillota_A	Clostridia	UBA1381	UBA1381	CAG-41	CAG-41_sp900066215
bin.94	89.75	0.05	3131643	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola_massiliensis
bin.95	79.98	6.1	2930107	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A_sp900066335
bin.96	86.52	0.6	2337876	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella_stercorea
bin.97	74.86	9.09	4414787	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster_bolteae
