SampleID	Group	Description
SRS017810	Buccal_mucosa	HMP
SRS017814	Supragingival_plaque	HMP
SRS017820	Anterior_nares	HMP
SRS017821	Stool	HMP
SRS018133	Stool	HMP
SRS018145	Tongue_dorsum	HMP
SRS018149	Buccal_mucosa	HMP
SRS018157	Supragingival_plaque	HMP
SRS018300	Tongue_dorsum	HMP
SRS018312	Anterior_nares	HMP
SRS018313	Stool	HMP
SRS018329	Buccal_mucosa	HMP
SRS018337	Supragingival_plaque	HMP
SRS018351	Stool	HMP
SRS018357	Tongue_dorsum	HMP
SRS018359	Buccal_mucosa	HMP
SRS018369	Anterior_nares	HMP
SRS018394	Supragingival_plaque	HMP
SRS018427	Stool	HMP
SRS018439	Tongue_dorsum	HMP
SRS018463	Anterior_nares	HMP
SRS018569	Buccal_mucosa	HMP
SRS018573	Supragingival_plaque	HMP
SRS018575	Stool	HMP
SRS018585	Anterior_nares	HMP
SRS018591	Tongue_dorsum	HMP
SRS018656	Stool	HMP
SRS018661	Buccal_mucosa	HMP
SRS018665	Supragingival_plaque	HMP
SRS018671	Anterior_nares	HMP
SRS018739	Tongue_dorsum	HMP
SRS018769	Posterior_fornix	HMP
SRS018774	Buccal_mucosa	HMP
SRS018784	Anterior_nares	HMP
SRS018791	Tongue_dorsum	HMP
SRS018817	Stool	HMP
SRS019215	Anterior_nares	HMP
SRS019219	Tongue_dorsum	HMP
SRS019221	Buccal_mucosa	HMP
SRS019225	Supragingival_plaque	HMP
SRS019245	Posterior_fornix	HMP
SRS019267	Stool	HMP
SRS019327	Tongue_dorsum	HMP
SRS019329	Buccal_mucosa	HMP
SRS019333	Supragingival_plaque	HMP
SRS019339	Anterior_nares	HMP
SRS019379	Posterior_fornix	HMP
SRS019381	Stool	HMP
SRS019386	Anterior_nares	HMP
SRS019387	Supragingival_plaque	HMP
SRS019389	Tongue_dorsum	HMP
SRS019391	Buccal_mucosa	HMP
SRS019397	Stool	HMP
SRS019587	Buccal_mucosa	HMP
SRS019591	Supragingival_plaque	HMP
SRS019597	Anterior_nares	HMP
SRS019600	Posterior_fornix	HMP
SRS019601	Stool	HMP
SRS019607	Tongue_dorsum	HMP
SRS019968	Stool	HMP
SRS019974	Tongue_dorsum	HMP
SRS019976	Buccal_mucosa	HMP
SRS019980	Supragingival_plaque	HMP
SRS019986	Anterior_nares	HMP
SRS019989	Posterior_fornix	HMP
SRS020220	Tongue_dorsum	HMP
SRS020222	Buccal_mucosa	HMP
SRS020226	Supragingival_plaque	HMP
SRS020232	Anterior_nares	HMP
SRS020233	Stool	HMP
SRS020328	Stool	HMP
SRS020334	Tongue_dorsum	HMP
SRS020336	Buccal_mucosa	HMP
SRS020340	Supragingival_plaque	HMP
SRS020349	Posterior_fornix	HMP
SRS020386	Anterior_nares	HMP
SRS020856	Tongue_dorsum	HMP
SRS020858	Buccal_mucosa	HMP
SRS020862	Supragingival_plaque	HMP
SRS020869	Stool	HMP
SRS022137	Stool	HMP
SRS022143	Tongue_dorsum	HMP
SRS022145	Buccal_mucosa	HMP
SRS022149	Supragingival_plaque	HMP
SRS022158	Posterior_fornix	HMP
SRS022524	Stool	HMP
SRS022530	Tongue_dorsum	HMP
SRS022532	Buccal_mucosa	HMP
SRS022536	Supragingival_plaque	HMP
SRS022545	Posterior_fornix	HMP
SRS022713	Stool	HMP
SRS023346	Stool	HMP
SRS023352	Tongue_dorsum	HMP
SRS023358	Supragingival_plaque	HMP
SRS042428	Posterior_fornix	HMP
SRS042457	Buccal_mucosa	HMP
SRS042643	Tongue_dorsum	HMP
SRS043001	Stool	HMP
SRS043239	Buccal_mucosa	HMP
SRS043663	Tongue_dorsum	HMP
SRS043755	Supragingival_plaque	HMP
SRS044366	Supragingival_plaque	HMP
SRS044373	Tongue_dorsum	HMP
SRS045004	Stool	HMP
SRS045049	Buccal_mucosa	HMP
SRS045254	Buccal_mucosa	HMP
SRS045262	Buccal_mucosa	HMP
SRS045313	Supragingival_plaque	HMP
SRS045713	Stool	HMP
SRS046344	Anterior_nares	HMP
SRS046973	Anterior_nares	HMP
SRS047824	Tongue_dorsum	HMP
SRS048164	Stool	HMP
SRS049389	Tongue_dorsum	HMP
SRS049712	Stool	HMP
SRS049900	Stool	HMP
SRS049959	Stool	HMP
SRS050007	Buccal_mucosa	HMP
SRS050025	Anterior_nares	HMP
SRS050029	Buccal_mucosa	HMP
SRS050184	Posterior_fornix	HMP
SRS050244	Tongue_dorsum	HMP
SRS050628	Buccal_mucosa	HMP
SRS050752	Stool	HMP
SRS051244	Supragingival_plaque	HMP
SRS051505	Posterior_fornix	HMP
SRS051613	Anterior_nares	HMP
SRS051941	Supragingival_plaque	HMP
SRS052227	Tongue_dorsum	HMP
SRS052330	Posterior_fornix	HMP
SRS052590	Anterior_nares	HMP
SRS052604	Supragingival_plaque	HMP
SRS052697	Stool	HMP
SRS052876	Supragingival_plaque	HMP
SRS053335	Stool	HMP
SRS053398	Stool	HMP
SRS053437	Anterior_nares	HMP
SRS053630	Supragingival_plaque	HMP
SRS053854	Tongue_dorsum	HMP
SRS054061	Anterior_nares	HMP
SRS054590	Stool	HMP
SRS054653	Supragingival_plaque	HMP
SRS054687	Tongue_dorsum	HMP
SRS054956	Stool	HMP
SRS055118	Buccal_mucosa	HMP
SRS055401	Supragingival_plaque	HMP
SRS056323	Tongue_dorsum	HMP
SRS056695	Posterior_fornix	HMP
SRS056796	Posterior_fornix	HMP
SRS056906	Anterior_nares	HMP
SRS057539	Tongue_dorsum	HMP
SRS057791	Tongue_dorsum	HMP
SRS057807	Posterior_fornix	HMP
SRS058186	Buccal_mucosa	HMP
SRS058213	Anterior_nares	HMP
SRS058808	Supragingival_plaque	HMP
