# Pathway	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.000290954	0.000268706	0.000367277	0.000348168	0.000403045	0.000398865	0.000370992	0.000258427	0.000325213	0.000331957	0.000326425	0.000578099	0.000644702	0.000588476	0.000651883	0.000546356	0.000588707	0.000643224
ARO-PWY: chorismate biosynthesis I	0.0003249	0.00029236	0.000401412	0.000409604	0.000523531	0.000468583	0.00042793	0.000280696	0.000316423	0.000273973	0.000337424	0.000622924	0.000654179	0.000648432	0.000630973	0.000603936	0.000595999	0.000596095
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.000331349	0.000282163	0.000216404	0.000284272	0.000297917	0.000256148	0.00029023	0.000350995	0.000436757	0.000443483	0.000352993	0.000367816	0.000353047	0.000320289	0.000450742	0.000279542	0.000282565	7.2712e-05
AST-PWY: L-arginine degradation II (AST pathway)	0.000133377	0.000102789	5.09261e-05	8.93823e-05	0	1.22374e-05	6.90544e-05	0.000186701	0.000190717	0.000205143	0.000165597	0	3.60223e-06	2.74385e-06	0	1.64016e-05	1.92026e-05	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.000263948	0.000208432	0.000147483	0.000161315	1.58387e-05	0.000105171	0.000160958	0.000245478	0.000293411	0.000335396	0.000272895	4.22548e-06	4.88446e-05	3.7855e-05	1.14619e-05	6.35576e-05	6.13064e-05	1.51556e-05
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.000378922	0.000349142	0.000361329	0.000362824	0.000567614	0.000423625	0.000402223	0.000357477	0.000490041	0.000438622	0.000408619	0.000563199	0.000573529	0.000523371	0.00059302	0.000494868	0.000543354	0.000419373
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.000376191	0.000361601	0.000396656	0.000410992	0.000467032	0.000406764	0.000431663	0.000317216	0.00041874	0.000451071	0.000443267	0.000751201	0.00067246	0.000623654	0.000780886	0.000573805	0.000615934	0.000539491
CARNMET-PWY: L-carnitine degradation I	3.83856e-05	2.7717e-05	5.4018e-06	2.28992e-06	0	0	0	2.14627e-05	2.98156e-05	4.002e-05	4.16952e-05	0	1.6866e-06	6.66827e-07	0	3.03308e-06	4.97096e-06	0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	8.27269e-07	4.01677e-06	1.69187e-05	5.14778e-05	0	1.84904e-06	3.45682e-05	0	0	6.77582e-06	1.24975e-05	0	1.74081e-06	0	0	0	2.27591e-06	7.81096e-07
CENTFERM-PWY: pyruvate fermentation to butanoate	1.26695e-06	1.45185e-05	3.60568e-05	2.98987e-05	2.10825e-05	3.10487e-05	2.75806e-05	6.18578e-06	1.3738e-05	3.92845e-06	2.62237e-05	8.61644e-06	1.82253e-05	3.27631e-05	1.37414e-05	2.2333e-05	1.00338e-05	3.21318e-05
CITRULBIO-PWY: L-citrulline biosynthesis	0.000251469	0.000186986	8.68711e-05	5.30732e-05	5.03751e-05	9.7563e-05	8.84654e-05	0.000196171	0.000232819	0.000265641	0.000251134	5.77393e-06	8.57092e-06	1.08387e-05	7.02169e-06	2.45859e-05	3.81874e-05	5.93509e-06
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.000231142	0.00019765	0.000344124	0.000327049	0.000447218	0.000409836	0.000321534	0.000155834	0.000252403	0.000252606	0.000247755	0.00049353	0.000530646	0.000528386	0.000492955	0.000487267	0.000472976	0.000554111
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.000221368	0.000182536	0.000326764	0.000311511	0.000425685	0.000385304	0.000301147	0.000136982	0.000238035	0.00024512	0.000243246	0.000463222	0.000502946	0.000500494	0.000487887	0.000463507	0.000444926	0.000524742
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0.000218978	0.000213159	0.000144149	0.000189326	0.000160073	0.000151339	0.000178629	0.000181889	0.000325762	0.00016711	0.000111722	0.000268871	0.00027182	0.000332492	0.000236306	0.000360815	0.000350711	0.00023909
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.000238918	0.000113387	0.000155282	0.000155429	0.000141738	0.000154714	0.000116769	0.000220912	0.000355379	0.000286161	0.000178488	0.000170488	0.000129461	0.000128803	5.39699e-05	9.09412e-05	0.000133921	4.64533e-05
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.000310659	0.000272363	0.000369952	0.000385061	0.000496665	0.000439266	0.000398443	0.000238974	0.000300773	0.000276118	0.000317204	0.000594462	0.000617861	0.000596798	0.000604253	0.000568493	0.000550959	0.000568687
CRNFORCAT-PWY: creatinine degradation I	0	0	1.03855e-05	7.35843e-07	0	9.13168e-07	0	0	0	0	1.68797e-06	0	1.04969e-06	0	0	0	0	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.000245207	0.000209529	0.000159128	0.000231761	1.14676e-05	7.19678e-05	0.000159829	0.000244751	0.00030779	0.000264047	0.000277702	0.000181597	9.74036e-05	2.73928e-05	0.000230903	0.000178517	0.000132578	2.17599e-05
DARABCATK12-PWY: D-arabinose degradation I	3.44593e-05	5.3863e-05	2.24674e-05	6.09959e-06	0	0	1.20671e-05	3.66288e-05	4.08312e-05	5.06492e-05	3.32909e-05	0	1.32072e-06	2.35888e-07	0	1.40951e-05	5.51327e-06	0
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0	0	0	0	0	1.1462e-06	8.74267e-07	0	0	0	0	0	4.62837e-06	0	0	0	0	0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.00015653	0.00013628	0.000124259	0.000169784	0	4.00305e-05	7.64e-05	0.000164851	0.000225335	0.000189685	0.000176232	0	4.62609e-05	1.00814e-05	0	0.000106305	4.77604e-05	0
DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative)	0	0	4.52347e-06	8.05578e-07	0	0	0	0	0	0	6.52125e-06	0	0	0	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	0.000371673	0.000195118	0.000355455	0.000476061	0.000910627	0.000669063	0.000448625	3.23602e-05	0.000120038	0.000156814	0.000145798	0.000619639	0.000552976	0.000621431	0.000639666	0.000491178	0.000586708	0.000439918
ECASYN-PWY: enterobacterial common antigen biosynthesis	4.91046e-05	5.77697e-05	4.40052e-05	7.97764e-05	0	1.6397e-05	4.13848e-05	6.8618e-05	8.04702e-05	9.11617e-05	6.66386e-05	0	3.89521e-06	8.4496e-07	4.10245e-07	2.55322e-05	1.26273e-05	1.14702e-06
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0.00020923	0.000201862	0.000117967	0.000167338	1.0937e-06	3.99352e-05	9.26394e-05	0.000234102	0.000280862	0.000370713	0.000294681	0	1.41573e-05	9.15309e-06	9.03373e-07	7.32138e-05	5.21307e-05	8.09421e-06
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.000335115	0.000244986	0.000229685	0.00025683	1.55718e-05	0.000129167	0.000207187	0.000272051	0.000333862	0.000403968	0.000306863	4.54063e-05	4.68684e-05	3.84417e-05	4.22739e-05	8.01403e-05	5.87335e-05	1.45527e-05
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0	0	0	0	0	0	0	3.5079e-07	0	0	0	4.13154e-05	2.8596e-06	0	5.49627e-05	9.02461e-06	1.64254e-05	0
FERMENTATION-PWY: mixed acid fermentation	0.000301659	0.00027847	0.000168832	0.000186304	8.09856e-05	0.000162873	0.000199709	0.000328762	0.000326468	0.000290025	0.000303963	0.000114922	0.000173036	0.000239573	0	0.000128713	0.000185517	0.000138558
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.000175238	0.000127902	5.04677e-05	9.75783e-05	4.04424e-05	5.81721e-05	5.14781e-05	0.000191631	0.000210206	0.000135141	0.000155847	5.6671e-05	6.44537e-05	7.77091e-05	1.75207e-05	9.70377e-05	7.46062e-05	5.08854e-06
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.000128351	0.000162386	9.58391e-05	0.000106278	4.16199e-05	3.34184e-05	0.000116709	0.00019825	0.000242755	0.000204113	0.000180924	2.28976e-06	2.22851e-05	2.18406e-05	1.06122e-05	6.90987e-05	6.40981e-05	1.86607e-05
FUCCAT-PWY: fucose degradation	0.000161633	0.000204617	7.07778e-05	8.56446e-05	2.60712e-05	1.69631e-05	8.52907e-05	0.000231615	0.000278176	0.000173193	0.000220132	3.42662e-05	2.73022e-05	2.84933e-05	6.76204e-06	6.11995e-05	6.38934e-05	1.14426e-05
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.000113074	0.000101614	8.11802e-05	6.12448e-05	2.29295e-05	3.74609e-05	4.98897e-05	0.000119602	0.000106124	0.000109155	9.28961e-05	6.99608e-07	1.20419e-05	1.23822e-05	2.92057e-06	4.45376e-05	6.31103e-05	3.78813e-05
GALACTARDEG-PWY: D-galactarate degradation I	0.000395048	0.000340057	8.81866e-05	0.000126451	2.57795e-06	3.74048e-05	7.52223e-05	0.000366828	0.000373326	0.00052237	0.000400382	0	1.04865e-05	1.48932e-05	0	8.65227e-05	7.86964e-05	7.16425e-06
GALACTITOLCAT-PWY: galactitol degradation	0.000153558	0.000147585	2.65348e-05	1.52606e-05	3.99478e-06	1.07876e-05	1.69363e-06	0.00021849	0.000193361	0.000166083	0.000139566	0.000124755	4.49599e-06	1.83883e-05	1.84521e-05	7.14157e-06	3.91592e-06	1.24479e-06
GALACTUROCAT-PWY: D-galacturonate degradation I	0.00012838	0.000115463	8.34702e-05	9.86819e-05	7.58393e-05	6.76928e-05	0.000107156	0.00010899	0.000122774	0.000125172	0.000135069	3.49422e-05	9.65039e-05	1.27329e-05	4.72486e-05	7.13948e-05	6.45002e-05	8.65631e-05
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.00026421	0.000176293	0.000127393	0.000182942	0.000160307	0.00018179	0.000184478	0.000313633	0.000299991	0.000275649	0.000227323	0.000243406	0.000356243	0.000296826	0.000346078	0.000276661	0.000213122	0.000275858
GLUCARDEG-PWY: D-glucarate degradation I	0.000218276	0.000191124	7.1652e-05	0.000102007	2.28168e-06	2.78666e-05	6.18265e-05	0.000215363	0.000260001	0.000308896	0.000231405	0	8.94072e-06	1.21238e-05	0	5.9062e-05	3.63441e-05	6.50171e-06
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0.000395048	0.000340057	8.81866e-05	0.000126451	2.57795e-06	3.74048e-05	7.52223e-05	0.000366828	0.000373326	0.00052237	0.000400382	0	1.04865e-05	1.48932e-05	0	8.65227e-05	7.86964e-05	7.16425e-06
GLUCONEO-PWY: gluconeogenesis I	0.000276774	0.000274841	0.000251087	0.000242335	9.22657e-05	0.000171365	0.000247934	0.000261065	0.000339022	0.000379709	0.000300749	0.000186433	0.000260295	0.000193476	0.000224939	0.000214934	0.000204559	7.03917e-05
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.000281951	0.000245178	0.000235225	0.000293824	0.000251122	0.00030553	0.000275526	0.000298202	0.000375838	0.000452128	0.000277225	0.00053557	0.000575756	0.000559678	0.0006846	0.000424884	0.00049202	0.000117196
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	0.000142272	0.000133105	0.000104131	7.90931e-05	9.87688e-05	9.94803e-05	6.67823e-05	0.000121732	0.000142625	0.000141792	0.000137361	1.1566e-05	8.33426e-05	2.20648e-05	3.55225e-05	6.86226e-05	0.000108205	8.75232e-05
GLUDEG-I-PWY: GABA shunt	0.000101482	5.81975e-05	1.92364e-05	1.2739e-05	0	3.53079e-05	5.08376e-05	9.10673e-05	7.49244e-05	4.54026e-05	0.000103315	4.02591e-07	1.41801e-06	2.00513e-06	3.75871e-06	6.29445e-06	8.95352e-06	1.81805e-06
GLUTORN-PWY: L-ornithine biosynthesis I	0.000341978	0.00027919	0.000332557	0.000339615	0.000399747	0.000377393	0.000335786	0.000272125	0.000340772	0.000435395	0.0003188	0.00050945	0.00058399	0.000524817	0.000586746	0.000490202	0.00053798	0.000559089
GLYCOCAT-PWY: glycogen degradation I	0.000236141	0.000108512	8.36978e-05	0.000137087	1.97997e-05	3.14711e-05	4.54539e-05	0.000105162	0.000137948	0.000127848	0.000132788	7.36305e-05	2.91584e-05	1.88881e-05	9.54141e-05	5.48671e-05	6.95895e-05	1.04104e-05
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.000284318	0.000303643	0.000420527	0.000411449	0.000470242	0.000474939	0.000454678	0.000273148	0.000362912	0.000370771	0.000322001	0.000965847	0.000857114	0.000813228	0.00104407	0.000701699	0.000799097	0.000702725
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	3.67136e-05	5.66103e-05	2.42079e-05	6.24338e-06	0	0	1.22821e-05	3.68175e-05	4.14351e-05	5.45654e-05	3.44998e-05	1.7456e-07	1.28856e-06	8.18223e-06	8.47439e-08	1.41009e-05	5.62227e-06	3.13088e-06
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	0.000268708	0.000236866	0.000155959	0.000144114	3.50705e-05	9.33022e-05	0.000161167	0.000270676	0.000335113	0.000328953	0.000279836	1.16918e-05	7.15367e-05	4.23762e-05	9.34502e-06	0.000103021	0.000111183	4.03489e-05
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	3.02414e-05	2.20037e-05	2.41702e-05	0.000123491	0	7.24432e-06	2.94065e-05	7.51556e-05	6.22286e-05	7.67624e-05	7.05248e-05	0	6.54458e-06	6.295e-07	0	1.82529e-05	4.34766e-06	0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.000360183	0.000347425	0.000259915	0.000242644	5.91261e-05	0.000137942	0.000244875	0.000366023	0.000445057	0.000434576	0.000387354	0.000207922	0.000319702	0.00024041	0.000249788	0.000222025	0.000240939	7.16544e-05
GLYOXYLATE-BYPASS: glyoxylate cycle	0.000221877	0.000204339	7.50962e-05	8.67539e-05	2.15303e-06	2.68406e-05	0.000101056	0.000277018	0.000321518	0.000262478	0.000253391	1.26345e-06	1.2419e-05	1.72779e-05	0	3.9541e-05	4.85582e-05	3.41421e-06
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	3.52123e-05	1.10281e-05	5.44732e-05	6.28169e-05	3.05255e-05	4.30915e-05	0.000114584	0	1.50016e-06	2.27423e-05	2.6805e-05	0.000108517	6.795e-05	6.82542e-05	5.56142e-05	4.30078e-05	6.46927e-05	1.07399e-05
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	0.000118951	0.000108252	3.69669e-05	5.43139e-05	0	1.19412e-06	4.29092e-05	0.00021486	0.000243422	0.000205998	0.000147834	0	3.32293e-06	3.23572e-06	0	1.29768e-05	1.79349e-05	9.53871e-07
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	0.000215936	0.000134787	5.92004e-05	7.41041e-05	0	2.54131e-05	5.95903e-05	0.000242711	0.000245606	0.000276567	0.000222699	0	1.90158e-05	9.38751e-06	1.10881e-06	2.83824e-05	2.88863e-05	1.448e-06
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	0.000215936	0.000125158	5.94433e-05	7.12955e-05	1.34815e-06	2.83176e-05	5.95903e-05	0.000242711	0.000245606	0.000276567	0.000215211	0	1.36528e-05	9.38751e-06	1.10881e-06	3.69751e-05	2.55269e-05	1.85231e-06
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	0.00022518	0.000155708	7.16719e-05	8.68969e-05	1.98986e-05	3.54179e-05	7.18163e-05	0.00026138	0.000284666	0.000288083	0.000259842	5.15167e-06	5.96312e-05	4.19646e-05	6.6107e-06	5.04507e-05	4.82014e-05	4.4306e-06
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0.00024429	0.000230909	6.72038e-05	4.39137e-05	1.04189e-05	2.8907e-05	5.77787e-06	0.000250208	0.000293632	0.000282331	0.000237684	1.30948e-05	1.35539e-05	3.68884e-05	9.13557e-06	2.15782e-05	1.28146e-05	3.93017e-06
HISDEG-PWY: L-histidine degradation I	0.000117324	4.28531e-05	8.99917e-05	7.17709e-05	0.000123821	7.14657e-05	8.71462e-05	1.12546e-05	5.00681e-05	6.17953e-05	0.0001122	4.39796e-06	1.17685e-05	1.64862e-05	3.03879e-06	1.77425e-05	6.48174e-06	1.25386e-05
HISTSYN-PWY: L-histidine biosynthesis	0.000227041	0.000172949	0.000297523	0.000296837	0.000478723	0.000363255	0.00030278	0.00012668	0.000200664	0.000200541	0.000178242	0.000299995	0.000409645	0.000399085	0.000305422	0.00038969	0.000364093	0.00042757
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0.000287246	0.000206093	8.78283e-05	0.000102682	3.22894e-06	2.30077e-05	7.78703e-05	0.000276186	0.000270387	0.000281453	0.000229339	9.20404e-06	1.69506e-05	1.89926e-05	3.48282e-06	4.71998e-05	5.15957e-05	3.93638e-06
HSERMETANA-PWY: L-methionine biosynthesis III	0.000150471	0.00014991	0.000215844	0.000232088	0.000272215	0.000269084	0.000275014	1.63651e-05	9.70167e-05	8.95585e-05	0.000134709	0.000492906	0.000476315	0.000509947	0.000508965	0.000323086	0.00042892	0.000118128
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.000410743	0.000379312	0.000386074	0.000386669	0.000595012	0.000449114	0.000424885	0.000379688	0.000520417	0.000481094	0.000448156	0.000597626	0.000622421	0.000550437	0.000632761	0.000525216	0.000581168	0.000453652
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	6.512e-05	4.35392e-05	1.76043e-05	1.2633e-05	0	1.3306e-05	2.56767e-05	3.18616e-05	3.86567e-05	4.86382e-05	5.45806e-05	0	1.53595e-06	8.98544e-07	0	7.79065e-06	7.02248e-06	0
KETOGLUCONMET-PWY: ketogluconate metabolism	0.000144105	5.14454e-05	5.24831e-05	3.03773e-05	0	1.37386e-05	3.1312e-05	4.03733e-05	3.95494e-05	8.34014e-05	3.89803e-05	2.01642e-06	6.23763e-06	8.68364e-07	9.62396e-07	3.80862e-05	3.20483e-05	1.52696e-07
LACTOSECAT-PWY: lactose and galactose degradation I	1.37524e-05	5.34939e-06	5.39659e-05	6.92467e-05	4.06961e-05	5.25205e-05	3.52276e-05	7.25097e-06	1.11996e-06	2.41308e-07	3.73065e-05	0.000170578	0.000146939	0.000182017	0.000124829	0.000171818	0.000112299	6.51353e-06
LIPA-CORESYN-PWY: lipid A-core biosynthesis (E. coli K-12)	0	3.48618e-06	2.19455e-06	2.11079e-06	0	0	0	0	0	0	1.11427e-05	0	0	0	0	1.32053e-06	1.30944e-06	0
LIPASYN-PWY: phospholipases	0.000216864	0.000350037	5.29786e-05	8.81679e-05	0	1.64924e-05	5.68026e-05	0.000376948	0.000401041	0	0	0	4.70187e-06	0	0	4.2203e-05	4.98824e-05	0
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	0	1.36445e-05	8.00987e-06	7.17641e-06	0	0	0	0	0	0	3.65056e-05	0	0	0	0	4.675e-06	4.49211e-06	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0.000323226	0.000255145	0.000142407	0.000160648	6.40953e-06	4.37676e-05	0.000131816	0.000273803	0.000318129	0.000333929	0.000300881	1.8087e-05	3.28141e-05	3.68532e-05	6.91026e-06	8.51853e-05	9.31888e-05	7.80194e-06
METH-ACETATE-PWY: methanogenesis from acetate	7.68904e-06	7.33774e-06	5.94991e-05	3.34981e-05	5.72044e-05	6.40443e-05	6.33771e-05	0	0	0	0	0.00031076	0.00026881	0.000291869	0.000376411	0.00020711	0.000295242	1.11855e-05
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	0	1.57866e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation	6.03199e-05	2.24361e-05	3.43932e-05	5.62955e-05	2.76918e-06	1.38335e-05	1.44578e-05	2.83179e-05	3.79282e-05	6.22041e-05	5.10848e-05	6.43753e-07	6.45746e-06	5.34913e-06	3.18449e-06	1.70897e-05	1.04874e-05	1.07941e-06
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	0.000344454	0.000258707	0.000132794	0.000152729	5.623e-06	3.88407e-05	0.000121864	0.000321801	0.000338909	0.000347584	0.00030191	1.58936e-05	2.89523e-05	3.25073e-05	6.05971e-06	7.71981e-05	8.37492e-05	6.83979e-06
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	3.17839e-05	3.42021e-05	3.14099e-05	7.5303e-05	1.30636e-06	2.28153e-05	3.20454e-05	4.17243e-05	5.06978e-05	8.35615e-06	4.12789e-05	8.2618e-06	7.16435e-06	7.36907e-06	2.0606e-06	2.52008e-05	7.25157e-06	1.33372e-06
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	0.000230124	0.000159782	9.8949e-05	0.000104105	3.51082e-05	4.67751e-05	0.00010804	0.000211496	0.000292286	0.000309394	0.000197606	0	1.16244e-05	9.13973e-06	2.06501e-06	3.45355e-05	3.14633e-05	5.74373e-06
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.000283819	0.000254132	0.00036937	0.000328851	0.00056371	0.000435156	0.000368174	0.00019268	0.000278901	0.000283056	0.00033265	0.000540531	0.000496946	0.000541582	0.000599834	0.000503688	0.000506766	0.000557335
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	0.000522983	0.000463449	0.000363479	0.000408331	0.000251051	0.000322687	0.000370156	0.000558995	0.000664143	0.000579427	0.000585801	0.000705181	0.000614663	0.000610686	0.00065454	0.000492774	0.00061491	0.000518995
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.000210744	0.000192268	0.000257202	0.00027548	0.000293016	0.000283949	0.000253972	4.73534e-05	0.000146221	0.000168801	0.000176961	0.000339737	0.000336582	0.000380209	0.000279332	0.000330701	0.000332085	0.0002976
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0.000168477	0.000114464	2.63873e-05	3.05009e-05	0	2.43178e-06	3.8328e-05	0.000178771	0.00017091	9.29487e-05	0.000154643	5.30374e-07	3.69977e-06	4.41738e-06	0	1.60944e-05	2.48238e-05	0
ORNDEG-PWY: superpathway of ornithine degradation	0.000524294	0.000332958	7.18632e-05	8.76564e-05	8.75446e-06	3.7349e-05	7.56643e-05	0.000295102	0.000353036	0.000253376	0.000333637	3.11474e-06	1.55612e-05	1.2462e-05	8.39372e-07	4.32932e-05	5.99034e-05	3.66563e-06
P101-PWY: ectoine biosynthesis	0	0	0	1.03049e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0.000205747	0.000173589	0.000102438	7.28523e-05	5.19035e-06	4.31763e-05	0.000125703	0.000220356	0.000208383	0.000165444	0.000189196	4.14943e-06	1.47902e-05	1.52214e-05	1.50062e-06	6.8211e-05	5.44899e-05	6.20226e-06
P108-PWY: pyruvate fermentation to propanoate I	6.2905e-05	1.81758e-05	5.78961e-05	7.95144e-05	2.98077e-06	1.989e-05	3.53392e-05	4.33082e-06	2.80275e-05	3.18359e-05	3.71874e-05	9.77033e-06	3.84691e-05	1.72907e-05	0	5.51698e-05	2.51016e-05	9.67891e-06
P122-PWY: heterolactic fermentation	0.000107902	9.1833e-05	4.55576e-05	7.97843e-05	3.26774e-06	2.2212e-05	4.35128e-05	4.74298e-05	0.000112514	0.000103071	7.79012e-05	3.84059e-06	1.79135e-05	1.09212e-05	0	3.52889e-05	1.88906e-05	1.05399e-06
