Pathway	KO	C1	C2
One carbon pool by folate [PATH:ko00670]	K00600K01433K01938K01491K11175K00602K00604	32.7354945991	25.6756824901
Other glycan degradation [PATH:ko00511]	K01190K12373K01201K01444	10.8954661938	10.2212542692
Others	K15977K09747	6.5573770492	17.8571428571
Oxidative phosphorylation [PATH:ko00190]	K00239K00240K00337K00339K00340K00341K00343K02257K02276K02275K02299K02111K02112K02115K02113K02110K02118K02119K00937	65.4499706362	72.2182298259
PI3K-Akt signaling pathway [PATH:ko04151]	K04079	5.2089323226	0.0
PPAR signaling pathway [PATH:ko03320]	K00029K01897K00864	20.2779515708	6.2695924765
Pantothenate and CoA biosynthesis [PATH:ko00770]	K00128K03525K00859K00997	14.2357928002	20.4208902986
Pathogenic Escherichia coli infection [PATH:ko05130]	K00134	10.0111234705	0.0
Pathways in cancer [PATH:ko05200]	K00799K04079	5.2089323226	12.0853535596
Pathways of neurodegeneration - multiple diseases [PATH:ko05022]	K00432K04565	9.9701634843	10.2522297069
Penicillin and cephalosporin biosynthesis [PATH:ko00311]	K01434K17836	7.8930078152	9.9437427749
Pentose and glucuronate interconversions [PATH:ko00040]	K01184K03078K00854K13877	0.0	20.8257022588
Pentose phosphate pathway [PATH:ko00030]	K01810K13810K00850K03841K02446K01623K11645K01624K01057K01807K01619K00948	62.4036230442	28.4109543109
Peptidases and inhibitors [BR:ko01002]	K00820K01951K00681K01255K01256K01270K06013K01434K03100K03101K01338K11749K01358K01322K01304K07010K21470K07386K01267K01436K21472K01265K01299K01356K04773K01297K03592K03568K06894	117.1356872627	94.8081596248
Peptidoglycan biosynthesis [PATH:ko00550]	K00790K01928K01929K01924K01921K00806K06153K01000K02563K05366K05515	63.6419842387	19.6587643003
Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	K00790K01928K01776K01924K01775K01921K06153K01000K02563K05366K05515K21470K21472K01297	72.9061490294	37.832644556
Peroxisome [PATH:ko04146]	K01897K00869K04565	9.1017557433	12.0299611401
Phenazine biosynthesis [PATH:ko00405]	K01657	0.0	4.9893086244
Phenylalanine	K00812K01696K03786K00014K00891K00800K01657K01817K06209K00220	26.760429591599998	39.9443092687
Phenylalanine metabolism [PATH:ko00360]	K01692K00074K00812K00055K03782	0.0	36.0505195055
Phenylpropanoid biosynthesis [PATH:ko00940]	K05349K05350K03782	0.0	12.8041890031
Phosphatidylinositol signaling system [PATH:ko04070]	K01092	0.0	5.4917928518
Phosphonate and phosphinate metabolism [PATH:ko00440]	K03823	7.204610951	5.3662471079
Phosphotransferase system (PTS) [PATH:ko02060]	K00882	11.598463089	0.0
Photosynthesis [PATH:ko00195]	K02111K02112K02115K02113K02110	37.646350323600004	11.9625055796
Photosynthesis proteins [BR:ko00194]	K02111K02112K02115K02113K02110	37.646350323600004	11.9625055796
Plant-pathogen interaction [PATH:ko04626]	K00864K04079K02358	22.2910700558	7.6239955823
Platinum drug resistance [PATH:ko01524]	K00799	0.0	12.0853535596
Polyketide sugar unit biosynthesis [PATH:ko00523]	K00973K01710	0.0	12.485264579799999
Porphyrin and chlorophyll metabolism [PATH:ko00860]	K02257K00643K01885K01845K01698K01749K01772K02303K02226	41.4602041036	31.1817310869
Prenyltransferases [BR:ko01006]	K02257K00806K00795K02291	6.7453625632	12.8207387083
Prion disease [PATH:ko05020]	K04565	0.0	5.7603686636
Progesterone-mediated oocyte maturation [PATH:ko04914]	K04079	5.2089323226	0.0
Prokaryotic defense system [BR:ko02048]	K00558K01885K18918K03569K15342K09951K19091K07448K19157K19158K19159K18829K21495	88.65772528149999	54.362667838
Propanoate metabolism [PATH:ko00640]	K00382K00016K01903K00925K01962K01961K01963K01966K01692	56.903968961800004	23.0969157008
Prostate cancer [PATH:ko05215]	K04079	5.2089323226	0.0
Proteasome [BR:ko03051]	K04079	5.2089323226	0.0
Protein export [PATH:ko03060]	K03076K03073K03217K03070K03106K03110K03116K03118K03100K03101	76.9276422488	17.4638569842
Protein kinases [BR:ko01001]	K07636K07708K15011K00936	12.909989060400001	9.891501465600001
Protein phosphatases and associated proteins [BR:ko01009]	K00850K04079	14.4149162121	0.0
Protein processing	K03545K07400	11.5867057491	14.979931668299999
Protein processing in endoplasmic reticulum [PATH:ko04141]	K04079	5.2089323226	0.0
Proteoglycans in cancer [PATH:ko05205]	K03685	6.0698027314	5.2724077329
Proximal tubule bicarbonate reclamation [PATH:ko04964]	K01425	8.5889570552	0.0
Purine metabolism [PATH:ko00230]	K00948K00955K11175K01952K01933K01588K01923K01756K00602K00760K00940K11177K11178K01951K00942K00525K01129K01524K00951K01939K01241K21053K00939	123.3237096168	121.632974965
Pyrimidine metabolism [PATH:ko00240]	K00940K00525K01955K01956K00609K01465K17828K00762K01591K09903K01937K01520K00857K00943	117.9308478434	36.6747993564
Pyruvate metabolism [PATH:ko00620]	K00382K03737K00016K00128K01610K00925K01962K01961K01963K00101K00467K03778K03777K01759K01069K00029K01595K01638	105.9364462911	34.8836010369
Quorum sensing [PATH:ko02024]	K01897K07173K01657K03076K03073K03217K03070K03106K03110K03666K01997K15581K07667	68.6101058731	43.926622359199996
RNA degradation [PATH:ko03018]	K00850K01689K00937K00962K11927K03628K18682K04043K04077K03666	61.089318756	22.6182953082
RNA polymerase [PATH:ko03020]	K03040K03043K03046K03060	33.3746550534	8.1632653061
RNA transport [PATH:ko03013]	K03113	13.3928571429	0.0
Renin-angiotensin system [PATH:ko04614]	K01322	0.0	3.37512054
Replication and repair	K03630K07460K07461K07478K07491	44.972398989700004	35.4279904586
Retinol metabolism [PATH:ko00830]	K00121	0.0	22.9354471561
Riboflavin metabolism [PATH:ko00740]	K14652K00794K00793K11753K09474	19.1382172168	18.3741509455
Ribosome [BR:ko03011]	K02945K02967K02982K02986K02988K02992K02996K02946K02948K02950K02952K02954K02956K02961K02963K02965K02968K02970K02863K02886K02906K02926K02931K02933K02935K02864K02867K02871K02874K02876K02878K02879K02881K02887K02888K02890K02892K02895K02897K02899K02902K02904K02907K02909K02911K02913K02914K02916	719.6677944635	330.9465261674
Ribosome [PATH:ko03010]	K02945K02967K02982K02986K02988K02992K02996K02946K02948K02950K02952K02954K02956K02961K02963K02965K02968K02970K02863K02886K02906K02926K02931K02933K02935K02864K02867K02871K02874K02876K02878K02879K02881K02887K02888K02890K02892K02895K02897K02899K02902K02904K02907K02909K02911K02913K02914K02916	719.6677944635	330.9465261674
Ribosome biogenesis [BR:ko03009]	K03685K03625K02601K03595K03979K02528K08316K03501K03438K07056K06442K03218K02427K00783K07115K06941K03215K06177K06180K06181K02860K02687K11145K03977K03665K09748K14761K09710K07042K06942	215.0758978869	98.7095525068
Ribosome biogenesis in eukaryotes [PATH:ko03008]	K03685	6.0698027314	5.2724077329
Salmonella infection [PATH:ko05132]	K00134K04079	15.220055793099998	0.0
Secretion system [BR:ko02044]	K03076K03073K03217K03070K03106K03110K03116K03118K02452K02454K02411K02419K02420K02279K02237	86.5557476973	59.9785431538
Selenocompound metabolism [PATH:ko00450]	K00955K00549K01761K00384K01874	31.3587025699	18.3501204033
Signaling proteins	K07166K06217	0.0	8.210316497600001
Sphingolipid metabolism [PATH:ko00600]	K01190K01201	10.8954661938	0.0
Starch and sucrose metabolism [PATH:ko00500]	K00845K01810K13810K01187K05349K05350K01179K00975K00703K00700K21574K00697	35.9776845501	39.636177263600004
Streptomycin biosynthesis [PATH:ko00521]	K00845K01092K00973K01710	0.0	23.750729487
Structural proteins	K03642K02005K02200K21571	5.9701492537	18.1190921587
Sulfur metabolism [PATH:ko00920]	K00955K00381K01738K10764K17217K17228	9.2826120515	25.7872333911
Sulfur relay system [PATH:ko04122]	K00566	20.8863245644	4.6382189239
Synthesis and degradation of ketone bodies [PATH:ko00072]	K00019	0.0	8.7463556851
Taurine and hypotaurine metabolism [PATH:ko00430]	K00925K00260K00681	17.8736302195	10.620779392
Terpenoid backbone biosynthesis [PATH:ko00900]	K00806K00099K00991K00919K01770K03526K03527K00869K01597K00795K06013	65.6533456058	27.456894624
Th17 cell differentiation [PATH:ko04659]	K04079	5.2089323226	0.0
Thermogenesis [PATH:ko04714]	K02257K01897	4.9966900773	9.9103691755
Thiamine metabolism [PATH:ko00730]	K00939K03147	25.556139870499997	5.504587156
Thyroid hormone signaling pathway [PATH:ko04919]	K00850	9.2059838895	0.0
Thyroid hormone synthesis [PATH:ko04918]	K00432	9.9701634843	4.4918610433
Toluene degradation [PATH:ko00623]	K00055K01061	0.0	20.0984737621
Transcription	K03704	0.0	6.9252077562
Transcription factors [BR:ko03000]	K00558K03566K02529K03710K03718K01420K02647K07727K18918K03497K03705K07738	36.4861073681	65.33230196390001
Transcription machinery [BR:ko03021]	K03040K03043K03046K03060K03628K03088K03625K02601K07315K04749	60.0814081678	30.3337238755
Transfer RNA biogenesis [BR:ko03016]	K01874K10026K09457K01885K01872K01876K01893K01878K01879K01868K01875K01869K01870K01887K01881K01889K01890K01866K00566K00962K06177K03439K06173K03177K01409K03650K03495K00773K03536K03684K01975K07559K05540K06168K18707K04094K00554K07568K09765	286.6385186465	130.7326839754
Translation factors [BR:ko03012]	K03113K02358K02519K02520K06158K02357K02355K02835K02838K02518K02356	65.3806636412	48.8606345185
Transport	K21990K03305K03308K03453K07085	20.2533024111	8.8546671662
Transporters [BR:ko02000]	K00799K02012K11072K02067K10540K10541K10542K02036K02044K02041K10009K01997K02072K02071K15581K16786K09810K02194K09811K18889K05770K03588K02557K08218K06147K06148K02015K02013K02004K02003K01992K01990K02429K07552K03282K03561K03559K16074K08994K16079K16080K03286K16091K16092K02014K05807K22110K04744K03643K06518K16210K16211K16264K07238K11741K07084K00427K14392K03312K03499K02824K06901K03321K03322K06895K09125K05595K03832K15987K15727K21572K07507	432.6481487031	306.0241508424
Tropane	K00812	0.0	5.4545454545
Tryptophan metabolism [PATH:ko00380]	K00382K00128K01692K03782	3.0604437643	18.910134803
Tuberculosis [PATH:ko05152]	K04043K04077	10.9826589595	6.4741915335
Two-component system [BR:ko02022]	K07636K07667K07708K10126K03413K03412K15011K00936K02483	15.9587695482	55.9857535635
Two-component system [PATH:ko02020]	K01179K01425K09474K07636K07667K01644K05966K07708K10126K00575K03406K03408K03413K03412K13588K15011K07165	34.0986117917	95.8640389051
Type I diabetes mellitus [PATH:ko04940]	K04077	0.0	6.4741915335
Tyrosine metabolism [PATH:ko00350]	K00121K00135K00812K01668K00055	12.470771629	43.0861662576
Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	K03809K19267	0.0	9.627806488800001
Valine	K00382K00128K01966K01692K01703K01704K00632K01754	10.0549157309	36.9117309801
Vancomycin resistance [PATH:ko01502]	K01929K01775K01921K01000K02563	33.3304920136	10.8431180051
Various types of N-glycan biosynthesis [PATH:ko00513]	K12373	0.0	5.7268722467
Vitamin B6 metabolism [PATH:ko00750]	K00831K06215	25.049314767	0.0
Xylene degradation [PATH:ko00622]	K00055	0.0	9.9304865938
alpha-Linolenic acid metabolism [PATH:ko00592]	K00632	0.0	4.8216007715
beta-Alanine metabolism [PATH:ko00410]	K00128K01692	0.0	14.213093938699998
beta-Lactam resistance [PATH:ko01501]	K01207K05366K05515K17836K15581K08218	13.8810317673	28.2058903181
