PathwayL2	KO	C1	C2
Glycan biosynthesis and metabolism	K01809K01840K00971K01711K01190K08679K01207K12373K12373K12373K12373K12373K04042K00790K16363K01201K01928K01929K01924K01921K00677K02535K02536K09949K06041K01627K03270K00979K02527K02517K03271K03274K00973K01710K00806K06153K01000K02563K05366K05515K01444	190.2667024854	98.3531960282
Immune system	K04079K04079K04079K04079	20.8357292904	0.0
Infectious disease: bacterial	K00134K00134K00239K04079K04043K04077K04077K03596	52.6184197759	12.948383067
Infectious disease: viral	K05770	0.0	6.1898445737
Lipid metabolism	K00121K00128K00128K01190K01962K01961K01963K01692K07516K00019K02078K00648K02372K16363K01897K01897K00632K00632K00864K03621K08591K08591K00057K01048K01126K04019K03735K03736K17103K01613K01201K00432	208.06065376380002	122.3845078657
Membrane transport	K00882K03076K03073K03217K03070K03106K03110K03116K03118K02012K11072K02067K10540K10541K10542K02036K02044K02041K10009K01997K02072K02071K15581K16786K09810K02194K09811K18889K02452K02454	207.2906405935	66.8114436967
Metabolism of cofactors and vitamins	K00121K00128K00600K01433K00135K02257K01938K01491K00831K02372K11175K00602K00939K00643K03147K14652K14652K00794K00793K11753K09474K06215K03517K00767K00763K00969K01916K03742K00325K03525K00859K00997K01935K01012K03644K01495K11754K01664K10026K09457K20967K00604K01885K01845K01698K01749K01772K02303K02226K03809K19267	274.9108715647	195.1419880892
Metabolism of other amino acids	K00128K05349K05350K00925K00600K01692K00260K00955K00432K01424K01425K00549K01761K00681K00681K00681K03823K00384K01874K01776K01924K01775K01921K07160K01255K01256K01270K00799	156.0090264701	120.50405043609999
Metabolism of terpenoids and polyketides	K00128K00128K01692K01692K00632K00973K01710K01710K00806K00099K00991K00919K01770K03526K03527K00869K01597K00795K06013K05525K02291K15746	65.6533456058	96.7647858501
Nervous system	K01425K01425	17.1779141104	0.0
Neurodegenerative disease	K00134K00432K00432K00432K04565K04565K04565K04565	39.9216139234	36.5170577843
Nucleotide metabolism	K00948K00955K11175K01952K01933K01588K01923K01756K00602K00760K00940K00940K11177K11178K01951K00942K00525K00525K01129K01524K00951K01939K01241K21053K00939K01955K01956K00609K01465K17828K00762K01591K09903K01937K01520K00857K00943	241.2545574602	158.3077743214
Poorly characterized	K03796K06878K15724K07082K21832K08972K06923K06929K06978K06996K07002K07005K07035K07093K07101K07112K07131K09005K09131K09787K09861K09985	70.0178948093	91.8879736535
Protein families: genetic information processing	K00850K01623K01623K00134K01834K01689K12373K02257K00937K00940K00525K01520K00558K00558K00558K01874K10026K09457K01885K03040K03040K03043K03043K03046K03046K03060K03060K02945K02967K02982K02986K02988K02992K02996K02946K02948K02950K02952K02954K02956K02961K02963K02965K02968K02970K02863K02886K02906K02926K02931K02933K02935K02864K02867K02871K02874K02876K02878K02879K02881K02887K02888K02890K02892K02895K02897K02899K02902K02904K02907K02909K02911K02911K02913K02914K02916K02433K02434K02435K01872K01876K01876K01893K01878K01879K01868K01875K01869K01869K01870K01887K01887K01881K01889K01890K01866K01866K03113K03685K03685K03685K03217K04079K04079K04079K04079K00566K00962K00962K11927K03628K03628K18682K04043K04043K04043K04077K04077K04077K03666K03666K02342K02342K02337K02337K03763K03763K02341K02341K03469K02335K02335K10563K10773K03652K01142K03723K03702K03703K03657K03555K07456K03629K03553K03551K01159K04066K10979K09811K03590K03588K03544K03566K07192K07192K03695K02358K02358K01267K01356K02529K03710K03718K01420K02647K07727K18918K03497K03497K03705K07738K03088K03625K03625K02601K02601K07315K04749K06958K03595K03595K03979K02528K08316K03501K03501K03438K07056K06442K03218K02427K00783K07115K06941K03215K06177K06177K06180K06181K02860K02687K11145K03977K03665K09748K14761K09710K07042K06942K03439K06173K03177K01409K03650K03495K03495K00773K03536K03684K01975K07559K05540K06168K18707K04094K04094K00554K07568K09765K02519K02519K02520K02520K06158K02357K02357K02355K02355K02835K02838K02518K02356K03686K03686K04083K04762K04078K04078K03770K03771K02469K02469K02470K02470K03168K03168K04047K05896K03466K09772K03569K05837K03496K03978K03631K15342K02346K14160K07152	2050.794355854	1130.8024744347
Protein families: metabolism	K00850K00703K00697K00790K00820K02257K02111K02112K02115K02113K02110K00831K00648K02372K16363K16363K01897K03621K08591K01951K00812K00643K01928K00681K01874K01776K01924K01775K01921K01255K01256K01270K00677K02535K02536K06041K01627K03270K00979K02527K02527K02517K03271K03274K00806K06153K01000K02563K05366K05366K05515K01885K01845K00795K06013K05525K02291K01434K01872K01876K01893K01878K01879K01868K01875K01869K01870K01887K01881K01889K01890K01866K03100K03101K04079K07636K07708K15011K01338K11749K01358K01322K00936K01304K07010K21470K21470K07386K01267K01436K21472K21472K01265K01299K01356K04773K01297K01297K03592K03568K06894	565.4148710308	254.88679611589998
Protein families: signaling and cellular processes	K01810K03841K01623K01803K00134K00927K01834K01689K00382K00016K00849K00700K01897K00864K00602K00939K01755K00558K00799K01885K01698K06013K17836K03076K03073K03217K03070K03106K03110K03116K03118K04079K04043K04077K02012K11072K02067K10540K10541K10542K02036K02044K02041K10009K01997K02072K02071K15581K16786K09810K02194K09811K18889K02452K02454K07636K07667K07708K10126K00575K03406K03408K03413K03413K03412K03412K15011K05770K03590K03588K03386K03409K02416K02557K02557K02411K02411K02419K02419K02420K02420K02386K02394K02395K07192K02358K08218K00936K18918K03497K03569K03569K03496K15342K06147K06148K02015K02013K02004K02003K01992K01990K02429K07552K03282K03561K03559K16074K08994K16079K16080K03286K16091K16092K02014K05807K22110K04744K03643K06518K16210K16211K16264K07238K11741K07084K00427K14392K03312K03499K02824K06901K03321K03322K06895K09125K05595K03832K15987K15727K21572K07507K02279K02279K02237K03699K02483K09951K19091K07448K19157K19158K19159K18829K21495	863.2635574692	679.7720166717
Replication and repair	K02342K02342K02342K02337K02337K02337K03763K03763K03763K02341K02341K02341K03469K02335K02335K02335K02335K10563K10773K03652K01142K03723K03702K03703K03657K03657K03555K07456K03629K03553K03551K01159K04066K10979	169.1906105848	98.8284796367
Signal transduction	K00850K00850K03841K01623K00134K00927K01689K00016K01179K01092K00940K01425K09474K04079K07636K07667K01644K05966K07708K10126K00575K03406K03408K03413K03412K13588K15011K07165	123.0548984995	110.7308317569
Signaling molecules and interaction	K05770	0.0	6.1898445737
Transcription	K03040K03043K03046K03060	33.3746550534	8.1632653061
Translation	K01874K00604K01885K02945K02967K02982K02986K02988K02992K02996K02946K02948K02950K02952K02954K02956K02961K02963K02965K02968K02970K02863K02886K02906K02926K02931K02933K02935K02864K02867K02871K02874K02876K02878K02879K02881K02887K02888K02890K02892K02895K02897K02899K02902K02904K02907K02909K02911K02913K02914K02916K02433K02434K02435K01872K01876K01893K01878K01879K01868K01875K01869K01870K01887K01881K01889K01890K01866K03113K03685	895.7211156876	397.44623448699997
Transport and catabolism	K12373K01897K01201K01444K00869K04565	15.671098809	22.251215409300002
Unclassified: genetic information processing	K03704K03545K07400K03630K07460K07461K07478K07491K09747	56.5591047388	75.1902727402
Unclassified: metabolism	K22024K00154K00311K00344K03923K03387K07304K07223K06911K07336K14189K22617K00684K00809K13292K03734K05970K07107K08296K05985K15532K03653K01462K11206K09022K03924K19802K00346K00347K00348K00350K00351K19504K02379K04755K05524K03612K04488K04023K06997K18586K15977	176.9072320128	185.1359635609
Unclassified: signaling and cellular processes	K21990K03305K03308K03453K07085K06412K07166K06217K03642K02005K02200K21571	52.0876885719	35.1840758225
Xenobiotics biodegradation and metabolism	K00121K00121K00121K00121K00128K01692K01692K01692K00074K07516K00632K00632K00760K00940K01951K01520K00857K00055K00055K03782K00799K00799K00799K01061K01061K01061K10680	41.5371518671	263.4903249985
