Genus	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
Flavonifractor	74767	31929	97298	180796	86163	95331	5909	216847	195178	49873	16310	94188	59741	43815	156097	18685	30066
Ruminococcus	86309	10351	7498	19304	938	3792	160	1604	2474	338	871	19684	381330	214292	587211	27470	15169
Paraprevotella	36163	7991	769758	18323	29487	5312	4344	3047	1477	2341	15629	18323	20856	170325	13278	11374	33322
Collinsella	89143	8918	4723	24243	939	21321	350	21193	2793	159773	295	251606	46949	46237	48377	289529	132469
Thomasclavelia	4689	9718	3793	62504	63438	177371	7860	1838	689152	21516	18942	16160	14640	12350	15368	13381	12288
Eubacterium	35855	33033	15749	39230	9540	11003	1386	4601	9877	1980	3582	58454	35434	68966	643944	105714	37842
Dialister	60234	445	4838	10781	234	2838	575	436	135783	177	377	59059	722453	987	78343	26233	3961
Haemophilus	5444	320041	259513	360	52	678	51	261	748	773	1230	13755	8818	26259	3931	156958	134850
Wujia	6721	72890	2324	1531	1044	1720	29	727	9941	547	596	11974	112670	240565	333882	37956	20498
Dysosmobacter	7478	28923	113303	136044	52207	2274	679	12860	27507	797	2041	105332	132907	40069	131378	16127	14323
Anaerobutyricum	21966	14627	7437	5220	1138	20129	374	12932	5477	1238	2018	94651	54153	91892	204704	206546	54015
Vescimonas	9844	36558	37853	53300	2540	2315	1185	4489	16283	1596	1249	92584	195061	168093	53304	54748	51309
Enterobacter	767	590	2255	2887	629	3464	16383	51398	7530	9289	4331	5529	5129	2643	1354	3533	570919
Olea	760	4562	1033	1371	1449	517	28	416	1076	113	1100	15998	51838	428873	32940	51224	69863
Butyricimonas	35368	153672	199372	46703	46190	675	1539	24150	437	276	1739	27698	50058	28413	27668	4225	10392
Catenibacterium	575	1817	562	1216	161398	365	31	171	567	77	173	6153	82708	39636	2475	223823	118078
Streptococcus	16356	18759	153780	9792	2533	12276	416	1586	8449	7433	2131	130967	62416	60539	39675	37265	73947
Odoribacter	59499	216641	93700	53329	5010	347	107	46635	1144	143	4604	25339	19216	77605	1065	5012	6970
Clostridium	12811	35727	15614	70222	7725	39204	694	7038	29506	10154	13934	53773	45423	43259	52364	50078	56587
Romboutsia	6244	1314	207	1693	199	61768	1	23	303	109	547	56717	23841	21171	12687	310408	40649
Anaerostipes	35743	14226	7597	10979	6807	12799	362	18742	12224	2155	7588	83953	23855	32047	105665	81125	34717
Lachnoclostridium	10608	25175	13886	15466	14933	42045	6157	4982	27992	2721	16088	57242	29780	28197	51928	49144	37390
Carjivirus	382133	2	40	0	80	31	128	306	35	211	53	0	3	2024	1	19398	0
Hungatella	30201	20077	28915	19598	26297	25291	622	9919	59136	4072	42343	26944	19242	17088	28476	16250	19897
Subdoligranulum	5418	11096	2776	36035	1474	2360	378	1187	5551	536	1672	107072	48393	13354	88560	30247	35323
Pseudomonas	5895	18422	4205	9002	2986	1293	17616	2058	184335	89517	695	9343	13815	9607	6210	5008	8633
Butyrivibrio	14720	9483	10979	5569	1111	7163	432	2119	54942	275	1219	33331	17273	37215	38232	68569	35910
Clostridioides	6629	11511	7690	10679	4112	39826	513	4185	23335	4309	4081	29046	58491	40395	29075	32850	19850
Citrobacter	348	332	3014	2390	696	13043	68061	183047	4871	9164	5564	1524	5478	967	514	1179	11258
Capsicum	2822	4422	2880	3974	3237	1757	71	651	5374	316	2873	12990	22253	118276	21402	28377	76931
Intestinimonas	3261	23402	12923	17653	5316	3936	4864	4609	48392	381	665	19779	60130	41407	19307	11727	14311
Solanum	2436	4828	3261	3853	1381	2524	89	814	7509	231	3130	16846	30704	84676	36022	65139	13284
Schaalia	3056	845	15418	993	578	12325	6407	898	64904	115026	1107	22201	6315	4443	2946	6306	8319
unclassified	7081	6449	25550	12919	2018	25308	308	2690	13859	43534	9962	37271	14472	16323	14972	21304	13031
Sellimonas	9850	3620	2073	2976	14008	2341	478	785	1143	434	1167	149102	4696	6526	26524	7085	7076
Pusillibacter	6766	8672	19389	72532	4790	2324	1094	5560	10497	671	702	25182	31656	14228	17235	7044	8706
Anaerotruncus	14105	27187	15559	10736	1849	2791	3184	8795	4024	577	1999	38771	27906	18713	27470	6317	14236
Oscillibacter	3889	7600	5735	19753	2533	525	196	3375	13159	525	444	21535	66444	32746	11381	6757	11051
Desulfovibrio	3375	44390	5577	19196	3151	307	2906	2019	3846	1958	1178	52768	31981	14101	5217	2327	9769
Flintibacter	3239	12624	12341	16176	3362	519	853	7419	59836	337	1418	12339	24496	11976	17087	4734	8589
Kluyvera	53	69	107	327	55	465	90951	87048	2996	1338	466	1050	6230	193	289	108	3988
Faecalibacillus	12372	24410	7834	16602	1311	1090	15	4551	1568	55	544	39665	4548	6182	29963	3686	40709
Paenibacillus	6266	8770	7338	11426	2909	3939	486	2163	15121	977	1423	16301	20808	23668	17982	18905	17173
Sutterella	6430	9131	2690	19628	88125	29	42	125	1296	294	151	818	9030	27459	428	314	1623
Daucus	521	773	409	553	1451	266	31	83	1621	27	489	2760	6335	77379	10018	6527	38029
Acidaminococcus	122227	289	865	6503	331	753	38	147	3758	167	138	890	2074	1551	1733	840	641
Cupriavidus	721	664	1056	1525	367	166	6757	164	80969	34535	131	1603	2500	1252	887	517	1274
Streptomyces	7503	4986	4372	13088	2774	1208	759	1182	14486	1428	759	13902	22309	13462	8750	6630	11044
Shigella	5482	60	1424	3676	999	6677	4190	65709	6768	13475	10826	118	93	343	58	471	1213
Porphyromonas	2586	5330	5342	6044	2408	280	134	1597	11631	670	45156	4712	11685	6225	1750	5734	4572
Lacrimispora	3973	4700	6300	3989	1635	16401	215	3395	2686	850	1892	9951	6879	11658	13174	10092	12782
Enterococcus	2007	4090	3111	3326	2205	15491	8038	2442	15243	948	1368	12033	8727	5023	8622	5809	11778
Marvinbryantia	2459	3809	2674	2538	671	5016	229	5469	16825	373	704	8659	7094	8160	10933	16170	14199
Eggerthella	5802	1205	3727	1816	5110	13847	7434	2230	1283	21357	2239	4337	5627	1964	10335	11081	1809
Barnesiella	6643	3821	10171	14949	11655	2140	108	9349	357	6507	6066	6965	2188	3387	11191	926	2740
Triticum	1350	2399	1991	2871	551	718	75	325	2487	313	1236	7295	8314	30007	3648	8700	26841
Bradyrhizobium	1622	1445	1366	2789	938	487	2190	371	45826	18971	141	2648	4003	2963	1972	1488	2450
Oxalobacter	3298	5408	239	329	75	37	7	779	1050	25	315	30577	37260	4425	470	956	587
Webervirus	0	85574	0	0	0	0	0	0	2	0	0	0	116	0	0	0	0
Hoylesella	1100	7012	17080	7460	1105	245	103	890	1588	117	376	4078	13623	11476	2442	6623	9015
Morganella	181	420	296	227	98	242	57729	18317	1500	44	722	253	285	439	434	181	219
Campylobacter	1314	1305	37384	1752	1419	2483	66	556	4633	201	1322	4821	3634	3669	5991	3752	5846
Methanobrevibacter	53	150	64	278	19	151	7	60	491	4	42	204	247	244	289	72818	5020
Adlercreutzia	3019	1450	1369	3777	469	28	32	119	325	47	80	13273	11787	748	212	37772	3676
Salmonella	283	236	808	2545	1075	3351	5853	41738	5189	5413	4377	577	655	473	188	2746	1185
Anaerocolumna	2442	3576	3112	2976	512	4195	115	988	2109	303	981	9319	4754	8718	8560	11235	11656
Ralstonia	235	390	197	433	171	19	4038	33	47456	20224	19	327	575	461	158	155	361
Pseudobutyrivibrio	2934	2760	1832	935	182	947	6	644	1024	62	204	8110	3683	11150	6754	22036	11594
Flavobacterium	2430	6064	6883	10396	2327	1304	127	1092	2409	140	1610	8442	7040	6793	4406	3897	4440
Wansuia	2125	1848	2138	2203	2064	7287	226	1137	1487	223	595	9086	4292	6798	5677	12915	8540
Actinomyces	957	629	2108	1441	405	2712	1882	164	18470	11945	429	6655	4149	3709	2505	4887	3087
Emergencia	532	2198	30094	3222	540	630	26	776	3478	144	1212	8496	2162	2762	2334	2182	2286
Bacillus	1981	3696	2512	2856	788	2974	73	1077	5848	273	1031	5484	5887	7458	7362	7008	6565
Massilistercora	1431	2870	2029	2346	1386	2142	1985	1018	5886	554	411	7441	5075	4752	9452	8023	5561
Papaver	1142	2266	1759	2228	717	1272	62	478	2235	182	1548	4086	5515	18370	6624	7257	6492
Candidatus_Nanosynbacter	2075	174	1543	2002	268	10779	6	348	2667	20785	988	10927	1145	157	2549	3817	741
Faecalitalea	326	8063	1431	1792	476	3148	27	251	378	110	324	8945	4199	4244	3188	8533	5884
Corynebacterium	2364	2479	1837	4195	1132	582	142	527	4397	1233	282	4189	7749	6078	3307	3159	3753
Vibrio	996	1984	1971	2945	407	1254	245	773	3843	242	600	3759	3455	4935	3268	13160	3314
Vigna	1294	2464	1574	2460	576	2124	24	395	3533	111	1950	6048	4572	5678	4250	5895	3962
Monoglobus	1386	569	754	2911	207	143	13	208	767	287	687	7641	2411	7697	3482	6578	11155
Sodaliphilus	1198	4318	2917	2492	943	2308	34	183	1007	220	246	820	6909	5786	1440	10680	5161
Chryseobacterium	978	2774	4622	5795	1691	1111	71	519	2083	325	1038	4885	4887	5612	3133	3172	3923
Coprobacter	1214	1986	3320	9286	5767	307	256	2047	403	547	3200	4280	9250	965	1098	265	715
Caproicibacterium	794	1109	945	2538	434	1182	137	384	1417	127	308	5230	5901	9722	5173	5792	3697
Qiania	2452	1715	1384	1841	598	2165	110	893	1124	353	488	5618	4116	3346	9261	4673	3903
Novisyntrophococcus	977	3502	1645	1136	333	1715	250	495	2551	148	320	4492	4327	6117	4738	4543	5961
Lachnoanaerobaculum	1404	1753	1332	1739	203	1998	37	520	610	67	490	5047	2987	5335	6874	8260	4318
Kosakonia	384	234	385	683	185	746	911	31889	1449	1379	996	467	671	662	251	559	664
Akkermansia	1642	3146	1630	2308	741	450	71	1711	1626	168	624	3236	2645	2045	1373	14611	4108
Gordonibacter	1362	176	1073	1884	703	168	36	364	1589	122	359	4198	5319	1482	12209	9811	657
Peptacetobacter	193	431	161	389	72	372	1	69	52	26	407	766	418	33785	739	1380	1337
Pisum	1393	2457	1819	2479	619	1143	58	277	3312	110	1693	3976	4067	4185	3733	5170	3903
Gossypium	1343	2106	1401	2307	624	1400	42	332	2025	235	1786	5354	4992	3490	3441	5340	3803
Hymenobacter	3809	4018	3845	5672	2156	209	46	413	1607	96	116	3508	4238	3796	2129	1227	2778
Lactuca	1222	1979	1786	2171	485	1413	20	339	1558	122	1656	4733	3988	3698	3159	7860	3323
Sphingomonas	1628	1485	1264	2947	643	183	432	279	6694	2046	135	2812	5376	3730	3040	1717	2755
Ligilactobacillus	985	835	937	921	334	964	50	237	688	53	224	4489	2324	2778	9407	6905	4343
Solibaculum	733	1422	686	2267	586	1009	1970	250	995	475	280	3136	4880	7147	3577	3529	2231
Treponema	942	990	1155	1823	260	632	87	306	3623	158	298	2684	3277	7914	3440	4391	3032
Selenomonas	1481	1098	3928	1964	413	630	36	282	3856	260	166	2422	6555	4486	2737	2010	2356
Nicotiana	1079	1636	1171	1762	1359	816	22	470	1951	103	1001	2766	4046	4396	3032	4457	3964
Staphylococcus	713	2603	1131	1284	423	1922	38	318	1104	174	1027	4335	3845	4217	3579	3871	3343
Muribaculum	1025	4347	2681	4873	984	147	97	446	438	510	401	1337	2704	4702	1082	5899	1689
Zingiber	857	1954	1292	2317	743	889	48	736	2287	128	1637	3826	3339	3021	2855	3887	3308
Acutalibacter	746	1109	1129	2750	864	715	116	566	1988	258	243	4737	6717	3411	2885	2357	2205
Asparagus	615	999	597	1050	270	404	35	142	899	91	1090	2708	3250	7144	1769	5818	4686
Aminipila	548	1359	1632	2260	552	1122	84	426	2379	147	297	3342	3424	3807	3782	3622	2235
Helianthus	1047	1802	1517	2060	507	656	30	542	1737	122	1787	3435	3115	2941	3410	3468	2669
Pyramidobacter	495	524	587	790	278	146	10	88	4608	52	49	17394	1950	1818	394	585	638
Rothia	519	340	757	562	346	582	259	150	5035	5618	92	3184	5150	3496	982	1449	988
Pyricularia	82	239	110	120	38	13	4	12	216	8	21	765	2607	12868	1410	4830	3216
Tannerella	4310	2552	2827	2892	940	154	27	356	1088	873	112	1817	2342	2851	756	593	1957
Anaerotignum	502	2415	2614	347	262	2154	48	2828	107	51	88	3923	3692	2028	1852	887	2510
Hordeum	920	1606	1026	1809	1374	495	76	205	1279	176	678	3199	2739	3194	1553	2683	2946
Microbacterium	1199	758	930	2162	288	242	120	186	2235	469	121	2907	5303	2781	1947	1652	2562
Vitis	520	871	430	637	422	466	38	121	943	43	564	1439	1840	1958	11713	2081	1421
Mogibacterium	436	510	7285	869	117	1595	18	200	875	626	205	2217	1275	1830	1775	2816	2535
Lolium	1141	1278	1389	1864	450	559	42	207	985	113	778	2130	2763	3209	2017	3641	2602
Pseudodesulfovibrio	746	560	962	2856	618	237	560	415	2830	372	294	2777	5294	2434	1090	643	2246
Burkholderia	1479	1429	1466	2386	1050	245	267	254	2279	494	132	2230	3406	3361	1624	921	1895
Nocardioides	1560	1347	850	2595	703	93	113	225	2720	252	96	2781	4547	2328	1343	1129	1808
Sphingobacterium	471	1962	2357	3733	550	264	15	335	1434	399	536	1993	2470	2910	1264	1518	1799
Maliibacterium	473	746	505	1996	303	116	436	196	2566	101	85	2447	5754	3649	1465	1640	1083
Chordicoccus	582	889	721	947	203	928	115	377	264	72	125	2938	3372	3468	2777	2390	3386
Mucilaginibacter	821	1685	2508	2594	752	277	61	297	1125	35	202	2960	2677	3144	1098	1217	2049
Arthrobacter	1081	1124	736	1913	442	343	79	238	2344	361	143	2647	3779	3002	1844	1497	1910
Mesorhizobium	1014	985	594	1600	359	390	342	150	4365	1856	68	1938	3137	2711	1201	942	1662
Elaeis	555	1653	1077	1104	434	596	31	209	979	79	1280	2662	2184	2140	2521	3573	2122
Amedibacterium	361	1960	1353	889	1095	1058	38	229	752	272	298	3961	1682	1833	1785	3252	2317
Benincasa	724	1360	835	1336	317	957	62	201	1522	49	1298	3140	2496	2390	1501	2586	2153
Mycolicibacterium	1716	1406	905	2256	661	176	118	215	2486	283	132	2079	3505	2239	1544	994	2039
Aegilops	99	398	123	350	18	47	8	15	41	46	60	1073	2274	10499	1990	2832	2810
Comamonas	533	800	11912	891	320	90	442	112	1291	96	50	929	1213	1134	595	321	1838
Turicibacter	1168	301	91	1153	49	419	8	101	1069	22	152	475	2048	1075	537	1183	12715
Longicatena	611	1627	513	999	390	804	34	249	622	428	499	1641	2414	1293	7656	1272	1508
Christensenella	820	669	1887	1136	249	186	97	181	2734	45	389	2191	4530	2970	1888	1219	1147
Lactobacillus	531	1240	707	1012	417	688	73	1653	571	95	395	2601	2839	2321	1960	2251	2851
Caldicellulosiruptor	550	950	413	1417	125	316	32	186	601	39	662	2926	1608	4064	2234	3533	1881
Salvia	873	1067	786	1239	448	554	54	201	591	57	1154	2547	2408	2259	2475	2636	1995
Mycobacterium	1697	1200	1695	2365	716	185	177	241	2113	221	192	1721	2605	2431	1200	924	1585
Rhizobium	1022	976	1264	1724	332	375	179	271	1914	300	108	2143	3236	2457	1564	1577	1785
Acinetobacter	518	1098	1258	1915	279	1153	158	389	1681	185	409	1769	2033	2491	2086	1815	1943
Pseudoprevotella	361	1754	2370	2042	219	36	2	63	109	5	18	505	4338	6597	505	600	1514
Olsenella	312	362	690	1676	161	94	96	87	1358	482	40	2441	3545	1432	1300	3090	3870
Lupinus	541	1131	1122	990	423	710	18	158	1040	59	674	4066	2299	1971	1735	1904	1745
Duncaniella	4006	1315	2087	3036	496	251	19	316	60	45	1515	855	1324	2984	510	587	937
Pedobacter	440	1500	2334	2740	373	418	13	210	964	56	335	2015	2324	2849	1000	872	1720
Terrisporobacter	115	327	51	1225	156	358	5	9	784	11	139	415	366	692	388	1739	12911
Ethanoligenens	331	609	402	1494	218	198	49	116	815	46	99	1957	4383	3469	1723	1679	1898
Raoultibacter	145	285	260	550	1144	25	31	8	367	71	127	1299	2104	8592	190	2834	1040
Halomonas	1504	1562	961	1782	819	234	119	319	1670	178	135	1456	2868	1951	1060	901	1310
Amycolatopsis	1210	1141	600	1966	510	83	123	171	2823	99	103	1862	2855	1614	1425	794	1361
Cucumis	851	1247	650	1085	357	488	33	127	917	56	707	1835	2652	1978	1566	2554	1454
Paeniclostridium	300	438	27	332	72	2338	7	49	254	10	417	1550	997	1105	527	7635	2367
Chitinophaga	856	1581	1678	2735	493	333	13	231	774	32	170	1736	1963	2591	981	736	1430
Juglans	642	1043	678	1051	495	317	14	125	935	95	706	2085	2004	1762	1564	2494	2322
Panicum	652	906	675	1111	532	475	40	131	1256	69	369	2111	1949	1964	1657	1818	2023
Paraburkholderia	850	874	1090	1640	505	282	194	144	1064	176	106	1492	2494	2633	1209	976	1928
Spirosoma	1908	1933	1464	2103	1014	197	24	206	826	96	258	1308	1838	1529	780	690	1423
Impatiens	535	892	645	981	170	584	31	201	693	50	647	2166	1501	1505	1778	3637	1544
Aeromonas	637	854	621	1209	603	242	2088	499	1859	206	337	1399	2130	1308	1095	940	1475
Cajanus	400	904	605	888	201	545	12	83	711	53	826	2411	1653	2167	1643	2640	1603
Quercus	576	929	827	912	240	468	20	150	1472	69	679	1786	2007	1545	1945	1982	1647
Shewanella	767	895	872	1490	457	407	121	944	939	84	215	1351	1965	2556	1233	1521	1358
Anaeromicropila	497	886	907	579	75	650	2	191	90	32	299	1937	1071	2375	2333	1947	3275
Micromonospora	1208	1069	611	1815	575	150	89	177	1456	139	123	1724	3072	1608	1275	831	1208
Musa	483	590	315	553	359	778	10	79	594	25	322	1092	1596	4671	1393	2491	1739
Sesamum	391	702	336	630	102	215	11	58	308	9	338	1262	1331	4990	1722	3251	1311
Deinococcus	815	713	458	1529	416	120	89	160	1565	73	116	1838	2986	2077	1243	808	1342
Brevibacillus	543	673	688	974	215	442	69	170	2943	79	166	1399	1553	1699	1421	1664	1540
Nocardia	1096	881	555	1507	431	116	107	164	1800	155	176	1720	2342	1633	1215	687	1407
Cicer	430	760	619	828	189	558	29	291	1218	152	497	2002	1478	1131	1606	2129	2039
Paracoccus	1226	1363	678	1736	666	100	83	196	1151	97	77	1315	2352	1677	1101	733	1208
Neisseria	715	2297	2262	823	237	160	141	231	1001	230	59	1265	1422	1526	854	1354	1165
Telopea	603	931	778	964	247	487	22	367	966	57	429	1754	1617	1490	1452	1964	1593
Limosilactobacillus	213	325	4770	382	394	212	52	79	2290	52	134	840	1117	1373	764	1421	1264
Caproicibacter	371	402	383	977	200	1249	38	113	526	95	124	1605	2911	2652	1731	928	1177
Paraclostridium	326	371	45	231	51	2015	0	19	469	4	287	1323	672	1212	532	6257	1569
Zea	607	929	641	1354	272	434	38	110	907	78	415	1845	1697	1627	1274	1782	1344
Diospyros	386	822	791	764	145	329	11	356	1314	50	619	2623	1171	1065	1388	1963	1535
Macadamia	310	821	553	947	802	335	7	100	1521	53	360	1492	1395	2302	1049	1669	1600
Stenotrophomonas	965	820	636	943	486	52	256	307	3271	1041	50	905	1307	882	763	853	1188
Gemella	769	1246	622	164	90	1103	0	153	525	50	216	1266	1534	1856	1583	1883	1596
Thermocaproicibacter	268	236	335	926	147	343	27	85	723	24	53	1072	1399	4591	1368	1653	1384
Cannabis	339	813	625	594	127	544	137	93	1024	52	484	1977	1591	1290	1108	2234	1405
Leclercia	290	271	351	679	242	748	880	4600	2178	1005	770	211	257	332	134	457	1005
Camelina	446	891	683	732	144	601	8	80	1054	137	569	2200	1223	1397	1192	1579	1328
Planococcus	555	580	410	714	180	293	31	129	2515	66	145	1038	1154	2415	1322	1315	1363
Jahgtovirus	23	13505	0	0	22	2	0	8	0	0	3	528	2	0	1	0	0
Rhodococcus	694	500	402	1080	311	135	69	97	2421	130	40	1126	2157	2062	769	879	1031
Petrimonas	426	3634	1879	1283	317	215	3	105	137	6	130	856	1892	1457	208	537	788
Aggregatibacter	424	5597	1354	97	31	73	6	15	546	754	50	249	341	1069	163	1280	1819
Cynara	501	777	544	827	465	599	60	135	949	43	401	1580	1681	1306	1059	1582	1307
Synechococcus	559	643	500	1105	322	180	40	111	1603	56	73	1888	1931	1768	1110	857	1069
Parolsenella	511	235	283	1029	231	102	13	138	597	234	56	1344	1996	1063	472	2110	3353
Caproiciproducens	331	430	380	1640	270	212	31	127	523	41	86	1528	3111	1836	1115	977	1045
Mangifera	458	841	456	658	223	340	11	101	1180	26	425	1181	2043	1134	962	2246	1387
Capnocytophaga	276	1101	1616	1643	661	124	4	164	1315	12	136	1113	1794	1843	570	514	694
Desulfitobacterium	155	268	337	641	127	772	48	126	678	54	210	777	3905	1615	746	1499	1615
Beta	500	810	558	789	203	287	29	154	481	57	835	1711	1132	1447	1265	1682	1556
Ziziphus	486	539	276	566	123	300	20	97	1236	24	723	1486	1140	1146	1312	3137	821
Physcomitrium	521	944	461	779	156	296	2	99	912	45	526	1682	1542	1549	978	1630	1219
Pontibacter	1043	1414	1055	1485	610	99	9	163	349	20	27	894	1652	1815	433	883	1355
Variovorax	815	705	980	1167	410	118	82	113	558	67	73	1416	2310	1223	914	689	1441
Thermoanaerobacterium	278	888	767	951	26	213	18	140	657	21	260	1736	1030	1835	1124	1539	1577
Neobacillus	360	633	583	802	147	538	19	180	561	73	246	1539	944	1598	1518	1723	1560
Raoultella	357	131	184	309	151	697	1821	4456	660	1096	860	246	414	212	108	792	499
Phaseolus	431	644	556	632	94	465	14	97	570	36	660	1508	1537	1401	1293	1752	1284
Weissella	79	219	157	128	53	182	12	71	330	19	74	5072	4373	712	322	743	405
Ruminiclostridium	396	602	419	926	90	204	8	77	334	44	121	1759	901	2174	1434	2029	1415
Medicago	394	778	425	780	141	226	8	92	1139	44	547	1532	1404	1428	947	1771	1194
Proteiniphilum	392	1033	1429	2030	501	136	4	186	678	395	195	1567	1398	1277	402	446	687
Xanthomonas	748	487	345	1089	336	93	104	115	1632	280	52	1110	1874	1503	871	1197	903
Pantoea	312	438	481	837	157	368	427	457	1620	122	128	1182	1560	1942	812	774	1087
Coffea	433	572	472	699	178	212	8	105	795	50	387	3150	1497	1016	1182	1038	908
Cronobacter	95	52	156	349	61	402	495	4261	816	541	319	226	355	288	1470	1486	1239
Sphingobium	561	549	533	1032	254	159	52	129	2295	202	22	999	1630	1562	879	780	906
Dioscorea	451	753	387	976	208	349	33	126	917	45	432	1537	1276	1226	1127	1567	1092
Arachis	353	706	562	698	177	353	70	137	609	41	1031	1164	1252	1274	1262	1740	1063
Lacticaseibacillus	192	223	193	442	47	89	6	124	332	6388	20	581	1136	637	685	555	648
Populus	359	714	515	581	168	332	5	97	555	34	401	1323	1115	1217	1318	2139	1386
Serratia	403	250	505	626	271	273	937	1430	1108	177	130	1059	1263	1026	963	676	1091
Carya	359	675	383	826	253	401	23	78	984	54	688	1257	1170	1205	1182	1212	1432
Ipomoea	388	596	400	498	111	410	16	68	819	28	371	1344	1293	1751	1198	1609	1090
Acetivibrio	291	693	409	909	93	349	10	123	205	34	90	1622	977	2441	1268	1439	953
Brassica	370	867	788	935	158	343	28	150	327	58	326	1140	1550	1436	966	1326	1030
Erigeron	349	614	430	689	159	423	12	112	636	83	554	1477	1231	1010	1294	1727	981
Plasmodium	396	717	543	704	250	331	8	88	453	38	439	1642	1050	1079	1198	1641	1198
Oryza	351	606	455	838	158	789	63	81	973	57	209	1370	1328	957	1329	1122	1088
Phoenix	401	615	595	724	134	408	15	106	1150	51	385	1265	1068	1028	1234	1354	1216
Massilia	903	1026	445	1174	426	180	123	132	911	104	68	1196	1641	1113	785	529	973
Eucalyptus	385	614	543	572	598	590	19	88	656	53	218	1133	1080	1177	1175	1559	1084
Polaribacter	311	1031	773	1283	225	143	7	121	472	8	332	1262	1135	1054	884	1218	959
Agrobacterium	496	658	563	901	269	223	44	123	1061	75	96	734	1356	1918	825	843	875
Manihot	427	570	415	656	149	313	14	68	983	44	363	1628	1083	1240	1160	894	1042
Dyadobacter	796	1207	997	1729	526	204	19	123	155	14	150	1153	1052	1052	640	559	628
Citrus	393	670	613	581	156	131	8	53	501	31	573	916	1473	792	911	2246	938
Trifolium	376	624	463	541	91	155	17	68	693	30	275	1090	1072	1137	1125	2109	1016
Lactococcus	227	536	320	363	118	506	10	114	320	14	383	1384	2151	1666	755	1100	895
Mercurialis	330	570	474	622	236	309	4	76	802	57	449	1275	1361	1014	806	1233	1093
Allobaculum	233	1200	256	433	249	262	26	113	642	42	46	1323	1302	1466	619	1197	1294
Herbinix	356	355	375	457	68	437	6	123	193	51	92	1261	679	1229	1921	1589	1385
Lancefieldella	175	101	2171	323	55	752	4	71	1098	2184	54	791	463	463	408	817	586
Lysinibacillus	272	588	450	580	205	358	12	128	203	54	593	1157	1013	1397	1037	1326	1128
Lysobacter	705	871	599	1092	275	33	90	108	614	75	50	1251	1508	1078	728	468	898
Cellulomonas	543	453	353	939	162	65	47	67	1023	174	67	1089	2233	898	727	546	962
Bordetella	650	700	646	1047	351	90	115	136	620	72	64	882	1738	958	636	446	1076
