Taxonomy	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus	19	51	29	20	70	16	45	1	14	1	0	15	90	11	62	66	9	58
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis	19	51	29	20	70	16	45	1	14	1	0	15	90	11	62	66	9	58
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales	5	0	9	20	34	1	7	0	3	34	2	16	30	28	76	14	99	49
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Cuniculiplasmataceae	2	0	6	6	3	0	0	0	3	0	0	15	2	14	5	6	5	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Cuniculiplasmataceae|g__Cuniculiplasma	2	0	6	6	3	0	0	0	3	0	0	15	2	14	5	6	5	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Cuniculiplasmataceae|g__Cuniculiplasma|s__Cuniculiplasma_divulgatum	2	0	6	6	3	0	0	0	3	0	0	15	2	14	5	6	5	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae	0	0	0	1	1	1	0	0	0	29	0	1	11	5	1	3	3	1
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae|g__Ferroplasma	0	0	0	1	1	1	0	0	0	29	0	1	11	5	1	3	3	1
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae|g__Ferroplasma|s__Ferroplasma_acidarmanus	0	0	0	1	0	0	0	0	0	0	0	0	9	0	1	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae|g__Ferroplasma|s__Ferroplasma_acidiphilum	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Picrophilaceae	1	0	0	0	2	0	5	0	0	5	0	0	8	1	69	2	11	15
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Picrophilaceae|g__Picrophilus	1	0	0	0	2	0	5	0	0	5	0	0	8	1	69	2	11	15
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Picrophilaceae|g__Picrophilus|s__Picrophilus_oshimae	1	0	0	0	2	0	5	0	0	5	0	0	8	1	69	2	11	15
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmataceae	2	0	3	13	28	0	2	0	0	0	2	0	9	7	1	3	80	33
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmataceae|g__Thermoplasma	2	0	3	13	28	0	2	0	0	0	2	0	9	7	1	3	80	33
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmataceae|g__Thermoplasma|s__Thermoplasma_acidophilum	1	0	0	0	28	0	0	0	0	0	2	0	3	1	1	2	80	30
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmataceae|g__Thermoplasma|s__Thermoplasma_volcanium	1	0	3	13	0	0	2	0	0	0	0	0	6	6	0	1	0	3
k__Archaea|p__Candidatus_Thermoplasmatota|g__Aciduliprofundum	3	1	7	1	8	3	1	0	0	0	0	1	5	3	1	13	22	15
k__Archaea|p__Candidatus_Thermoplasmatota|g__Aciduliprofundum|s__Candidatus_Aciduliprofundum_boonei	3	1	7	1	8	3	1	0	0	0	0	1	5	3	1	13	22	15
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_fulgidus	5	2	6	6	13	1	0	1	0	5	0	0	11	4	12	0	3	6
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_profundus	2	0	3	1	2	0	3	0	1	0	0	0	9	23	18	9	10	4
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_sulfaticallidus	0	0	49	5	0	13	1	0	59	14	0	39	2	4	4	14	4	3
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_veneficus	0	2	0	4	4	1	1	0	0	7	0	0	6	10	3	3	0	2
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Ferroglobus|s__Ferroglobus_placidus	3	2	0	0	57	1	2	0	0	0	1	0	5	1	118	3	66	114
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus|s__Geoglobus_ahangari	13	5	2	0	4	3	0	0	4	0	1	1	17	30	26	10	11	8
k__Archaea|p__Euryarchaeota|c__Candidatus_Methanoliparia	0	0	6	8	6	0	2	0	0	2	0	14	12	5	3	2	63	1
k__Archaea|p__Euryarchaeota|c__Candidatus_Methanoliparia|o__Candidatus_Methanoliparales	0	0	6	8	6	0	2	0	0	2	0	14	12	5	3	2	63	1
k__Archaea|p__Euryarchaeota|c__Candidatus_Methanoliparia|o__Candidatus_Methanoliparales|f__Candidatus_Methanoliparaceae	0	0	6	8	6	0	2	0	0	2	0	14	12	5	3	2	63	1
k__Archaea|p__Euryarchaeota|c__Candidatus_Methanoliparia|o__Candidatus_Methanoliparales|f__Candidatus_Methanoliparaceae|g__Candidatus_Methanoliparum	0	0	6	8	6	0	2	0	0	2	0	14	12	5	3	2	63	1
k__Archaea|p__Euryarchaeota|c__Candidatus_Methanoliparia|o__Candidatus_Methanoliparales|f__Candidatus_Methanoliparaceae|g__Candidatus_Methanoliparum|s__Candidatus_Methanoliparum_sp._LAM-1	0	0	6	8	6	0	2	0	0	2	0	14	12	5	3	2	63	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum|s__Halapricum_desulfuricans	21	10	183	38	27	6	1	2	2	20	3	2	37	119	16	6	14	19
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum|s__Halapricum_salinum	9	0	1	0	8	0	0	6	0	1	0	1	12	37	31	5	12	28
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_hispanica	0	0	0	0	2	0	2	0	0	0	0	0	0	4	18	0	1	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_marismortui	4	0	0	1	0	0	1	0	3	0	0	0	1	5	2	1	0	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_sinaiiensis	1	1	0	0	1	0	0	0	0	1	0	0	0	5	2	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_sp._CBA1115	1	0	2	0	2	0	2	0	0	0	0	0	0	0	4	1	1	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_taiwanensis	0	3	11	0	8	3	0	0	0	0	3	0	3	48	20	45	8	21
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halococcoides|s__Halococcoides_cellulosivorans	1	13	1	7	21	3	0	1	3	2	0	2	14	23	13	4	1	112
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloglomus|s__Haloglomus_sp._DT116	17	11	20	8	26	15	2	4	0	44	0	0	15	37	15	3	6	10
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloglomus|s__Haloglomus_sp._ZY41	12	6	3	1	3	5	0	2	0	2	5	0	40	25	25	27	6	22
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloglomus|s__Haloglomus_sp._ZY58	0	0	0	0	5	0	0	0	1	3	1	3	24	12	5	24	14	11
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_marina	34	10	6	0	14	0	0	1	0	33	0	2	4	9	15	24	10	6
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_sp._DFY41	19	6	2	1	9	1	0	0	0	1	0	0	5	19	12	12	6	23
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_sp._GDY20	1	3	7	0	11	4	20	0	1	0	1	0	46	14	4	65	8	39
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_sp._SHR3	28	102	129	17	110	72	0	2	4	1	0	0	1	7	12	15	4	12
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_sp._SYNS111	4	4	2	1	4	4	0	0	0	5	1	0	7	10	20	12	19	2
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_sp._XH51	7	4	5	2	0	19	1	0	1	6	2	0	5	3	6	0	6	4
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_sp._YJ-61-S	3	3	1	43	6	5	0	0	1	5	0	0	6	47	7	63	5	25
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_sp._ZS-22-S1	19	2	4	0	2	3	0	0	0	0	0	1	131	27	5	6	8	39
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicrobium|s__Halomicrobium_salinisoli	13	3	9	8	21	1	0	4	0	3	4	3	37	16	22	15	11	40
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicrobium|s__Halomicrobium_sp._IBSBa	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicrobium|s__Halomicrobium_sp._LC1Hm	5	10	29	14	9	1	3	1	2	14	0	4	25	14	13	30	14	19
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus|s__Halorhabdus_sp._BNX81	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus|s__Halorhabdus_sp._CBA1104	10	1	4	0	5	0	1	0	0	9	0	0	5	13	1	13	5	52
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus|s__Halorhabdus_sp._SVX81	0	0	0	0	4	0	0	0	0	0	0	0	0	3	1	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus|s__Halorhabdus_tiamatea	13	0	1	1	3	0	0	0	0	17	0	0	56	25	20	4	3	11
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus|s__Halorhabdus_utahensis	2	0	3	3	3	0	0	0	0	2	0	0	3	31	3	0	3	5
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorientalis|s__Halorientalis_litorea	32	19	6	5	33	0	0	0	0	29	0	0	23	45	35	7	11	15
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorientalis|s__Halorientalis_marina	3	7	0	6	44	0	0	0	1	1	2	2	30	28	14	1	2	4
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorientalis|s__Halorientalis_sp._IM1011	25	8	6	4	54	0	0	0	1	0	2	1	57	69	17	48	10	4
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halosegnis|s__Halosegnis_rubeus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halosegnis|s__Halosegnis_sp._DT85	10	18	13	10	45	5	0	0	2	0	0	0	41	73	19	2	7	31
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halosegnis|s__Halosegnis_sp._ZY10	14	14	7	16	23	11	0	2	2	22	0	1	17	57	10	2	1	14
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halosiccatus|s__Halosiccatus_urmianus	7	6	6	3	64	1	0	0	1	0	6	0	17	31	17	18	11	57
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halosimplex|s__Halosimplex_litoreum	54	17	9	10	34	4	0	8	0	0	0	0	23	72	22	2	11	12
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halosimplex|s__Halosimplex_pelagicum	6	2	15	12	57	0	0	0	0	2	4	1	51	13	10	17	5	42
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halosimplex|s__Halosimplex_rubrum	3	1	5	5	21	2	0	0	6	0	0	0	4	22	9	1	2	5
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halosimplex|s__Halosimplex_sp._XZYJT29	19	2	7	0	20	1	0	0	0	10	0	0	18	60	13	29	7	146
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_gomsonensis	0	1	2	4	5	2	0	0	0	0	0	0	1	19	6	0	1	7
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_halophila	6	3	3	4	21	0	3	0	6	1	2	3	73	29	12	9	28	88
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_moolapensis	1	0	0	0	0	0	0	0	0	0	0	0	9	3	10	0	3	4
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_pharaonis	0	10	12	2	16	3	0	0	3	8	4	0	2	15	18	2	2	5
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_salina	20	48	42	6	49	21	22	0	1	3	0	0	22	18	59	23	14	23
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_sp._ZY43	8	1	2	5	3	0	0	0	1	26	0	4	20	20	6	11	6	17
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_halobius	17	2	0	1	14	8	0	1	1	37	0	0	14	27	16	57	15	15
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_pallidirubidus	0	6	18	4	5	3	0	0	0	32	1	1	1	4	6	0	88	68
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_salinisoli	41	6	4	18	15	3	0	0	8	1	3	2	20	37	25	8	6	14
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_sp._DYSN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_sp._QDMS2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_sp._YSMS36	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_sp._ZJ1	0	3	2	0	9	1	0	0	0	15	2	1	4	4	7	62	1	16
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halalkalicoccus|s__Halalkalicoccus_jeotgali	17	7	5	21	13	0	2	0	0	1	1	2	14	28	10	7	4	8
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halanaeroarchaeum|s__Halanaeroarchaeum_sp._HSR-CO	4	0	0	8	10	9	0	0	0	1	0	0	15	18	24	3	2	5
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halanaeroarchaeum|s__Halanaeroarchaeum_sulfurireducens	10	0	7	7	4	0	0	3	0	18	2	1	1	6	6	1	1	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halarchaeum|s__Halarchaeum_sp._CBA1220	3	4	7	5	11	0	1	3	1	1	1	0	52	52	28	42	7	24
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_hubeiense	55	1	9	3	38	0	0	0	4	1	1	0	31	87	20	20	13	29
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_litoreum	5	8	0	3	11	4	1	3	0	1	1	0	11	12	7	7	10	8
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_noricense	13	1	11	6	3	4	2	2	0	2	8	0	2	7	2	0	1	2
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_salinarum	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_sp._BOL4-2	0	5	0	0	1	0	0	0	0	0	0	0	1	6	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_sp._GSL-19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_sp._Gai3-17	39	2	6	7	4	3	0	1	0	1	0	0	10	20	9	1	5	15
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_sp._XZYJT26	0	2	6	19	28	3	0	0	1	1	2	1	8	31	48	1	10	12
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halocatena|s__Halocatena_marina	3	6	4	34	23	0	1	1	0	0	2	3	11	8	12	33	8	63
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halocatena|s__Halocatena_salina	25	62	32	6	44	16	1	0	16	0	0	0	13	19	9	18	10	22
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halodesulfurarchaeum|s__Halodesulfurarchaeum_formicicum	20	21	11	8	18	13	0	2	0	0	0	0	10	11	19	13	5	15
