# Pathway	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.000388133	0.000507781	0.000487057	0.000480837	0.000449431	0.000422746	0.000293507	0.00016091	0.000212167	0.000294582	0.000330237	0.000338939	0.000370435	0.000453123	0.000546914	0.000589829	0.000371798	0.000382081
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.00038399	0.000510915	0.000487775	0.000478417	0.000439326	0.000416889	0.000297896	0.00023233	0.000208846	0.000277665	0.000300437	0.000328857	0.000348929	0.000453806	0.000521888	0.000554212	0.000353439	0.000364294
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	9.1828e-05	0.000143347	0.000180003	0.000238017	0.000127605	0.000178898	0.00026804	0.000392052	0.000393106	0.000244476	0.000142382	8.44603e-05	0.000169153	0.000117361	0.000138676	0.000283147	0.000174055	0.000144962
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.000190573	0.00021767	0.000119683	0.000173337	0.000207763	0.000128385	0.000262205	9.83417e-05	0.000254364	0.000183618	0.000182945	0.000195347	0.000131131	9.09199e-05	9.60091e-05	0.00020218	8.74621e-05	0.00017021
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.000378265	0.000459232	0.000388236	0.000411089	0.000423994	0.000327797	0.000362466	0.000509623	0.000294727	0.000428384	0.000426445	0.00031428	0.00036442	0.000460688	0.000552706	0.000606645	0.000473706	0.000427414
CRNFORCAT-PWY: creatinine degradation I	0	0	0	0	0	3.51224e-07	0	6.32645e-06	0	0	3.49085e-06	0	3.96631e-07	8.41599e-07	0	3.10152e-07	0	8.40822e-07
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.000194095	8.63661e-05	8.84565e-05	0.000150424	0.000160696	4.88032e-05	0.000253038	0.000446024	0.000284828	0.000249356	0.000552294	0.000162587	7.54633e-05	5.8273e-05	6.04466e-05	5.90083e-05	0.000206117	0.000111285
DARABCATK12-PWY: D-arabinose degradation I	4.5013e-06	2.39046e-06	1.08823e-07	7.88649e-06	8.11514e-06	4.90192e-06	5.29892e-05	4.33257e-05	8.34983e-05	1.84331e-05	2.90403e-05	1.93258e-05	2.88492e-07	9.91565e-07	1.21766e-06	0	6.02884e-06	4.69355e-06
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	2.96316e-06	0	4.46297e-07	1.19269e-05	0	0	0	0	0	9.52861e-07	5.12861e-07	2.03046e-07	4.17282e-07	0	9.07104e-07	0	4.11898e-06	6.75693e-06
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.000171355	1.07388e-05	5.5631e-05	8.56466e-05	5.67709e-05	2.51866e-05	0.000123359	0.000224654	0.000186067	0.00013364	0.000137728	0.00011425	2.64584e-05	3.67363e-05	1.64215e-05	0	5.16289e-05	5.36932e-05
DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative)	0	0	5.44927e-07	0	0	0	0	3.33954e-06	0	0	0	0	0	0	0	0	0	8.1028e-07
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	0.000528114	0.000660925	0.000741931	0.000555966	0.00054325	0.000676318	0.000354984	0.000294698	0.000241281	0.000213093	0.000341029	0.000462662	0.000602405	0.000820364	0.000644761	0.00045859	0.000402411	0.000503617
ECASYN-PWY: enterobacterial common antigen biosynthesis	8.05765e-06	3.29597e-06	8.25488e-07	9.09923e-06	7.5323e-06	6.12233e-06	9.03775e-05	0.000169747	8.84035e-05	4.57561e-05	4.76577e-05	1.43337e-05	8.38159e-06	7.4228e-06	7.1773e-07	0	2.02729e-05	2.87387e-05
FAO-PWY: fatty acid &beta;-oxidation I (generic)	1.96768e-05	1.49536e-05	3.69265e-06	5.60759e-05	7.1081e-05	1.40356e-05	0.000216763	0.000448973	0.000424982	0.000203192	0.000193108	7.50269e-05	1.95766e-05	1.94067e-05	1.08512e-05	1.44243e-06	4.77574e-05	6.71009e-05
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.000291561	0.000165741	0.000192856	0.000309018	0.000265153	6.14413e-05	0.000321912	0.000486078	0.00046663	0.000198904	0.000302909	0.000270558	7.41427e-05	7.836e-05	8.49447e-05	3.59981e-05	0.000135041	0.000165917
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0	8.07884e-07	0	0	6.35785e-07	0	0	0	0	0	0.000107842	0	2.28189e-06	0	0	1.14797e-05	4.47843e-06	0
FERMENTATION-PWY: mixed acid fermentation	0.000215943	2.78395e-05	6.72949e-05	9.32595e-05	0.000173469	4.12508e-05	0.000190634	0.000417206	0.00034191	0.00016113	0.000213505	0.00020919	8.08204e-05	7.12022e-05	9.76406e-05	0.000116002	0.000177014	0.000126772
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.000207775	1.51743e-05	5.49743e-05	9.6921e-05	5.03932e-05	1.63869e-05	0.000173108	5.49495e-05	0.000159844	0.000123897	0.000109532	8.84427e-05	2.86049e-05	3.25352e-05	3.97156e-05	1.39496e-05	3.76989e-05	7.90543e-05
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.000135203	6.72344e-05	3.49346e-05	7.01566e-05	0.00012054	6.96372e-05	0.000142939	0.000432053	0.000221492	0.000116969	0.00012057	0.000156062	3.67455e-05	3.70831e-05	4.7193e-05	3.4082e-05	5.95454e-05	5.54694e-05
FUCCAT-PWY: fucose degradation	0.00011101	3.70382e-05	1.7761e-05	4.5749e-05	9.14745e-05	3.76459e-05	0.000115149	0.000388761	0.000268925	9.90546e-05	0.000108404	0.000124549	2.21041e-05	2.23902e-05	3.40191e-05	2.33872e-05	4.55541e-05	3.92914e-05
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	3.34474e-05	5.66759e-05	1.85885e-05	6.51558e-05	8.40171e-05	6.45979e-05	0.000146642	4.48344e-05	0.000145563	0.000104104	7.5427e-05	6.97495e-05	4.05145e-05	3.4146e-05	4.93691e-05	4.24586e-05	2.57268e-05	5.08789e-05
GALACTARDEG-PWY: D-galactarate degradation I	1.92183e-05	2.18758e-05	1.617e-05	5.71314e-05	0.000122471	2.49382e-05	0.000279166	0.000496991	0.00050018	0.000298228	0.000280227	0.000181157	1.77943e-05	1.18874e-05	1.71366e-05	2.15522e-06	4.89935e-05	6.26076e-05
GALACTITOLCAT-PWY: galactitol degradation	0	7.8654e-06	4.34259e-07	2.56909e-05	3.64623e-05	1.01705e-05	0.000110452	3.61448e-05	0.000192391	8.32027e-05	9.08261e-05	5.93916e-05	4.5953e-07	1.17628e-06	3.37191e-06	4.27051e-06	4.22598e-06	1.51861e-05
GALACTUROCAT-PWY: D-galacturonate degradation I	2.76248e-05	4.97358e-05	3.79889e-05	7.07761e-05	0.000110783	6.61875e-05	0.000157431	8.39839e-05	0.000149544	0.000114864	8.33059e-05	0.000118459	5.67098e-05	4.3569e-05	4.50338e-05	0.000130046	5.09756e-05	5.37923e-05
GALLATE-DEGRADATION-I-PWY: gallate degradation II	0	0	0	2.55973e-07	0	0	0	0	0	1.27483e-06	0	0	0	0	0	0	0	0
GALLATE-DEGRADATION-II-PWY: gallate degradation I	0	0	0	0	0	0	0	0	0	1.27483e-06	0	0	0	0	0	0	0	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.000173796	5.40981e-05	5.74925e-05	0.000133207	0.000151786	9.75675e-05	0.000212328	0.000146816	0.000306705	0.000222889	0.000198946	0.000161947	9.77418e-05	6.55866e-05	0.000181427	0.000185756	0.000127161	0.000210485
GLUCARDEG-PWY: D-glucarate degradation I	1.59669e-05	1.44737e-05	5.77172e-06	3.14959e-05	6.32697e-05	1.37751e-05	0.000201434	0.000440832	0.000328345	0.000177674	0.000151995	0.000109857	1.36474e-05	9.61253e-06	1.23164e-05	2.12594e-06	4.11781e-05	5.28577e-05
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	1.92183e-05	2.18758e-05	1.617e-05	5.71314e-05	0.000122471	2.49382e-05	0.000279166	0.000496991	0.00050018	0.000298228	0.000280227	0.000181157	1.77943e-05	1.18874e-05	1.71366e-05	2.15522e-06	4.89935e-05	6.26076e-05
GLUCONEO-PWY: gluconeogenesis I	0.000346254	0.000126952	0.000177221	0.000246717	0.00028571	0.000219103	0.000260624	0.000370288	0.000358256	0.000251186	0.000246317	0.000254075	0.000163952	0.000133703	0.000188911	0.00012365	0.000228843	0.000237893
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.000165774	0.000189867	6.32563e-05	9.08843e-05	0.000129753	8.09362e-05	0.00023297	0.000471365	0.000464317	0.000265448	0.000591862	0.00013003	0.000179449	0.000120505	0.000190822	0.000216254	0.000267187	0.000288765
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	5.28151e-05	8.42105e-05	4.49496e-05	8.73392e-05	0.000112441	0.000103978	0.000148584	7.09206e-05	0.000162633	0.000117629	8.74526e-05	0.000174575	5.73091e-05	5.98948e-05	6.96312e-05	0.000126743	3.94568e-05	8.29521e-05
GLUDEG-I-PWY: GABA shunt	3.38454e-05	0.000128981	4.62655e-06	7.73242e-05	0.000156268	4.17075e-05	5.87514e-05	9.44713e-05	9.83323e-05	7.85662e-05	7.345e-05	0.000202277	2.85234e-05	2.45833e-05	2.45596e-05	1.24698e-05	2.72779e-05	2.32634e-05
GLUTORN-PWY: L-ornithine biosynthesis I	0.000134979	0.000270886	0.000146861	0.000198325	0.000245068	0.000145591	0.00042212	0.000437117	0.00041539	0.000342804	0.000512784	0.000161684	0.000333435	0.000361386	0.000472192	0.00056558	0.000418126	0.000379425
GLYCOCAT-PWY: glycogen degradation I	7.93611e-05	0.000188836	0.00017496	0.000166009	0.000162863	0.00017481	0.000220921	0.000230801	0.000143172	0.000101774	0.000645611	6.52152e-05	5.27674e-05	2.66583e-05	0.000110928	7.14293e-05	7.12405e-05	5.97598e-05
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.00034191	0.000286178	0.000226995	0.00021957	0.000273772	0.000185747	0.000438385	0.000529496	0.00031007	0.000330936	0.000502473	0.000177788	0.000387384	0.000436835	0.000665812	0.000768272	0.000502122	0.000481697
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	4.19785e-06	2.34549e-06	2.39875e-06	8.54491e-06	8.19776e-06	5.1195e-06	6.12322e-05	4.36044e-05	8.83033e-05	1.96512e-05	3.29321e-05	2.04523e-05	2.40284e-06	9.85632e-07	1.20944e-06	0	6.17843e-06	4.88108e-06
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	7.13833e-05	9.05832e-05	0.000103681	0.000114042	0.000126822	0.000158583	0.000237009	0.000306633	0.000357964	0.000209634	0.000242919	0.000187365	8.4364e-05	6.92073e-05	8.91411e-05	7.92294e-05	0.000114281	0.000125532
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	1.34291e-05	1.16042e-06	3.34009e-07	1.17735e-05	0	1.48891e-06	4.16258e-05	0.000145575	2.44356e-05	4.28583e-05	3.38689e-05	1.99356e-05	1.3189e-05	1.39722e-05	6.18047e-07	0	1.66992e-05	1.1284e-05
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.000370841	0.000401341	0.000359007	0.000355208	0.000349342	0.000340194	0.000326005	0.000390457	0.000439391	0.000307844	0.000401103	0.00031084	0.000131466	0.000233034	0.000152923	0.000129268	0.00028203	0.000241244
GLYOXYLATE-BYPASS: glyoxylate cycle	1.87039e-05	8.16119e-06	3.59128e-06	4.66279e-05	6.49632e-05	2.55206e-05	0.000150654	0.000344788	0.00024689	0.0001241	0.000148169	0.00015035	1.79504e-05	1.40743e-05	1.42726e-05	1.18798e-06	5.95145e-05	5.04355e-05
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	3.3892e-05	2.63449e-06	5.66408e-06	2.32863e-05	7.43885e-06	4.4741e-06	3.00827e-05	0.000466516	4.23243e-06	8.84913e-05	1.39455e-05	1.82688e-05	2.2202e-05	2.29318e-05	1.07338e-05	1.51354e-05	5.3426e-05	3.60039e-05
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	1.16734e-05	5.54316e-06	4.42136e-07	1.48586e-05	3.42116e-05	1.07858e-05	9.78185e-05	0.000303184	0.000226794	0.000121341	8.83664e-05	0.000135819	6.03462e-06	6.69706e-06	4.77161e-06	0	2.40146e-05	1.07921e-05
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	7.04722e-05	8.92391e-06	1.69445e-05	5.08725e-05	4.71106e-05	1.3398e-05	0.000118356	0.000325685	0.000304663	0.000151414	0.000122737	8.3172e-05	1.0901e-05	7.4404e-06	8.71359e-06	6.44604e-07	3.86826e-05	2.77767e-05
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	2.29433e-05	1.04403e-05	1.74992e-05	5.35354e-05	4.27168e-05	2.31904e-05	0.000118356	0.000325685	0.000304663	0.000151414	0.000122737	7.84872e-05	9.97447e-06	7.88966e-06	1.10751e-05	3.85842e-06	3.29097e-05	4.24783e-05
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	8.49143e-05	1.17418e-05	2.09344e-05	8.24153e-05	6.70509e-05	2.5436e-05	0.000129712	0.000332527	0.000309057	0.000161995	0.000133078	0.000121672	2.15266e-05	1.34025e-05	1.74037e-05	4.93457e-06	6.11143e-05	5.04999e-05
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0	2.29243e-05	1.45305e-06	6.57092e-05	8.76049e-05	2.94995e-05	0.000194823	0.000100228	0.000306482	0.000159749	0.000177054	0.000131645	1.58415e-06	3.93606e-06	1.02361e-05	1.22529e-05	1.36089e-05	4.17805e-05
HISDEG-PWY: L-histidine degradation I	0.00024212	0.000354883	0.000422903	0.000331574	0.00033763	0.000372937	0.000131977	0.000371892	3.93702e-05	6.04452e-05	2.3693e-05	0.000206954	7.06889e-05	0.000105941	0.000113778	7.26266e-05	3.22088e-05	4.83809e-05
HISTSYN-PWY: L-histidine biosynthesis	0.000335162	0.000446568	0.000463207	0.000446142	0.00043275	0.000405471	0.000261225	0.000308037	0.000183977	0.000197038	0.000486385	0.000301109	0.000368383	0.000440061	0.000616855	0.000521516	0.000371728	0.000376935
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	2.16116e-05	1.30919e-05	6.59131e-06	5.50972e-05	8.19437e-05	1.6796e-05	0.000203987	0.000163621	0.00031427	0.00017337	0.000186415	0.000112892	1.46069e-05	1.63861e-05	1.18149e-05	5.64249e-07	4.58192e-05	5.28552e-05
HSERMETANA-PWY: L-methionine biosynthesis III	0.000310599	0.000203532	0.000179431	0.000235788	0.000190719	0.000123311	0.00019648	7.96215e-05	6.4221e-05	0.000165488	0.000388038	0.000200392	0.000227547	0.000273932	0.000283073	0.000306748	0.000250394	0.000265168
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.000457552	0.000535385	0.000446007	0.000436636	0.000527953	0.00044151	0.000515881	0.00051094	0.000481116	0.00053326	0.000795764	0.000341676	0.00034921	0.000422464	0.000570566	0.000451066	0.000477258	0.000480823
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	1.289e-05	9.62569e-07	1.73813e-06	1.54396e-05	1.61568e-05	4.15753e-06	7.00758e-05	2.6339e-05	5.91649e-05	4.8182e-05	3.98736e-05	3.37738e-05	4.1151e-06	5.18409e-06	3.51408e-06	0	3.14236e-06	1.65907e-05
KETOGLUCONMET-PWY: ketogluconate metabolism	5.91503e-06	1.98537e-06	0	2.04577e-05	1.29619e-05	1.71287e-05	0.000148702	8.50771e-05	0.000257527	0.000121509	0.000102155	2.46025e-05	3.10218e-06	2.16436e-06	1.41491e-06	7.67972e-08	2.85348e-06	2.25273e-05
LACTOSECAT-PWY: lactose and galactose degradation I	7.34895e-05	2.53492e-05	8.25698e-06	1.95586e-05	4.79902e-06	1.29217e-05	7.59678e-06	8.00703e-07	3.25162e-06	1.14538e-06	1.97006e-05	6.81593e-07	3.78002e-05	1.77751e-05	1.50932e-05	1.74042e-05	4.96073e-05	3.82146e-05
LEU-DEG2-PWY: L-leucine degradation I	0	0	0	0	0	0	0	0	0	2.27193e-06	8.546e-07	0	0	0	0	0	0	0
LIPA-CORESYN-PWY: lipid A-core biosynthesis (E. coli K-12)	0	0	0	0	1.18905e-05	0	0	4.80822e-06	6.42856e-05	1.81749e-06	2.16729e-07	0	1.08669e-06	2.63095e-07	1.15743e-06	0	0	9.41284e-07
LIPASYN-PWY: phospholipases	1.17499e-05	0	0	0	0	0	9.84262e-05	0.000247846	0.000432903	0.000119407	0.000203026	0	7.07648e-06	8.87386e-06	8.74993e-06	0	3.54448e-05	4.40611e-05
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	0	0	0	0	2.45545e-05	0	0	1.73977e-05	8.74492e-05	7.60196e-06	9.64473e-07	0	3.24663e-06	1.03035e-06	3.52656e-06	0	0	3.76856e-06
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	4.13078e-05	2.47508e-05	1.29041e-05	9.57808e-05	0.000131977	3.11933e-05	0.000291544	0.000248868	0.000323129	0.000246901	0.000286862	0.000169278	2.80631e-05	3.16409e-05	2.30561e-05	1.12688e-06	8.28702e-05	9.42167e-05
METH-ACETATE-PWY: methanogenesis from acetate	1.54129e-06	1.03828e-05	5.15985e-06	1.61545e-06	2.07321e-06	0	4.89567e-06	0	1.84915e-06	3.22186e-06	2.31573e-06	1.13542e-06	3.57947e-05	3.01369e-05	3.43704e-05	4.62785e-05	4.92165e-05	5.27966e-05
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80927e-06	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation	3.24349e-05	2.13455e-06	1.41382e-05	8.14913e-06	5.13202e-06	2.72462e-06	7.03322e-05	0.000100385	6.94468e-05	3.94515e-05	2.29904e-05	1.27273e-05	5.77222e-06	4.90761e-06	1.88944e-06	7.14893e-07	9.09073e-06	2.3396e-05
METHYLGALLATE-DEGRADATION-PWY: methylgallate degradation	0	0	0	3.15973e-07	0	0	0	0	0	1.58355e-06	0	0	0	0	0	0	0	0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	3.65785e-05	2.24569e-05	1.14177e-05	8.90726e-05	0.000129438	2.85167e-05	0.000275719	0.000239422	0.000360084	0.000236551	0.000278128	0.000167066	2.48724e-05	2.79372e-05	2.03486e-05	9.8669e-07	7.40651e-05	8.50389e-05
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	4.54011e-05	0	2.20998e-05	2.23971e-05	6.86187e-06	4.37373e-07	8.52925e-05	3.75032e-05	5.47881e-05	2.42506e-05	1.86645e-05	1.5668e-05	6.82588e-06	6.70759e-06	2.99657e-06	1.56269e-07	1.12352e-05	2.95739e-05
NADSYN-PWY: NAD de novo biosynthesis II (from tryptophan)	0	0	0	0	0	0	0	0	0	0	3.42066e-07	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	0.0001957	0.000221921	0.000323629	0.000265187	0.000224341	0.00027326	0.00020042	0.000345383	0.000271826	0.000210048	0.000122496	0.000200305	4.35984e-05	3.56372e-05	5.89305e-05	4.80159e-05	5.25301e-05	6.69245e-05
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.000396825	0.000557807	0.000536017	0.000499545	0.000524486	0.000459844	0.000336867	0.00038726	0.000302569	0.000413359	0.000481999	0.000341428	0.000404818	0.000507443	0.000691288	0.000623754	0.000446068	0.000429788
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	0.000267557	0.000248526	0.000127419	0.000191855	0.000264147	0.000177931	0.000570886	0.000791409	0.000548276	0.000425128	0.000501678	0.000297275	0.0002675	0.000174012	0.000355622	0.000400305	0.000415613	0.000400545
