# Pathway HUMAnN v4.0.0.alpha.1	C1	C2	C3	Y1	Y2	Y3
UNINTEGRATED|s__GGB9602_SGB15028.t__SGB15028	0.00683789	0	0	0	0	0
UNINTEGRATED|s__GGB9634_SGB15095.t__SGB15095	0.0255198	0.00505241	0	0	0	0
UNINTEGRATED|s__GGB9635_SGB15103.t__SGB15103	0	0.00311911	0	0	0	0
UNINTEGRATED|s__GGB9635_SGB15106.t__SGB15106	0	0.00544286	0	0	0	0
UNINTEGRATED|s__GGB9636_SGB15107.t__SGB15107	0	0.0126792	0	0	0	0
UNINTEGRATED|s__GGB9694_SGB15204.t__SGB15204	0.0123777	0.00792847	0	0	0	0
UNINTEGRATED|s__GGB9699_SGB15216.t__SGB15216	0	0	0.00335946	0	0	0
UNINTEGRATED|s__GGB9708_SGB15234.t__SGB15234	0.0175963	0.0388005	0.0386485	0	0	0
UNINTEGRATED|s__GGB9715_SGB15267.t__SGB15267	0	0	0.058195	0	0	0
UNINTEGRATED|s__GGB9747_SGB15356.t__SGB15356	0	0.00236792	0	0	0	0
UNINTEGRATED|s__GGB9758_SGB15368.t__SGB15368	0	0	0.00349379	0	0	0
UNINTEGRATED|s__GGB9760_SGB15374.t__SGB15374	0	0	0.00486717	0	0	0
UNINTEGRATED|s__Gemmiger_SGB15295.t__SGB15295	0	0	0.00487081	0	0	0.00950657
UNINTEGRATED|s__Gemmiger_formicilis.t__SGB15300	0	0	0	0.00555333	0.00418272	0
UNINTEGRATED|s__Klebsiella_pneumoniae.t__SGB10115	0.213741	0.169724	0	0	0	0
UNINTEGRATED|s__Klebsiella_quasipneumoniae.t__SGB10112	0	0.0243319	0	0	0	0
UNINTEGRATED|s__Lacrimispora_celerecrescens.t__SGB4868	0	0	0	0	0.00526473	0
UNINTEGRATED|s__Oscillibacter_sp_ER4.t__SGB15254	0	0.0063258	0.00785247	0	0	0
UNINTEGRATED|s__Oscillospiraceae_unclassified_SGB15256.t__SGB15256	0.00931874	0	0	0	0	0
UNINTEGRATED|s__Phocaeicola_vulgatus.t__SGB1814	0	0.00800736	0	0	0	0
UNINTEGRATED|s__Pyramidobacter_piscolens.t__SGB15497	0	0.0120094	0	0	0	0
UNINTEGRATED|s__Roseburia_faecis.t__SGB4925	0	0	0	0	0	0.0118845
UNINTEGRATED|s__Ruminococcus_callidus.t__SGB4422	0	0	0.00164258	0	0	0
UNINTEGRATED|s__Ruminococcus_gnavus.t__SGB4584	0	0	0	0.036838	0	0
UNINTEGRATED|s__Ruminococcus_lactaris.t__SGB4557	0	0	0	0	0	0.00657031
UNINTEGRATED|s__Ruminococcus_sp_AF13_28.t__SGB4834	0	0	0	0.128226	0.0322481	0.10702
UNINTEGRATED|s__Ruminococcus_sp_AF41_9.t__SGB25497	0	0	0	0	0.0234206	0
UNINTEGRATED|s__Ruminococcus_torques.t__SGB4563	0	0	0	0	0.039963	0
UNINTEGRATED|s__Ruthenibacterium_lactatiformans.t__SGB15271	0.0113968	0	0	0	0	0
UNINTEGRATED|s__Streptococcus_salivarius.t__SGB8007_group	0	0	0	0.0161652	0.0159962	0
UNINTEGRATED|s__Vescimonas_coprocola.t__SGB15089	0	0	0.00973899	0	0	0
UNINTEGRATED|unclassified	0.022586	0.0163945	0.0156086	0.0105412	0.0317059	0.0233542
1CMET2-PWY: folate transformations III (E. coli)|s__Akkermansia_muciniphila.t__SGB9226	0	0	3.27802e-05	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Alistipes_onderdonkii.t__SGB2303	1.02948e-05	0	5.06613e-05	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Alistipes_putredinis.t__SGB2318	0	0	3.48692e-05	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Alistipes_shahii.t__SGB2295	0	0	2.54383e-05	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Anaerobutyricum_hallii.t__SGB4532	0	0	0	3.43874e-05	4.83684e-05	3.98048e-05
1CMET2-PWY: folate transformations III (E. coli)|s__Anaerostipes_hadrus.t__SGB4540_group	0	0	0	5.93755e-05	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Bacteroides_uniformis.t__SGB1836	0	6.30301e-06	3.33471e-05	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	0	0	0	0	0	0.000133429
1CMET2-PWY: folate transformations III (E. coli)|s__Blautia_faecis.t__SGB4820	0	0	0	3.50279e-05	1.99679e-05	0
1CMET2-PWY: folate transformations III (E. coli)|s__Blautia_massiliensis.t__SGB4826	0	0	0	1.89871e-05	1.24947e-05	0
1CMET2-PWY: folate transformations III (E. coli)|s__Blautia_obeum.t__SGB4811	0	0	0	3.34776e-05	3.46997e-05	0
1CMET2-PWY: folate transformations III (E. coli)|s__Blautia_wexlerae.t__SGB4831	0	0	0	0	3.3324e-06	0
1CMET2-PWY: folate transformations III (E. coli)|s__Blautia_wexlerae.t__SGB4837	0	0	0	3.73797e-05	8.74409e-06	2.49562e-05
1CMET2-PWY: folate transformations III (E. coli)|s__Comamonas_kerstersii.t__SGB12676	2.28973e-05	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Coprococcus_comes.t__SGB4577	0	0	0	0	1.87757e-05	0
1CMET2-PWY: folate transformations III (E. coli)|s__Dorea_formicigenerans.t__SGB4575	0	0	0	0	1.21611e-05	0
1CMET2-PWY: folate transformations III (E. coli)|s__Dorea_longicatena.t__SGB4582	0	0	0	2.14779e-05	4.32155e-05	0
1CMET2-PWY: folate transformations III (E. coli)|s__Escherichia_coli.t__SGB10068	0	0	5.15374e-05	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Faecalibacillus_intestinalis.t__SGB6754	0	0	0	2.75578e-05	0	2.00559e-05
1CMET2-PWY: folate transformations III (E. coli)|s__Faecalicatena_fissicatena.t__SGB4871	0	0	0	0	1.71744e-05	0
1CMET2-PWY: folate transformations III (E. coli)|s__Klebsiella_pneumoniae.t__SGB10115	0.000111967	8.6368e-05	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Klebsiella_quasipneumoniae.t__SGB10112	0	1.22449e-05	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Phocaeicola_vulgatus.t__SGB1814	0	4.75725e-06	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Roseburia_faecis.t__SGB4925	0	0	0	0	0	1.14621e-05
1CMET2-PWY: folate transformations III (E. coli)|s__Ruminococcus_gnavus.t__SGB4584	0	0	0	1.74889e-05	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Ruminococcus_sp_AF13_28.t__SGB4834	0	0	0	7.02864e-05	1.2447e-05	6.61323e-05
1CMET2-PWY: folate transformations III (E. coli)|s__Ruminococcus_torques.t__SGB4563	0	0	0	0	4.67617e-05	0
1CMET2-PWY: folate transformations III (E. coli)|s__Streptococcus_salivarius.t__SGB8007_group	0	0	0	1.26129e-05	0	0
1CMET2-PWY: folate transformations III (E. coli)|unclassified	7.86696e-05	6.21817e-05	6.9181e-05	2.5137e-05	9.5108e-05	8.48001e-05
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|s__Klebsiella_pneumoniae.t__SGB10115	0.000186222	0.000117979	0	0	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|s__Klebsiella_quasipneumoniae.t__SGB10112	0	1.06019e-05	0	0	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|unclassified	1.09367e-05	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|s__Klebsiella_pneumoniae.t__SGB10115	6.00557e-05	0.00013634	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|unclassified	2.45143e-05	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|s__Bacteroides_uniformis.t__SGB1836	0	0	1.61743e-05	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|s__Collinsella_aerofaciens.t__SGB14535_group	0	0	0	0	5.06186e-05	0
ANAEROFRUCAT-PWY: homolactic fermentation|s__Escherichia_coli.t__SGB10068	0	0	5.16723e-05	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|s__Klebsiella_pneumoniae.t__SGB10115	0.000134062	0.000108136	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|s__Klebsiella_quasipneumoniae.t__SGB10112	0	1.29927e-05	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|s__Ruminococcus_gnavus.t__SGB4584	0	0	0	1.52915e-05	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	7.52414e-05	8.03876e-05	6.4034e-05	1.71238e-05	7.07341e-05	8.07833e-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Akkermansia_muciniphila.t__SGB9226	0	0	4.29942e-05	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Alistipes_communis.t__SGB2290	0	0	1.66016e-05	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Alistipes_onderdonkii.t__SGB2303	0	0	5.8414e-05	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Alistipes_putredinis.t__SGB2318	0	0	2.79369e-05	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Alistipes_shahii.t__SGB2295	0	0	2.06129e-05	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Anaerobutyricum_hallii.t__SGB4532	0	0	0	4.92579e-05	6.34278e-05	5.78223e-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Anaerostipes_hadrus.t__SGB4540_group	0	0	0	8.30884e-05	2.36151e-05	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Bacteroides_stercoris.t__SGB1830	0	0	3.81822e-06	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Bacteroides_uniformis.t__SGB1836	0	9.72448e-06	2.04521e-05	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Blautia_faecis.t__SGB4820	0	0	0	2.04196e-05	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Blautia_massiliensis.t__SGB4826	0	0	0	2.76313e-05	1.03997e-05	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Blautia_obeum.t__SGB4811	0	0	0	5.03169e-05	5.97589e-05	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Blautia_sp_MSK_20_85.t__SGB4828	0	0	0	0	6.62608e-06	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Blautia_wexlerae.t__SGB4831	0	0	0	0	9.67871e-06	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Blautia_wexlerae.t__SGB4837	0	0	0	0.000157535	1.62573e-05	0.000106911
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Collinsella_aerofaciens.t__SGB14535_group	0	0	0	0	5.15266e-05	5.22275e-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Comamonas_kerstersii.t__SGB12676	5.16914e-05	0	1.47183e-05	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Coprococcus_comes.t__SGB4577	0	0	0	0	2.00735e-05	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Dorea_formicigenerans.t__SGB4575	0	0	0	0	2.91e-05	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Dorea_longicatena.t__SGB4582	0	0	0	3.49572e-05	5.49014e-05	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Escherichia_coli.t__SGB10068	0	0	5.84171e-05	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Faecalibacillus_faecis.t__SGB6750	0	0	0	0	1.04742e-05	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Faecalibacillus_intestinalis.t__SGB6754	0	0	0	3.15784e-05	0	1.38267e-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Faecalibacterium_prausnitzii.t__SGB15316	0	0	0	0	0	1.03657e-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Fusicatenibacter_saccharivorans.t__SGB4874	0	0	0	0	0	3.45789e-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__GGB3304_SGB4365.t__SGB4365	1.99654e-05	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__GGB4569_SGB6312.t__SGB6312	0	4.75287e-05	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__GGB9708_SGB15234.t__SGB15234	1.41891e-05	0	4.45069e-05	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Klebsiella_pneumoniae.t__SGB10115	0.000141769	0.000118445	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Klebsiella_quasipneumoniae.t__SGB10112	0	1.54048e-05	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Lacrimispora_celerecrescens.t__SGB4868	0	0	0	0	1.0477e-05	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Ruminococcus_gnavus.t__SGB4584	0	0	0	2.20757e-05	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Ruminococcus_sp_AF13_28.t__SGB4834	0	0	0	2.31422e-05	0	5.92152e-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Ruminococcus_sp_AF41_9.t__SGB25497	0	0	0	0	7.89485e-06	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Ruminococcus_torques.t__SGB4563	0	0	0	0	4.5477e-05	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Streptococcus_salivarius.t__SGB8007_group	0	0	0	1.97938e-05	3.34141e-05	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	0.000121252	0.000125798	0.000109526	3.22815e-05	0.000183429	0.000134754
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|s__Escherichia_coli.t__SGB10068	0	0	5.05093e-05	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|s__Klebsiella_pneumoniae.t__SGB10115	7.33966e-05	5.71225e-05	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|s__Klebsiella_quasipneumoniae.t__SGB10112	0	6.67553e-06	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	0	0	1.08312e-05	0	0	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|s__Escherichia_coli.t__SGB10068	0	0	4.57274e-05	0	0	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|s__Klebsiella_pneumoniae.t__SGB10115	0.000144674	9.82915e-05	0	0	0	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|s__Klebsiella_quasipneumoniae.t__SGB10112	0	4.80057e-06	0	0	0	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|unclassified	2.01266e-05	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__Bacteroides_stercoris.t__SGB1830	0	0	9.85504e-06	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__Bacteroides_uniformis.t__SGB1836	0	0	2.78218e-06	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__Blautia_massiliensis.t__SGB4826	0	0	0	0	6.80718e-06	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__Blautia_sp_MSK_20_85.t__SGB4828	0	0	0	0	1.81434e-06	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__Comamonas_kerstersii.t__SGB12676	4.19109e-05	0	1.71092e-05	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__GGB3304_SGB4365.t__SGB4365	1.30762e-05	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__GGB3304_SGB4367.t__SGB4367	0	0	9.66392e-06	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__Klebsiella_pneumoniae.t__SGB10115	0.000123961	0.000102173	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__Klebsiella_quasipneumoniae.t__SGB10112	0	2.39244e-05	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|unclassified	8.33984e-05	0	5.14349e-05	8.41103e-06	8.72386e-06	2.13667e-05
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Akkermansia_muciniphila.t__SGB9226	0	1.19744e-05	3.78515e-05	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Anaerobutyricum_hallii.t__SGB4532	0	0	0	2.8368e-05	4.19493e-05	4.89905e-05
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Anaerostipes_hadrus.t__SGB4540_group	0	0	0	5.03858e-05	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	0	0	0	0	0	0.000109739
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Blautia_faecis.t__SGB4820	0	0	0	2.25963e-05	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Blautia_massiliensis.t__SGB4826	0	0	0	2.45967e-05	1.27734e-05	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Blautia_obeum.t__SGB4811	0	0	0	2.13966e-05	2.18014e-05	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Blautia_sp_MSK_20_85.t__SGB4828	0	0	0	0	6.07602e-06	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Blautia_wexlerae.t__SGB4831	0	0	0	0	8.15338e-06	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Blautia_wexlerae.t__SGB4837	0	0	0	0.000133691	2.49713e-05	5.76512e-05
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Collinsella_aerofaciens.t__SGB14535_group	0	0	0	0	5.31232e-05	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Comamonas_kerstersii.t__SGB12676	4.6223e-05	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Coprococcus_comes.t__SGB4577	0	0	0	0	2.38943e-05	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Dorea_formicigenerans.t__SGB4575	0	0	0	0	1.13297e-05	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Dorea_longicatena.t__SGB4582	0	0	0	3.17454e-05	6.19968e-05	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Escherichia_coli.t__SGB10068	0	0	6.68278e-05	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Faecalibacillus_intestinalis.t__SGB6754	0	0	0	2.67991e-05	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Faecalibacterium_prausnitzii.t__SGB15318	0	5.05982e-06	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Faecalicatena_fissicatena.t__SGB4871	0	0	0	0	1.46917e-05	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Fusicatenibacter_saccharivorans.t__SGB4874	0	0	0	0	0	2.05691e-05
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__GGB9715_SGB15267.t__SGB15267	0	0	0.000145098	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Klebsiella_pneumoniae.t__SGB10115	0.00013411	0.000101776	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Klebsiella_quasipneumoniae.t__SGB10112	0	1.48573e-05	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Ruminococcus_gnavus.t__SGB4584	0	0	0	2.95014e-05	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Ruminococcus_sp_AF13_28.t__SGB4834	0	0	0	6.67155e-05	8.64096e-06	7.74033e-05
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Ruminococcus_sp_AF41_9.t__SGB25497	0	0	0	0	3.17149e-05	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Ruminococcus_torques.t__SGB4563	0	0	0	0	2.33652e-05	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Streptococcus_salivarius.t__SGB8007_group	0	0	0	0	2.20129e-05	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	7.53683e-05	7.30119e-05	6.82669e-05	4.00529e-05	0.000138491	0.000125285
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|s__Akkermansia_muciniphila.t__SGB9226	0	1.5571e-05	4.58026e-05	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|s__Anaerobutyricum_hallii.t__SGB4532	0	0	0	3.03263e-05	3.77203e-05	5.07637e-05
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|s__Anaerostipes_hadrus.t__SGB4540_group	0	0	0	6.79733e-05	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|s__Bifidobacterium_longum.t__SGB17248	0	0	0	1.07002e-05	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	0	0	0	0	0	0.000101492
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|s__Blautia_faecis.t__SGB4820	0	0	0	2.04337e-05	1.82092e-05	0
