# Pathway HUMAnN v4.0.0.alpha.1	C1	C2	C3	Y1	Y2	Y3
UNINTEGRATED|s__Blautia_wexlerae.t__SGB4837	0	0	0	121092.0773332136	22138.3634697004	83537.2292422202
UNINTEGRATED|s__Candidatus_Cibionibacter_quicibialis.t__SGB15286	0	0	1740.2539890348	0	0	0
UNINTEGRATED|s__Cloacibacillus_porcorum.t__SGB15507	0	6333.2361301117	0	0	0	0
UNINTEGRATED|s__Clostridiaceae_bacterium_Marseille_Q4149.t__SGB15091	41915.6848314140	6247.6916562980	0	0	0	0
UNINTEGRATED|s__Collinsella_aerofaciens.t__SGB14535_group	0	0	0	0	35744.4512682533	22702.9230867330
UNINTEGRATED|s__Collinsella_intestinalis.t__SGB14741	0	0	0	19278.1572411812	0	0
UNINTEGRATED|s__Comamonas_kerstersii.t__SGB12676	86727.6364082919	0	20603.9590856005	0	0	0
UNINTEGRATED|s__Coprococcus_comes.t__SGB4577	0	0	0	0	22865.0486511386	0
UNINTEGRATED|s__Desulfovibrio_piger.t__SGB15467	4157.6995269138	0	0	0	0	0
UNINTEGRATED|s__Dorea_formicigenerans.t__SGB4575	0	0	0	0	21775.7949425225	0
UNINTEGRATED|s__Dorea_longicatena.t__SGB4582	0	0	0	17003.2651104460	31518.4259719501	7222.3677404079
UNINTEGRATED|s__Dorea_sp_AF24_7LB.t__SGB4571	0	0	0	0	21253.3592285395	0
UNINTEGRATED|s__Eggerthella_lenta.t__SGB14809	0	0	0	0	0	7075.4623575329
UNINTEGRATED|s__Escherichia_coli.t__SGB10068	0	0	109458.3243628144	0	0	0
UNINTEGRATED|s__Eubacterium_rectale.t__SGB4933	0	0	0	0	7377.7502048027	0
UNINTEGRATED|s__Faecalibacillus_faecis.t__SGB6750	0	0	0	0	8325.3090391299	0
UNINTEGRATED|s__Faecalibacillus_intestinalis.t__SGB6754	0	0	0	26390.3616398270	0	9877.7406526447
UNINTEGRATED|s__Faecalibacterium_SGB15346.t__SGB15346	0	2614.7269365886	0	0	0	0
UNINTEGRATED|s__Faecalibacterium_prausnitzii.t__SGB15316	0	0	0	0	0	5149.2599600766
UNINTEGRATED|s__Faecalibacterium_prausnitzii.t__SGB15318	0	7091.3393711967	0	0	2783.4407091157	0
UNINTEGRATED|s__Faecalibacterium_prausnitzii.t__SGB15323	0	0	0	0	2579.9559327753	0
UNINTEGRATED|s__Faecalicatena_fissicatena.t__SGB4871	0	0	0	0	12410.1066518517	0
UNINTEGRATED|s__Fusicatenibacter_saccharivorans.t__SGB4874	0	0	0	0	5484.9923805270	40594.7177843276
UNINTEGRATED|s__GGB1405_SGB1928.t__SGB1928	0	8238.1518353895	0	0	0	0
UNINTEGRATED|s__GGB3256_SGB4303.t__SGB4303	0	0	0	0	8722.8735171780	3590.4250769493
UNINTEGRATED|s__GGB3304_SGB4365.t__SGB4365	16376.1459637949	0	0	0	0	0
UNINTEGRATED|s__GGB3304_SGB4367.t__SGB4367	0	0	5900.7637164660	0	0	0
UNINTEGRATED|s__GGB3653_SGB4964.t__SGB4964	0	0	0	0	5340.1864595137	0
UNINTEGRATED|s__GGB4569_SGB6312.t__SGB6312	0	19527.5206817503	0	0	0	0
UNINTEGRATED|s__GGB51647_SGB4348.t__SGB4348	0	0	4436.1956602228	0	0	0
UNINTEGRATED|s__GGB6648_SGB9389.t__SGB9389	0	0	4190.1189043451	0	0	0
UNINTEGRATED|s__GGB9059_SGB13976.t__SGB13976	0	27367.5641632176	0	0	0	0
UNINTEGRATED|s__GGB9342_SGB14306.t__SGB14306	2547.5120526118	6922.7063369794	18924.7970605030	0	0	0
UNINTEGRATED|s__GGB9345_SGB14311.t__SGB14311	0	10314.1675427809	0	0	0	0
UNINTEGRATED|s__GGB9347_SGB14313.t__SGB14313	5331.3449825064	0	0	0	0	0
UNINTEGRATED|s__GGB9350_SGB14317.t__SGB14317	0	5008.8955431873	0	0	0	0
UNINTEGRATED|s__GGB9602_SGB15028.t__SGB15028	8611.5184303970	0	0	0	0	0
UNINTEGRATED|s__GGB9634_SGB15095.t__SGB15095	32139.2288790736	6095.3553811607	0	0	0	0
UNINTEGRATED|s__GGB9635_SGB15103.t__SGB15103	0	3762.9790989450	0	0	0	0
UNINTEGRATED|s__GGB9635_SGB15106.t__SGB15106	0	6566.4045848615	0	0	0	0
UNINTEGRATED|s__GGB9636_SGB15107.t__SGB15107	0	15296.4722072913	0	0	0	0
UNINTEGRATED|s__GGB9694_SGB15204.t__SGB15204	15588.2594304781	9565.1026162643	0	0	0	0
UNINTEGRATED|s__GGB9699_SGB15216.t__SGB15216	0	0	3903.3373906946	0	0	0
UNINTEGRATED|s__GGB9708_SGB15234.t__SGB15234	22160.5294781924	46809.8999532515	44905.5717604495	0	0	0
UNINTEGRATED|s__GGB9715_SGB15267.t__SGB15267	0	0	67616.4616724600	0	0	0
UNINTEGRATED|s__GGB9747_SGB15356.t__SGB15356	0	2856.7172288859	0	0	0	0
UNINTEGRATED|s__GGB9758_SGB15368.t__SGB15368	0	0	4059.4234215592	0	0	0
UNINTEGRATED|s__GGB9760_SGB15374.t__SGB15374	0	0	5655.1400364558	0	0	0
UNINTEGRATED|s__Gemmiger_SGB15295.t__SGB15295	0	0	5659.3761012113	0	0	9487.9521006360
UNINTEGRATED|s__Gemmiger_formicilis.t__SGB15300	0	0	0	5445.4818621042	3975.6208839965	0
UNINTEGRATED|s__Klebsiella_pneumoniae.t__SGB10115	269181.6596237133	204758.9990741308	0	0	0	0
UNINTEGRATED|s__Klebsiella_quasipneumoniae.t__SGB10112	0	29354.5783282917	0	0	0	0
UNINTEGRATED|s__Lacrimispora_celerecrescens.t__SGB4868	0	0	0	0	5004.0602950823	0
UNINTEGRATED|s__Oscillibacter_sp_ER4.t__SGB15254	0	7631.6094935730	9123.7489056178	0	0	0
UNINTEGRATED|s__Oscillospiraceae_unclassified_SGB15256.t__SGB15256	11735.8642026335	0	0	0	0	0
UNINTEGRATED|s__Phocaeicola_vulgatus.t__SGB1814	0	9660.2766550542	0	0	0	0
UNINTEGRATED|s__Pyramidobacter_piscolens.t__SGB15497	0	14488.3879222895	0	0	0	0
UNINTEGRATED|s__Roseburia_faecis.t__SGB4925	0	0	0	0	0	11861.2663872712
UNINTEGRATED|s__Ruminococcus_callidus.t__SGB4422	0	0	1908.5054522878	0	0	0
UNINTEGRATED|s__Ruminococcus_gnavus.t__SGB4584	0	0	0	36122.6432100222	0	0
UNINTEGRATED|s__Ruminococcus_lactaris.t__SGB4557	0	0	0	0	0	6557.4438982856
UNINTEGRATED|s__Ruminococcus_sp_AF13_28.t__SGB4834	0	0	0	125736.1523171402	30651.3567866136	106810.6270961997
UNINTEGRATED|s__Ruminococcus_sp_AF41_9.t__SGB25497	0	0	0	0	22260.9767609361	0
UNINTEGRATED|s__Ruminococcus_torques.t__SGB4563	0	0	0	0	37984.3393366076	0
UNINTEGRATED|s__Ruthenibacterium_lactatiformans.t__SGB15271	14352.8762320322	0	0	0	0	0
UNINTEGRATED|s__Streptococcus_salivarius.t__SGB8007_group	0	0	0	15851.2910250051	15204.2121453210	0
UNINTEGRATED|s__Vescimonas_coprocola.t__SGB15089	0	0	11315.6827315065	0	0	0
UNINTEGRATED|unclassified	28444.4252631899	19778.7923370499	18135.6012002930	10336.5140256541	30136.0433406829	23308.4349393232
1CMET2-PWY: folate transformations III (E. coli)	508.1366609254	422.4747760177	576.2170258080	602.2249976363	547.5173328547	600.3620319845
1CMET2-PWY: folate transformations III (E. coli)|s__Akkermansia_muciniphila.t__SGB9226	0	0	38.0872119424	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Alistipes_onderdonkii.t__SGB2303	12.9651066645	0	58.8631596590	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Alistipes_putredinis.t__SGB2318	0	0	40.5143476279	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Alistipes_shahii.t__SGB2295	0	0	29.5566804093	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Anaerobutyricum_hallii.t__SGB4532	0	0	0	33.7196283030	45.9735194544	39.7268479259
1CMET2-PWY: folate transformations III (E. coli)|s__Anaerostipes_hadrus.t__SGB4540_group	0	0	0	58.2224153035	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Bacteroides_uniformis.t__SGB1836	0	7.6041111941	38.7458035715	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	0	0	0	0	0	133.1671435201
1CMET2-PWY: folate transformations III (E. coli)|s__Blautia_faecis.t__SGB4820	0	0	0	34.3476532100	18.9792315702	0
1CMET2-PWY: folate transformations III (E. coli)|s__Blautia_massiliensis.t__SGB4826	0	0	0	18.6183526405	11.8760847480	0
1CMET2-PWY: folate transformations III (E. coli)|s__Blautia_obeum.t__SGB4811	0	0	0	32.8274829232	32.9816486671	0
1CMET2-PWY: folate transformations III (E. coli)|s__Blautia_wexlerae.t__SGB4831	0	0	0	0	3.1674032751	0
1CMET2-PWY: folate transformations III (E. coli)|s__Blautia_wexlerae.t__SGB4837	0	0	0	36.6537524455	8.3111477359	24.9073396431
1CMET2-PWY: folate transformations III (E. coli)|s__Comamonas_kerstersii.t__SGB12676	28.8365280429	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Coprococcus_comes.t__SGB4577	0	0	0	0	17.8460804056	0
1CMET2-PWY: folate transformations III (E. coli)|s__Dorea_formicigenerans.t__SGB4575	0	0	0	0	11.5589407618	0
1CMET2-PWY: folate transformations III (E. coli)|s__Dorea_longicatena.t__SGB4582	0	0	0	21.0608304146	41.0757469110	0
1CMET2-PWY: folate transformations III (E. coli)|s__Escherichia_coli.t__SGB10068	0	0	59.8810652542	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Faecalibacillus_intestinalis.t__SGB6754	0	0	0	27.0226288403	0	20.0165729134
1CMET2-PWY: folate transformations III (E. coli)|s__Faecalicatena_fissicatena.t__SGB4871	0	0	0	0	16.3240804176	0
1CMET2-PWY: folate transformations III (E. coli)|s__Klebsiella_pneumoniae.t__SGB10115	141.0098546583	104.1964881759	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Klebsiella_quasipneumoniae.t__SGB10112	0	14.7725741423	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Phocaeicola_vulgatus.t__SGB1814	0	5.7392658561	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Roseburia_faecis.t__SGB4925	0	0	0	0	0	11.4396672360
1CMET2-PWY: folate transformations III (E. coli)|s__Ruminococcus_gnavus.t__SGB4584	0	0	0	17.1492373446	0	0
1CMET2-PWY: folate transformations III (E. coli)|s__Ruminococcus_sp_AF13_28.t__SGB4834	0	0	0	68.9214590778	11.8307576672	66.0027851059
1CMET2-PWY: folate transformations III (E. coli)|s__Ruminococcus_torques.t__SGB4563	0	0	0	0	44.4463441490	0
1CMET2-PWY: folate transformations III (E. coli)|s__Streptococcus_salivarius.t__SGB8007_group	0	0	0	12.3679113860	0	0
1CMET2-PWY: folate transformations III (E. coli)|unclassified	99.0751146516	75.0175390747	80.3811358336	24.6487991420	90.3989223294	84.6340252710
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	260.5733882236	162.7536238169	0	0	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|s__Klebsiella_pneumoniae.t__SGB10115	234.5251127190	142.3328459577	0	0	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|s__Klebsiella_quasipneumoniae.t__SGB10112	0	12.7903866262	0	0	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|unclassified	13.7735243473	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	75.6330574230	164.4844280843	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|s__Klebsiella_pneumoniae.t__SGB10115	75.6330574230	164.4844280843	0	0	0	0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	240.5405587465	0	148.2853905786	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	39.4033953233	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|unclassified	30.8728356313	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	499.1508926275	502.0457242398	451.8513604613	335.5692518800	392.7442814249	622.0794096274
ANAEROFRUCAT-PWY: homolactic fermentation|s__Bacteroides_uniformis.t__SGB1836	0	0	18.7928050037	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|s__Collinsella_aerofaciens.t__SGB14535_group	0	0	0	0	48.1123225165	0
ANAEROFRUCAT-PWY: homolactic fermentation|s__Escherichia_coli.t__SGB10068	0	0	60.0377861277	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|s__Klebsiella_pneumoniae.t__SGB10115	168.8354460968	130.4575133303	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|s__Klebsiella_quasipneumoniae.t__SGB10112	0	15.6747780000	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|s__Ruminococcus_gnavus.t__SGB4584	0	0	0	14.9945757190	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	94.7577414249	96.9815759034	74.4007601533	16.7912106360	67.2318747506	80.6250770384
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	727.8781816515	735.9959692895	781.8484802531	817.1903186416	882.1129911574	695.4777534603
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Akkermansia_muciniphila.t__SGB9226	0	0	49.9547517388	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Alistipes_communis.t__SGB2290	0	0	19.2893474115	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Alistipes_onderdonkii.t__SGB2303	0	0	67.8710138931	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Alistipes_putredinis.t__SGB2318	0	0	32.4597280184	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Alistipes_shahii.t__SGB2295	0	0	23.9500132021	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Anaerobutyricum_hallii.t__SGB4532	0	0	0	48.3012743264	60.2873270957	57.7090684115
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Anaerostipes_hadrus.t__SGB4540_group	0	0	0	81.4748419206	22.4458558925	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Bacteroides_stercoris.t__SGB1830	0	0	4.4363681335	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Bacteroides_uniformis.t__SGB1836	0	11.7318573148	23.7632166899	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Blautia_faecis.t__SGB4820	0	0	0	20.0231012880	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Blautia_massiliensis.t__SGB4826	0	0	0	27.0947229294	9.8848110121	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Blautia_obeum.t__SGB4811	0	0	0	49.3397493525	56.8001087179	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Blautia_sp_MSK_20_85.t__SGB4828	0	0	0	0	6.2980073937	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Blautia_wexlerae.t__SGB4831	0	0	0	0	9.1994881136	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Blautia_wexlerae.t__SGB4837	0	0	0	154.4753331372	15.4523621229	106.7015741963
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Collinsella_aerofaciens.t__SGB14535_group	0	0	0	0	48.9753662454	52.1252205912
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Comamonas_kerstersii.t__SGB12676	65.0992019838	0	17.1011130128	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Coprococcus_comes.t__SGB4577	0	0	0	0	19.0795713362	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Dorea_formicigenerans.t__SGB4575	0	0	0	0	27.6591500711	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Dorea_longicatena.t__SGB4582	0	0	0	34.2783739806	52.1830616669	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Escherichia_coli.t__SGB10068	0	0	67.8745274710	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Faecalibacillus_faecis.t__SGB6750	0	0	0	0	9.9555700503	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Faecalibacillus_intestinalis.t__SGB6754	0	0	0	30.9651568104	0	13.7996592665
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Faecalibacterium_prausnitzii.t__SGB15316	0	0	0	0	0	10.3454156167
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Fusicatenibacter_saccharivorans.t__SGB4874	0	0	0	0	0	34.5111307976
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__GGB3304_SGB4365.t__SGB4365	25.1441244630	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__GGB4569_SGB6312.t__SGB6312	0	57.3398420690	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__GGB9708_SGB15234.t__SGB15234	17.8695289366	0	51.7123855266	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Klebsiella_pneumoniae.t__SGB10115	178.5415666931	142.8952275657	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Klebsiella_quasipneumoniae.t__SGB10112	0	18.5847724688	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Lacrimispora_celerecrescens.t__SGB4868	0	0	0	0	9.9582356070	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Ruminococcus_gnavus.t__SGB4584	0	0	0	21.6470365679	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Ruminococcus_sp_AF13_28.t__SGB4834	0	0	0	22.6928284105	0	59.0992335003
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Ruminococcus_sp_AF41_9.t__SGB25497	0	0	0	0	7.5039508963	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Ruminococcus_torques.t__SGB4563	0	0	0	0	43.2253309766	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|s__Streptococcus_salivarius.t__SGB8007_group	0	0	0	19.4094556043	31.7596688410	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	152.7023124961	151.7664866288	127.2571860471	31.6546327406	174.3469415231	134.4899977044
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	139.6002541826	123.5306342909	180.1851454427	0	29.0976846200	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|s__Escherichia_coli.t__SGB10068	0	0	58.6864957019	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|s__Klebsiella_pneumoniae.t__SGB10115	92.4344293223	68.9140116276	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|s__Klebsiella_quasipneumoniae.t__SGB10112	0	8.0535302794	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	0	0	12.5847620190	0	0	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	237.4278547780	154.9296637040	61.8743676889	0	0	19.1772680771
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|s__Escherichia_coli.t__SGB10068	0	0	53.1304277769	0	0	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|s__Klebsiella_pneumoniae.t__SGB10115	182.1998953862	118.5813767606	0	0	0	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|s__Klebsiella_quasipneumoniae.t__SGB10112	0	5.7915312937	0	0	0	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|unclassified	25.3471432083	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	340.8628334935	239.5422022357	122.2506737376	8.8301723411	15.3421191062	23.8229504462
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__Bacteroides_stercoris.t__SGB1830	0	0	11.4505241934	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__Bacteroides_uniformis.t__SGB1836	0	0	3.2326071680	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__Blautia_massiliensis.t__SGB4826	0	0	0	0	6.4701362772	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__Blautia_sp_MSK_20_85.t__SGB4828	0	0	0	0	1.7245095926	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__Comamonas_kerstersii.t__SGB12676	52.7819186765	0	19.8791562095	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__GGB3304_SGB4365.t__SGB4365	16.4679801841	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__GGB3304_SGB4367.t__SGB4367	0	0	11.2284641566	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__Klebsiella_pneumoniae.t__SGB10115	156.1141052825	123.2644158183	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|s__Klebsiella_quasipneumoniae.t__SGB10112	0	28.8630038140	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|unclassified	105.0305042044	0	59.7619882784	8.2476930541	8.2919157478	21.3248545375
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	498.8900338670	412.8317510704	623.1553092373	626.0697393649	721.6522816187	633.6640198181
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Akkermansia_muciniphila.t__SGB9226	0	14.4462654716	43.9794918650	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Anaerobutyricum_hallii.t__SGB4532	0	0	0	27.8170717261	39.8722593326	48.8945607750
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Anaerostipes_hadrus.t__SGB4540_group	0	0	0	49.4073055526	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	0	0	0	0	0	109.5243352018
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Blautia_faecis.t__SGB4820	0	0	0	22.1575309762	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Blautia_massiliensis.t__SGB4826	0	0	0	24.1190050143	12.1409434593	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Blautia_obeum.t__SGB4811	0	0	0	20.9811044037	20.7219838822	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Blautia_sp_MSK_20_85.t__SGB4828	0	0	0	0	5.7751741934	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Blautia_wexlerae.t__SGB4831	0	0	0	0	7.7496786420	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Blautia_wexlerae.t__SGB4837	0	0	0	131.0951463543	23.7349184519	57.5382621519
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Collinsella_aerofaciens.t__SGB14535_group	0	0	0	0	50.4928741296	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Comamonas_kerstersii.t__SGB12676	58.2124451374	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Coprococcus_comes.t__SGB4577	0	0	0	0	22.7112010136	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Dorea_formicigenerans.t__SGB4575	0	0	0	0	10.7687715614	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Dorea_longicatena.t__SGB4582	0	0	0	31.1289378373	58.9271458583	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Escherichia_coli.t__SGB10068	0	0	77.6468660713	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Faecalibacillus_intestinalis.t__SGB6754	0	0	0	26.2787065144	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Faecalibacterium_prausnitzii.t__SGB15318	0	6.1042951663	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Faecalicatena_fissicatena.t__SGB4871	0	0	0	0	13.9642747993	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Fusicatenibacter_saccharivorans.t__SGB4874	0	0	0	0	0	20.5287955195
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__GGB9715_SGB15267.t__SGB15267	0	0	168.5882655212	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Klebsiella_pneumoniae.t__SGB10115	168.8962928530	122.7852665296	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|s__Klebsiella_quasipneumoniae.t__SGB10112	0	17.9242373029	0	0	0	0
