Genus	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
Otariodibacter	0	1	4	0	1	0	0	4	1	2
Porphyrobacter	7	6	0	0	0	0	0	0	0	0
Bifidobacterium	0	0	0	0	11	0	1	0	0	0
Gossypium	0	0	3	2	0	3	2	1	0	1
Shewanella	0	1	2	0	1	0	1	1	4	2
Bergeyella	2	2	1	0	1	1	2	2	0	0
Flavobacterium	0	0	3	1	4	0	0	0	0	3
Lachnoclostridium	1	1	1	1	2	1	2	0	1	0
Manihot	3	3	1	0	0	0	1	1	0	1
Paenibacillus	0	0	1	4	1	1	2	1	0	0
Papaver	1	1	4	0	2	0	1	0	0	1
Streptomyces	2	2	0	0	0	2	1	0	1	2
Bisgaardia	0	0	2	1	0	3	0	0	2	1
Cucurbita	3	2	0	0	0	3	0	1	0	0
Vigna	2	0	1	1	0	1	1	1	1	1
Alistipes	2	1	2	1	1	0	0	1	0	0
Burkholderia	0	0	0	0	2	5	0	1	0	0
Comamonas	0	1	0	0	5	1	1	0	0	0
Cupriavidus	0	1	0	0	0	3	1	1	2	0
Lupinus	2	0	0	0	3	2	0	0	0	1
Novosphingobium	1	3	0	0	0	1	0	3	0	0
Photobacterium	0	0	6	0	0	0	0	2	0	0
Physcomitrium	1	2	0	0	1	1	3	0	0	0
Quercus	3	1	0	0	0	1	2	0	1	0
Sphingopyxis	4	1	0	0	1	1	0	1	0	0
Xanthomonas	1	0	0	0	3	1	1	1	1	0
Colwellia	0	0	0	1	0	0	1	3	1	1
Enterocloster	0	0	0	0	2	2	3	0	0	0
Janthinobacterium	0	3	0	0	0	2	1	0	1	0
Musa	4	0	1	0	0	1	1	0	0	0
Proteus	1	1	2	0	0	0	0	2	0	1
Solanum	3	0	1	0	1	2	0	0	0	0
Stenotrophomonas	0	1	0	0	0	6	0	0	0	0
Yersinia	0	1	2	0	0	0	0	1	3	0
Alteromonas	0	2	0	0	0	0	0	3	1	0
Ananas	1	0	0	0	5	0	0	0	0	0
Aquabacterium	3	0	0	0	0	2	1	0	0	0
Asparagus	1	1	0	1	0	1	0	1	0	1
Cynara	0	0	1	0	3	1	0	0	0	1
Enterobacter	0	0	0	0	0	2	0	2	1	1
Francisella	0	0	0	0	0	1	1	0	3	1
Nymphaea	2	0	0	0	0	0	0	1	2	1
Rhodoferax	1	0	0	0	0	3	0	0	0	2
Xenorhabdus	0	1	2	0	1	0	0	1	0	1
Aerococcus	0	0	0	0	0	0	4	1	0	0
Aeromonas	0	0	0	1	0	0	0	4	0	0
Alloprevotella	0	1	0	1	1	0	0	0	0	2
Anaerococcus	2	0	0	0	1	2	0	0	0	0
Beta	0	0	3	1	1	0	0	0	0	0
Bradyrhizobium	1	0	0	0	0	3	0	0	0	1
Chitinibacter	1	1	0	0	1	2	0	0	0	0
Klebsiella	1	0	1	0	1	0	1	1	0	0
Malus	0	0	0	1	1	0	1	1	0	1
Odoribacter	0	0	0	2	0	0	0	0	0	3
Paraburkholderia	1	0	0	0	0	4	0	0	0	0
Parashewanella	0	3	0	0	0	0	0	1	1	0
Phaseolus	0	1	0	1	0	2	0	0	0	1
Populus	1	1	0	0	1	0	0	2	0	0
Pragia	0	2	0	0	0	0	0	0	2	1
Vagococcus	1	2	0	0	0	0	0	2	0	0
Advenella	1	0	0	0	0	1	0	2	0	0
Cajanus	1	0	0	0	0	2	1	0	0	0
Cannabis	0	0	1	0	1	0	0	0	1	1
Carnobacterium	0	1	2	0	0	0	0	0	0	1
Dickeya	0	1	0	0	0	0	0	3	0	0
Epilithonimonas	1	1	0	0	0	2	0	0	0	0
Erysipelatoclostridium	0	2	0	0	0	0	0	0	0	2
Gallibacterium	0	0	1	1	0	1	0	0	1	0
Gilliamella	0	0	0	0	0	0	0	3	1	0
Gramella	0	1	0	0	1	0	0	0	2	0
Idiomarina	0	0	1	0	0	0	0	1	0	2
Jeotgalibaca	0	0	2	0	1	0	1	0	0	0
Lacticaseibacillus	2	0	0	0	1	1	0	0	0	0
Laribacter	0	0	0	0	1	3	0	0	0	0
Macrococcus	1	0	0	0	0	1	2	0	0	0
Methylophilus	0	1	0	0	0	1	0	1	1	0
Mycolicibacterium	0	0	0	0	1	0	0	0	1	2
Olea	0	0	2	1	0	0	0	0	0	1
Paracoccus	2	0	1	0	1	0	0	0	0	0
Photorhabdus	1	0	0	0	0	1	0	1	1	0
Planobacterium	0	0	0	0	0	4	0	0	0	0
Plasmodium	2	0	0	0	1	0	0	0	1	0
Polaribacter	0	0	0	0	2	0	0	2	0	0
Riemerella	0	0	2	0	0	0	0	1	1	0
Salmonella	0	0	0	1	0	0	1	1	1	0
Shimwellia	0	1	0	0	0	0	2	0	1	0
Thalassotalea	0	2	0	1	0	0	0	0	1	0
Trueperella	0	0	0	0	0	0	1	0	3	0
Variovorax	0	1	0	0	0	3	0	0	0	0
Alysiella	0	2	0	0	0	0	0	1	0	0
Anaerostipes	0	0	0	0	0	1	2	0	0	0
Arachis	1	0	1	0	0	0	0	0	0	1
Arthrobacter	0	1	0	0	0	1	0	0	1	0
Basfia	0	0	1	1	0	0	0	0	1	0
Bernardetia	0	1	1	0	0	0	1	0	0	0
Blastomonas	2	1	0	0	0	0	0	0	0	0
Caloranaerobacter	0	0	2	0	0	0	0	1	0	0
Citrus	2	0	0	0	0	0	1	0	0	0
Collimonas	1	0	0	0	1	1	0	0	0	0
Cronobacter	0	0	0	0	0	0	0	2	1	0
Daucus	1	0	0	0	0	0	2	0	0	0
Elaeis	0	1	1	0	0	1	0	0	0	0
Elizabethkingia	0	0	0	0	1	2	0	0	0	0
Granulibacter	1	1	0	0	0	0	0	0	0	1
Hydrogenovibrio	0	0	0	0	0	0	0	0	3	0
Kosakonia	0	0	0	0	0	0	0	3	0	0
Lacrimispora	0	0	1	0	0	0	1	0	0	1
Leclercia	0	0	0	0	0	1	0	0	0	2
Leucobacter	0	0	0	0	0	0	1	0	1	1
Ligilactobacillus	0	0	0	0	0	0	2	0	1	0
Mageeibacillus	0	0	0	1	2	0	0	0	0	0
Medicago	0	2	1	0	0	0	0	0	0	0
Micrococcus	1	1	0	0	0	0	0	0	1	0
Micromonospora	1	0	0	0	0	0	0	0	0	2
Paludibacter	0	0	0	0	1	1	0	1	0	0
Paraprevotella	0	0	1	0	2	0	0	0	0	0
Pediococcus	0	0	1	0	1	0	1	0	0	0
Phocaeicola	0	1	0	0	0	0	0	1	0	1
Rosa	2	1	0	0	0	0	0	0	0	0
Sporosarcina	0	0	0	0	0	0	1	2	0	0
Theobroma	0	0	1	0	1	1	0	0	0	0
Vespertiliibacter	0	0	0	0	0	0	0	1	2	0
Vitis	1	0	1	1	0	0	0	0	0	0
Weissella	1	0	0	0	0	0	2	0	0	0
Ziziphus	1	0	0	0	1	0	1	0	0	0
Achromobacter	0	0	0	0	0	1	1	0	0	0
Actinoplanes	0	0	1	0	0	0	0	0	1	0
Agrobacterium	0	0	0	0	0	1	0	0	1	0
Alicycliphilus	0	0	0	0	0	1	0	0	1	0
Aliivibrio	0	0	0	1	0	0	0	0	1	0
Alkalihalobacillus	0	0	0	0	0	0	2	0	0	0
Allochromatium	0	0	2	0	0	0	0	0	0	0
Anaerocolumna	0	0	1	0	0	0	0	1	0	0
Aquisphaera	0	0	2	0	0	0	0	0	0	0
Arcobacter	0	0	0	1	0	0	1	0	0	0
Austwickia	0	0	0	0	0	0	1	0	1	0
Babesia	0	0	1	0	0	0	0	0	1	0
Blattabacterium	0	1	0	0	1	0	0	0	0	0
Blautia	0	0	0	0	0	0	1	1	0	0
Bosea	0	0	0	0	0	2	0	0	0	0
Brachybacterium	0	0	0	0	0	1	0	0	0	1
Brassica	1	0	0	0	0	1	0	0	0	0
Buchnera	0	0	2	0	0	0	0	0	0	0
Butyrivibrio	0	1	0	0	1	0	0	0	0	0
Calothrix	0	0	0	0	0	0	0	1	1	0
Camelina	0	0	0	0	1	0	1	0	0	0
Candidatus Saccharimonas	0	0	0	0	2	0	0	0	0	0
Cedecea	0	0	0	1	0	0	1	0	0	0
Celeribacter	1	0	0	0	0	0	1	0	0	0
Cellulomonas	0	0	0	0	0	2	0	0	0	0
Cellvibrio	1	1	0	0	0	0	0	0	0	0
Cepunavirus	0	0	1	0	0	0	0	1	0	0
Cicer	1	0	1	0	0	0	0	0	0	0
Citrobacter	0	0	1	0	0	0	0	0	1	0
Clostridioides	1	0	0	0	1	0	0	0	0	0
Conchiformibius	0	0	0	0	0	1	0	1	0	0
Cyclobacterium	0	0	1	0	0	0	0	1	0	0
Empedobacter	0	0	0	0	0	1	0	0	1	0
Ezakiella	0	1	0	0	0	0	0	1	0	0
Fibrella	0	0	0	0	1	0	0	0	0	1
Finegoldia	0	0	1	0	0	1	0	0	0	0
Geitlerinema	0	1	0	0	0	1	0	0	0	0
Georgenia	1	0	0	0	0	0	0	0	1	0
Glycine	0	0	0	0	0	0	0	1	0	1
Haloactinobacterium	0	0	0	0	0	1	0	0	1	0
Halobacillus	0	1	0	1	0	0	0	0	0	0
Kaistella	0	0	0	0	0	0	0	1	0	1
Kluyvera	1	0	0	0	0	1	0	0	0	0
Legionella	0	0	0	0	0	1	1	0	0	0
Leuconostoc	2	0	0	0	0	0	0	0	0	0
Limnohabitans	0	1	0	0	0	0	1	0	0	0
Massilia	0	0	0	0	0	1	0	1	0	0
Methylobacterium	1	0	0	0	0	0	1	0	0	0
Microbacterium	0	0	0	1	1	0	0	0	0	0
Micropruina	0	0	0	0	0	2	0	0	0	0
Mucilaginibacter	0	0	2	0	0	0	0	0	0	0
Murdochiella	0	0	0	1	0	0	1	0	0	0
Muribaculum	0	0	0	1	1	0	0	0	0	0
Mycobacterium	0	0	0	0	0	0	0	0	1	1
Niabella	0	0	0	0	0	0	0	0	0	2
Nocardioides	1	0	0	0	0	0	0	0	1	0
Nonlabens	0	0	0	1	1	0	0	0	0	0
Oleispira	0	0	0	0	0	0	0	2	0	0
Orbus	0	0	0	0	0	0	0	2	0	0
Ornithobacterium	0	0	1	0	0	0	0	1	0	0
Oscillibacter	0	1	0	0	0	0	1	0	0	0
Pandoraea	0	0	0	0	0	1	1	0	0	0
Parolsenella	0	0	0	0	1	0	0	0	1	0
Pectobacterium	0	0	0	0	0	0	0	1	1	0
Peptacetobacter	0	0	0	0	0	0	1	1	0	0
Phaeobacter	0	0	0	0	0	0	0	0	1	1
Planococcus	0	0	0	1	1	0	0	0	0	0
Plesiomonas	0	0	2	0	0	0	0	0	0	0
Polynucleobacter	0	0	1	0	1	0	0	0	0	0
Prunus	1	0	0	0	0	0	0	1	0	0
Psychrobacillus	0	0	1	0	0	0	0	0	0	1
Pulveribacter	0	0	0	0	0	2	0	0	0	0
Rheinheimera	0	1	0	0	0	0	0	1	0	0
Sagittula	2	0	0	0	0	0	0	0	0	0
Salinicoccus	0	0	0	0	0	0	1	1	0	0
Sepunavirus	1	0	0	1	0	0	0	0	0	0
Serpentinomonas	0	0	0	0	1	1	0	0	0	0
Serratia	0	1	0	0	0	0	0	0	1	0
Sesamum	1	0	1	0	0	0	0	0	0	0
Setaria	0	1	0	0	0	0	1	0	0	0
Spiroplasma	0	0	1	1	0	0	0	0	0	0
Spirosoma	0	0	0	0	0	0	0	0	0	2
Streptobacillus	0	1	0	0	1	0	0	0	0	0
Thauera	0	0	0	0	0	2	0	0	0	0
Winogradskyella	0	0	0	1	0	1	0	0	0	0
Wolbachia	0	0	0	0	0	0	0	0	2	0
Acetoanaerobium	0	1	0	0	0	0	0	0	0	0
Acetobacter	0	1	0	0	0	0	0	0	0	0
Acholeplasma	0	0	0	0	0	0	1	0	0	0
Acidianus	0	0	0	0	0	0	0	0	0	1
Actinomadura	0	0	0	0	0	0	1	0	0	0
Actinopolymorpha	0	0	0	0	0	0	0	0	1	0
Actinotignum	0	0	0	0	0	0	0	0	1	0
Alcaligenes	0	0	0	0	0	1	0	0	0	0
Algibacter	0	0	0	0	1	0	0	0	0	0
Alloactinosynnema	0	0	0	0	0	0	1	0	0	0
Allofrancisella	0	1	0	0	0	0	0	0	0	0
Altererythrobacter	0	1	0	0	0	0	0	0	0	0
Aminipila	0	0	0	1	0	0	0	0	0	0
Amycolatopsis	0	0	0	0	0	0	0	0	1	0
Anabaena	0	0	0	1	0	0	0	0	0	0
Anaerobacillus	0	0	0	0	1	0	0	0	0	0
Anaerobutyricum	0	0	0	0	0	0	1	0	0	0
Aneurinibacillus	0	0	0	0	0	0	0	0	1	0
Anoxybacillus	0	0	0	0	1	0	0	0	0	0
Anoxybacter	0	0	1	0	0	0	0	0	0	0
Aquimarina	0	0	0	0	1	0	0	0	0	0
Arachidicoccus	0	0	0	0	0	0	1	0	0	0
Arcanobacterium	0	0	0	1	0	0	0	0	0	0
Arsenophonus	0	0	0	0	1	0	0	0	0	0
Auraticoccus	1	0	0	0	0	0	0	0	0	0
Azospira	0	0	0	0	0	1	0	0	0	0
Azospirillum	0	0	0	0	0	0	1	0	0	0
Azotobacter	0	0	0	0	1	0	0	0	0	0
Barnesiella	0	0	0	0	0	0	0	0	1	0
Bartonella	0	0	0	0	0	0	0	1	0	0
Bermanella	0	0	1	0	0	0	0	0	0	0
Blastochloris	0	0	0	0	0	1	0	0	0	0
Bordetella	0	0	0	0	0	1	0	0	0	0
Brevibacillus	0	0	0	0	0	0	1	0	0	0
Brevibacterium	0	1	0	0	0	0	0	0	0	0
Brevundimonas	0	1	0	0	0	0	0	0	0	0
Brochothrix	0	0	0	0	0	0	0	1	0	0
Buttiauxella	0	0	0	1	0	0	0	0	0	0
Butyricimonas	0	0	0	0	0	0	0	0	0	1
Caldanaerobacter	0	0	0	0	0	0	0	0	1	0
Candidatus Hamiltonella	0	0	0	0	0	0	0	1	0	0
Candidatus Methylopumilus	0	0	0	1	0	0	0	0	0	0
Candidatus Nitrosoglobus	0	0	0	0	0	1	0	0	0	0
Candidatus Nitrotoga	0	0	0	1	0	0	0	0	0	0
Candidatus Pelagibacter	0	0	0	1	0	0	0	0	0	0
Candidatus Reidiella	0	0	0	0	1	0	0	0	0	0
Candidatus Sulcia	0	0	0	0	0	0	0	0	0	1
Candidatus Vampirococcus	1	0	0	0	0	0	0	0	0	0
Caulobacter	0	0	0	0	0	1	0	0	0	0
Cellulosimicrobium	0	0	0	0	0	1	0	0	0	0
Chitinophaga	0	0	0	0	1	0	0	0	0	0
Christensenella	0	0	0	0	0	1	0	0	0	0
Chromobacterium	0	0	0	0	0	0	0	1	0	0
Coffea	0	0	0	0	1	0	0	0	0	0
Collinsella	0	0	0	0	1	0	0	0	0	0
Croceibacter	0	0	0	0	1	0	0	0	0	0
Cruoricaptor	0	1	0	0	0	0	0	0	0	0
Cucumis	0	0	0	0	0	0	1	0	0	0
Cytobacillus	0	0	0	0	0	0	0	1	0	0
Dechloromonas	0	1	0	0	0	0	0	0	0	0
Dehalobacterium	0	0	0	0	0	0	1	0	0	0
Deinococcus	0	0	0	0	1	0	0	0	0	0
Delftia	0	0	0	0	1	0	0	0	0	0
Dermatophilus	0	0	0	0	0	0	0	0	1	0
Desulfitobacterium	0	0	0	0	1	0	0	0	0	0
Desulfococcus	0	0	0	0	0	1	0	0	0	0
Desulfosarcina	0	1	0	0	0	0	0	0	0	0
Desulfosporosinus	0	1	0	0	0	0	0	0	0	0
Devosia	0	0	0	0	0	1	0	0	0	0
Devriesea	0	0	0	0	0	0	0	0	1	0
Dietzia	1	0	0	0	0	0	0	0	0	0
Dolosigranulum	0	0	0	0	0	1	0	0	0	0
Duncaniella	0	0	0	0	0	0	0	0	0	1
Dyadobacter	0	0	0	0	1	0	0	0	0	0
Dysgonomonas	0	0	0	1	0	0	0	0	0	0
Eggerthella	0	1	0	0	0	0	0	0	0	0
Emcibacter	0	0	0	0	0	1	0	0	0	0
Enterovibrio	0	0	0	0	0	0	0	0	1	0
Ephemeroptericola	0	0	0	0	0	0	1	0	0	0
Escherichia	0	0	1	0	0	0	0	0	0	0
Euzebyella	0	0	0	1	0	0	0	0	0	0
Exiguobacterium	0	0	0	0	0	1	0	0	0	0
Faecalibacterium	1	0	0	0	0	0	0	0	0	0
Fastidiosipila	0	0	0	0	0	0	1	0	0	0
Fervidobacterium	0	0	0	1	0	0	0	0	0	0
Fibrobacter	0	0	1	0	0	0	0	0	0	0
Fictibacillus	0	0	0	0	0	0	1	0	0	0
Filomicrobium	0	0	0	0	0	0	0	1	0	0
Flammeovirga	0	0	0	0	0	0	0	1	0	0
Flavisolibacter	0	0	0	0	0	0	0	0	1	0
Flavivirga	0	0	1	0	0	0	0	0	0	0
Flexistipes	0	0	0	0	0	0	0	0	0	1
Formosa	0	0	0	0	1	0	0	0	0	0
Frankia	0	0	0	0	1	0	0	0	0	0
Frondihabitans	0	0	0	0	0	0	1	0	0	0
Furfurilactobacillus	0	0	0	0	1	0	0	0	0	0
Geosporobacter	0	0	0	1	0	0	0	0	0	0
Gilvibacter	0	0	0	0	1	0	0	0	0	0
Gordonia	0	0	0	1	0	0	0	0	0	0
Gottschalkia	0	0	0	0	0	0	0	0	1	0
Hafnia	0	0	0	0	0	0	1	0	0	0
Halanaerobium	0	0	0	0	0	0	0	1	0	0
Halobacteriovorax	0	0	1	0	0	0	0	0	0	0
Halomonas	0	0	0	0	0	0	0	0	1	0
Helicobacter	0	0	1	0	0	0	0	0	0	0
Herbaspirillum	0	0	0	0	0	0	0	1	0	0
Herbinix	0	0	1	0	0	0	0	0	0	0
Herminiimonas	0	1	0	0	0	0	0	0	0	0
Hungateiclostridium	0	0	1	0	0	0	0	0	0	0
Hydrogenophaga	0	0	0	0	0	1	0	0	0	0
Ilyobacter	0	0	0	0	0	0	0	1	0	0
Inhella	0	0	0	0	0	1	0	0	0	0
Ipomoea	0	0	0	0	0	1	0	0	0	0
Isoptericola	0	0	0	0	0	1	0	0	0	0
Janibacter	0	0	0	0	0	0	0	0	1	0
Jatrophihabitans	0	0	0	0	0	0	0	0	0	1
Jeotgalicoccus	0	0	1	0	0	0	0	0	0	0
Kangiella	0	0	0	0	0	0	0	0	1	0
Kinneretia	1	0	0	0	0	0	0	0	0	0
Kocuria	0	0	0	0	0	0	0	1	0	0
Kushneria	0	0	0	0	0	0	0	0	1	0
Lachnospira	0	0	0	0	0	0	1	0	0	0
Lactiplantibacillus	0	0	0	0	0	0	0	1	0	0
Leifsonia	0	0	0	0	0	1	0	0	0	0
Lelliottia	0	0	1	0	0	0	0	0	0	0
Leptospira	0	0	0	1	0	0	0	0	0	0
Lichenihabitans	0	0	0	0	0	0	0	1	0	0
Limnobaculum	0	0	0	0	0	0	0	0	0	1
Limosilactobacillus	0	0	0	0	0	0	0	0	0	1
Lysinibacillus	0	0	0	0	0	0	0	1	0	0
Maribius	0	0	0	1	0	0	0	0	0	0
Marinobacter	0	0	0	0	0	0	0	0	0	1
Marinobacterium	0	0	0	0	0	0	0	0	0	1
Marinomonas	0	1	0	0	0	0	0	0	0	0
Megamonas	0	0	0	0	1	0	0	0	0	0
Melaminivora	0	0	0	0	1	0	0	0	0	0
Melioribacter	0	0	1	0	0	0	0	0	0	0
Melissococcus	0	0	0	1	0	0	0	0	0	0
Mesoplasma	0	0	0	0	0	0	0	0	0	1
Methanobrevibacter	0	1	0	0	0	0	0	0	0	0
Methanofervidicoccus	0	0	0	0	0	0	0	0	0	1
Methylomonas	0	0	1	0	0	0	0	0	0	0
Methylovulum	0	0	0	0	0	0	0	1	0	0
Microbulbifer	0	0	0	0	0	0	0	0	0	1
Microterricola	0	0	0	0	0	0	0	0	1	0
Mixta	0	0	0	0	0	0	0	1	0	0
Monoglobus	0	1	0	0	0	0	0	0	0	0
Morganella	0	0	1	0	0	0	0	0	0	0
Muriicola	0	0	0	0	0	1	0	0	0	0
Mycetocola	0	0	0	0	1	0	0	0	0	0
Myroides	0	0	0	0	0	0	0	0	1	0
Nakamurella	0	0	0	0	0	0	0	0	0	1
Nautilia	0	0	0	0	0	0	0	1	0	0
Neorhizobium	0	0	0	0	1	0	0	0	0	0
Nitrosococcus	0	0	1	0	0	0	0	0	0	0
Nitrospirillum	1	0	0	0	0	0	0	0	0	0
Obesumbacterium	0	0	1	0	0	0	0	0	0	0
Oceanimonas	0	0	0	0	0	1	0	0	0	0
Oceanispirochaeta	0	0	1	0	0	0	0	0	0	0
Oceanobacillus	0	0	0	0	0	0	0	1	0	0
Ochrobactrum	0	0	0	0	0	1	0	0	0	0
Owenweeksia	0	0	1	0	0	0	0	0	0	0
Paenisporosarcina	0	0	1	0	0	0	0	0	0	0
Panacibacter	0	0	0	0	0	0	0	0	1	0
Parasphingopyxis	0	1	0	0	0	0	0	0	0	0
Pedobacter	0	0	0	1	0	0	0	0	0	0
Pelodictyon	0	1	0	0	0	0	0	0	0	0
Peptoniphilus	1	0	0	0	0	0	0	0	0	0
Phenylobacterium	1	0	0	0	0	0	0	0	0	0
Phreatobacter	1	0	0	0	0	0	0	0	0	0
Pirellula	1	0	0	0	0	0	0	0	0	0
Pontibacillus	0	0	0	1	0	0	0	0	0	0
Pontibacter	0	0	0	0	0	0	0	0	1	0
Pradoshia	0	0	1	0	0	0	0	0	0	0
Pseudescherichia	0	0	0	0	0	0	0	1	0	0
Pseudobutyrivibrio	0	1	0	0	0	0	0	0	0	0
Pseudohongiella	0	1	0	0	0	0	0	0	0	0
Pseudonocardia	0	0	0	0	1	0	0	0	0	0
Pseudopuniceibacterium	0	0	0	0	0	0	0	0	0	1
Psychrobacter	0	0	0	0	0	0	1	0	0	0
Punica	0	0	0	0	0	0	0	1	0	0
Pyrococcus	0	0	1	0	0	0	0	0	0	0
Rahnella	1	0	0	0	0	0	0	0	0	0
Raoultella	0	0	0	0	0	1	0	0	0	0
Rathayibacter	0	0	0	0	0	0	0	0	1	0
Rhizobium	0	0	0	0	0	0	0	0	1	0
Rhizorhabdus	1	0	0	0	0	0	0	0	0	0
Rhodococcus	0	0	0	0	0	0	0	0	0	1
Rhodothermus	0	0	1	0	0	0	0	0	0	0
Rivularia	1	0	0	0	0	0	0	0	0	0
Roseburia	0	0	0	0	0	0	0	0	1	0
Roseimicrobium	0	0	0	0	0	0	0	0	0	1
Rosenblumvirus	0	0	1	0	0	0	0	0	0	0
Roseococcus	0	0	0	0	0	0	0	0	1	0
Roseolovirus	0	0	0	0	0	0	0	1	0	0
Rubrobacter	0	0	0	0	0	1	0	0	0	0
Salegentibacter	0	0	0	0	0	0	0	0	0	1
Salinibacterium	0	0	0	0	0	0	0	0	1	0
Salinimonas	0	0	0	0	1	0	0	0	0	0
Salipiger	0	1	0	0	0	0	0	0	0	0
Sanguibacter	0	0	0	0	0	0	0	0	1	0
Scandinavium	0	0	0	0	0	0	0	0	0	1
Sebaldella	0	0	0	0	0	0	0	1	0	0
Siansivirga	0	1	0	0	0	0	0	0	0	0
Simplicispira	0	0	1	0	0	0	0	0	0	0
Sinorhizobium	1	0	0	0	0	0	0	0	0	0
Sneathia	0	0	0	1	0	0	0	0	0	0
Snodgrassella	0	1	0	0	0	0	0	0	0	0
Sodalis	0	1	0	0	0	0	0	0	0	0
Solimonas	0	0	0	0	0	0	0	0	0	1
Sphaerobacter	0	0	0	0	0	0	0	0	0	1
Sphaerochaeta	0	0	0	0	0	0	0	0	0	1
Sphaerotilus	0	0	0	0	0	0	0	1	0	0
Sphingobacterium	0	0	0	0	0	0	0	0	1	0
Sphingorhabdus	1	0	0	0	0	0	0	0	0	0
