Species	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
Fusobacterium hwasookii	92	28	292	24	107	23	23	22	26	56
Prevotella scopos	22	15	4	511	62	25	7	5	10	18
Streptococcus sp. LPB0220	4	197	1	24	17	37	83	227	79	1
Campylobacter showae	22	1	455	3	96	41	10	1	7	23
Streptococcus sp. HSISM1	3	178	0	28	16	44	77	226	56	0
Leptotrichia trevisanii	4	9	187	29	6	11	13	6	10	344
Streptococcus gwangjuense	8	25	18	29	214	4	9	100	31	169
Treponema denticola	3	0	0	55	0	0	1	0	0	546
Rothia dentocariosa	2	2	4	5	1	337	10	4	99	140
Neisseria sicca	97	46	0	23	164	29	141	41	6	46
Prevotella sp. oral taxon 299	10	66	287	50	48	10	8	26	33	32
Leptotrichia buccalis	7	1	79	51	1	1	4	0	5	348
Fusobacterium periodonticum	28	144	14	5	48	2	58	120	48	2
Toxoplasma gondii	193	46	1	4	49	149	10	10	2	2
Sphingomonas melonis	266	166	0	0	0	0	0	0	0	0
Campylobacter gracilis	0	0	6	3	1	6	0	1	1	396
Neisseria meningitidis	12	83	0	7	28	7	108	114	13	27
Prevotella enoeca	6	2	4	244	21	2	2	0	21	79
Capnocytophaga endodontalis	14	2	65	3	179	11	20	2	24	59
Leptotrichia hofstadii	10	3	262	14	0	1	2	3	12	67
Capnocytophaga sp. oral taxon 878	13	3	93	5	119	1	2	3	14	98
Haemophilus sp. oral taxon 036	6	12	8	34	61	5	7	23	24	167
Streptococcus sp. 116-D4	14	23	10	16	108	1	33	62	21	48
Staphylococcus cohnii	176	0	0	0	83	74	1	0	0	0
Cardiobacterium hominis	0	0	0	2	0	244	12	0	20	44
Selenomonas sp. oral taxon 920	1	1	0	48	38	2	2	0	3	217
Streptococcus pseudopneumoniae	9	23	10	6	98	2	9	83	17	44
Actinomyces sp. oral taxon 169	4	0	1	6	2	187	32	0	8	56
Sphingomonas sp. NIC1	177	110	0	0	0	0	0	0	0	0
Rothia aeria	17	7	0	2	0	11	43	3	24	168
Tannerella forsythia	10	1	3	28	40	1	2	1	5	176
Leptotrichia hongkongensis	22	8	115	11	0	0	11	2	63	28
Mogibacterium diversum	3	13	0	68	110	26	12	1	3	3
Selenomonas sputigena	3	0	0	57	6	0	0	0	1	161
Streptococcus salivarius	11	27	0	45	8	2	76	38	6	2
Haemophilus pittmaniae	3	29	23	14	3	4	21	38	62	16
Abiotrophia defectiva	53	0	0	0	88	0	60	1	1	9
Streptococcus koreensis	6	12	0	2	3	3	84	8	86	3
Eikenella corrodens	31	7	0	3	48	37	26	6	21	17
Actinomyces sp. oral taxon 897	0	0	0	0	177	2	0	0	1	6
Parvimonas micra	3	4	8	7	121	21	6	0	5	10
Neisseria cinerea	7	25	0	2	57	0	39	36	8	2
Neisseria gonorrhoeae	3	42	0	2	5	5	25	78	6	4
Selenomonas sp. oral taxon 478	3	0	0	86	15	0	0	0	0	62
Capsicum annuum	63	7	3	1	31	42	3	5	1	1
Prevotella fusca	7	5	1	106	7	10	1	1	5	10
Ottowia sp. oral taxon 894	3	0	0	0	133	1	6	0	0	0
Streptococcus sp. I-P16	3	7	0	0	2	1	50	11	68	1
Streptococcus sp. I-G2	4	9	0	1	2	1	73	5	45	1
Actinomyces sp. oral taxon 414	0	0	0	0	7	1	0	0	5	125
Treponema sp. OMZ 804	1	4	0	10	0	1	0	0	0	119
Neisseria lactamica	3	41	0	3	16	5	25	33	0	3
Selenomonas sp. oral taxon 136	0	0	0	67	12	0	0	0	0	50
Prevotella denticola	5	1	2	75	8	5	4	2	2	22
Leptotrichia shahii	4	2	21	20	6	3	1	0	1	63
Cloacibacterium normanense	5	7	1	0	16	74	10	3	3	1
Treponema socranskii	0	0	0	2	13	4	0	1	1	93
Campylobacter rectus	5	1	68	0	12	8	2	0	0	14
Streptococcus cristatus	8	5	7	3	7	4	17	14	17	28
Actinomyces oris	2	1	1	3	0	74	4	0	8	14
Streptococcus sp. NPS 308	5	3	1	6	26	0	26	8	8	21
Actinomyces pacaensis	2	2	11	1	16	3	17	4	42	0
Olsenella sp. oral taxon 807	0	0	0	1	5	0	1	0	0	88
Acinetobacter junii	4	1	0	0	75	9	3	0	0	1
Lactococcus lactis	85	0	4	0	0	0	1	1	2	0
Streptococcus intermedius	5	3	1	0	4	3	59	6	9	3
Lancefieldella parvula	1	0	0	18	27	33	0	1	5	6
Actinomyces naeslundii	0	0	0	0	0	54	3	0	5	24
Porphyromonas gingivalis	1	8	6	22	23	2	3	4	2	12
Actinomyces sp. oral taxon 171	2	0	0	1	0	41	12	1	5	20
Capnocytophaga sp. oral taxon 902	0	0	28	2	33	1	2	0	1	12
Fusobacterium sp. oral taxon 203	10	4	23	1	9	1	0	6	3	21
Aggregatibacter actinomycetemcomitans	1	0	51	2	4	2	1	2	4	10
Veillonella rodentium	2	7	0	17	3	7	13	6	18	3
Cutibacterium acnes	23	17	0	0	15	10	1	0	1	2
Schaalia meyeri	0	1	0	1	1	1	1	0	10	50
Streptococcus sp. 1643	2	7	1	2	17	2	14	9	3	8
Pauljensenia hongkongensis	0	1	0	0	4	0	0	0	5	53
Actinomyces viscosus	2	0	0	1	0	21	2	0	2	27
Croceicoccus marinus	37	18	0	0	0	0	0	0	0	0
Treponema sp. Marseille-Q4132	0	0	0	0	28	3	0	0	0	22
Filifactor alocis	0	0	0	1	22	16	3	2	1	7
Leptotrichia sp. oral taxon 498	2	1	20	8	7	2	1	0	1	8
Streptococcus anginosus	8	3	2	2	2	14	13	1	0	5
Pasteurella multocida	2	9	4	1	0	0	1	12	17	3
Campylobacter curvus	0	0	6	4	11	2	0	1	1	22
Dialister pneumosintes	0	0	15	2	2	0	1	0	2	24
Kingella oralis	4	1	0	3	0	1	6	2	15	14
Neisseria polysaccharea	4	16	0	1	0	1	14	6	2	1
Streptococcus sp. oral taxon 064	0	4	3	1	11	4	8	4	4	6
Streptococcus thermophilus	4	6	2	0	4	0	13	8	5	2
Mycoplasma salivarium	2	0	0	0	15	0	0	0	6	17
Selenomonas sp. oral taxon 126	1	0	0	8	4	0	0	0	0	27
Sphingomonas sp. FARSPH	21	17	0	0	0	0	0	0	0	0
Leptotrichia sp. oral taxon 847	1	4	12	6	4	0	3	1	2	2
Candidatus Nanosynbacter lyticus	0	0	0	1	11	1	0	1	3	16
Mannheimia granulomatis	0	6	3	1	0	1	2	18	1	0
Prevotella dentalis	0	0	0	22	2	0	0	0	0	8
Pseudoleptotrichia goodfellowii	1	1	6	0	0	0	1	5	3	15
Streptococcus suis	1	1	4	1	2	1	10	4	1	6
Streptococcus vestibularis	3	1	0	2	8	0	8	3	4	2
Selenomonas sp. Marseille-Q3039	1	0	0	5	7	0	1	0	0	16
Rodentibacter sp. DSM 111151	0	2	6	2	0	0	0	14	3	1
Eikenella exigua	2	0	0	2	6	0	13	0	0	3
Capnocytophaga ochracea	0	0	5	0	13	0	3	0	0	4
Triticum dicoccoides	2	3	1	5	2	1	3	4	1	3
Capnocytophaga sp. oral taxon 323	1	0	7	0	12	0	0	0	1	3
Capnocytophaga sp. oral taxon 864	1	0	3	0	12	0	2	1	3	2
Glaesserella parasuis	1	1	0	3	0	0	2	12	3	0
Campylobacter ureolyticus	0	0	21	0	0	0	0	0	0	0
Neisseria brasiliensis	3	7	0	0	2	0	4	5	0	0
Neisseria sp. KEM232	0	3	0	0	5	0	10	1	1	1
Oryza brachyantha	7	1	3	0	5	4	0	0	0	1
Rodentibacter heylii	0	2	5	1	0	1	1	5	6	0
Sphingomonas taxi	15	6	0	0	0	0	0	0	0	0
Veillonella sp. OK1	2	0	0	19	0	0	0	0	0	0
Histophilus somni	0	3	3	3	1	2	1	3	1	3
Neisseria bacilliformis	1	3	1	0	1	0	5	4	3	2
Neisseria animalis	0	5	0	0	2	0	4	7	0	1
Neisseria chenwenguii	0	7	0	0	1	0	6	2	1	1
Pantoea sp. PSNIH1	0	18	0	0	0	0	0	0	0	0
Pseudomonas azotoformans	18	0	0	0	0	0	0	0	0	0
Rodentibacter pneumotropicus	1	1	3	1	0	2	0	3	7	0
Treponema sp. OMZ 838	0	3	0	1	0	0	0	0	0	14
Bibersteinia trehalosi	0	6	1	0	1	0	0	9	0	0
Mannheimia haemolytica	0	1	0	2	0	0	0	13	0	1
Neisseria musculi	1	4	0	1	3	0	5	2	0	1
Sphingomonas insulae	10	7	0	0	0	0	0	0	0	0
Streptococcus pyogenes	0	4	2	2	5	1	1	0	2	0
Juglans regia	5	1	0	0	4	6	0	0	0	0
Mannheimia varigena	0	4	1	1	0	0	0	8	2	0
Nicotiana attenuata	0	0	3	0	9	2	1	0	1	0
Pseudomonas sp. NS1(2017)	16	0	0	0	0	0	0	0	0	0
Streptococcus porcinus	0	0	11	0	2	1	1	0	0	1
Streptococcus sp. HSISS2	0	2	1	1	2	2	5	3	0	0
Frederiksenia canicola	0	2	1	0	0	3	1	6	1	1
Helianthus annuus	3	0	4	1	0	3	2	2	0	0
Neisseria sp. ZJ785	1	1	0	0	3	0	8	0	2	0
Staphylococcus epidermidis	2	2	0	0	10	0	1	0	0	0
Streptococcus dysgalactiae	3	3	1	0	5	1	2	0	0	0
Streptococcus sp. FDAARGOS	1	2	0	1	1	0	5	4	1	0
Actinobacillus porcitonsillarum	0	1	1	0	0	0	0	11	1	0
Mannheimia sp. USDA-ARS-USMARC-1261	0	6	0	0	0	0	0	6	0	2
Neisseria sp. 10022	2	2	0	1	0	0	3	3	3	0
Neisseria weaveri	0	3	0	0	1	0	6	3	1	0
Simonsiella muelleri	1	3	0	0	0	0	1	0	8	1
Streptococcus canis	1	1	0	1	6	0	5	0	0	0
Avibacterium paragallinarum	0	1	8	0	0	0	0	2	1	1
Bacteroides zoogleoformans	0	0	0	8	1	0	0	0	0	4
Neisseria dentiae	0	3	0	0	0	0	2	5	0	3
Otariodibacter oris	0	1	4	0	1	0	0	4	1	2
Porphyrobacter sp. YT40	7	6	0	0	0	0	0	0	0	0
Ralstonia pickettii	1	0	0	0	0	11	1	0	0	0
Sphingobium cloacae	9	4	0	0	0	0	0	0	0	0
Actinobacillus pleuropneumoniae	0	0	4	0	0	0	2	5	0	1
Glaesserella sp. 15-184	0	3	0	1	0	0	2	3	3	0
Mogibacterium pumilum	0	0	0	2	5	1	0	0	2	2
Moraxella osloensis	0	0	0	0	0	10	2	0	0	0
Neisseria zoodegmatis	1	2	0	0	1	0	6	2	0	0
Streptococcus constellatus	1	0	0	3	2	1	2	1	1	1
Actinomyces sp. Chiba101	0	0	0	0	0	9	0	0	0	2
Bergeyella cardium	2	2	1	0	1	1	2	2	0	0
Bifidobacterium dentium	0	0	0	0	11	0	0	0	0	0
Capnocytophaga haemolytica	0	0	3	0	3	0	0	0	0	5
Streptococcus equinus	0	1	0	1	0	0	4	3	1	1
Streptococcus mutans	1	0	1	0	0	0	6	0	0	3
Streptococcus sp. HSISS3	0	2	0	0	0	0	5	2	1	1
Diaphorobacter sp. HDW4A	3	0	0	0	1	5	1	0	0	0
Fusobacterium necrophorum	2	0	3	0	0	0	0	0	0	5
Manihot esculenta	3	3	1	0	0	0	1	1	0	1
Neisseria animaloris	0	4	0	0	0	1	3	2	0	0
Papaver somniferum	1	1	4	0	2	0	1	0	0	1
Streptococcus milleri	0	0	1	1	5	1	0	0	1	1
[Haemophilus] ducreyi	0	3	0	0	0	1	0	4	1	0
Avibacterium volantium	0	1	3	0	0	0	1	2	0	2
Bacteroides heparinolyticus	1	3	3	0	0	0	0	0	0	2
Bisgaardia hudsonensis	0	0	2	1	0	3	0	0	2	1
Cucurbita pepo	3	2	0	0	0	3	0	1	0	0
Diaphorobacter sp. JS3050	2	1	0	0	0	3	2	1	0	0
Neisseria shayeganii	0	2	0	0	0	1	2	2	1	1
Pseudomonas aeruginosa	1	0	0	0	0	8	0	0	0	0
Treponema putidum	2	0	0	2	0	0	0	0	0	5
Fusobacterium varium	0	1	2	0	1	1	0	0	3	0
Lupinus angustifolius	2	0	0	0	3	2	0	0	0	1
Neisseria wadsworthii	0	2	0	0	0	0	3	2	1	0
Physcomitrium patens	1	2	0	0	1	1	3	0	0	0
Quercus lobata	3	1	0	0	0	1	2	0	1	0
Streptococcus agalactiae	1	1	1	0	4	1	0	0	0	0
Streptococcus pseudoporcinus	0	0	0	0	1	3	1	1	0	2
Acidovorax ebreus	0	0	0	0	0	5	2	0	0	0
Acidovorax sp. 1608163	1	0	0	0	1	2	3	0	0	0
Actinobacillus delphinicola	0	1	3	0	0	0	0	1	2	0
Actinobacillus indolicus	0	0	2	0	0	1	0	4	0	0
Actinobacillus suis	0	1	2	0	0	0	0	2	2	0
Campylobacter hominis	0	0	7	0	0	0	0	0	0	0
Campylobacter sp. CCUG 57310	0	0	5	1	0	0	0	0	0	1
Musa acuminata	4	0	1	0	0	1	1	0	0	0
Photobacterium damselae	0	0	6	0	0	0	0	1	0	0
Providencia rettgeri	0	2	0	0	0	0	1	3	0	1
Sphingomonas paucimobilis	4	3	0	0	0	0	0	0	0	0
Streptococcus equi	1	1	0	0	1	0	2	2	0	0
Streptococcus himalayensis	1	0	0	0	2	0	2	2	0	0
Xanthomonas campestris	1	0	0	0	3	0	1	1	1	0
Acidovorax sp. JS42	0	0	0	0	2	3	1	0	0	0
Ananas comosus	1	0	0	0	5	0	0	0	0	0
Aquabacterium olei	3	0	0	0	0	2	1	0	0	0
Asparagus officinalis	1	1	0	1	0	1	0	1	0	1
Burkholderia contaminans	0	0	0	0	1	4	0	1	0	0
Capnocytophaga canimorsus	0	0	1	1	1	0	0	1	0	2
Cynara cardunculus	0	0	1	0	3	1	0	0	0	1
Enterocloster bolteae	0	0	0	0	2	1	3	0	0	0
Gemella sp. oral taxon 928	0	1	1	0	1	0	1	1	0	1
Gossypium hirsutum	0	0	1	1	0	2	0	1	0	1
Lactobacillus iners	0	0	0	1	1	0	3	1	0	0
Mannheimia sp. ZY190616	0	3	1	0	0	0	0	2	0	0
Nymphaea colorata	2	0	0	0	0	0	0	1	2	1
Porphyromonas asaccharolytica	0	0	2	0	2	0	0	0	1	1
Porphyromonas crevioricanis	0	0	1	1	0	1	1	0	0	2
Pseudomonas fluorescens	6	0	0	0	0	0	0	0	0	0
Pseudomonas putida	0	0	0	0	2	2	2	0	0	0
Sphingobium yanoikuyae	2	2	0	0	1	1	0	0	0	0
Streptococcus halotolerans	0	0	0	1	1	0	3	1	0	0
Streptococcus phage EJ-1	0	0	1	1	2	0	0	0	0	2
Streptococcus sp. NSJ-72	0	0	1	1	1	0	0	0	0	3
Vigna angularis	2	0	0	1	0	0	1	0	1	1
Acidovorax carolinensis	1	0	0	0	0	2	1	0	1	0
Acidovorax sp. JMULE5	0	0	0	0	2	2	1	0	0	0
Actinobacillus succinogenes	0	1	0	0	0	0	0	3	0	1
Alloprevotella sp. E39	0	1	0	1	1	0	0	0	0	2
Alteromonas sp. RKMC-009	0	2	0	0	0	0	0	3	0	0
Bacteroides fragilis	1	0	0	2	0	0	0	0	1	1
Beta vulgaris	0	0	3	1	1	0	0	0	0	0
Chitinibacter sp. 2T18	1	1	0	0	1	2	0	0	0	0
Klebsiella pneumoniae	1	0	1	0	1	0	1	1	0	0
Malus domestica	0	0	0	1	1	0	1	1	0	1
Neisseria canis	0	1	0	2	0	0	1	0	0	1
Novosphingobium sp. ES2-1	0	2	0	0	0	0	0	3	0	0
Odoribacter splanchnicus	0	0	0	2	0	0	0	0	0	3
Olsenella uli	0	0	0	0	5	0	0	0	0	0
Phaseolus vulgaris	0	1	0	1	0	2	0	0	0	1
Populus trichocarpa	1	1	0	0	1	0	0	2	0	0
Prevotella ruminicola	0	0	0	0	1	0	0	0	0	4
Sphingomonas sp. LK11	4	1	0	0	0	0	0	0	0	0
Staphylococcus capitis	0	3	0	0	1	0	0	1	0	0
Streptococcus periodonticum	0	0	0	0	0	4	0	1	0	0
Streptococcus respiraculi	0	2	0	0	0	0	1	0	0	2
Streptococcus sobrinus	1	1	0	0	0	0	2	0	0	1
Acinetobacter haemolyticus	0	0	0	0	2	2	0	0	0	0
Acinetobacter pittii	0	0	1	0	3	0	0	0	0	0
Actinomyces howellii	0	0	0	0	0	2	0	0	0	2
Actinomyces sp. 432	0	0	0	0	1	2	0	0	0	1
Advenella mimigardefordensis	1	0	0	0	0	1	0	2	0	0
Anaerococcus mediterraneensis	1	0	0	0	1	2	0	0	0	0
Cajanus cajan	1	0	0	0	0	2	1	0	0	0
Campylobacter pinnipediorum	0	0	2	2	0	0	0	0	0	0
Cannabis sativa	0	0	1	0	1	0	0	0	1	1
Capnocytophaga stomatis	1	0	2	0	0	0	0	0	0	1
Carnobacterium maltaromaticum	0	1	2	0	0	0	0	0	0	1
Chryseobacterium shandongense	0	0	0	0	0	2	0	2	0	0
Chryseobacterium taklimakanense	0	0	0	0	0	4	0	0	0	0
Colwellia sp. 20A7	0	0	0	0	0	0	0	3	0	1
Comamonas aquatica	0	0	0	0	3	1	0	0	0	0
Dickeya zeae	0	1	0	0	0	0	0	3	0	0
Fusobacterium ulcerans	1	0	2	0	1	0	0	0	0	0
Gallibacterium anatis	0	0	1	1	0	1	0	0	1	0
Gilliamella apicola	0	0	0	0	0	0	0	3	1	0
Lachnoclostridium phocaeense	0	0	1	0	0	0	2	0	1	0
Laribacter hongkongensis	0	0	0	0	1	3	0	0	0	0
Moraxella bovis	0	3	0	0	0	1	0	0	0	0
Olea europaea	0	0	2	1	0	0	0	0	0	1
Paraburkholderia fungorum	0	0	0	0	0	4	0	0	0	0
Pasteurella skyensis	0	0	1	0	0	0	0	3	0	0
Porphyromonas cangingivalis	0	0	1	1	1	0	0	0	0	1
Pragia fontium	0	2	0	0	0	0	0	0	2	0
Providencia vermicola	0	1	0	0	0	1	0	1	0	1
Pseudomonas agarici	4	0	0	0	0	0	0	0	0	0
Pseudomonas sp. phDV1	0	0	0	0	0	4	0	0	0	0
Pseudomonas stutzeri	0	0	0	0	1	2	0	0	1	0
Riemerella anatipestifer	0	0	2	0	0	0	0	1	1	0
Rothia terrae	0	0	0	0	0	2	0	2	0	0
Salmonella enterica	0	0	0	1	0	0	1	1	1	0
Shimwellia blattae	0	1	0	0	0	0	2	0	1	0
Solanum pennellii	3	0	0	0	0	1	0	0	0	0
Sphingomonas panacis	2	1	0	0	0	0	0	0	0	1
Sphingomonas sp. CL5.1	3	1	0	0	0	0	0	0	0	0
Sphingomonas sp. NBWT7	1	3	0	0	0	0	0	0	0	0
Stenotrophomonas maltophilia	0	0	0	0	0	4	0	0	0	0
Streptococcus marmotae	0	0	0	0	1	0	0	3	0	0
Streptococcus parauberis	0	2	0	0	0	0	0	2	0	0
Streptococcus phage phiARI0746	1	0	0	0	1	0	1	1	0	0
Streptococcus ratti	0	0	0	1	0	0	1	1	1	0
Streptococcus sp. NCTC 11567	0	0	3	0	1	0	0	0	0	0
Streptococcus uberis	0	1	0	1	0	0	1	1	0	0
Thalassotalea sp. HSM 43	0	2	0	1	0	0	0	0	1	0
Trueperella sp. 19M2397	0	0	0	0	0	0	1	0	3	0
Xenorhabdus bovienii	0	0	2	0	1	0	0	0	0	1
[Mannheimia] succiniciproducens	0	0	1	1	0	0	0	0	1	0
Acidovorax sp. HDW3	0	0	0	0	0	3	0	0	0	0
Acidovorax sp. KKS102	0	0	0	0	0	3	0	0	0	0
Acidovorax sp. T1	0	0	0	0	1	1	1	0	0	0
Acinetobacter baumannii	0	0	1	0	0	0	0	2	0	0
Acinetobacter sp. WCHA45	0	0	0	0	2	1	0	0	0	0
Actinobacillus equuli	0	1	0	0	0	0	1	1	0	0
Actinomyces sp. zg-325	0	0	0	0	0	2	0	0	0	1
Actinomyces sp. ZJ34	0	0	0	0	0	1	0	0	1	1
Aeromonas media	0	0	0	0	0	0	0	3	0	0
Alistipes indistinctus	1	0	1	0	1	0	0	0	0	0
Alysiella filiformis	0	2	0	0	0	0	0	1	0	0
Bacteroides sp. HF-5287	0	0	0	0	1	0	0	0	0	2
Bacteroides thetaiotaomicron	0	0	1	0	0	0	0	0	0	2
Bernardetia litoralis	0	1	1	0	0	0	1	0	0	0
Caloranaerobacter azorensis	0	0	2	0	0	0	0	1	0	0
Chryseobacterium sp. F5649	0	0	1	0	0	1	1	0	0	0
Citrus sinensis	2	0	0	0	0	0	1	0	0	0
Comamonas thiooxydans	0	1	0	0	2	0	0	0	0	0
Corynebacterium kroppenstedtii	2	0	0	0	1	0	0	0	0	0
Cupriavidus metallidurans	0	0	0	0	0	2	0	1	0	0
Daucus carota	1	0	0	0	0	0	2	0	0	0
Elaeis guineensis	0	1	1	0	0	1	0	0	0	0
Enterococcus avium	0	1	0	0	1	0	0	1	0	0
Enterococcus faecalis	0	0	0	0	0	0	2	0	1	0
Epilithonimonas vandammei	1	1	0	0	0	1	0	0	0	0
Francisella philomiragia	0	0	0	0	0	0	0	0	3	0
Fusobacterium gonidiaformans	1	0	0	0	0	0	0	1	0	1
Gossypium arboreum	0	0	1	0	0	1	1	0	0	0
Gossypium raimondii	0	0	1	1	0	0	1	0	0	0
Granulibacter bethesdensis	1	1	0	0	0	0	0	0	0	1
Haemophilus aegyptius	0	0	1	0	0	0	0	0	0	2
Hydrogenovibrio crunogenus	0	0	0	0	0	0	0	0	3	0
Janthinobacterium sp. HH102	0	1	0	0	0	2	0	0	0	0
Kosakonia sp. SMBL-WEM22	0	0	0	0	0	0	0	3	0	0
Lacrimispora saccharolytica	0	0	1	0	0	0	1	0	0	1
Mageeibacillus indolicus	0	0	0	1	2	0	0	0	0	0
Medicago truncatula	0	2	1	0	0	0	0	0	0	0
Methylophilus medardicus	0	1	0	0	0	0	0	1	1	0
Neisseria zalophi	0	0	1	0	0	0	0	2	0	0
Paludibacter propionicigenes	0	0	0	0	1	1	0	1	0	0
Paraprevotella xylaniphila	0	0	1	0	2	0	0	0	0	0
Parashewanella tropica	0	2	0	0	0	0	0	0	1	0
Photorhabdus laumondii	0	0	0	0	0	1	0	1	1	0
Proteus vulgaris	0	1	2	0	0	0	0	0	0	0
Pseudoalteromonas atlantica	0	1	1	0	0	0	0	0	1	0
Pseudomonas simiae	3	0	0	0	0	0	0	0	0	0
Ralstonia insidiosa	0	0	0	0	0	2	1	0	0	0
Rosa chinensis	2	1	0	0	0	0	0	0	0	0
Shewanella woodyi	0	0	0	0	0	0	0	1	2	0
Solanum lycopersicum	0	0	1	0	1	1	0	0	0	0
Sphingobium sp. TKS	1	1	0	0	0	1	0	0	0	0
Sphingomonas sp. AP4-R1	2	1	0	0	0	0	0	0	0	0
Streptococcus pantholopis	0	1	0	1	0	0	0	1	0	0
Streptococcus phage PH10	0	0	0	0	0	0	1	0	2	0
Streptococcus pluranimalium	0	0	0	0	0	1	0	0	1	1
Streptococcus sp. KS 6	0	0	0	1	0	1	1	0	0	0
Theobroma cacao	0	0	1	0	1	1	0	0	0	0
Vespertiliibacter pulmonis	0	0	0	0	0	0	0	1	2	0
Yersinia enterocolitica	0	1	0	0	0	0	0	1	1	0
Ziziphus jujuba	1	0	0	0	1	0	1	0	0	0
[Clostridium] innocuum	0	0	0	0	0	0	0	0	0	2
Acidovorax avenae	0	0	0	0	0	2	0	0	0	0
Acidovorax sp. 16-35-5	0	0	0	0	0	2	0	0	0	0
Acinetobacter indicus	0	0	0	0	0	0	0	2	0	0
Acinetobacter lwoffii	0	1	1	0	0	0	0	0	0	0
Acinetobacter schindleri	1	0	0	0	1	0	0	0	0	0
Acinetobacter sp. NEB 394	0	0	0	0	1	1	0	0	0	0
Actinobacillus lignieresii	0	0	0	0	0	0	0	2	0	0
Actinomyces qiguomingii	0	0	0	0	0	0	0	1	0	1
Actinomyces radicidentis	0	0	0	0	0	1	0	0	0	1
Actinomyces slackii	0	0	0	0	0	0	1	0	0	1
Actinomyces sp. 2129	0	0	0	0	0	1	0	0	0	1
Actinoplanes missouriensis	0	0	1	0	0	0	0	0	1	0
Aerococcus viridans	0	0	0	0	0	0	2	0	0	0
Agrobacterium tumefaciens	0	0	0	0	0	1	0	0	1	0
Alicycliphilus denitrificans	0	0	0	0	0	1	0	0	1	0
Aliivibrio fischeri	0	0	0	1	0	0	0	0	1	0
Alistipes megaguti	1	1	0	0	0	0	0	0	0	0
Alkalihalobacillus krulwichiae	0	0	0	0	0	0	2	0	0	0
Allochromatium vinosum	0	0	2	0	0	0	0	0	0	0
Anaerostipes rhamnosivorans	0	0	0	0	0	1	1	0	0	0
Aquisphaera giovannonii	0	0	2	0	0	0	0	0	0	0
Austwickia chelonae	0	0	0	0	0	0	1	0	1	0
