Genus	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
Musa	2	0	4	0	1	0	0	1	1	0	0	0
Photobacterium	1	0	0	0	6	0	0	0	0	2	0	0
Rhodoferax	1	2	1	0	0	0	0	3	0	0	0	2
Sphingosinithalassobacter	0	8	1	0	0	0	0	0	0	0	0	0
Aquabacterium	0	2	3	0	0	0	0	2	1	0	0	0
Asparagus	2	0	1	1	0	1	0	1	0	1	0	1
Enterobacter	0	2	0	0	0	0	0	2	0	2	1	1
Janthinobacterium	0	1	0	3	0	0	0	2	1	0	1	0
Nymphaea	2	0	2	0	0	0	0	0	0	1	2	1
Plasmodium	2	2	2	0	0	0	1	0	0	0	1	0
Solanum	0	1	3	0	1	0	1	2	0	0	0	0
Stenotrophomonas	0	1	0	1	0	0	0	6	0	0	0	0
Chitinibacter	0	2	1	1	0	0	1	2	0	0	0	0
Colwellia	0	0	0	0	0	1	0	0	1	3	1	1
Enterocloster	0	0	0	0	0	0	2	2	3	0	0	0
Erythrobacter	0	7	0	0	0	0	0	0	0	0	0	0
Klebsiella	0	2	1	0	1	0	1	0	1	1	0	0
Malus	2	0	0	0	0	1	1	0	1	1	0	1
Odoribacter	1	1	0	0	0	2	0	0	0	0	0	3
Populus	0	2	1	1	0	0	1	0	0	2	0	0
Proteus	0	0	1	1	2	0	0	0	0	2	0	1
Yersinia	0	0	0	1	2	0	0	0	0	1	3	0
Alteromonas	0	0	0	2	0	0	0	0	0	3	1	0
Ananas	0	0	1	0	0	0	5	0	0	0	0	0
Cajanus	0	2	1	0	0	0	0	2	1	0	0	0
Cynara	0	0	0	0	1	0	3	1	0	0	0	1
Elaeis	3	0	0	1	1	0	0	1	0	0	0	0
Francisella	0	0	0	0	0	0	0	1	1	0	3	1
Mycolicibacterium	0	2	0	0	0	0	1	0	0	0	1	2
Phaseolus	1	0	0	1	0	1	0	2	0	0	0	1
Variovorax	0	2	0	1	0	0	0	3	0	0	0	0
Xenorhabdus	0	0	0	1	2	0	1	0	0	1	0	1
Aerococcus	0	0	0	0	0	0	0	0	4	1	0	0
Alicycliphilus	0	3	0	0	0	0	0	1	0	0	1	0
Anaerococcus	0	0	2	0	0	0	1	2	0	0	0	0
Bernardetia	2	0	0	1	1	0	0	0	1	0	0	0
Beta	0	0	0	0	3	1	1	0	0	0	0	0
Camelina	1	2	0	0	0	0	1	0	1	0	0	0
Clostridioides	2	1	1	0	0	0	1	0	0	0	0	0
Collimonas	0	2	1	0	0	0	1	1	0	0	0	0
Finegoldia	3	0	0	0	1	0	0	1	0	0	0	0
Gallibacterium	0	1	0	0	1	1	0	1	0	0	1	0
Gilliamella	0	1	0	0	0	0	0	0	0	3	1	0
Granulibacter	0	2	1	1	0	0	0	0	0	0	0	1
Paraburkholderia	0	0	1	0	0	0	0	4	0	0	0	0
Parashewanella	0	0	0	3	0	0	0	0	0	1	1	0
Peptacetobacter	3	0	0	0	0	0	0	0	1	1	0	0
Planobacterium	0	1	0	0	0	0	0	4	0	0	0	0
Pragia	0	0	0	2	0	0	0	0	0	0	2	1
Pulveribacter	0	3	0	0	0	0	0	2	0	0	0	0
Raoultella	0	4	0	0	0	0	0	1	0	0	0	0
Riemerella	1	0	0	0	2	0	0	0	0	1	1	0
Thalassotalea	0	1	0	2	0	1	0	0	0	0	1	0
Vagococcus	0	0	1	2	0	0	0	0	0	2	0	0
Vitis	2	0	1	0	1	1	0	0	0	0	0	0
Advenella	0	0	1	0	0	0	0	1	0	2	0	0
Azospirillum	0	3	0	0	0	0	0	0	1	0	0	0
Bordetella	0	3	0	0	0	0	0	1	0	0	0	0
Buchnera	1	1	0	0	2	0	0	0	0	0	0	0
Cannabis	0	0	0	0	1	0	1	0	0	0	1	1
Carnobacterium	0	0	0	1	2	0	0	0	0	0	0	1
Caulobacter	0	3	0	0	0	0	0	1	0	0	0	0
Cicer	2	0	1	0	1	0	0	0	0	0	0	0
Dickeya	0	0	0	1	0	0	0	0	0	3	0	0
Elizabethkingia	0	1	0	0	0	0	1	2	0	0	0	0
Epilithonimonas	0	0	1	1	0	0	0	2	0	0	0	0
Erysipelatoclostridium	0	0	0	2	0	0	0	0	0	0	0	2
Formosa	2	1	0	0	0	0	1	0	0	0	0	0
Gramella	0	0	0	1	0	0	1	0	0	0	2	0
Hymenobacter	1	3	0	0	0	0	0	0	0	0	0	0
Idiomarina	0	0	0	0	1	0	0	0	0	1	0	2
Jeotgalibaca	0	0	0	0	2	0	1	0	1	0	0	0
Lacticaseibacillus	0	0	2	0	0	0	1	1	0	0	0	0
Laribacter	0	0	0	0	0	0	1	3	0	0	0	0
Leclercia	0	1	0	0	0	0	0	1	0	0	0	2
Macrococcus	0	0	1	0	0	0	0	1	2	0	0	0
Mageeibacillus	1	0	0	0	0	1	2	0	0	0	0	0
Medicago	0	1	0	2	1	0	0	0	0	0	0	0
Methylophilus	0	0	0	1	0	0	0	1	0	1	1	0
Microbacterium	0	2	0	0	0	1	1	0	0	0	0	0
Micromonospora	0	1	1	0	0	0	0	0	0	0	0	2
Olea	0	0	0	0	2	1	0	0	0	0	0	1
Paludibacter	1	0	0	0	0	0	1	1	0	1	0	0
Paracoccus	0	0	2	0	1	0	1	0	0	0	0	0
Paraprevotella	1	0	0	0	1	0	2	0	0	0	0	0
Pediococcus	1	0	0	0	1	0	1	0	1	0	0	0
Phocaeicola	1	0	0	1	0	0	0	0	0	1	0	1
Photorhabdus	0	0	1	0	0	0	0	1	0	1	1	0
Polaribacter	0	0	0	0	0	0	2	0	0	2	0	0
Rheinheimera	0	2	0	1	0	0	0	0	0	1	0	0
Rosa	0	1	2	1	0	0	0	0	0	0	0	0
Sagittula	0	2	2	0	0	0	0	0	0	0	0	0
Salmonella	0	0	0	0	0	1	0	0	1	1	1	0
Shimwellia	0	0	0	1	0	0	0	0	2	0	1	0
Sphingorhabdus	0	3	1	0	0	0	0	0	0	0	0	0
Trueperella	0	0	0	0	0	0	0	0	1	0	3	0
Acetoanaerobium	2	0	0	1	0	0	0	0	0	0	0	0
Alysiella	0	0	0	2	0	0	0	0	0	1	0	0
Anaerostipes	0	0	0	0	0	0	0	1	2	0	0	0
Arachis	0	0	1	0	1	0	0	0	0	0	0	1
Arthrobacter	0	0	0	1	0	0	0	1	0	0	1	0
Basfia	0	0	0	0	1	1	0	0	0	0	1	0
Blastomonas	0	0	2	1	0	0	0	0	0	0	0	0
Blautia	1	0	0	0	0	0	0	0	1	1	0	0
Brassica	1	0	1	0	0	0	0	1	0	0	0	0
Caloranaerobacter	0	0	0	0	2	0	0	0	0	1	0	0
Cellulomonas	0	1	0	0	0	0	0	2	0	0	0	0
Citrus	0	0	2	0	0	0	0	0	1	0	0	0
Cronobacter	0	0	0	0	0	0	0	0	0	2	1	0
Daucus	0	0	1	0	0	0	0	0	2	0	0	0
Deinococcus	2	0	0	0	0	0	1	0	0	0	0	0
Ezakiella	0	1	0	1	0	0	0	0	0	1	0	0
Fibrella	1	0	0	0	0	0	1	0	0	0	0	1
Hydrogenovibrio	0	0	0	0	0	0	0	0	0	0	3	0
Kosakonia	0	0	0	0	0	0	0	0	0	3	0	0
Lacrimispora	0	0	0	0	1	0	0	0	1	0	0	1
Leucobacter	0	0	0	0	0	0	0	0	1	0	1	1
Ligilactobacillus	0	0	0	0	0	0	0	0	2	0	1	0
Martelella	0	3	0	0	0	0	0	0	0	0	0	0
Massilia	0	1	0	0	0	0	0	1	0	1	0	0
Mesorhizobium	0	3	0	0	0	0	0	0	0	0	0	0
Methylobacterium	0	1	1	0	0	0	0	0	1	0	0	0
Micrococcus	0	0	1	1	0	0	0	0	0	0	1	0
Murdochiella	1	0	0	0	0	1	0	0	1	0	0	0
Polynucleobacter	1	0	0	0	1	0	1	0	0	0	0	0
Rathayibacter	0	2	0	0	0	0	0	0	0	0	1	0
Rhizorhabdus	0	2	1	0	0	0	0	0	0	0	0	0
Rosenblumvirus	0	2	0	0	1	0	0	0	0	0	0	0
Spiroplasma	1	0	0	0	1	1	0	0	0	0	0	0
Sporosarcina	0	0	0	0	0	0	0	0	1	2	0	0
Theobroma	0	0	0	0	1	0	1	1	0	0	0	0
Vespertiliibacter	0	0	0	0	0	0	0	0	0	1	2	0
Weissella	0	0	1	0	0	0	0	0	2	0	0	0
Ziziphus	0	0	1	0	0	0	1	0	1	0	0	0
Acholeplasma	1	0	0	0	0	0	0	0	1	0	0	0
Achromobacter	0	0	0	0	0	0	0	1	1	0	0	0
Actinoplanes	0	0	0	0	1	0	0	0	0	0	1	0
Agrobacterium	0	0	0	0	0	0	0	1	0	0	1	0
Aliivibrio	0	0	0	0	0	1	0	0	0	0	1	0
Alkalihalobacillus	0	0	0	0	0	0	0	0	2	0	0	0
Allochromatium	0	0	0	0	2	0	0	0	0	0	0	0
Amycolatopsis	0	1	0	0	0	0	0	0	0	0	1	0
Anaerocolumna	0	0	0	0	1	0	0	0	0	1	0	0
Anoxybacter	1	0	0	0	1	0	0	0	0	0	0	0
Aquisphaera	0	0	0	0	2	0	0	0	0	0	0	0
Arcobacter	0	0	0	0	0	1	0	0	1	0	0	0
Arsenophonus	0	1	0	0	0	0	1	0	0	0	0	0
Austwickia	0	0	0	0	0	0	0	0	1	0	1	0
Babesia	0	0	0	0	1	0	0	0	0	0	1	0
Blattabacterium	0	0	0	1	0	0	1	0	0	0	0	0
Bosea	0	0	0	0	0	0	0	2	0	0	0	0
Brachybacterium	0	0	0	0	0	0	0	1	0	0	0	1
Brevundimonas	0	1	0	1	0	0	0	0	0	0	0	0
Butyrivibrio	0	0	0	1	0	0	1	0	0	0	0	0
Calothrix	0	0	0	0	0	0	0	0	0	1	1	0
Candidatus Saccharimonas	0	0	0	0	0	0	2	0	0	0	0	0
Cedecea	0	0	0	0	0	1	0	0	1	0	0	0
Celeribacter	0	0	1	0	0	0	0	0	1	0	0	0
Cellulophaga	2	0	0	0	0	0	0	0	0	0	0	0
Cellvibrio	0	0	1	1	0	0	0	0	0	0	0	0
Cepunavirus	0	0	0	0	1	0	0	0	0	1	0	0
Chromobacterium	0	1	0	0	0	0	0	0	0	1	0	0
Citrobacter	0	0	0	0	1	0	0	0	0	0	1	0
Conchiformibius	0	0	0	0	0	0	0	1	0	1	0	0
Cyclobacterium	0	0	0	0	1	0	0	0	0	1	0	0
Empedobacter	0	0	0	0	0	0	0	1	0	0	1	0
Escherichia	0	1	0	0	1	0	0	0	0	0	0	0
Euzebyella	1	0	0	0	0	1	0	0	0	0	0	0
Fastidiosipila	1	0	0	0	0	0	0	0	1	0	0	0
Fervidobacterium	1	0	0	0	0	1	0	0	0	0	0	0
Fictibacillus	0	1	0	0	0	0	0	0	1	0	0	0
Flammeovirga	0	1	0	0	0	0	0	0	0	1	0	0
Gallaecimonas	0	2	0	0	0	0	0	0	0	0	0	0
Geitlerinema	0	0	0	1	0	0	0	1	0	0	0	0
Georgenia	0	0	1	0	0	0	0	0	0	0	1	0
Geosporobacter	1	0	0	0	0	1	0	0	0	0	0	0
Glycine	0	0	0	0	0	0	0	0	0	1	0	1
Haloactinobacterium	0	0	0	0	0	0	0	1	0	0	1	0
Halobacillus	0	0	0	1	0	1	0	0	0	0	0	0
Halomonas	0	1	0	0	0	0	0	0	0	0	1	0
Kaistella	0	0	0	0	0	0	0	0	0	1	0	1
Kluyvera	0	0	1	0	0	0	0	1	0	0	0	0
Kushneria	0	1	0	0	0	0	0	0	0	0	1	0
Legionella	0	0	0	0	0	0	0	1	1	0	0	0
Leifsonia	0	1	0	0	0	0	0	1	0	0	0	0
Leuconostoc	0	0	2	0	0	0	0	0	0	0	0	0
Limnohabitans	0	0	0	1	0	0	0	0	1	0	0	0
Limosilactobacillus	1	0	0	0	0	0	0	0	0	0	0	1
Micropruina	0	0	0	0	0	0	0	2	0	0	0	0
Mixta	0	1	0	0	0	0	0	0	0	1	0	0
Mucilaginibacter	0	0	0	0	2	0	0	0	0	0	0	0
Muribaculum	0	0	0	0	0	1	1	0	0	0	0	0
Mycobacterium	0	0	0	0	0	0	0	0	0	0	1	1
Neorhizobium	0	1	0	0	0	0	1	0	0	0	0	0
Niabella	0	0	0	0	0	0	0	0	0	0	0	2
Nocardioides	0	0	1	0	0	0	0	0	0	0	1	0
Nonlabens	0	0	0	0	0	1	1	0	0	0	0	0
Novosphingopyxis	0	2	0	0	0	0	0	0	0	0	0	0
Oleispira	0	0	0	0	0	0	0	0	0	2	0	0
Orbus	0	0	0	0	0	0	0	0	0	2	0	0
Ornithobacterium	0	0	0	0	1	0	0	0	0	1	0	0
Oscillibacter	0	0	0	1	0	0	0	0	1	0	0	0
Pandoraea	0	0	0	0	0	0	0	1	1	0	0	0
Parolsenella	0	0	0	0	0	0	1	0	0	0	1	0
Pectobacterium	0	0	0	0	0	0	0	0	0	1	1	0
Phaeobacter	0	0	0	0	0	0	0	0	0	0	1	1
Phreatobacter	0	1	1	0	0	0	0	0	0	0	0	0
Planococcus	0	0	0	0	0	1	1	0	0	0	0	0
Plesiomonas	0	0	0	0	2	0	0	0	0	0	0	0
Pradoshia	1	0	0	0	1	0	0	0	0	0	0	0
Prunus	0	0	1	0	0	0	0	0	0	1	0	0
Psychrobacillus	0	0	0	0	1	0	0	0	0	0	0	1
Psychrobacter	0	1	0	0	0	0	0	0	1	0	0	0
Salegentibacter	1	0	0	0	0	0	0	0	0	0	0	1
Salinicoccus	0	0	0	0	0	0	0	0	1	1	0	0
Sepunavirus	0	0	1	0	0	1	0	0	0	0	0	0
Serpentinomonas	0	0	0	0	0	0	1	1	0	0	0	0
Serratia	0	0	0	1	0	0	0	0	0	0	1	0
Sesamum	0	0	1	0	1	0	0	0	0	0	0	0
Setaria	0	0	0	1	0	0	0	0	1	0	0	0
Sinorhizobium	0	1	1	0	0	0	0	0	0	0	0	0
Sphingobacterium	1	0	0	0	0	0	0	0	0	0	1	0
Sphingosinicella	0	1	1	0	0	0	0	0	0	0	0	0
Spiribacter	0	1	0	0	0	0	0	0	0	0	1	0
Spirosoma	0	0	0	0	0	0	0	0	0	0	0	2
Streptobacillus	0	0	0	1	0	0	1	0	0	0	0	0
Sulfurimonas	0	1	0	0	1	0	0	0	0	0	0	0
Synechococcus	1	0	0	1	0	0	0	0	0	0	0	0
Thauera	0	0	0	0	0	0	0	2	0	0	0	0
Thiomonas	0	1	0	0	0	0	1	0	0	0	0	0
Virgibacillus	1	0	0	0	0	0	0	0	1	0	0	0
Winogradskyella	0	0	0	0	0	1	0	1	0	0	0	0
Wolbachia	0	0	0	0	0	0	0	0	0	0	2	0
Acetobacter	0	0	0	1	0	0	0	0	0	0	0	0
Acidianus	0	0	0	0	0	0	0	0	0	0	0	1
Actinomadura	0	0	0	0	0	0	0	0	1	0	0	0
Actinopolymorpha	0	0	0	0	0	0	0	0	0	0	1	0
Actinotignum	0	0	0	0	0	0	0	0	0	0	1	0
Alcaligenes	0	0	0	0	0	0	0	1	0	0	0	0
Algibacter	0	0	0	0	0	0	1	0	0	0	0	0
Alkaliphilus	1	0	0	0	0	0	0	0	0	0	0	0
Alloactinosynnema	0	0	0	0	0	0	0	0	1	0	0	0
Allofrancisella	0	0	0	1	0	0	0	0	0	0	0	0
Aminipila	0	0	0	0	0	1	0	0	0	0	0	0
Amniculibacterium	0	1	0	0	0	0	0	0	0	0	0	0
Anabaena	0	0	0	0	0	1	0	0	0	0	0	0
Anaerobacillus	0	0	0	0	0	0	1	0	0	0	0	0
Anaerobutyricum	0	0	0	0	0	0	0	0	1	0	0	0
Aneurinibacillus	0	0	0	0	0	0	0	0	0	0	1	0
Anoxybacillus	0	0	0	0	0	0	1	0	0	0	0	0
Aquimarina	0	0	0	0	0	0	1	0	0	0	0	0
Arachidicoccus	0	0	0	0	0	0	0	0	1	0	0	0
Arcanobacterium	0	0	0	0	0	1	0	0	0	0	0	0
Asticcacaulis	0	1	0	0	0	0	0	0	0	0	0	0
Auraticoccus	0	0	1	0	0	0	0	0	0	0	0	0
Aureimonas	0	1	0	0	0	0	0	0	0	0	0	0
Azospira	0	0	0	0	0	0	0	1	0	0	0	0
Azotobacter	0	0	0	0	0	0	1	0	0	0	0	0
Barnesiella	0	0	0	0	0	0	0	0	0	0	1	0
Bartonella	0	0	0	0	0	0	0	0	0	1	0	0
Beggiatoa	1	0	0	0	0	0	0	0	0	0	0	0
Bermanella	0	0	0	0	1	0	0	0	0	0	0	0
Blastochloris	0	0	0	0	0	0	0	1	0	0	0	0
Brachypodium	1	0	0	0	0	0	0	0	0	0	0	0
Brevibacillus	0	0	0	0	0	0	0	0	1	0	0	0
Brevibacterium	0	0	0	1	0	0	0	0	0	0	0	0
Brochothrix	0	0	0	0	0	0	0	0	0	1	0	0
Buttiauxella	0	0	0	0	0	1	0	0	0	0	0	0
Butyricimonas	0	0	0	0	0	0	0	0	0	0	0	1
Caldanaerobacter	0	0	0	0	0	0	0	0	0	0	1	0
Caminibacter	1	0	0	0	0	0	0	0	0	0	0	0
Candidatus Hamiltonella	0	0	0	0	0	0	0	0	0	1	0	0
Candidatus Methylopumilus	0	0	0	0	0	1	0	0	0	0	0	0
Candidatus Nitrosoglobus	0	0	0	0	0	0	0	1	0	0	0	0
Candidatus Nitrotoga	0	0	0	0	0	1	0	0	0	0	0	0
Candidatus Pelagibacter	0	0	0	0	0	1	0	0	0	0	0	0
Candidatus Reidiella	0	0	0	0	0	0	1	0	0	0	0	0
Candidatus Sulcia	0	0	0	0	0	0	0	0	0	0	0	1
Candidatus Vampirococcus	0	0	1	0	0	0	0	0	0	0	0	0
Cellulosimicrobium	0	0	0	0	0	0	0	1	0	0	0	0
Chitinophaga	0	0	0	0	0	0	1	0	0	0	0	0
Christensenella	0	0	0	0	0	0	0	1	0	0	0	0
Chromohalobacter	0	1	0	0	0	0	0	0	0	0	0	0
Citromicrobium	0	1	0	0	0	0	0	0	0	0	0	0
Coffea	0	0	0	0	0	0	1	0	0	0	0	0
Collinsella	0	0	0	0	0	0	1	0	0	0	0	0
Croceibacter	0	0	0	0	0	0	1	0	0	0	0	0
Cruoricaptor	0	0	0	1	0	0	0	0	0	0	0	0
Cucumis	0	0	0	0	0	0	0	0	1	0	0	0
Cuniculiplasma	0	1	0	0	0	0	0	0	0	0	0	0
Cytobacillus	0	0	0	0	0	0	0	0	0	1	0	0
Dechloromonas	0	0	0	1	0	0	0	0	0	0	0	0
Dehalobacterium	0	0	0	0	0	0	0	0	1	0	0	0
Delftia	0	0	0	0	0	0	1	0	0	0	0	0
Dermatophilus	0	0	0	0	0	0	0	0	0	0	1	0
Desulfallas	1	0	0	0	0	0	0	0	0	0	0	0
Desulfitobacterium	0	0	0	0	0	0	1	0	0	0	0	0
Desulfococcus	0	0	0	0	0	0	0	1	0	0	0	0
Desulfofarcimen	1	0	0	0	0	0	0	0	0	0	0	0
Desulfosarcina	0	0	0	1	0	0	0	0	0	0	0	0
Desulfosporosinus	0	0	0	1	0	0	0	0	0	0	0	0
Devosia	0	0	0	0	0	0	0	1	0	0	0	0
Devriesea	0	0	0	0	0	0	0	0	0	0	1	0
Dietzia	0	0	1	0	0	0	0	0	0	0	0	0
Dolosigranulum	0	0	0	0	0	0	0	1	0	0	0	0
Duganella	0	1	0	0	0	0	0	0	0	0	0	0
Duncaniella	0	0	0	0	0	0	0	0	0	0	0	1
Dyadobacter	0	0	0	0	0	0	1	0	0	0	0	0
Dysgonomonas	0	0	0	0	0	1	0	0	0	0	0	0
Eggerthella	0	0	0	1	0	0	0	0	0	0	0	0
Emcibacter	0	0	0	0	0	0	0	1	0	0	0	0
Ensifer	0	1	0	0	0	0	0	0	0	0	0	0
Enterovibrio	0	0	0	0	0	0	0	0	0	0	1	0
Ephemeroptericola	0	0	0	0	0	0	0	0	1	0	0	0
Erysipelothrix	1	0	0	0	0	0	0	0	0	0	0	0
Eubacterium	1	0	0	0	0	0	0	0	0	0	0	0
Euzebya	0	1	0	0	0	0	0	0	0	0	0	0
Exiguobacterium	0	0	0	0	0	0	0	1	0	0	0	0
Faecalibacterium	0	0	1	0	0	0	0	0	0	0	0	0
Fibrobacter	0	0	0	0	1	0	0	0	0	0	0	0
Filomicrobium	0	0	0	0	0	0	0	0	0	1	0	0
Flavisolibacter	0	0	0	0	0	0	0	0	0	0	1	0
Flavivirga	0	0	0	0	1	0	0	0	0	0	0	0
Flexistipes	0	0	0	0	0	0	0	0	0	0	0	1
Frankia	0	0	0	0	0	0	1	0	0	0	0	0
Frondihabitans	0	0	0	0	0	0	0	0	1	0	0	0
Furfurilactobacillus	0	0	0	0	0	0	1	0	0	0	0	0
Gilvibacter	0	0	0	0	0	0	1	0	0	0	0	0
Gordonia	0	0	0	0	0	1	0	0	0	0	0	0
Gottschalkia	0	0	0	0	0	0	0	0	0	0	1	0
Hafnia	0	0	0	0	0	0	0	0	1	0	0	0
Halanaerobium	0	0	0	0	0	0	0	0	0	1	0	0
