# Pathway	C1	C2
PWY-7663: gondoate biosynthesis (anaerobic)|g__Fusobacterium.s__Fusobacterium_nucleatum	0.000220377	0
PWY-7663: gondoate biosynthesis (anaerobic)|g__Prevotella.s__Prevotella_nigrescens	0.00015199	0
PWY-7664: oleate biosynthesis IV (anaerobic)	0	6.65453e-05
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	0	0.000177748
PWY0-862: (5Z)-dodec-5-enoate biosynthesis	0	0.000126325
PWY66-400: glycolysis VI (metazoan)	0	9.13068e-05
PWY66-422: D-galactose degradation V (Leloir pathway)	0.000404615	6.21541e-05
PWY66-422: D-galactose degradation V (Leloir pathway)|g__Fusobacterium.s__Fusobacterium_nucleatum	0.000375703	0
PWY66-422: D-galactose degradation V (Leloir pathway)|g__Haemophilus.s__Haemophilus_sputorum	0	5.52585e-05
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	0.000334014	0
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.000332829	0.000226105
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Campylobacter.s__Campylobacter_showae	2.70286e-05	0
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Prevotella.s__Prevotella_nigrescens	7.03477e-05	0
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Sphingomonas.s__Sphingomonas_melonis	0	0.000130183
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	0.000148859	4.62659e-05
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)|g__Fusobacterium.s__Fusobacterium_nucleatum	0.000134303	0
THRESYN-PWY: superpathway of L-threonine biosynthesis	0.000385433	5.18964e-05
TRNA-CHARGING-PWY: tRNA charging	0.000588126	0
TRNA-CHARGING-PWY: tRNA charging|g__Fusobacterium.s__Fusobacterium_nucleatum	0.000317852	0
TRPSYN-PWY: L-tryptophan biosynthesis	0	6.04591e-05
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	0.000511224	0
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Fusobacterium.s__Fusobacterium_nucleatum	0.000426467	0
VALSYN-PWY: L-valine biosynthesis	0.000541038	0.000266591
VALSYN-PWY: L-valine biosynthesis|g__Campylobacter.s__Campylobacter_showae	3.33619e-05	0
VALSYN-PWY: L-valine biosynthesis|g__Fusobacterium.s__Fusobacterium_nucleatum	0.000496764	0
VALSYN-PWY: L-valine biosynthesis|g__Haemophilus.s__Haemophilus_sputorum	0	6.65565e-05
VALSYN-PWY: L-valine biosynthesis|g__Sphingomonas.s__Sphingomonas_melonis	0	0.000128244
