# Feature	Level means (|ed)	P-value	Q-value
HSERMETANA-PWY: L-methionine biosynthesis III	Supragingival_plaque:0.0003456|Stool:0.0001154|Posterior_fornix:6.292e-06|Tongue_dorsum:0.0003223|Anterior_nares:3.516e-05|Buccal_mucosa:0.0005256	5.511e-66	1.734e-64
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	Supragingival_plaque:0.0009313|Stool:0.0003384|Posterior_fornix:3.717e-05|Tongue_dorsum:0.001041|Anterior_nares:0.0002536|Buccal_mucosa:0.00129	9.406e-66	2.712e-64
PWY-6151: S-adenosyl-L-methionine cycle I	Supragingival_plaque:0.000721|Stool:0.0001096|Posterior_fornix:6.179e-05|Tongue_dorsum:0.000883|Anterior_nares:0.0003663|Buccal_mucosa:0.001313	3.524e-65	9.378e-64
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	Supragingival_plaque:0.0002437|Stool:1.702e-05|Posterior_fornix:1.598e-06|Tongue_dorsum:0.000277|Anterior_nares:6.675e-06|Buccal_mucosa:0.0005042	5.617e-65	1.388e-63
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	Supragingival_plaque:0.0004749|Stool:1.036e-05|Posterior_fornix:1.681e-06|Tongue_dorsum:0.0002622|Anterior_nares:1.611e-05|Buccal_mucosa:0.0002298	9.326e-65	2.017e-63
THRESYN-PWY: superpathway of L-threonine biosynthesis	Supragingival_plaque:0.0006986|Stool:0.0002727|Posterior_fornix:2.27e-05|Tongue_dorsum:0.0008003|Anterior_nares:4.455e-05|Buccal_mucosa:0.0008967	9.053e-65	2.017e-63
PENTOSE-P-PWY: pentose phosphate pathway	Supragingival_plaque:0.0003331|Stool:6.826e-06|Posterior_fornix:0|Tongue_dorsum:0.0002888|Anterior_nares:1.326e-05|Buccal_mucosa:0.0005429	2.767e-64	5.632e-63
PWY-5097: L-lysine biosynthesis VI	Supragingival_plaque:0.0001266|Stool:0.001095|Posterior_fornix:8.064e-05|Tongue_dorsum:0.0004845|Anterior_nares:1.22e-05|Buccal_mucosa:0.0001403	3.008e-64	5.783e-63
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	Supragingival_plaque:0.0004793|Stool:2.537e-05|Posterior_fornix:8.939e-06|Tongue_dorsum:0.0007133|Anterior_nares:2.33e-05|Buccal_mucosa:0.0007487	3.69e-64	6.72e-63
PWY-6124: inosine-5'-phosphate biosynthesis II	Supragingival_plaque:0.0001909|Stool:7.914e-06|Posterior_fornix:4.205e-06|Tongue_dorsum:0.00043|Anterior_nares:1.14e-05|Buccal_mucosa:0.0004945	5.702e-64	9.864e-63
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	Supragingival_plaque:0.0005189|Stool:6.988e-05|Posterior_fornix:9.09e-06|Tongue_dorsum:0.0004903|Anterior_nares:4.55e-05|Buccal_mucosa:0.0003044	7.326e-64	1.207e-62
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	Supragingival_plaque:0.0004991|Stool:6.18e-05|Posterior_fornix:8.156e-06|Tongue_dorsum:0.0004798|Anterior_nares:4.268e-05|Buccal_mucosa:0.0002988	9.48e-64	1.491e-62
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	Supragingival_plaque:0.0006294|Stool:0.0002057|Posterior_fornix:7.685e-06|Tongue_dorsum:0.000778|Anterior_nares:0.0001923|Buccal_mucosa:0.0007337	1.496e-63	2.251e-62
PWY-7111: pyruvate fermentation to isobutanol (engineered)	Supragingival_plaque:0.0007223|Stool:0.0003555|Posterior_fornix:4.696e-05|Tongue_dorsum:0.001122|Anterior_nares:0.0002216|Buccal_mucosa:0.0008441	2.528e-63	3.644e-62
PWY1F-823: leucopelargonidin and leucocyanidin biosynthesis	Supragingival_plaque:4.696e-05|Stool:4.873e-09|Posterior_fornix:0|Tongue_dorsum:8.366e-07|Anterior_nares:1.223e-06|Buccal_mucosa:1.715e-05	2.688e-63	3.72e-62
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	Supragingival_plaque:4.921e-07|Stool:0.0001244|Posterior_fornix:9.087e-06|Tongue_dorsum:8.603e-06|Anterior_nares:0|Buccal_mucosa:1.523e-06	3.552e-63	4.727e-62
GLUTORN-PWY: L-ornithine biosynthesis	Supragingival_plaque:0.0002127|Stool:1.541e-05|Posterior_fornix:2.263e-06|Tongue_dorsum:0.0002133|Anterior_nares:1.442e-05|Buccal_mucosa:0.0001101	3.781e-63	4.845e-62
PWY0-1261: anhydromuropeptides recycling	Supragingival_plaque:0.0003475|Stool:2.526e-05|Posterior_fornix:2.677e-06|Tongue_dorsum:0.0004756|Anterior_nares:2.832e-05|Buccal_mucosa:0.0005145	5.16e-63	6.376e-62
PWY-6123: inosine-5'-phosphate biosynthesis I	Supragingival_plaque:0.0004151|Stool:0.0002438|Posterior_fornix:1.211e-05|Tongue_dorsum:0.0007365|Anterior_nares:0.0001948|Buccal_mucosa:0.0008554	6.666e-63	7.953e-62
P163-PWY: L-lysine fermentation to acetate and butanoate	Supragingival_plaque:5.385e-05|Stool:3.135e-08|Posterior_fornix:0|Tongue_dorsum:0.0001123|Anterior_nares:1.361e-06|Buccal_mucosa:2.698e-05	1.001e-62	1.154e-61
PWY0-781: aspartate superpathway	Supragingival_plaque:0.0004042|Stool:1.748e-05|Posterior_fornix:2.735e-06|Tongue_dorsum:0.0003982|Anterior_nares:9.011e-06|Buccal_mucosa:0.0003207	1.165e-62	1.3e-61
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	Supragingival_plaque:0.0008591|Stool:0.0006024|Posterior_fornix:6.807e-05|Tongue_dorsum:0.00102|Anterior_nares:0.0001711|Buccal_mucosa:0.001165	1.253e-62	1.354e-61
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	Supragingival_plaque:0.0001101|Stool:1.834e-06|Posterior_fornix:6.487e-07|Tongue_dorsum:7.414e-05|Anterior_nares:1.24e-06|Buccal_mucosa:6.258e-05	1.65e-62	1.73e-61
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	Supragingival_plaque:0.0004766|Stool:3.461e-05|Posterior_fornix:2.433e-05|Tongue_dorsum:0.0004365|Anterior_nares:3.114e-05|Buccal_mucosa:0.0003699	1.715e-62	1.745e-61
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	Supragingival_plaque:0.000172|Stool:1.452e-05|Posterior_fornix:0|Tongue_dorsum:0.0003207|Anterior_nares:9.487e-06|Buccal_mucosa:0.0002376	1.8e-62	1.78e-61
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	Supragingival_plaque:0.0004838|Stool:1.735e-05|Posterior_fornix:2.606e-06|Tongue_dorsum:0.0004102|Anterior_nares:2.665e-05|Buccal_mucosa:0.0003706	8.117e-62	7.801e-61
GALACTUROCAT-PWY: D-galacturonate degradation I	Supragingival_plaque:3.824e-07|Stool:0.0001058|Posterior_fornix:8.685e-06|Tongue_dorsum:8.592e-06|Anterior_nares:0|Buccal_mucosa:1.579e-06	1.071e-61	1.001e-60
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Supragingival_plaque:0.0003921|Stool:0.0001847|Posterior_fornix:7.237e-06|Tongue_dorsum:0.0005169|Anterior_nares:1.517e-05|Buccal_mucosa:0.0003884	1.526e-61	1.39e-60
PWY-2942: L-lysine biosynthesis III	Supragingival_plaque:0.0006564|Stool:0.001135|Posterior_fornix:9.405e-05|Tongue_dorsum:0.0008128|Anterior_nares:2.763e-05|Buccal_mucosa:0.0004259	1.882e-61	1.67e-60
PWY-5913: TCA cycle VI (obligate autotrophs)	Supragingival_plaque:0.0001351|Stool:1.006e-05|Posterior_fornix:6.419e-07|Tongue_dorsum:0.0002532|Anterior_nares:8.707e-06|Buccal_mucosa:0.0001773	2.732e-61	2.363e-60
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	Supragingival_plaque:0.0003694|Stool:2.487e-05|Posterior_fornix:1.945e-05|Tongue_dorsum:0.0003915|Anterior_nares:1.055e-05|Buccal_mucosa:0.0003808	2.847e-61	2.403e-60
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	Supragingival_plaque:0.0007834|Stool:0.0002777|Posterior_fornix:2.184e-05|Tongue_dorsum:0.0007486|Anterior_nares:0.0002239|Buccal_mucosa:0.0008944	5.063e-61	4.171e-60
PWY0-862: (5Z)-dodec-5-enoate biosynthesis	Supragingival_plaque:0.0002823|Stool:5.963e-06|Posterior_fornix:0|Tongue_dorsum:0.0003599|Anterior_nares:1.618e-05|Buccal_mucosa:0.0004165	7.275e-61	5.853e-60
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	Supragingival_plaque:0.000705|Stool:0.0002142|Posterior_fornix:2.267e-05|Tongue_dorsum:0.0006807|Anterior_nares:0.0001715|Buccal_mucosa:0.0006587	7.598e-61	5.975e-60
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	Supragingival_plaque:0.0008402|Stool:0.0003232|Posterior_fornix:2.647e-05|Tongue_dorsum:0.0008804|Anterior_nares:0.0002282|Buccal_mucosa:0.0009929	1.21e-60	9.307e-60
PWY-3781: aerobic respiration I (cytochrome c)	Supragingival_plaque:0.0002634|Stool:1.465e-07|Posterior_fornix:1.027e-06|Tongue_dorsum:0.0002203|Anterior_nares:3.348e-05|Buccal_mucosa:0.0001024	1.648e-60	1.24e-59
PWY-5101: L-isoleucine biosynthesis II	Supragingival_plaque:1.714e-08|Stool:1.115e-05|Posterior_fornix:0|Tongue_dorsum:7.112e-09|Anterior_nares:0|Buccal_mucosa:0	1.97e-60	1.451e-59
PWY-5918: superpathay of heme biosynthesis from glutamate	Supragingival_plaque:0.0003335|Stool:2.891e-06|Posterior_fornix:0|Tongue_dorsum:0.0002918|Anterior_nares:1.402e-05|Buccal_mucosa:0.000204	2.658e-60	1.916e-59
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	Supragingival_plaque:0.0001936|Stool:2.081e-05|Posterior_fornix:2.461e-06|Tongue_dorsum:0.0001778|Anterior_nares:7.993e-06|Buccal_mucosa:0.0001473	3.488e-60	2.463e-59
DAPLYSINESYN-PWY: L-lysine biosynthesis I	Supragingival_plaque:0.0006635|Stool:1.248e-05|Posterior_fornix:2.037e-06|Tongue_dorsum:0.0004334|Anterior_nares:0.0003645|Buccal_mucosa:0.0002912	4.654e-60	3.221e-59
RHAMCAT-PWY: L-rhamnose degradation I	Supragingival_plaque:5.619e-06|Stool:0.0003621|Posterior_fornix:5.996e-06|Tongue_dorsum:5.861e-07|Anterior_nares:0|Buccal_mucosa:9.387e-07	1.023e-59	6.942e-59
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	Supragingival_plaque:8.916e-06|Stool:0.0001198|Posterior_fornix:8.713e-06|Tongue_dorsum:9.608e-06|Anterior_nares:0|Buccal_mucosa:2.118e-06	1.062e-59	7.068e-59
P441-PWY: superpathway of N-acetylneuraminate degradation	Supragingival_plaque:0.0001252|Stool:2.291e-05|Posterior_fornix:1.612e-06|Tongue_dorsum:4.388e-05|Anterior_nares:2.298e-06|Buccal_mucosa:0.0001138	1.314e-59	8.576e-59
ARO-PWY: chorismate biosynthesis I	Supragingival_plaque:0.000848|Stool:0.000572|Posterior_fornix:7.21e-05|Tongue_dorsum:0.001023|Anterior_nares:0.0001848|Buccal_mucosa:0.0009515	1.62e-59	1.037e-58
PWY-7664: oleate biosynthesis IV (anaerobic)	Supragingival_plaque:0.0003719|Stool:9.154e-06|Posterior_fornix:0|Tongue_dorsum:0.0004328|Anterior_nares:2.551e-05|Buccal_mucosa:0.0004448	1.648e-59	1.037e-58
PWY-7199: pyrimidine deoxyribonucleosides salvage	Supragingival_plaque:0.0004201|Stool:0.0001117|Posterior_fornix:0.0002449|Tongue_dorsum:0.0006681|Anterior_nares:0.0003167|Buccal_mucosa:0.001203	2.434e-59	1.504e-58
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	Supragingival_plaque:0.0008411|Stool:0.000356|Posterior_fornix:3.187e-05|Tongue_dorsum:0.0009237|Anterior_nares:0.0002201|Buccal_mucosa:0.0009705	2.65e-59	1.608e-58
PWY-6936: seleno-amino acid biosynthesis	Supragingival_plaque:0.0005454|Stool:2.274e-05|Posterior_fornix:1.408e-06|Tongue_dorsum:0.0001634|Anterior_nares:0.000175|Buccal_mucosa:0.000495	4.205e-59	2.508e-58
FERMENTATION-PWY: mixed acid fermentation	Supragingival_plaque:0.0001719|Stool:1.451e-05|Posterior_fornix:1.068e-06|Tongue_dorsum:0.0001665|Anterior_nares:7.886e-06|Buccal_mucosa:0.000188	5.63e-59	3.247e-58
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	Supragingival_plaque:9.957e-05|Stool:1.374e-05|Posterior_fornix:0|Tongue_dorsum:0.0001983|Anterior_nares:0|Buccal_mucosa:5.736e-05	5.561e-59	3.247e-58
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	Supragingival_plaque:9.728e-05|Stool:5.122e-06|Posterior_fornix:2.475e-07|Tongue_dorsum:4.704e-05|Anterior_nares:3.258e-06|Buccal_mucosa:4.066e-05	6.997e-59	3.969e-58
PWY-7242: D-fructuronate degradation	Supragingival_plaque:1.567e-05|Stool:0.0001042|Posterior_fornix:8.89e-06|Tongue_dorsum:9.828e-06|Anterior_nares:0|Buccal_mucosa:2.327e-06	7.252e-59	4.047e-58
PWY-6317: galactose degradation I (Leloir pathway)	Supragingival_plaque:0.000401|Stool:0.0002405|Posterior_fornix:6.434e-05|Tongue_dorsum:0.0004684|Anterior_nares:9.649e-05|Buccal_mucosa:0.0007446	7.462e-59	4.098e-58
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	Supragingival_plaque:0.0001176|Stool:7.657e-06|Posterior_fornix:1.422e-06|Tongue_dorsum:7.777e-05|Anterior_nares:7.097e-06|Buccal_mucosa:7.282e-05	1.421e-58	7.684e-58
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Supragingival_plaque:0.0008533|Stool:0.000588|Posterior_fornix:7.511e-05|Tongue_dorsum:0.001004|Anterior_nares:0.0001962|Buccal_mucosa:0.0009741	1.659e-58	8.832e-58
PWY-6628: superpathway of L-phenylalanine biosynthesis	Supragingival_plaque:0.000188|Stool:9.032e-06|Posterior_fornix:1.983e-05|Tongue_dorsum:0.0003833|Anterior_nares:1.356e-05|Buccal_mucosa:0.0001244	1.695e-58	8.887e-58
PWY-7031: protein N-glycosylation (bacterial)	Supragingival_plaque:4.094e-06|Stool:0|Posterior_fornix:0|Tongue_dorsum:3.533e-05|Anterior_nares:1.39e-07|Buccal_mucosa:3.675e-06	1.822e-58	9.408e-58
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	Supragingival_plaque:0.0001933|Stool:1.661e-06|Posterior_fornix:0|Tongue_dorsum:0.0001774|Anterior_nares:8.934e-06|Buccal_mucosa:0.0001636	2.113e-58	1.059e-57
PWY66-422: D-galactose degradation V (Leloir pathway)	Supragingival_plaque:0.000401|Stool:0.0002411|Posterior_fornix:6.434e-05|Tongue_dorsum:0.000469|Anterior_nares:9.986e-05|Buccal_mucosa:0.0007446	2.089e-58	1.059e-57
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	Supragingival_plaque:0.000592|Stool:0.0001612|Posterior_fornix:1.177e-05|Tongue_dorsum:0.0005407|Anterior_nares:0.000163|Buccal_mucosa:0.0006157	5.806e-58	2.83e-57
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	Supragingival_plaque:0.000592|Stool:0.0001612|Posterior_fornix:1.177e-05|Tongue_dorsum:0.0005407|Anterior_nares:0.000163|Buccal_mucosa:0.0006157	5.806e-58	2.83e-57
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	Supragingival_plaque:5.719e-05|Stool:9.586e-06|Posterior_fornix:0|Tongue_dorsum:0.0001251|Anterior_nares:0|Buccal_mucosa:3.257e-05	8.599e-58	4.132e-57
PWY-5659: GDP-mannose biosynthesis	Supragingival_plaque:3.125e-05|Stool:0.0002592|Posterior_fornix:4.809e-06|Tongue_dorsum:9.733e-07|Anterior_nares:9.418e-06|Buccal_mucosa:1.885e-06	9.334e-58	4.424e-57
PWY-5971: palmitate biosynthesis II (bacteria and plants)	Supragingival_plaque:0.0003449|Stool:7.2e-05|Posterior_fornix:2.83e-06|Tongue_dorsum:0.0004504|Anterior_nares:0|Buccal_mucosa:0.0002115	2.013e-57	9.413e-57
PWY-6803: phosphatidylcholine acyl editing	Supragingival_plaque:9.556e-05|Stool:2.764e-06|Posterior_fornix:3.082e-07|Tongue_dorsum:0.0001219|Anterior_nares:8.297e-06|Buccal_mucosa:6.151e-05	3.667e-57	1.691e-56
PYRIDNUCSAL-PWY: NAD salvage pathway I	Supragingival_plaque:5.435e-05|Stool:1.153e-05|Posterior_fornix:1.84e-06|Tongue_dorsum:0.0001208|Anterior_nares:1.555e-06|Buccal_mucosa:1.844e-05	4.389e-57	1.998e-56
NONMEVIPP-PWY: methylerythritol phosphate pathway I	Supragingival_plaque:0.0006582|Stool:0.001085|Posterior_fornix:9.935e-05|Tongue_dorsum:0.0007239|Anterior_nares:0.0003919|Buccal_mucosa:0.0004135	7.324e-57	3.291e-56
PWY-5686: UMP biosynthesis	Supragingival_plaque:0.0008378|Stool:0.0004335|Posterior_fornix:2.924e-05|Tongue_dorsum:0.000773|Anterior_nares:7.482e-05|Buccal_mucosa:0.0006435	1.106e-56	4.904e-56
PWY-7663: gondoate biosynthesis (anaerobic)	Supragingival_plaque:0.0005395|Stool:7.52e-05|Posterior_fornix:3.323e-06|Tongue_dorsum:0.0005466|Anterior_nares:5.573e-05|Buccal_mucosa:0.0004774	1.646e-56	7.21e-56
FASYN-ELONG-PWY: fatty acid elongation -- saturated	Supragingival_plaque:0.0005395|Stool:7.52e-05|Posterior_fornix:3.641e-06|Tongue_dorsum:0.0005466|Anterior_nares:5.573e-05|Buccal_mucosa:0.0004774	1.7e-56	7.353e-56
PANTO-PWY: phosphopantothenate biosynthesis I	Supragingival_plaque:0.0003909|Stool:0.0009727|Posterior_fornix:0.0001369|Tongue_dorsum:0.0002711|Anterior_nares:0.0001899|Buccal_mucosa:0.0001517	1.796e-56	7.579e-56
PWY-6113: superpathway of mycolate biosynthesis	Supragingival_plaque:0.0001455|Stool:5.221e-05|Posterior_fornix:9.576e-07|Tongue_dorsum:0.0002353|Anterior_nares:0|Buccal_mucosa:5.294e-05	1.786e-56	7.579e-56
PWY-5103: L-isoleucine biosynthesis III	Supragingival_plaque:0.0002674|Stool:2.34e-05|Posterior_fornix:3.2e-06|Tongue_dorsum:0.0003909|Anterior_nares:8.71e-06|Buccal_mucosa:0.0001423	5.605e-56	2.337e-55
P164-PWY: purine nucleobases degradation I (anaerobic)	Supragingival_plaque:3.345e-05|Stool:9.576e-06|Posterior_fornix:5.794e-06|Tongue_dorsum:8.242e-05|Anterior_nares:1.256e-07|Buccal_mucosa:7.599e-05	8.405e-56	3.462e-55
PWY-6305: putrescine biosynthesis IV	Supragingival_plaque:8.668e-05|Stool:6.1e-05|Posterior_fornix:4.166e-06|Tongue_dorsum:1.596e-05|Anterior_nares:2.345e-06|Buccal_mucosa:1.477e-05	9.359e-56	3.809e-55
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	Supragingival_plaque:6.482e-07|Stool:6.31e-05|Posterior_fornix:4.421e-06|Tongue_dorsum:3.7e-05|Anterior_nares:0|Buccal_mucosa:2.656e-06	1.119e-55	4.5e-55
PWY-7013: L-1,2-propanediol degradation	Supragingival_plaque:5.178e-05|Stool:9.333e-07|Posterior_fornix:0|Tongue_dorsum:4.032e-05|Anterior_nares:5.029e-06|Buccal_mucosa:2.772e-05	1.561e-55	6.209e-55
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	Supragingival_plaque:0.0003345|Stool:0.0006863|Posterior_fornix:3.257e-05|Tongue_dorsum:0.0004288|Anterior_nares:1.948e-05|Buccal_mucosa:0.0003069	2.221e-55	8.733e-55
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	Supragingival_plaque:2.285e-06|Stool:0.0001128|Posterior_fornix:1.152e-05|Tongue_dorsum:5.98e-06|Anterior_nares:0|Buccal_mucosa:2.956e-06	2.695e-55	1.048e-54
TCA: TCA cycle I (prokaryotic)	Supragingival_plaque:7.758e-07|Stool:6.988e-05|Posterior_fornix:4.549e-06|Tongue_dorsum:4.008e-05|Anterior_nares:2.633e-07|Buccal_mucosa:3.125e-06	2.735e-55	1.051e-54
PWY-7208: superpathway of pyrimidine nucleobases salvage	Supragingival_plaque:1.026e-06|Stool:7.21e-05|Posterior_fornix:9.913e-06|Tongue_dorsum:2.682e-06|Anterior_nares:0|Buccal_mucosa:1.359e-06	4.04e-55	1.536e-54
PWY0-1479: tRNA processing	Supragingival_plaque:0.0002317|Stool:2.249e-05|Posterior_fornix:0|Tongue_dorsum:0.0002349|Anterior_nares:8.441e-06|Buccal_mucosa:0.000308	7.063e-55	2.656e-54
PWYG-321: mycolate biosynthesis	Supragingival_plaque:0.0004595|Stool:6.199e-05|Posterior_fornix:1.235e-06|Tongue_dorsum:0.0003241|Anterior_nares:1.053e-05|Buccal_mucosa:0.0001614	9.58e-55	3.564e-54
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	Supragingival_plaque:0.0003844|Stool:0.0001356|Posterior_fornix:1.565e-05|Tongue_dorsum:0.000378|Anterior_nares:5.001e-06|Buccal_mucosa:0.0003743	1.435e-54	5.282e-54
LACTOSECAT-PWY: lactose and galactose degradation I	Supragingival_plaque:0.0002401|Stool:2.688e-06|Posterior_fornix:0.0005949|Tongue_dorsum:0.0002662|Anterior_nares:0.0001226|Buccal_mucosa:0.0009396	1.754e-54	6.389e-54
PWY0-1296: purine ribonucleosides degradation	Supragingival_plaque:0.0001673|Stool:3.884e-05|Posterior_fornix:5.429e-06|Tongue_dorsum:0.0004947|Anterior_nares:0.000271|Buccal_mucosa:0.0001768	2.05e-54	7.389e-54
CALVIN-PWY: Calvin-Benson-Bassham cycle	Supragingival_plaque:0.0006612|Stool:0.000541|Posterior_fornix:7.358e-05|Tongue_dorsum:0.0005339|Anterior_nares:6.981e-05|Buccal_mucosa:0.0008832	2.561e-54	9.134e-54
PWY-5100: pyruvate fermentation to acetate and lactate II	Supragingival_plaque:2.443e-06|Stool:5.991e-05|Posterior_fornix:4.422e-06|Tongue_dorsum:2.684e-06|Anterior_nares:0|Buccal_mucosa:3.28e-07	2.932e-54	1.035e-53
PWY-6749: CMP-legionaminate biosynthesis I	Supragingival_plaque:2.728e-06|Stool:0|Posterior_fornix:0|Tongue_dorsum:3.626e-05|Anterior_nares:0|Buccal_mucosa:4.024e-06	7.345e-54	2.567e-53
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	Supragingival_plaque:0.0001612|Stool:0.0004307|Posterior_fornix:6.475e-05|Tongue_dorsum:0.0005344|Anterior_nares:4.589e-06|Buccal_mucosa:0.0001803	1.312e-53	4.541e-53
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Supragingival_plaque:0.0008807|Stool:0.0002308|Posterior_fornix:0.0002259|Tongue_dorsum:0.0009261|Anterior_nares:0.0002348|Buccal_mucosa:0.0006159	1.403e-53	4.807e-53
PWY-5030: L-histidine degradation III	Supragingival_plaque:0.0001245|Stool:4.096e-05|Posterior_fornix:2.268e-06|Tongue_dorsum:8.013e-05|Anterior_nares:5.045e-06|Buccal_mucosa:4.004e-05	1.461e-53	4.957e-53
PWY-922: mevalonate pathway I	Supragingival_plaque:3.966e-05|Stool:7.988e-08|Posterior_fornix:3.267e-06|Tongue_dorsum:3.104e-07|Anterior_nares:1.831e-06|Buccal_mucosa:2.536e-06	1.527e-53	5.129e-53
HISTSYN-PWY: L-histidine biosynthesis	Supragingival_plaque:0.0002331|Stool:0.0002147|Posterior_fornix:1.283e-06|Tongue_dorsum:0.0002262|Anterior_nares:9.354e-06|Buccal_mucosa:8.422e-05	2.054e-53	6.833e-53
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	Supragingival_plaque:0.0001629|Stool:6.645e-06|Posterior_fornix:1.158e-06|Tongue_dorsum:0.0001253|Anterior_nares:1.086e-05|Buccal_mucosa:8.192e-05	3.718e-53	1.225e-52
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	Supragingival_plaque:0.001077|Stool:0.000592|Posterior_fornix:0.0003263|Tongue_dorsum:0.001011|Anterior_nares:0.0004403|Buccal_mucosa:0.001413	4.292e-53	1.401e-52
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	Supragingival_plaque:0.0008911|Stool:0.0001978|Posterior_fornix:0.0003404|Tongue_dorsum:0.0008977|Anterior_nares:0.0002319|Buccal_mucosa:0.0005566	7.002e-53	2.243e-52
