Taxonomy	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
k__Archaea|p__Euryarchaeota|c__Candidatus_Methanoliparia|o__Candidatus_Methanoliparales	0	0	1	6	1	3	0	0	0	0	5	0	0	0	0	1	0	1
k__Archaea|p__Euryarchaeota|c__Candidatus_Methanoliparia|o__Candidatus_Methanoliparales|f__Candidatus_Methanoliparaceae	0	0	1	6	1	3	0	0	0	0	5	0	0	0	0	1	0	1
k__Archaea|p__Euryarchaeota|c__Candidatus_Methanoliparia|o__Candidatus_Methanoliparales|f__Candidatus_Methanoliparaceae|g__Candidatus_Methanoliparum	0	0	1	6	1	3	0	0	0	0	5	0	0	0	0	1	0	1
k__Archaea|p__Euryarchaeota|c__Candidatus_Methanoliparia|o__Candidatus_Methanoliparales|f__Candidatus_Methanoliparaceae|g__Candidatus_Methanoliparum|s__Candidatus_Methanoliparum_sp._LAM-1	0	0	1	6	1	3	0	0	0	0	5	0	0	0	0	1	0	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Haladaptatus|s__Haladaptatus_halobius	0	1	2	1	2	0	9	1	0	9	0	0	0	0	0	7	2	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Haladaptatus|s__Haladaptatus_pallidirubidus	8	4	3	0	3	0	0	6	2	3	1	0	0	0	0	1	2	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Haladaptatus|s__Haladaptatus_salinisoli	1	5	3	0	0	19	2	3	0	7	1	0	1	1	0	2	0	4
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Haladaptatus|s__Haladaptatus_sp._QDMS2	0	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Haladaptatus|s__Haladaptatus_sp._ZJ1	3	2	5	0	3	2	0	0	0	0	0	0	0	1	1	0	0	3
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus_halophilus	1	4	2	0	0	1	0	2	4	0	3	0	0	0	1	0	0	2
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus_pelagicus	0	2	4	4	0	0	2	2	0	3	1	0	3	2	0	2	0	3
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus_sp._DT72	0	1	0	2	198	3	0	0	1	0	1	0	0	33	1	19	0	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus_sp._DT80	2	1	0	2	0	0	2	0	0	4	7	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus_sp._XZYJ18	1	2	0	2	0	0	3	3	1	3	5	2	2	5	0	7	1	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus_sp._XZYJT10	4	6	2	2	12	1	1	1	11	1	1	2	2	0	0	4	2	5
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus_sp._XZYJT40	0	1	4	3	0	0	1	3	1	2	0	0	1	1	0	0	3	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus_sp._XZYJT49	0	0	2	0	3	0	1	0	1	2	1	3	0	5	0	4	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus_sp._YCN54	0	1	1	3	0	2	1	0	0	1	6	0	1	0	1	0	0	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum|s__Halapricum_desulfuricans	10	2	15	1	0	29	27	1	5	21	11	0	0	1	0	7	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum|s__Halapricum_salinum	19	34	0	1	0	2	1	1	70	15	106	0	0	0	0	0	0	15
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_hispanica	9	0	2	0	0	0	0	0	1	0	3	2	0	0	0	0	1	2
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_marismortui	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_sinaiiensis	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_sp._CBA1115	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_taiwanensis	2	12	11	23	85	10	3	0	4	13	3	0	0	3	0	7	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halocatena|s__Halocatena_marina	0	2	9	12	8	39	24	1	0	2	0	5	15	42	13	26	33	7
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halocatena|s__Halocatena_salina	0	0	3	9	1	11	4	0	0	1	0	0	0	1	0	0	0	4
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halococcoides|s__Halococcoides_cellulosivorans	2	5	2	0	0	4	0	4	7	2	14	0	0	1	0	0	0	4
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloglomus|s__Haloglomus_halophilum	5	48	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloglomus|s__Haloglomus_salinum	0	0	2	6	1	3	12	0	0	0	3	0	0	2	0	4	0	6
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloglomus|s__Haloglomus_sp._DT116	2	1	1	13	0	0	5	0	3	15	2	0	0	0	0	2	0	3
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomarina|s__Halomarina_sp._BCD28	7	9	6	7	5	0	1	13	0	1	8	2	1	4	0	1	0	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomarina|s__Halomarina_sp._BND7	1	12	4	15	8	0	7	11	3	2	55	0	0	2	0	0	0	4
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomarina|s__Halomarina_sp._PSR21	0	1	1	3	0	0	0	0	3	0	16	0	1	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_marina	1	0	6	0	4	0	0	0	2	1	2	0	0	1	0	2	0	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_sp._DFY41	0	2	2	0	4	3	0	0	5	0	0	0	4	2	0	10	3	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_sp._GDY20	0	2	4	1	0	0	0	5	0	2	4	0	0	2	0	2	4	2
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_sp._SHR3	0	0	2	2	2	0	4	2	5	2	0	13	0	1	0	1	0	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_sp._SYNS111	1	0	3	0	5	5	1	2	0	0	2	0	1	2	0	10	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_sp._XH51	1	1	1	1	2	0	0	0	0	0	9	0	0	1	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_sp._YJ-61-S	0	20	3	4	0	3	3	13	0	1	4	0	0	0	0	0	1	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicroarcula|s__Halomicroarcula_sp._ZS-22-S1	0	1	7	0	0	0	1	0	0	0	6	0	0	0	0	2	3	7
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicrobium|s__Halomicrobium_salinisoli	3	5	1	4	0	0	0	4	10	19	4	0	1	0	0	0	0	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicrobium|s__Halomicrobium_sp._LC1Hm	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicrobium|s__Halomicrobium_urmianum	3	1	4	0	0	0	1	1	1	5	0	0	0	4	0	0	1	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorarius|s__Halorarius_halobius	0	7	2	2	2	1	4	0	1	3	4	0	3	0	1	2	4	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorarius|s__Halorarius_litoreus	0	0	5	1	0	2	1	2	0	1	12	0	0	0	0	0	0	2
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus|s__Halorhabdus_sp._CBA1104	0	7	2	4	0	5	2	0	0	8	3	0	0	2	1	0	0	2
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus|s__Halorhabdus_tiamatea	0	0	1	0	0	0	1	3	0	0	2	6	1	1	0	1	0	2
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus|s__Halorhabdus_utahensis	0	2	2	0	0	0	0	1	3	4	0	0	0	12	0	0	3	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorientalis|s__Halorientalis_litorea	1	0	3	1	1	2	3	0	3	0	2	0	3	2	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorientalis|s__Halorientalis_marina	1	3	1	1	5	2	0	6	0	1	4	4	0	4	0	0	0	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorientalis|s__Halorientalis_sp._IM1011	5	5	1	2	0	0	0	2	3	0	2	31	0	1	0	0	0	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halosegnis|s__Halosegnis_sp._DT85	14	7	18	0	0	1	2	1	1	21	5	1	1	0	0	1	0	2
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halosimplex|s__Halosimplex_litoreum	0	1	5	2	0	0	7	0	0	4	2	0	1	2	0	12	0	5
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halosimplex|s__Halosimplex_pelagicum	0	0	4	0	4	4	2	3	1	2	1	0	0	19	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halosimplex|s__Halosimplex_rubrum	2	3	0	0	0	4	0	1	2	2	2	0	1	2	0	2	1	2
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halosimplex|s__Halosimplex_sp._XZYJT29	0	3	3	2	3	1	2	1	5	2	2	0	3	4	0	3	3	4
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halovenus|s__Halovenus_salina	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	2
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_gomsonensis	0	0	2	3	0	1	1	0	3	0	3	0	0	0	0	0	13	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_halophila	7	2	0	0	0	0	0	1	0	7	19	0	0	1	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_marina	2	0	1	0	1	0	0	4	3	3	1	2	0	0	0	0	4	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_moolapensis	0	7	0	0	0	0	0	0	2	2	4	0	0	0	0	0	0	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_pharaonis	1	0	2	0	5	0	0	3	1	2	2	4	0	0	0	1	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_salina	3	5	8	0	2	0	6	2	0	0	1	0	0	0	3	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Salinibaculum|s__Salinibaculum_litoreum	0	9	2	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Salinibaculum|s__Salinibaculum_sp._KK48	3	1	7	1	0	1	2	1	1	3	4	0	0	7	0	2	5	10
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Salinirubellus|s__Salinirubellus_salinus	0	2	6	2	6	1	5	4	0	4	5	2	0	1	0	1	0	9
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halanaeroarchaeum|s__Halanaeroarchaeum_sp._HSR-CO	0	0	3	3	8	0	0	0	0	0	3	3	0	0	0	1	0	1
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halanaeroarchaeum|s__Halanaeroarchaeum_sulfurireducens	0	0	2	1	3	0	6	0	5	1	0	7	1	16	24	7	0	0
