ID	Domain	Phylum	Class	Order	Family	Genus	Species	score	completeness	contamination	strain_heterogeneity	size	N50	cluster_members	CO1	CO2	CO3	CO4	MA1	MA2	MA3	MA4	ME1	ME2	ME3	ME4	TH1	TH2	TH3	TH4
Mx_All_125	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__ZC4RG30	s__	56.80561610851759	92.67	8.4	44.12	3316146	72289	1	0	0.026887262	0.20572217	0.052528854	0.62049747	0.47862116	0.26439247	0.34775245	0	0.006840994	0	0.010186931	0	0	0	0
Mx_All_126	d__Bacteria	p__Bacillota	c__Bacilli	o__Caldalkalibacillales	f__Caldalkalibacillaceae	g__CALFAC01	s__CALFAC01 sp937927935	91.86665699523105	91.73	0.45	50.0	2443051	21053	1	0	0.010332996	0	0	0	0	0	0.011623593	0	0.06470216	0.012969949	0.018947244	0.056974616	0.14519773	0.16722032	0.06983369
Mx_All_127	d__Bacteria	p__Hinthialibacterota	c__Hinthialibacteria	o__Hinthialibacterales	f__Hinthialibacteraceae	g__	s__	90.47740342767722	88.6	0.0	0.0	4796950	5686	1	0	0	0.054004304	0	0	0.09646056	0.14861445	0.06447623	0	0	0	0	0	0	0	0
Mx_All_128	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Arcobacteraceae	g__Aliarcobacter	s__Aliarcobacter butzleri	86.72920804410816	95.51	2.37	50.0	1857546	5867	1	0	0	0	0	0	0	0	0	0.22255369	0.06168867	0.0062567946	0.13325693	0	0	0	0
Mx_All_129	d__Bacteria	p__Bacillota_A	c__Thermosediminibacteria	o__Thermosediminibacterales	f__Tepidanaerobacteraceae	g__DTU063	s__DTU063 sp023622055	80.42847250856839	95.02	3.37	0.0	2160576	32881	1	0.02633386	0.016085945	0	0.010016022	0	0	0	0	0	0.06801438	0	0	0.2316922	0.5415312	0.4843509	0.056701504
Mx_All_13	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__	s__	86.12770903435127	87.37	0.71	50.0	2358722	8043	1	0	0.019202048	0	0	0.1305074	0.09339787	0	0.09400685	0	0.02706411	0	0	0	0	0	0
Mx_All_130	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Heteroruminococcus	s__	57.88296735400878	80.4	5.04	18.18	1844012	3415	1	0.046402745	0	0	0	0	0	0	0	0	0	0	0	0.20008004	0	0	0
Mx_All_131	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__UBA2357	s__	74.46697686006034	92.37	4.09	0.0	2837062	124152	1	1.1595954	0.03832475	1.2045579	0.15693866	0.18647431	0.08184873	0.14320838	0.09202586	0	0.009499931	0	0.013076941	0	0	0	0
Mx_All_132	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__WLNW01	g__	s__	46.170066046549366	57.84	2.78	18.18	2783704	2814	1	0	0.05375648	0.04407146	0	0.039909236	0.059361044	0.034481015	0.058198914	0	0.008696686	0	0.057807054	0	0	0	0
Mx_All_133	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales_G	f__UBA6769	g__Pueribacillus	s__	78.74759356927788	83.01	1.48	75.0	1990140	11355	1	0.04214185	0.04021827	0.07028428	0.04073486	0.020919515	0.015825262	0.01223809	0.037538398	0	0.7824243	0.16985497	0.041198753	1.2581266	9.043792	1.8135253	0.17571464
Mx_All_134	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__CALKHT01	s__	96.02629950894276	94.32	0.13	100.0	3772454	28353	1	0	0.03303988	0.07893559	0.012817649	0.11336129	0.12009587	0.108991295	0.071541905	0	0.022865888	0	0.050286822	0	0	0.006671459	0
Mx_All_135	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_H	s__	73.91578162138721	95.93	5.16	33.33	3293231	13549	1	0.3692998	0.246044	0.58294684	0.3927107	0.27818862	0.34754243	0.77233315	0.20925114	0.014611031	0.078691766	0	0.17460722	0.14328553	0	0.026977658	0.016739514
Mx_All_136	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Nevskiales	f__Algiphilaceae	g__	s__	92.14494174864882	96.52	1.49	57.14	2499135	27997	1	0	0.01891978	0.45388913	0.027407913	0.012190261	0.30431536	0.07654892	0.1421007	0	0.08152511	0	0	0	0	0	0
Mx_All_137	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Tissierellales	f__Tissierellaceae	g__JAAYFT01	s__	75.8301690192918	93.21	3.99	13.33	2131099	11929	1	0.020608151	0.0480923	0.018177245	0	0	0	0	0	0	0.35220727	0.041958995	0	0.08673241	0	0.04507797	0.03836513
Mx_All_138	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Empedobacter	s__Empedobacter falsenii_B	49.052446061051924	81.39	7.44	41.67	2442789	3345	1	0	0	0	0	0	0	0	0	0.154601	0.031323545	0	0.17193812	0	0	0	0
Mx_All_139	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Devosia_A	s__	77.92766756590926	93.02	3.72	37.5	3155030	16801	1	0	0.049591497	0	0	0	0.026276488	0.07252103	0	0	0.026765842	0.011235978	0.13315478	0	0	0.22350147	0
Mx_All_14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Tissierellales	f__Tepidimicrobiaceae	g__JAAYHX01	s__	66.73124246103689	77.97	2.8	20.0	1736005	25263	1	0	0	0	0	0	0	0	0	0	0.6583477	0.13256364	0.0064755175	0.23824355	0.05731899	0.089169905	0.066643424
Mx_All_140	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosomonas	s__	94.97495964645528	98.97	1.32	20.0	2628679	48075	1	0	0	0	0	0.35374835	0.0690068	0.019075248	0.78178966	0	0	0	0.012969894	0	0	0	0
Mx_All_141	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Pusillimonas	s__Pusillimonas sp029263785	96.56042614868248	99.91	1.22	33.33	3095772	48708	1	0.14475046	0.09143628	0.05458379	0.31723034	0.028645342	0.015422629	0.009521826	0.034717795	0	0.006975392	0	0	0	0	0	0
Mx_All_142	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Ureibacillus	s__Ureibacillus telephonicus	52.8614441974908	82.82	7.23	60.0	3588626	5092	1	0.009119491	0	0	0	0.010154176	0	0	0	0.19086969	0	0	0.025395954	0.09226018	0	0	0.008764029
Mx_All_143	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__M0112	g__M0112	s__	64.22685560270017	90.05	6.47	72.41	2049103	4829	1	0	0	0	0	0.12066826	0.103658944	0.018161409	0.28352073	0	0.011032891	0	0	0	0	0	0
Mx_All_144	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__JAGQNJ01	g__	s__	51.92908010174591	59.8	1.98	0.0	858098	11433	1	0	0	0.01673951	0	0.15218104	0.04422797	0.044831477	0.1236267	0	0	0	0.016968887	0	0	0	0
Mx_All_145	d__Bacteria	p__Bacillota	c__Bacilli	o__Caldalkalibacillales	f__	g__	s__	91.48266519026151	94.85	1.18	20.0	2490327	39204	1	0.020477047	0.031198476	0.016791137	0.013153566	0	0	0	0.03659454	0	0.33177313	0.039599407	0.04708744	0.32485044	1.5175489	0.4508976	0.13841414
Mx_All_147	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Porticoccaceae	g__BRH-c0	s__	99.91365407084358	99.26	0.37	0.0	3391189	101697	1	0.3295716	0.026762186	0.14786987	0.4361184	0.16722728	0.11562815	0.016931616	0.11387993	0	0	0	0	0	0	0	0
Mx_All_148	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Ketobacteraceae	g__Ch67	s__	88.88814480087602	98.89	2.61	11.11	4081848	328358	1	0.097445615	0.017436376	0.10593777	0.024243144	0.70145345	0.74697953	0.059827503	0.2690736	0	0.012256628	0	0	0	0	0	0
Mx_All_149	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales_B	f__Caldibacillaceae	g__CALGAD01	s__CALGAD01 sp937983015	69.97429500121835	80.68	2.81	46.15	2119128	12444	1	0.058410898	0.15187533	0.055746354	0.0845404	0.045536675	0.054240093	0.019814817	0.13109589	0	5.5920224	3.9195106	0.055813197	0.24980421	1.4243196	1.2324505	0.88083863
Mx_All_15	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-39	g__ZC4RG42	s__ZC4RG42 sp003242425	91.94793097552986	97.16	1.57	14.29	2622886	67167	1	0.029691689	0.21634574	0.16784652	0.036069114	0.0648953	0.07800319	0.081409276	0.056792375	0	0	0	0	0	0	0	0
Mx_All_150	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__JAJUGE01	f__JAJUGE01	g__	s__	89.99411393892035	97.39	2.11	42.86	4355513	31589	1	0.0067214053	0.14792155	0.07597793	0.02466038	0.048950847	0.088219635	0.181728	0.040726986	0	0.00577381	0	0.011779194	0	0	0	0
Mx_All_151	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Microtrichaceae	g__JAMLGM01	s__	84.01526794179868	92.05	2.14	33.33	2894501	8017	1	0.12270451	0.008639966	0.031317987	0.12215773	0.021444473	0.023457535	0.022061309	0.10783412	0	0	0	0.008115271	0	0	0	0
Mx_All_152	d__Bacteria	p__Bacillota_G	c__Limnochordia	o__DTU010	f__JAAYFS01	g__JAAYFS01	s__JAAYFS01 sp012728115	79.88653483181864	91.5	2.74	0.0	2066838	14896	1	0.1023486	0	0.039306264	0.021337599	0.011193313	0	0	0	0	0	0	0	0.22313422	0	0	0
Mx_All_153	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Ureibacillus	s__Ureibacillus sp017577605	59.873810410660994	65.44	1.55	25.0	1686049	3914	1	0	0	0	0.007141587	0	0	0	0	0	0.09702466	0	0.023012307	0.15002471	0	0.014959212	0.004908664
Mx_All_154	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Longimicrobiales	f__RSA9	g__	s__	59.13250112608252	95.42	7.69	0.0	3603253	21135	1	0.3274224	0.026120745	0.018017503	0.23465815	0.012801425	0	0	0.061678547	0	0	0	0	0	0	0	0
Mx_All_155	d__Bacteria	p__Bacillota_G	c__Limnochordia	o__DTU010	f__DTU010	g__UBA5420	s__UBA5420 sp012518325	83.73454078891758	95.37	2.82	0.0	2487389	84934	1	0.2149519	0.022145625	0.21405552	0.1131438	0.042767663	0.048259716	0.039877232	0.074767455	0	0	0	0	0.0068687154	0	0	0
Mx_All_156	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__Lacipirellulaceae	g__Bythopirellula	s__	60.106549200889084	73.27	3.08	16.67	4691376	2794	1	0	0.077122815	0	0	0.016331404	0.0841431	0.04021599	0.05654621	0	0	0	0.025593907	0	0	0.008085376	0
Mx_All_157	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Nitrococcales	f__AK92	g__JAAYIK01	s__JAAYIK01 sp029263635	86.25676031614483	91.02	1.49	27.27	2915306	36381	1	0.20140065	0.2557945	0.086291835	0.12628832	0.17488065	0.05592426	0.023556799	0.15982114	0	0	0	0.011133951	0.018871257	0	0	0
Mx_All_158	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__JANJUB01	s__	67.71564048642898	79.68	2.78	0.0	2040010	7435	1	0	0	0	0	0.37788004	0	0	0	0	0	0	0	0	0	0	0
Mx_All_159	d__Bacteria	p__Bacillota	c__Bacilli	o__ZCTH02-B2	f__ZCTH02-B2	g__Bacillus_BB	s__	95.04844386756972	92.69	0.0	0.0	2147460	52106	1	0	0.015759394	0	0	0	0	0	0.016142378	0	0.26729542	0.6364852	0.008357795	2.0417602	0.4407099	0.40981123	0.1705798
Mx_All_16	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA629	s__UBA629 sp029100405	77.31526881739047	86.25	2.22	12.5	1950162	5964	1	0	0	0	0	0	0	0	0	0	0	0	0	0.2648325	0	0	0
Mx_All_160	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__JACCSI01	s__	67.75028444507717	99.15	6.84	0.0	4659906	398629	1	0	0.31595486	0.12741412	0	0.048916288	0.26527786	0.19557889	0.23179689	0	0	0	0.0096576605	0	0	0	0
Mx_All_161	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Caldicoprobacterales	f__UBA3941	g__CALGOY01	s__	70.95136980623316	93.55	5.18	22.22	2355687	19987	1	0.014766527	0	0	0	0	0	0	0	0	0.111172035	0.015170209	0	0.24064925	0	0.02448213	0.016013645
Mx_All_162	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__UBA1609	g__	s__	86.49155203303732	96.82	2.78	50.0	2734467	23073	1	0	0.053488515	0.2088042	0.10698026	0.06777839	0.09461811	0.042452857	0.14458214	0	0.006951988	0	0.00572629	0	0	0	0
Mx_All_163	d__Bacteria	p__Bacillota_H	c__UBA994	o__UBA5500	f__UBA5500	g__UBA5500	s__	90.29966445499625	94.63	1.48	66.67	2197477	14652	1	0.17076574	0.027912704	0.043016613	0.0140278675	0	0	0	0.014354991	0	0	0	0	0.24182293	0	0.0101772845	0
Mx_All_164	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__UBA1924	g__JAEYVB01	s__	69.41900569832856	78.94	2.27	0.0	3042099	4550	1	0	0	0.01477711	0	0	0.14372525	0.26386848	0	0	0	0	0	0	0	0	0
Mx_All_165	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales_G	f__UBA6769	g__Pueribacillus	s__	60.1191671410355	61.21	0.79	100.0	1403063	13751	1	0	0.014523965	0	0.018619815	0	0	0	0.016974494	0	0.26015016	0	0.045440696	0.16930057	1.1802641	0.4909714	0.13659084
Mx_All_166	d__Bacteria	p__Bacillota	c__Bacilli	o__Haloplasmatales	f__Haloplasmataceae	g__	s__	64.15990762189571	88.6	5.38	0.0	1630160	83141	1	0.015512174	0	0	0	0	0	0	0	0	0.011546896	0	0	0.52607423	0	0	0
Mx_All_167	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Acetobacter	s__Acetobacter orientalis	85.85963205088541	91.58	1.82	80.0	2235035	7035	1	0	0	0	0	0	0	0	0	0.12398527	0.30259916	0	0.0935095	0	0	0	0
Mx_All_168	d__Bacteria	p__Bacillota	c__Bacilli	o__Thermoactinomycetales	f__Novibacillaceae	g__Novibacillus	s__Novibacillus thermophilus	47.09427586960079	59.62	3.0	25.0	1792639	2809	1	0	0	0	0	0	0	0	0	0	0	0	0.005276143	0	0.19238666	0.08116076	0
Mx_All_169	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Anoxybacillaceae	g__Parageobacillus	s__Parageobacillus thermoglucosidasius	77.63277021744797	82.41	1.69	88.89	2887727	21931	1	0	0	0	0	0	0	0	0	0	0.23711205	1.3783919	0	0	0	0.017530601	0.009369673
Mx_All_17	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__JADJTR01	s__	89.61983523530174	93.73	1.32	8.33	3073710	57512	1	0.09960248	0.23838589	0.15920448	0.16609295	0.16603172	0.0662685	0.09317753	0.082951665	0	0.006068035	0	0.020695187	0	0	0.012637196	0
Mx_All_170	d__Bacteria	p__Myxococcota	c__Polyangia	o__Nannocystales	f__Nannocystaceae	g__Nannocystis	s__	74.4401764329397	91.2	3.84	11.11	7829263	10644	1	0	0	0.018936997	0	0.504467	0.028189266	0.015935563	0.008767882	0	0	0	0	0	0	0	0
Mx_All_171	d__Bacteria	p__Bacillota_G	c__Limnochordia	o__Limnochordales	f__	g__	s__	57.65462047519792	80.17	5.45	50.0	1896586	10453	1	0.044268064	0.11535114	0.033277374	0.11710252	0.0118056135	0.013920757	0.008155458	0.013019978	0	0	0	0	0.007346161	0.17192948	0.30271897	0.017993797
Mx_All_172	d__Bacteria	p__Myxococcota	c__UBA727	o__UBA727	f__	g__	s__	67.1750850299041	87.8	4.52	0.0	4915502	8916	1	0.060203433	0.14207584	0.05725357	0.10269891	0.016971946	0.00901567	0.011120065	0.028541071	0	0.006374429	0	0.017470488	0	0	0	0
Mx_All_173	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__JAAYPV01	s__JAAYPV01 sp012519635	97.072853946696	97.99	0.67	0.0	1711069	73402	1	0.07381935	0	0.08176401	0.11122002	0.008410561	0	0	0.017196493	0	0	0	0	0.3144804	0	0	0
Mx_All_174	d__Bacteria	p__Bacillota_G	c__Limnochordia	o__Limnochordales	f__Limnochordaceae	g__Limnochorda	s__Limnochorda sp012799445	93.63274682866708	91.18	0.0	0.0	2264837	80444	1	0	0	0.09156245	0.02049028	0.025212104	0.009977184	0	0.011555411	0	0.007930529	0.058562253	0	0.9761416	3.1034884	1.4083617	0.16583773
Mx_All_175	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__JAGQNK01	g__	s__	51.29802963893318	53.38	0.85	0.0	667146	21680	1	0	0.062976465	0.29394296	0.02947982	0.09819868	0.12294803	0.04000048	0.1255921	0	0	0	0.015909903	0	0	0	0
