Taxonomy	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
t__SGB8168	0.00000	0.00000	0.00000	0.67916	0.00000	1.46773	0.88988	0.00000	0.00000	0.00000	2.19075	3.95440
t__SGB15878	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	7.68720	0.00000	0.00000	0.00000	0.00000
t__SGB3613	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.37518
t__SGB15897	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	8.50534	0.00000	0.00000	0.00000	0.00000
t__SGB1552	0.00000	6.39757	2.26029	0.00000	0.00000	54.00711	5.28753	6.78864	0.00000	0.00000	0.00000	0.00000
t__SGB16971_group	0.00000	0.00000	0.00000	3.63255	0.00000	0.00000	0.00000	0.00000	7.56978	2.66114	27.52406	0.00000
t__SGB1341	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.21565
t__SGB17152	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.48502	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB19292	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.57232
t__SGB6629	4.61720	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB17156	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2.61737	0.00000	0.00000	0.00000
t__SGB8053	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	7.08504	0.00000	0.00000	0.00000	0.00000
t__SGB17157	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	5.25778	0.00000
unclassified	20.16377	0.00000	0.00000	7.57233	2.58420	1.17626	15.33425	0.00000	41.23938	14.84901	1.04922	11.12912
t__SGB8056	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	14.09023	0.00000	0.00000	0.00000
t__SGB19351_group	0.00000	0.00000	0.00000	0.00000	0.00000	2.86802	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB1395_group	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	12.20647	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB8071	0.00000	0.00000	0.00000	4.21787	0.00000	0.00000	0.00000	0.40245	0.00000	2.54197	0.25496	0.00000
t__SGB13165	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	9.59797	0.00000	0.00000	0.00000	0.00000
t__SGB6891	0.20005	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB19791	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.56594
t__SGB5989_group	0.00000	0.00000	18.71665	14.72284	0.00000	0.00000	2.05165	0.00000	5.23259	7.97133	5.02305	0.00000
t__SGB7285_group	0.00000	0.00000	0.00000	2.52411	0.00000	0.00000	0.00000	0.00000	0.00000	4.94967	0.00000	0.00000
t__SGB8180_group	0.00000	0.00000	0.00000	1.47046	0.00000	0.00000	4.06570	0.00000	0.00000	5.73633	0.00000	0.00000
t__SGB3934_group	0.00000	0.00000	0.00000	0.00000	0.00000	0.58813	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB6011	4.86139	0.00000	4.57641	0.00000	2.35753	0.00000	1.06092	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB6013	0.00000	0.00000	0.00000	0.00000	0.00000	0.36597	0.00000	0.00000	0.00000	0.00000	0.00000	3.42354
t__SGB6014	8.89744	0.00000	7.28469	0.00000	1.38882	0.00000	1.04073	0.00000	0.00000	0.00000	0.90410	5.75783
t__SGB8095	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	13.40419	0.00000	3.17850	0.00000
t__SGB17007	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	24.67902	0.00000	0.00000	0.00000	2.40142
t__SGB8239_group	0.00000	0.00000	0.00000	0.00000	0.51783	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB9631	0.00000	32.41837	0.00000	2.57137	0.00000	0.00000	0.00000	0.00000	0.00000	4.55856	0.00000	0.00000
t__SGB5825_group	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.23470
t__SGB9632	0.00000	0.00000	0.00000	11.44850	0.00000	0.00000	0.00000	0.00000	0.00000	35.33441	0.00000	0.00000
t__SGB6936	0.00000	0.00000	0.00000	0.00000	0.00000	23.41454	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB2480	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	5.03494	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB8059_group	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.63048	0.00000	0.00000	0.00000
t__SGB6952	0.00000	0.00000	0.00000	1.15034	0.00000	0.00000	0.00000	10.13263	0.00000	0.00000	1.94829	0.00000
t__SGB6939	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.42275	0.00000	0.00000	0.00000	11.00322
t__SGB2502	23.84068	0.00000	0.00000	0.00000	0.00000	0.00000	8.62973	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB2483	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2.38358
t__SGB2043	1.71391	0.00000	3.68016	10.42870	7.22401	0.00000	1.03747	0.00000	0.50999	3.09935	1.40261	0.00000
t__SGB9652	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	12.36251
t__SGB6956	0.00000	0.00000	0.00000	2.92749	0.00000	0.00000	0.00000	0.40287	6.30716	0.47485	17.82084	0.00000
t__SGB6055	0.00000	0.00000	0.00000	0.00000	0.00000	0.69204	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB8154	0.00000	0.00000	0.00000	0.00000	1.51613	0.00000	33.63493	0.00000	0.00000	0.22124	0.00000	0.00000
t__SGB6070	0.00000	0.00000	5.41157	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB94822	1.13491	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB2048	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.71047	0.00000	0.00000	0.00000	10.57549
t__SGB9657	0.00000	0.00000	12.94185	0.00000	0.00000	6.70669	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB1464	7.56567	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB2524	0.00000	0.00000	0.00000	1.62813	0.00000	0.00000	0.00000	0.00000	0.00000	0.39642	0.00000	0.00000
t__SGB1468	0.00000	0.00000	0.00000	0.00000	0.00000	1.92283	3.07752	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB9463	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.57586
t__SGB8255_group	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.40741	0.00000	0.00000	0.00000
t__SGB1520	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.54233
t__SGB1522	0.00000	0.00000	0.00000	0.00000	0.00000	0.32441	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB7298_group	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	13.74646	0.00000	0.34974	0.00000
t__SGB1525	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2.05067
t__SGB9733	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.56165
t__SGB11681	0.00000	52.30790	6.68415	0.18328	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB6826	0.47414	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB9737_group	0.58721	0.00000	0.00000	0.00000	30.26556	0.00000	0.45174	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB1536_group	0.00000	0.00000	0.00000	0.00000	2.36464	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB1561	15.50071	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.47246
t__SGB1564	0.00000	0.00000	0.00000	0.00000	0.00000	2.09062	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
