Taxonomy	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
s__Campylobacter_SGB96438	0.00000	0.00000	0.00000	0.00000	2.01793	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Prevotella_conceptionensis	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.21727
s__Arachnia_propionica	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	8.50534	0.00000	0.00000	0.00000	0.00000
s__Solobacterium_moorei	0.47414	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Aggregatibacter_segnis	0.58721	0.00000	0.00000	0.00000	30.26556	0.00000	0.45174	0.00000	0.00000	0.00000	0.00000	0.00000
s__GGB12761_SGB19791	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	7.13188
s__Bacteroidetes_oral_taxon_274	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.43130
unclassified	12.95086	0.00000	0.00000	5.04822	1.72280	0.58813	11.31705	0.00000	27.49292	9.89934	0.69948	7.34753
s__Eubacterium_sulci	0.00000	0.00000	0.00000	0.00000	0.00000	1.17626	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Gemella_haemolysans	0.00000	0.00000	0.00000	5.04822	0.00000	0.00000	0.00000	0.00000	0.00000	9.89934	0.00000	0.00000
s__Porphyromonas_endodontalis	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.48937
s__Schaalia_odontolytica	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2.61737	0.00000	0.00000	0.00000
s__Porphyromonas_pasteri	1.71391	0.00000	3.68016	10.42870	7.22401	0.00000	1.03747	0.00000	0.50999	3.09935	1.40261	0.00000
s__Cardiobacterium_SGB9419	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	8.12685	0.00000	0.00000	0.00000	0.00000
s__Campylobacter_concisus	0.00000	0.00000	0.00000	0.00000	0.00000	2.86802	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Prevotella_melaninogenica	0.00000	6.39757	2.26029	0.00000	0.00000	54.00711	5.28753	6.78864	0.00000	0.00000	0.00000	0.00000
s__Fusobacterium_nucleatum	25.28079	0.00000	27.78558	0.00000	18.58507	1.36294	4.31956	0.00000	0.00000	0.00000	0.90410	15.22431
s__Veillonella_dispar	0.00000	0.00000	0.00000	1.15034	0.00000	0.00000	0.00000	10.13263	0.00000	0.00000	1.94829	0.00000
s__Prevotella_nanceiensis	0.00000	0.00000	0.00000	0.00000	2.36464	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__GGB1843_SGB2524	0.00000	0.00000	0.00000	1.62813	0.00000	0.00000	0.00000	0.00000	0.00000	0.39642	0.00000	0.00000
s__Selenomonas_SGB5880	0.00000	0.00000	0.00000	0.00000	0.00000	1.20800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Streptococcus_rubneri	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	14.09023	0.00000	0.00000	0.00000
s__Campylobacter_SGB19292	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.57232
s__Prevotella_oris	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2.05067
s__Lautropia_mirabilis	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	9.59797	0.00000	0.00000	0.00000	0.00000
s__Sphingomonas_melonis	0.00000	52.30790	6.68415	0.18328	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Filifactor_alocis	4.61720	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Aggregatibacter_sp_2125159857	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	3.56165
s__Actinomyces_bouchesdurhonensis	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.48502	0.00000	0.00000	0.00000	0.00000	0.00000
s__GGB1144_SGB1468	0.00000	0.00000	0.00000	0.00000	0.00000	1.92283	3.07752	0.00000	0.00000	0.00000	0.00000	0.00000
s__Prevotella_pallens	0.00000	0.00000	0.00000	0.00000	0.00000	2.09062	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__GGB1833_SGB2477	1.25994	0.00000	0.00000	0.00000	0.00000	0.00000	4.04099	0.00000	0.00000	0.00000	0.00000	0.00000
s__Haemophilus_parahaemolyticus	0.00000	0.00000	0.00000	11.44850	0.00000	0.00000	0.00000	0.00000	0.00000	35.33441	0.00000	0.00000
s__GGB4937_SGB6891	0.40010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__GGB4533_SGB94822	1.13491	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Lachnospiraceae_bacterium_oral_taxon_500	2.94992	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
s__Fusobacterium_pseudoperiodonticum	0.00000	0.00000	18.71665	14.72284	0.00000	0.00000	2.05165	0.00000	5.23259	7.97133	5.02305	0.00000
s__Streptococcus_gordonii	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	7.08504	0.00000	0.00000	0.00000	0.00000
s__Capnocytophaga_granulosa	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2.38358
s__Capnocytophaga_sputigena	23.84068	0.00000	0.00000	0.00000	0.00000	0.00000	8.62973	0.00000	0.00000	0.00000	0.00000	0.00000
s__Streptococcus_mitis	0.00000	0.00000	0.00000	2.14962	1.51613	1.46773	38.59051	0.00000	0.00000	5.95757	2.19075	3.95440
s__Prevotella_SGB1459	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	11.55424
s__Capnocytophaga_gingivalis	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.37826	0.00000
