# Pathway	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
UNINTEGRATED|g__Sphingomonas.s__Sphingomonas_melonis	0	2905.1994540407	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_australis	0	0	0	0	0	0	0	0	915.7047851215	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	796.8478945805	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_mitis	0	0	0	0	0	0	2845.3737352087	0	0	2603.5031904419	470.5089355963	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_sp_A12	0	0	0	0	0	0	0	0	465.3469885640	0	0	0
UNINTEGRATED|g__Veillonella.s__Veillonella_atypica	0	0	0	0	0	2720.0647087464	0	0	0	0	0	0
UNINTEGRATED|g__Veillonella.s__Veillonella_dispar	0	0	0	0	0	0	0	0	0	0	394.3081135891	0
UNINTEGRATED|g__Veillonella.s__Veillonella_infantium	0	0	0	0	0	0	0	0	0	0	412.3734575042	0
UNINTEGRATED|g__Veillonella.s__Veillonella_rogosae	0	0	0	0	0	0	0	0	0	0	1830.4442556268	0
UNINTEGRATED|unclassified	5442.9815662447	0	0	3135.6309774270	2193.4830234663	0	3401.9817344489	0	3243.5159720230	4434.5318296907	2481.2339604069	4711.8569333443
1CMET2-PWY: folate transformations III (E. coli)	0	0	0	8.8118215999	0	14.4075938291	0	0	11.6573488935	13.6228536631	13.8420945596	0
1CMET2-PWY: folate transformations III (E. coli)|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	8.6533979409	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	0	0	0	9.3303024632	9.8009794246	9.9711529503	0	0	11.3441001305	12.1547451837	8.3993978444	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	9.0133259106	0	0	12.1524716262	14.4209373451	16.1482280344	0	0	18.6443731099	16.1186319619	10.5387562029	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	3.7083711043	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0	0	0	0	6.0529702041	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0	0	0	0	0	0	0	0	0	10.7196765935	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0	0	0	0	0	0	0	0	8.3528728284	12.5919828561	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Neisseria.s__Neisseria_flavescens	0	0	0	0	0	0	0	0	0	3.1137142568	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Neisseria.s__Neisseria_subflava	0	0	0	0	0	0	0	0	0	4.2206138419	0	0
ARO-PWY: chorismate biosynthesis I	10.7697277850	0	0	0	7.6136825258	9.1234969982	0	0	13.7720796836	19.1419739480	15.3277754851	0
ARO-PWY: chorismate biosynthesis I|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	7.7557552628	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0	0	0	13.9644187766	0	13.2328587388	0	0	9.4528416876	13.0979658257	12.2451842979	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	6.7384183435	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	9.4583347024	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	10.1959345942	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	0	0	0	0	0	0	0	0	4.6314164415	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	9.2298361348	0	0	21.9567454658	18.9353601183	0	8.0119763523	0	10.0009614295	24.0665412198	25.2190240571	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	8.4281705535	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Fusobacterium.s__Fusobacterium_nucleatum	9.2298361348	0	0	0	7.8569906145	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	4.7588531340	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	8.1505222230	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Neisseria.s__Neisseria_flavescens	0	0	0	0.9775184543	0	0	0	0	0	0	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle	7.8440676644	0	0	13.7431495590	17.3496584185	12.6931372509	0	0	17.7417325776	19.6525113860	12.4762709085	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	13.4474066686	0	0	0	0	0	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	9.3201248132	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Neisseria.s__Neisseria_flavescens	0	0	0	2.4046148811	0	0	0	0	2.3881604277	0	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Neisseria.s__Neisseria_subflava	0	0	0	3.9206424086	0	0	0	0	2.1555892614	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	0	0	0	0	5.6690996677	0	0	0	0	0	0	0
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0	0	0	6.5230756799	13.0934317357	7.3894008878	0	0	7.8212976528	11.9247567999	14.0356754976	0
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	8.2360262089	0	0	0	0	0	0	0
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	12.3293813535	0
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|g__Neisseria.s__Neisseria_flavescens	0	0	0	0	0	0	0	0	0	1.4845893429	0	0
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|g__Neisseria.s__Neisseria_subflava	0	0	0	0	0	0	0	0	0	2.1560427132	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	4.3391007214	8.4010766473	0	6.2134117073	11.3836110990	10.5157719636	0	0	11.8542064417	13.9028126506	12.5291244315	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	9.0117152298	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	4.7877433770	0	11.7223791599	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Neisseria.s__Neisseria_flavescens	0	0	0	0	0	0	0	0	0	4.0399241457	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Neisseria.s__Neisseria_subflava	0	0	0	0	0	0	0	0	0	2.1011138512	0	0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	10.4479363564	0	0	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0	0	0	0	8.2820898238	9.0627483537	0	0	14.5964886236	20.0992840677	14.0058656139	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0	0	0	0	0	0	0	0	12.8765275644	13.1980782723	16.3165620742	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	10.0771981249	6.9242068775	0	0	13.6685310681	8.2990517092	0	0	6.5432558475	6.2281053708	13.0359875773	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	8.2596276285	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	7.6410930376	0	0	0	0	0	0
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0	0	0	13.4240243983	19.4534252048	0	5.5960192642	0	11.4487201037	12.6082808916	8.7123157083	9.0006146759
FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	12.4970541073	0	0	0	0	0	0	0
FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Neisseria.s__Neisseria_flavescens	0	0	0	2.0665245996	0	0	0	0	0	2.6540280260	0	0
FERMENTATION-PWY: mixed acid fermentation	0	0	0	0	7.6297499453	0	0	0	0	22.7623371116	10.4802648409	0
FERMENTATION-PWY: mixed acid fermentation|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	8.9573088012	0	0
FERMENTATION-PWY: mixed acid fermentation|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	9.4977499378	0
FUCCAT-PWY: fucose degradation	0	0	0	0	0	0	0	0	0	16.8613789865	0	0
FUCCAT-PWY: fucose degradation|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	15.1247992399	0	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0	0	0	0	13.6200171828	0	4.5230071797	0	7.0175191168	12.1954628105	12.7791259669	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	7.9337044752	0	0	0	0	0	0	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	5.8161117330	0	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	10.5764163308	0
GLUCONEO-PWY: gluconeogenesis I	0	0	0	8.5409863438	12.7132054820	12.2199735670	0	0	0	11.5525353209	11.6295019859	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0	0	0	0	0	13.9988680192	0	0	0	0	17.5975516450	6.2701864269
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|unclassified	0	0	0	0	0	0	0	0	0	0	3.6296073271	0
GLUTORN-PWY: L-ornithine biosynthesis I	0	0	0	0	0	0	0	0	0	9.2952544667	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	7.4473308437	0	0	0	6.8007095298	0	5.7204147301	0	9.9452915037	11.1000454947	11.2625479474	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Neisseria.s__Neisseria_flavescens	0	0	0	0	0	0	0	0	1.1198341727	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Neisseria.s__Neisseria_meningitidis	0	0	0	0	0	0	0	0	1.7641085832	0	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Neisseria.s__Neisseria_subflava	0	0	0	0	0	0	0	0	1.8482173164	0	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	0	0	0	0	0	0	0	0	0	10.8222908551	0	0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0	0	0	11.5035644753	13.3277112381	11.6477143831	0	0	12.9799746768	13.9014969612	10.4756665837	0
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	0	0	0	8.6586853435	0	0	0	0	0	7.5383098414	0	0
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Neisseria.s__Neisseria_flavescens	0	0	0	3.2250038783	0	0	0	0	0	0	0	0
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Neisseria.s__Neisseria_subflava	0	0	0	3.4242757285	0	0	0	0	0	0	0	0
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	0	0	0	8.6586853435	10.0591283861	5.6888966407	0	0	0	9.6079778209	0	0
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	6.7028407277	0	0	0	0	0	0	0
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	7.7827667308	0	0
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Neisseria.s__Neisseria_flavescens	0	0	0	3.2250038783	0	0	0	0	0	0	0	0
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Neisseria.s__Neisseria_subflava	0	0	0	3.4242757285	0	0	0	0	0	0	0	0
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	0	0	0	12.9832089097	14.7401778801	5.7299544603	0	0	8.9902964058	8.5948547529	12.0437934723	0
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	6.9641766971	0	0	0	0	0	0	0
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	0	0	0	0	6.3581638263	0	0	0	0	0	0	0
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	5.8646616541	0	0
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)|g__Neisseria.s__Neisseria_flavescens	0	0	0	4.5803069837	0	0	0	0	0	0	0	0
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)|g__Neisseria.s__Neisseria_subflava	0	0	0	2.1684050013	0	0	0	0	0	0	0	0
HISDEG-PWY: L-histidine degradation I	8.4493658936	0	0	0	7.1129938864	7.6064851323	0	0	0	0	0	0
HISDEG-PWY: L-histidine degradation I|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	7.6064851323	0	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis	0	0	0	0	0	7.0165391492	0	0	8.7731005805	5.3117196977	0	0
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0	0	0	0	0	0	0	0	0	9.9418877532	0	0
HSERMETANA-PWY: L-methionine biosynthesis III	0	0	0	0	7.3113426859	0	0	0	0	11.3593559297	18.4061310868	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	0.7775563323	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	9.8842769346	0
HSERMETANA-PWY: L-methionine biosynthesis III|unclassified	0	0	0	0	0	0	0	0	0	0	6.3871645203	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	9.0861337457	0	0	22.6464926469	19.6255349761	6.2204602939	7.8404793172	0	10.4490656586	26.7242275350	27.5150647878	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	9.1904986489	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Fusobacterium.s__Fusobacterium_nucleatum	9.0861337457	0	0	0	7.7803418604	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	4.5819703226	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	9.2237824801	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Neisseria.s__Neisseria_flavescens	0	0	0	0.9278048531	0	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Veillonella.s__Veillonella_atypica	0	0	0	0	0	5.8679706601	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I	0	0	0	0	0	0	5.9436097506	0	15.5657960302	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Streptococcus.s__Streptococcus_australis	0	0	0	0	0	0	0	0	9.8763902958	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Streptococcus.s__Streptococcus_sp_A12	0	0	0	0	0	0	0	0	1.9750479530	0	0	0
LIPASYN-PWY: phospholipases	0	0	0	6.7307692308	0	0	0	0	0	0	0	0
LIPASYN-PWY: phospholipases|g__Neisseria.s__Neisseria_flavescens	0	0	0	1.9380623041	0	0	0	0	0	0	0	0
LIPASYN-PWY: phospholipases|g__Neisseria.s__Neisseria_meningitidis	0	0	0	1.3924718200	0	0	0	0	0	0	0	0
LIPASYN-PWY: phospholipases|g__Neisseria.s__Neisseria_subflava	0	0	0	3.4002351067	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0	0	0	0	0	0	0	0	0	12.0103094724	0	0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	0	0	0	0	0	0	0	0	0	12.9408032961	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	0	0	0	7.1403789940	9.0190453459	0	0	0	7.9085877798	7.5526130249	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)|g__Neisseria.s__Neisseria_flavescens	0	0	0	0	0	0	0	0	1.0079341836	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)|g__Neisseria.s__Neisseria_subflava	0	0	0	3.0761227524	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0	0	0	7.5303363398	11.4348154871	16.0165683876	0	0	0	11.6522171051	17.2069461004	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	10.0065027323	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	6.3429106827	5.4744525547	0	10.8895201712	10.4088147455	6.4448926632	0	0	12.8270420158	13.0013332704	12.6746477205	5.6955238438
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	9.3630871436	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	4.1985157372	0	0	0	0	9.6119990775	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Neisseria.s__Neisseria_flavescens	0	0	0	4.8859216329	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Neisseria.s__Neisseria_subflava	0	0	0	3.3958791382	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Sphingomonas.s__Sphingomonas_melonis	0	5.0020842018	0	0	0	0	0	0	0	0	0	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	9.2369789524	0	0	0	9.7482562203	0	0	0	0	0	11.1929910724	0
P108-PWY: pyruvate fermentation to propanoate I	0	0	0	0	0	0	0	0	0	0	4.2385498381	0
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	0	0	0	0	0	0	0	0	5.8075882986	0	0	0
P161-PWY: acetylene degradation (anaerobic)	0	0	0	0	0	0	4.6511627907	0	7.8418387999	0	0	0
P161-PWY: acetylene degradation (anaerobic)|unclassified	0	0	0	0	0	0	4.6511627907	0	0	0	0	0
P163-PWY: L-lysine fermentation to acetate and butanoate	10.7654917651	0	0	0	8.8909566590	0	0	0	0	0	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)	0	0	0	0	0	0	0	0	0	6.5028921171	0	0
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0	0	0	0	10.0514709446	0	0	0	0	0	0	0
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	11.7173524444	0	0	0	9.4453145646	0	5.6576114288	0	11.7279326006	12.2307767746	16.4804523963	0
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	7.1460322647	0
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I|unclassified	0	0	0	0	0	0	0	0	0	4.6935150997	0	0
P42-PWY: incomplete reductive TCA cycle	0	0	0	0	0	0	0	0	0	0	7.2408978042	0
P441-PWY: superpathway of N-acetylneuraminate degradation	0	0	0	0	0	0	0	0	0	0	10.1310715545	0
PANTO-PWY: phosphopantothenate biosynthesis I	0	0	0	0	5.6073472687	4.8271575208	0	0	0	0	0	0
PENTOSE-P-PWY: pentose phosphate pathway	0	0	0	10.5699350157	0	0	0	0	11.3903209866	16.3649367421	14.5311322331	0
PENTOSE-P-PWY: pentose phosphate pathway|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	9.9096823505	0
PENTOSE-P-PWY: pentose phosphate pathway|g__Neisseria.s__Neisseria_flavescens	0	0	0	4.4199960592	0	0	0	0	0	0	0	0
PENTOSE-P-PWY: pentose phosphate pathway|g__Neisseria.s__Neisseria_subflava	0	0	0	3.3893206101	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	9.9966129668	0	0	0	12.8498642122	14.7219195301	0	0	15.4895877956	16.6450463722	18.5025259744	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	1.5979214259	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	10.8127727379	0	0	0	0	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	9.8283508829	0	0	0	12.5830986983	0	0	0	11.0405425399	21.9589204799	10.4454982241	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	8.7179843427	0	0	0	0	0	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	10.7138196306	0	0
PPGPPMET-PWY: ppGpp metabolism	0	0	0	10.9859356935	0	11.2833500191	0	0	0	19.2196188149	10.9961843161	0
PPGPPMET-PWY: ppGpp metabolism|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	10.4913404428	0
PWY-1042: glycolysis IV	6.9410338464	0	0	12.3438601367	15.3986132561	19.3808641017	0	0	9.9589283888	0	18.8353004347	0
PWY-1042: glycolysis IV|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	8.8834252334	0	0	0	0	0	0	0
PWY-1042: glycolysis IV|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	11.5266393443	0
PWY-1042: glycolysis IV|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	1.3926459967	0	0	0
PWY-1042: glycolysis IV|unclassified	0	0	0	0	0	0	0	0	0	0	5.0363738109	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	0	0	0	6.0249677342	7.1066127601	7.0161236304	0	0	0	17.4498864547	16.6473052037	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	4.3946385410	0	0	0	0	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	8.4467103080	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	11.0007402685	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis|g__Neisseria.s__Neisseria_flavescens	0	0	0	0	0	0	0	0	0	0	1.1469758556	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis|g__Neisseria.s__Neisseria_subflava	0	0	0	0	0	0	0	0	0	2.1755508160	0	0
