Pathway	C1	C2
Photosynthesis proteins [BR:ko00194]	402.791	0.0
Plant-pathogen interaction [PATH:ko04626]	1104.217	0.0
Polyketide sugar unit biosynthesis [PATH:ko00523]	966.61	941.803
Porphyrin and chlorophyll metabolism [PATH:ko00860]	6415.282999999999	1556.19
Prenyltransferases [BR:ko01006]	417.218	0.0
Prodigiosin biosynthesis [PATH:ko00333]	963.885	0.0
Progesterone-mediated oocyte maturation [PATH:ko04914]	1104.217	0.0
Prokaryotic defense system [BR:ko02048]	3579.1400000000003	3427.83
Propanoate metabolism [PATH:ko00640]	1296.165	783.471
Prostate cancer [PATH:ko05215]	1104.217	0.0
Proteasome [BR:ko03051]	1104.217	0.0
Protein export [PATH:ko03060]	4503.598	1289.12
Protein kinases [BR:ko01001]	2619.08	0.0
Protein phosphatases and associated proteins [BR:ko01009]	1104.217	0.0
Protein processing	1115.3	0.0
Protein processing in endoplasmic reticulum [PATH:ko04141]	1104.217	0.0
Proximal tubule bicarbonate reclamation [PATH:ko04964]	1844.64	0.0
Purine metabolism [PATH:ko00230]	21389.908000000003	6158.634
Pyrimidine metabolism [PATH:ko00240]	21011.798	1229.2060000000001
Pyruvate metabolism [PATH:ko00620]	3569.8519999999994	4615.767
Quorum sensing [PATH:ko02024]	5242.26	0.0
RNA degradation [PATH:ko03018]	6789.912	0.0
RNA polymerase [PATH:ko03020]	6335.779	794.3389999999998
Replication and repair	5403.743	333.19499999999994
Retinol metabolism [PATH:ko00830]	0.0	1296.29
Ribosome [BR:ko03011]	43775.116	357.98
Ribosome [PATH:ko03010]	43775.116	357.98
Ribosome biogenesis [BR:ko03009]	34826.075	0.0
Salmonella infection [PATH:ko05132]	2219.517	0.0
Secretion system [BR:ko02044]	8722.032	0.0
Selenocompound metabolism [PATH:ko00450]	4047.2879999999996	0.0
Signaling proteins	404.598	0.0
Sphingolipid metabolism [PATH:ko00600]	2084.12	0.0
Starch and sucrose metabolism [PATH:ko00500]	4363.468	0.0
Stilbenoid	0.0	0.0
Streptomycin biosynthesis [PATH:ko00521]	966.61	941.803
Sulfur metabolism [PATH:ko00920]	3790.697	0.0
Sulfur relay system [PATH:ko04122]	2839.915	98.9787
Synthesis and degradation of ketone bodies [PATH:ko00072]	0.0	1194.946
Terpenoid backbone biosynthesis [PATH:ko00900]	5850.147	896.85
Th17 cell differentiation [PATH:ko04659]	1104.217	0.0
Thermogenesis [PATH:ko04714]	468.859	0.0
Thiamine metabolism [PATH:ko00730]	4678.961	98.9787
Thyroid hormone signaling pathway [PATH:ko04919]	0.0	0.0
Thyroid hormone synthesis [PATH:ko04918]	0.0	3255.577
Transcription	1552.463	0.0
Transcription factors [BR:ko03000]	9873.708	7580.455
Transcription machinery [BR:ko03021]	11360.523000000001	1469.966
Transfer RNA biogenesis [BR:ko03016]	18361.110000000004	11720.564999999999
Translation factors [BR:ko03012]	3771.6760000000004	1978.1660000000002
Transport	3966.5060000000003	300.129
Transporters [BR:ko02000]	37454.46800000001	14412.598000000002
Tropane	0.0	0.0
Tryptophan metabolism [PATH:ko00380]	0.0	783.471
Tuberculosis [PATH:ko05152]	1138.75	0.0
Two-component system [BR:ko02022]	6510.609	0.0
Two-component system [PATH:ko02020]	10190.064000000002	5695.385
Type II diabetes mellitus [PATH:ko04930]	0.0	3008.94
Tyrosine metabolism [PATH:ko00350]	1556.42	1296.29
Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	1003.2920000000001	0.0
Valine	4502.062	1194.946
Vancomycin resistance [PATH:ko01502]	999.5690000000001	0.0
Various types of N-glycan biosynthesis [PATH:ko00513]	295.433	0.0
Viral carcinogenesis [PATH:ko05203]	0.0	3008.94
beta-Lactam resistance [PATH:ko01501]	933.594	2322.06
